Variable,B1-A-Mucho-Recuento,B1-A-Mucho-% del N de fila,B1-A-Mucho-% de N columnas,B1-A-Regular-Recuento,B1-A-Regular-% del N de fila,B1-A-Regular-% de N columnas,B1-A-Poco-Recuento,B1-A-Poco-% del N de fila,B1-A-Poco-% de N columnas,B1-A-Nada-Recuento,B1-A-Nada-% del N de fila,B1-A-Nada-% de N columnas,B1-B-Mucho-Recuento,B1-B-Mucho-% del N de fila,B1-B-Mucho-% de N columnas,B1-B-Regular-Recuento,B1-B-Regular-% del N de fila,B1-B-Regular-% de N columnas,B1-B-Poco-Recuento,B1-B-Poco-% del N de fila,B1-B-Poco-% de N columnas,B1-B-Nada-Recuento,B1-B-Nada-% del N de fila,B1-B-Nada-% de N columnas,B1-C-Mucho-Recuento,B1-C-Mucho-% del N de fila,B1-C-Mucho-% de N columnas,B1-C-Regular-Recuento,B1-C-Regular-% del N de fila,B1-C-Regular-% de N columnas,B1-C-Poco-Recuento,B1-C-Poco-% del N de fila,B1-C-Poco-% de N columnas,B1-C-Nada-Recuento,B1-C-Nada-% del N de fila,B1-C-Nada-% de N columnas,B1-D-Mucho-Recuento,B1-D-Mucho-% del N de fila,B1-D-Mucho-% de N columnas,B1-D-Regular-Recuento,B1-D-Regular-% del N de fila,B1-D-Regular-% de N columnas,B1-D-Poco-Recuento,B1-D-Poco-% del N de fila,B1-D-Poco-% de N columnas,B1-D-Nada-Recuento,B1-D-Nada-% del N de fila,B1-D-Nada-% de N columnas,B1-E-Mucho-Recuento,B1-E-Mucho-% del N de fila,B1-E-Mucho-% de N columnas,B1-E-Mucho-Recuento,B1-E-Mucho-% del N de fila,B1-E-Mucho-% de N columnas,B1-E-Poco-Recuento,B1-E-Poco-% del N de fila,B1-E-Poco-% de N columnas,B1-E-Nada-Recuento,B1-E-Nada-% del N de fila,B1-E-Nada-% de N columnas,B1-F-Mucho-Recuento,B1-F-Mucho-% del N de fila,B1-F-Mucho-% de N columnas,B1-F-Regular-Recuento,B1-F-Regular-% del N de fila,B1-F-Regular-% de N columnas,B1-F-Poco-Recuento,B1-F-Poco-% del N de fila,B1-F-Poco-% de N columnas,B1-F-Nada-Recuento,B1-F-Nada-% del N de fila,B1-F-Nada-% de N columnas,B1-G-Mucho-Recuento,B1-G-Mucho-% del N de fila,B1-G-Mucho-% de N columnas,B1-G-Regular-Recuento,B1-G-Regular-% del N de fila,B1-G-Regular-% de N columnas,B1-G-Poco-Recuento,B1-G-Poco-% del N de fila,B1-G-Poco-% de N columnas,B1-G-Nada-Recuento,B1-G-Nada-% del N de fila,B1-G-Nada-% de N columnas,B1-H-Mucho-Recuento,B1-H-Mucho-% del N de fila,B1-H-Mucho-% de N columnas,B1-H-Regular-Recuento,B1-H-Regular-% del N de fila,B1-H-Regular-% de N columnas,B1-H-Poco-Recuento,B1-H-Poco-% del N de fila,B1-H-Poco-% de N columnas,B1-H-Nada-Recuento,B1-H-Nada-% del N de fila,B1-H-Nada-% de N columnas,B1-I-Mucho-Recuento,B1-I-Mucho--% del N de fila,B1-I-Mucho-% de N columnas,B1-I-Regular-Recuento,B1-I-Regular-% del N de fila,B1-I-Regular-% de N columnas,B1-I-Poco-Recuento,B1-I-Poco-% del N de fila,B1-I-Poco-% de N columnas,B1-I-Nada-Recuento,B1-I-Nada-% del N de fila,B1-I-Nada-% de N columnas
ZACATECAS,39,0.18,0.03,118,0.54,0.04,56,0.26,0.06,5,0.02,0.05,110,0.51,0.03,94,0.43,0.05,14,0.06,0.07,0,0,0,75,0.34,0.04,106,0.49,0.04,34,0.16,0.05,3,0.01,0.04,118,0.54,0.04,86,0.39,0.05,12,0.06,0.05,2,0.01,0.2,120,0.55,0.04,75,0.34,0.04,22,0.1,0.07,1,0.01,0.06,104,0.48,0.04,94,0.43,0.04,18,0.08,0.05,2,0.01,0.1,143,0.66,0.04,65,0.3,0.05,9,0.04,0.06,1,0.01,0.14,105,0.48,0.03,91,0.42,0.05,20,0.09,0.07,2,0.01,0.09,138,0.63,0.04,68,0.31,0.05,11,0.05,0.06,1,0.01,0.11
Hombre,55,0.24,0.04,135,0.58,0.05,35,0.15,0.04,6,0.03,0.06,123,0.53,0.04,90,0.39,0.05,18,0.08,0.09,0,0,0,81,0.35,0.04,103,0.45,0.04,42,0.18,0.06,5,0.02,0.07,115,0.5,0.04,101,0.44,0.06,14,0.06,0.06,1,0,0.1,123,0.53,0.04,85,0.37,0.05,20,0.09,0.07,3,0.01,0.17,108,0.47,0.04,96,0.42,0.04,25,0.11,0.07,2,0.01,0.1,144,0.62,0.04,75,0.33,0.06,11,0.05,0.08,1,0,0.14,106,0.46,0.04,106,0.46,0.05,17,0.07,0.06,2,0.01,0.09,135,0.58,0.04,83,0.36,0.06,12,0.05,0.07,1,0,0.11
Mujer,1328,0.26,0.96,2837,0.56,0.96,842,0.17,0.96,100,0.02,0.94,3176,0.62,0.96,1742,0.34,0.95,183,0.04,0.91,6,0,1,1992,0.39,0.96,2421,0.47,0.96,629,0.12,0.94,65,0.01,0.93,3166,0.62,0.97,1703,0.33,0.94,229,0.05,0.94,9,0,0.9,3073,0.6,0.96,1736,0.34,0.95,283,0.06,0.93,15,0,0.83,2679,0.53,0.96,2062,0.4,0.96,348,0.07,0.93,18,0,0.9,3688,0.72,0.96,1279,0.25,0.95,134,0.03,0.92,6,0,0.86,2939,0.58,0.97,1878,0.37,0.95,269,0.05,0.94,21,0,0.91,3527,0.69,0.96,1402,0.28,0.94,170,0.03,0.93,8,0,0.89
18 a 20 años,9,0.28,0.01,20,0.63,0.01,2,0.06,0,1,0.03,0.01,17,0.53,0.01,14,0.44,0.01,1,0.03,0.01,0,0,0,11,0.34,0.01,18,0.56,0.01,3,0.09,0,0,0,0,21,0.66,0.01,10,0.31,0.01,1,0.03,0,0,0,0,17,0.53,0.01,13,0.41,0.01,2,0.06,0.01,0,0,0,14,0.44,0.01,15,0.47,0.01,3,0.09,0.01,0,0,0,20,0.63,0.01,10,0.31,0.01,2,0.06,0.01,0,0,0,14,0.44,0.01,17,0.53,0.01,1,0.03,0,0,0,0,19,0.59,0.01,13,0.41,0.01,0,0,0,0,0,0
21 a 30 años,321,0.28,0.23,655,0.56,0.22,169,0.15,0.19,17,0.02,0.16,732,0.63,0.22,394,0.34,0.22,33,0.03,0.16,3,0,0.5,450,0.39,0.22,561,0.48,0.22,138,0.12,0.21,13,0.01,0.19,716,0.62,0.22,404,0.35,0.22,40,0.03,0.17,2,0,0.2,741,0.64,0.23,364,0.31,0.2,55,0.05,0.18,2,0,0.11,646,0.56,0.23,444,0.38,0.21,70,0.06,0.19,2,0,0.1,845,0.73,0.22,291,0.25,0.22,24,0.02,0.17,2,0,0.29,661,0.57,0.22,442,0.38,0.22,53,0.05,0.19,6,0.01,0.26,806,0.69,0.22,330,0.28,0.22,24,0.02,0.13,2,0,0.22
31 a 40 años,431,0.23,0.31,1061,0.57,0.36,344,0.18,0.39,36,0.02,0.34,1151,0.62,0.35,661,0.35,0.36,60,0.03,0.3,0,0,0,695,0.37,0.34,933,0.5,0.37,222,0.12,0.33,22,0.01,0.31,1145,0.61,0.35,641,0.34,0.36,82,0.04,0.34,4,0,0.4,1089,0.58,0.34,674,0.36,0.37,104,0.06,0.34,5,0,0.28,929,0.5,0.33,803,0.43,0.37,134,0.07,0.36,6,0,0.3,1328,0.71,0.35,494,0.26,0.37,47,0.03,0.32,3,0,0.43,1010,0.54,0.33,750,0.4,0.38,104,0.06,0.36,8,0,0.35,1261,0.67,0.34,532,0.28,0.36,76,0.04,0.42,3,0,0.33
41 a 50 años,391,0.25,0.28,880,0.56,0.3,266,0.17,0.3,39,0.03,0.37,938,0.6,0.28,563,0.36,0.31,73,0.05,0.36,2,0,0.33,613,0.39,0.3,712,0.45,0.28,227,0.14,0.34,24,0.02,0.34,952,0.6,0.29,536,0.34,0.3,85,0.05,0.35,3,0,0.3,911,0.58,0.29,554,0.35,0.3,101,0.06,0.33,10,0.01,0.56,802,0.51,0.29,643,0.41,0.3,122,0.08,0.33,9,0.01,0.45,1122,0.71,0.29,402,0.26,0.3,50,0.03,0.35,2,0,0.29,923,0.59,0.3,552,0.35,0.28,93,0.06,0.33,8,0.01,0.35,1068,0.68,0.29,446,0.28,0.3,59,0.04,0.32,3,0,0.33
51 a 60 años,217,0.32,0.16,347,0.52,0.12,94,0.14,0.11,12,0.02,0.11,439,0.66,0.13,197,0.29,0.11,33,0.05,0.16,1,0,0.17,290,0.43,0.14,291,0.43,0.12,78,0.12,0.12,11,0.02,0.16,431,0.64,0.13,204,0.3,0.11,34,0.05,0.14,1,0,0.1,422,0.63,0.13,206,0.31,0.11,41,0.06,0.14,1,0,0.06,378,0.56,0.14,246,0.37,0.11,43,0.06,0.12,3,0,0.15,494,0.74,0.13,154,0.23,0.11,22,0.03,0.15,0,0,0,417,0.62,0.14,217,0.32,0.11,35,0.05,0.12,1,0,0.04,486,0.73,0.13,160,0.24,0.11,23,0.03,0.13,1,0,0.11
61 a 70 años,14,0.54,0.01,9,0.35,0,2,0.08,0,1,0.04,0.01,22,0.85,0.01,3,0.12,0,1,0.04,0.01,0,0,0,14,0.54,0.01,9,0.35,0,3,0.12,0,0,0,0,16,0.62,0.01,9,0.35,0.01,1,0.04,0,0,0,0,16,0.62,0.01,10,0.39,0.01,0,0,0,0,0,0,18,0.69,0.01,7,0.27,0,1,0.04,0,0,0,0,23,0.89,0.01,3,0.12,0,0,0,0,0,0,0,20,0.77,0.01,6,0.23,0,0,0,0,0,0,0,22,0.85,0.01,4,0.15,0,0,0,0,0,0,0
71 a 80 años,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81 a 90 años,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91 a 99 años,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Preparatoria, bachillerato o carrera técnica",9,0.2,0.01,22,0.49,0.01,12,0.27,0.01,2,0.04,0.02,22,0.49,0.01,17,0.38,0.01,6,0.13,0.03,0,0,0,19,0.42,0.01,18,0.4,0.01,7,0.16,0.01,1,0.02,0.01,22,0.49,0.01,16,0.36,0.01,6,0.13,0.03,1,0.02,0.1,22,0.49,0.01,17,0.38,0.01,5,0.11,0.02,1,0.02,0.06,19,0.42,0.01,19,0.42,0.01,6,0.13,0.02,1,0.02,0.05,22,0.49,0.01,18,0.4,0.01,4,0.09,0.03,1,0.02,0.14,20,0.44,0.01,20,0.44,0.01,3,0.07,0.01,2,0.04,0.09,24,0.53,0.01,16,0.36,0.01,4,0.09,0.02,1,0.02,0.11
Normal básica sin licenciatura,49,0.35,0.04,64,0.46,0.02,23,0.17,0.03,3,0.02,0.03,89,0.64,0.03,44,0.32,0.02,6,0.04,0.03,0,0,0,57,0.41,0.03,69,0.5,0.03,11,0.08,0.02,2,0.01,0.03,84,0.6,0.03,47,0.34,0.03,8,0.06,0.03,0,0,0,81,0.58,0.03,50,0.36,0.03,8,0.06,0.03,0,0,0,77,0.55,0.03,52,0.37,0.02,9,0.07,0.02,1,0.01,0.05,97,0.7,0.03,38,0.27,0.03,4,0.03,0.03,0,0,0,89,0.64,0.03,44,0.32,0.02,6,0.04,0.02,0,0,0,97,0.7,0.03,37,0.27,0.03,5,0.04,0.03,0,0,0
Normal superior,21,0.28,0.02,42,0.57,0.01,9,0.12,0.01,2,0.03,0.02,51,0.69,0.02,21,0.28,0.01,2,0.03,0.01,0,0,0,34,0.46,0.02,32,0.43,0.01,5,0.07,0.01,3,0.04,0.04,50,0.68,0.02,20,0.27,0.01,4,0.05,0.02,0,0,0,45,0.61,0.01,26,0.35,0.01,3,0.04,0.01,0,0,0,42,0.57,0.02,25,0.34,0.01,5,0.07,0.01,2,0.03,0.1,59,0.8,0.02,13,0.18,0.01,2,0.03,0.01,0,0,0,44,0.6,0.01,28,0.38,0.01,2,0.03,0.01,0,0,0,57,0.77,0.02,14,0.19,0.01,3,0.04,0.02,0,0,0
Normal Intercultural Bilingüe,4,0.8,0,1,0.2,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,4,0.8,0,1,0.2,0,0,0,0,0,0,0,4,0.8,0,1,0.2,0,0,0,0,0,0,0,4,0.8,0,1,0.2,0,0,0,0,0,0,0,4,0.8,0,1,0.2,0,0,0,0,0,0,0,4,0.8,0,1,0.2,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0
Licenciatura,1100,0.26,0.8,2315,0.55,0.78,696,0.17,0.79,81,0.02,0.76,2582,0.62,0.78,1444,0.34,0.79,161,0.04,0.8,5,0,0.83,1641,0.39,0.79,1953,0.47,0.77,545,0.13,0.81,53,0.01,0.76,2573,0.61,0.78,1422,0.34,0.79,188,0.05,0.77,9,0,0.9,2536,0.61,0.79,1404,0.34,0.77,239,0.06,0.79,13,0,0.72,2194,0.52,0.79,1702,0.41,0.79,285,0.07,0.76,11,0,0.55,3024,0.72,0.79,1050,0.25,0.78,112,0.03,0.77,6,0,0.86,2407,0.57,0.79,1543,0.37,0.78,224,0.05,0.78,18,0,0.78,2880,0.69,0.79,1163,0.28,0.78,143,0.03,0.79,6,0,0.67
Especialidad,7,0.32,0.01,14,0.64,0.01,1,0.05,0,0,0,0,15,0.68,0.01,6,0.27,0,1,0.05,0.01,0,0,0,6,0.27,0,14,0.64,0.01,2,0.09,0,0,0,0,13,0.59,0,8,0.36,0,1,0.05,0,0,0,0,10,0.46,0,9,0.41,0.01,2,0.09,0.01,1,0.05,0.06,8,0.36,0,11,0.5,0.01,2,0.09,0.01,1,0.05,0.05,14,0.64,0,7,0.32,0.01,1,0.05,0.01,0,0,0,9,0.41,0,11,0.5,0.01,2,0.09,0.01,0,0,0,11,0.5,0,10,0.46,0.01,1,0.05,0.01,0,0,0
Maestría,178,0.22,0.13,482,0.6,0.16,126,0.16,0.14,17,0.02,0.16,501,0.62,0.15,277,0.35,0.15,24,0.03,0.12,1,0,0.17,288,0.36,0.14,410,0.51,0.16,94,0.12,0.14,11,0.01,0.16,503,0.63,0.15,268,0.33,0.15,32,0.04,0.13,0,0,0,465,0.58,0.15,295,0.37,0.16,41,0.05,0.14,2,0,0.11,409,0.51,0.15,330,0.41,0.15,60,0.08,0.16,4,0.01,0.2,566,0.71,0.15,219,0.27,0.16,18,0.02,0.12,0,0,0,439,0.55,0.14,314,0.39,0.16,47,0.06,0.16,3,0,0.13,548,0.68,0.15,228,0.28,0.15,25,0.03,0.14,2,0,0.22
Doctorado,15,0.26,0.01,31,0.54,0.01,10,0.18,0.01,1,0.02,0.01,33,0.58,0.01,23,0.4,0.01,1,0.02,0.01,0,0,0,24,0.42,0.01,26,0.46,0.01,7,0.12,0.01,0,0,0,31,0.54,0.01,22,0.39,0.01,4,0.07,0.02,0,0,0,32,0.56,0.01,19,0.33,0.01,5,0.09,0.02,1,0.02,0.06,33,0.58,0.01,18,0.32,0.01,6,0.11,0.02,0,0,0,45,0.79,0.01,8,0.14,0.01,4,0.07,0.03,0,0,0,32,0.56,0.01,23,0.4,0.01,2,0.04,0.01,0,0,0,40,0.7,0.01,16,0.28,0.01,1,0.02,0.01,0,0,0
Posdoctorado,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Menor o igual a 10,483,0.26,0.35,1062,0.57,0.36,288,0.16,0.33,28,0.02,0.26,1177,0.63,0.36,619,0.33,0.34,62,0.03,0.31,3,0,0.5,717,0.39,0.35,905,0.49,0.36,218,0.12,0.33,21,0.01,0.3,1150,0.62,0.35,631,0.34,0.35,77,0.04,0.32,3,0,0.3,1158,0.62,0.36,610,0.33,0.34,88,0.05,0.29,5,0,0.28,995,0.54,0.36,739,0.4,0.34,123,0.07,0.33,4,0,0.2,1354,0.73,0.35,454,0.24,0.34,51,0.03,0.35,2,0,0.29,1046,0.56,0.34,713,0.38,0.36,96,0.05,0.34,6,0,0.26,1299,0.7,0.36,508,0.27,0.34,51,0.03,0.28,3,0,0.33
11 a 20,450,0.23,0.33,1108,0.57,0.37,349,0.18,0.4,45,0.02,0.43,1166,0.6,0.35,711,0.36,0.39,74,0.04,0.37,1,0,0.17,712,0.37,0.34,950,0.49,0.38,266,0.14,0.4,24,0.01,0.34,1192,0.61,0.36,665,0.34,0.37,90,0.05,0.37,5,0,0.5,1124,0.58,0.35,704,0.36,0.39,117,0.06,0.39,7,0,0.39,968,0.5,0.35,832,0.43,0.39,145,0.07,0.39,7,0,0.35,1375,0.7,0.36,520,0.27,0.38,53,0.03,0.37,4,0,0.57,1080,0.55,0.36,749,0.38,0.38,112,0.06,0.39,11,0.01,0.48,1306,0.67,0.36,564,0.29,0.38,79,0.04,0.43,3,0,0.33
21 a 30,450,0.3,0.33,802,0.53,0.27,240,0.16,0.27,33,0.02,0.31,956,0.63,0.29,502,0.33,0.27,65,0.04,0.32,2,0,0.33,644,0.42,0.31,669,0.44,0.27,187,0.12,0.28,25,0.02,0.36,939,0.62,0.29,508,0.33,0.28,76,0.05,0.31,2,0,0.2,914,0.6,0.29,507,0.33,0.28,98,0.06,0.32,6,0,0.33,824,0.54,0.3,587,0.39,0.27,105,0.07,0.28,9,0.01,0.45,1103,0.72,0.29,380,0.25,0.28,41,0.03,0.28,1,0,0.14,919,0.6,0.3,522,0.34,0.26,78,0.05,0.27,6,0,0.26,1057,0.69,0.29,413,0.27,0.28,52,0.03,0.29,3,0,0.33
31 a 40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41 a 50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mayor o igual a 51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Definitivo o base,1290,0.26,0.93,2755,0.56,0.93,817,0.17,0.93,99,0.02,0.93,3067,0.62,0.93,1699,0.34,0.93,189,0.04,0.94,6,0,1,1922,0.39,0.93,2345,0.47,0.93,626,0.13,0.93,68,0.01,0.97,3046,0.61,0.93,1676,0.34,0.93,229,0.05,0.94,10,0,1,2983,0.6,0.93,1680,0.34,0.92,282,0.06,0.93,16,0,0.89,2578,0.52,0.93,2019,0.41,0.94,345,0.07,0.93,19,0,0.95,3557,0.72,0.93,1266,0.26,0.94,131,0.03,0.9,7,0,1,2832,0.57,0.93,1838,0.37,0.93,270,0.05,0.94,21,0,0.91,3394,0.68,0.93,1384,0.28,0.93,174,0.04,0.96,9,0,1
Interino,38,0.24,0.03,94,0.6,0.03,21,0.13,0.02,5,0.03,0.05,97,0.61,0.03,56,0.35,0.03,5,0.03,0.03,0,0,0,51,0.32,0.03,89,0.56,0.04,18,0.11,0.03,0,0,0,99,0.63,0.03,56,0.35,0.03,3,0.02,0.01,0,0,0,90,0.57,0.03,62,0.39,0.03,5,0.03,0.02,1,0.01,0.06,87,0.55,0.03,58,0.37,0.03,13,0.08,0.04,0,0,0,115,0.73,0.03,37,0.23,0.03,6,0.04,0.04,0,0,0,81,0.51,0.03,69,0.44,0.04,8,0.05,0.03,0,0,0,110,0.7,0.03,45,0.29,0.03,3,0.02,0.02,0,0,0
Tiempo fijo (temporal por un tiempo determinado),25,0.27,0.02,55,0.59,0.02,13,0.14,0.02,1,0.01,0.01,57,0.61,0.02,34,0.36,0.02,3,0.03,0.02,0,0,0,37,0.39,0.02,45,0.48,0.02,11,0.12,0.02,1,0.01,0.01,59,0.63,0.02,28,0.3,0.02,7,0.07,0.03,0,0,0,58,0.62,0.02,28,0.3,0.02,7,0.07,0.02,1,0.01,0.06,54,0.57,0.02,31,0.33,0.01,9,0.1,0.02,0,0,0,66,0.7,0.02,25,0.27,0.02,3,0.03,0.02,0,0,0,57,0.61,0.02,34,0.36,0.02,3,0.03,0.01,0,0,0,68,0.72,0.02,25,0.27,0.02,1,0.01,0.01,0,0,0
No tengo nombramiento,8,0.25,0.01,18,0.56,0.01,6,0.19,0.01,0,0,0,18,0.56,0.01,11,0.34,0.01,3,0.09,0.02,0,0,0,19,0.59,0.01,10,0.31,0,3,0.09,0,0,0,0,24,0.75,0.01,6,0.19,0,2,0.06,0.01,0,0,0,18,0.56,0.01,13,0.41,0.01,1,0.03,0,0,0,0,18,0.56,0.01,12,0.38,0.01,2,0.06,0.01,0,0,0,25,0.78,0.01,6,0.19,0,1,0.03,0.01,0,0,0,21,0.66,0.01,9,0.28,0.01,2,0.06,0.01,0,0,0,23,0.72,0.01,8,0.25,0.01,1,0.03,0.01,0,0,0
Otro,22,0.24,0.02,50,0.54,0.02,20,0.22,0.02,1,0.01,0.01,60,0.65,0.02,32,0.34,0.02,1,0.01,0.01,0,0,0,44,0.47,0.02,35,0.38,0.01,13,0.14,0.02,1,0.01,0.01,53,0.57,0.02,38,0.41,0.02,2,0.02,0.01,0,0,0,47,0.51,0.02,38,0.41,0.02,8,0.09,0.03,0,0,0,50,0.54,0.02,38,0.41,0.02,4,0.04,0.01,1,0.01,0.05,69,0.74,0.02,20,0.22,0.02,4,0.04,0.03,0,0,0,54,0.58,0.02,34,0.37,0.02,3,0.03,0.01,2,0.02,0.09,67,0.72,0.02,23,0.25,0.02,3,0.03,0.02,0,0,0
Unitaria,57,0.27,0.04,116,0.56,0.04,31,0.15,0.04,5,0.02,0.05,123,0.59,0.04,73,0.35,0.04,13,0.06,0.07,0,0,0,88,0.42,0.04,88,0.42,0.04,30,0.14,0.05,3,0.01,0.04,126,0.6,0.04,72,0.34,0.04,11,0.05,0.05,0,0,0,118,0.57,0.04,75,0.36,0.04,15,0.07,0.05,1,0.01,0.06,107,0.51,0.04,84,0.4,0.04,17,0.08,0.05,1,0.01,0.05,143,0.68,0.04,61,0.29,0.05,5,0.02,0.03,0,0,0,105,0.5,0.03,90,0.43,0.05,12,0.06,0.04,2,0.01,0.09,127,0.61,0.04,70,0.34,0.05,11,0.05,0.06,1,0.01,0.11
Multigrado,117,0.3,0.09,211,0.54,0.07,57,0.15,0.07,7,0.02,0.07,252,0.64,0.08,126,0.32,0.07,14,0.04,0.07,0,0,0,166,0.42,0.08,184,0.47,0.07,38,0.1,0.06,4,0.01,0.06,237,0.61,0.07,134,0.34,0.07,20,0.05,0.08,1,0,0.1,258,0.66,0.08,122,0.31,0.07,12,0.03,0.04,0,0,0,225,0.57,0.08,149,0.38,0.07,16,0.04,0.04,2,0.01,0.1,281,0.72,0.07,101,0.26,0.08,8,0.02,0.06,2,0.01,0.29,245,0.63,0.08,128,0.33,0.07,15,0.04,0.05,4,0.01,0.17,289,0.74,0.08,95,0.24,0.06,8,0.02,0.04,0,0,0
Organización completa,1209,0.26,0.87,2645,0.56,0.89,789,0.17,0.9,94,0.02,0.89,2924,0.62,0.89,1633,0.35,0.89,174,0.04,0.87,6,0,1,1819,0.38,0.88,2252,0.48,0.89,603,0.13,0.9,63,0.01,0.9,2918,0.62,0.89,1598,0.34,0.89,212,0.05,0.87,9,0,0.9,2820,0.6,0.88,1624,0.34,0.89,276,0.06,0.91,17,0,0.94,2455,0.52,0.88,1925,0.41,0.89,340,0.07,0.91,17,0,0.85,3408,0.72,0.89,1192,0.25,0.88,132,0.03,0.91,5,0,0.71,2695,0.57,0.89,1766,0.37,0.89,259,0.06,0.91,17,0,0.74,3246,0.69,0.89,1320,0.28,0.89,163,0.03,0.9,8,0,0.89
Total,1383,0.26,1,2972,0.56,1,877,0.16,1,106,0.02,1,3299,0.62,1,1832,0.34,1,201,0.04,1,6,0,1,2073,0.39,1,2524,0.47,1,671,0.13,1,70,0.01,1,3281,0.62,1,1804,0.34,1,243,0.05,1,10,0,1,3196,0.6,1,1821,0.34,1,303,0.06,1,18,0,1,2787,0.52,1,2158,0.4,1,373,0.07,1,20,0,1,3832,0.72,1,1354,0.25,1,145,0.03,1,7,0,1,3045,0.57,1,1984,0.37,1,286,0.05,1,23,0,1,3662,0.69,1,1485,0.28,1,182,0.03,1,9,0,1
