Variable,B4-A-Siempre-Recuento,B4-A-Siempre-% del N de fila,B4-A-Siempre-% de N columnas,B4-A-Muchas veces-Recuento,B4-A-Muchas veces-% del N de fila,B4-A-Muchas veces-% de N columnas,B4-A-Pocas veces-Recuento,B4-A-Pocas veces-% del N de fila,B4-A-Pocas veces-% de N columnas,B4-A-Nunca-Recuento,B4-A-Nunca-% del N de fila,B4-A-Nunca-% de N columnas,B4-B-Siempre-Recuento,B4-B-Siempre-% del N de fila,B4-B-Siempre-% de N columnas,B4-B-Muchas veces-Recuento,B4-B-Muchas veces-% del N de fila,B4-B-Muchas veces-% de N columnas,B4-B-Pocas veces-Recuento,B4-B-Pocas veces-% del N de fila,B4-B-Pocas veces-% de N columnas,B4-B-Nunca-Recuento,B4-B-Nunca-% del N de fila,B4-B-Nunca-% de N columnas,B4-C-Siempre-Recuento,B4-C-Siempre-% del N de fila,B4-C-Siempre-% de N columnas,B4-C-Muchas veces-Recuento,B4-C-Muchas veces-% del N de fila,B4-C-Muchas veces-% de N columnas,B4-C-Pocas veces-Recuento,B4-C-Pocas veces-% del N de fila,B4-C-Pocas veces-% de N columnas,B4-C-Nunca-Recuento,B4-C-Nunca-% del N de fila,B4-C-Nunca-% de N columnas,B4-D-Siempre-Recuento,B4-D-Siempre-% del N de fila,B4-D-Siempre-% de N columnas,B4-D-Muchas veces-Recuento,B4-D-Muchas veces-% del N de fila,B4-D-Muchas veces-% de N columnas,B4-D-Pocas veces-Recuento,B4-D-Pocas veces-% del N de fila,B4-D-Pocas veces-% de N columnas,B4-D-Nunca-Recuento,B4-D-Nunca-% del N de fila,B4-D-Nunca-% de N columnas,B4-E-Siempre-Recuento,B4-E-Siempre-% del N de fila,B4-E-Siempre-% de N columnas,B4-E-Muchas veces-Recuento,B4-E-Muchas veces-% del N de fila,B4-E-Muchas veces-% de N columnas,B4-E-Pocas veces-Recuento,B4-E-Pocas veces-% del N de fila,B4-E-Pocas veces-% de N columnas,B4-E-Nunca-Recuento,B4-E-Nunca-% del N de fila,B4-E-Nunca-% de N columnas,B4-F-Siempre-Recuento,B4-F-Siempre-% del N de fila,B4-F-Siempre-% de N columnas,B4-F-Muchas veces-Recuento,B4-F-Muchas veces-% del N de fila,B4-F-Muchas veces-% de N columnas,B4-F-Pocas veces-Recuento,B4-F-Pocas veces-% del N de fila,B4-F-Pocas veces-% de N columnas,B4-F-Nunca-Recuento,B4-F-Nunca-% del N de fila,B4-F-Nunca-% de N columnas,B4-G-Siempre-Recuento,B4-G-Siempre-% del N de fila,B4-G-Siempre-% de N columnas,B4-G-Muchas veces-Recuento,B4-G-Muchas veces-% del N de fila,B4-G-Muchas veces-% de N columnas,B4-G-Pocas veces-Recuento,B4-G-Pocas veces-% del N de fila,B4-G-Pocas veces-% de N columnas,B4-G-Nunca-Recuento,B4-G-Nunca-% del N de fila,B4-G-Nunca-% de N columnas,B4-H-Siempre-Recuento,B4-H-Siempre-% del N de fila,B4-H-Siempre-% de N columnas,B4-H-Muchas veces-Recuento,B4-H-Muchas veces-% del N de fila,B4-H-Muchas veces-% de N columnas,B4-H-Pocas veces-Recuento,B4-H-Pocas veces-% del N de fila,B4-H-Pocas veces-% de N columnas,B4-H-Nunca-Recuento,B4-H-Nunca-% del N de fila,B4-H-Nunca-% de N columnas,B4-I-Siempre-Recuento,B4-I-Siempre-% del N de fila,B4-I-Siempre-% de N columnas,B4-I-Muchas veces-Recuento,B4-I-Muchas veces-% del N de fila,B4-I-Muchas veces-% de N columnas,B4-I-Pocas veces-Recuento,B4-I-Pocas veces-% del N de fila,B4-I-Pocas veces-% de N columnas,B4-I-Nunca-Recuento,B4-I-Nunca-% del N de fila,B4-I-Nunca-% de N columnas,B4-J-Siempre-Recuento,B4-J-Siempre-% del N de fila,B4-J-Siempre-% de N columnas,B4-J-Muchas veces-Recuento,B4-J-Muchas veces-% del N de fila,B4-J-Muchas veces-% de N columnas,B4-J-Pocas veces-Recuento,B4-J-Pocas veces-% del N de fila,B4-J-Pocas veces-% de N columnas,B4-J-Nunca-Recuento,B4-J-Nunca-% del N de fila,B4-J-Nunca-% de N columnas,B4-K-Siempre-Recuento,B4-K-Siempre-% del N de fila,B4-K-Siempre-% de N columnas,B4-K-Muchas veces-Recuento,B4-K-Muchas veces-% del N de fila,B4-K-Muchas veces-% de N columnas,B4-K-Pocas veces-Recuento,B4-K-Pocas veces-% del N de fila,B4-K-Pocas veces-% de N columnas,B4-K-Nunca-Recuento,B4-K-Nunca-% del N de fila,B4-K-Nunca-% de N columnas
QUINTANA ROO,539,0.4,0.04,489,0.36,0.05,321,0.24,0.06,11,0.01,0.05,695,0.51,0.04,555,0.41,0.05,108,0.08,0.05,2,0,0.02,260,0.19,0.06,299,0.22,0.05,630,0.46,0.04,171,0.13,0.03,501,0.37,0.04,568,0.42,0.05,275,0.2,0.05,16,0.01,0.04,483,0.36,0.04,586,0.43,0.05,276,0.2,0.05,14,0.01,0.04,169,0.12,0.05,320,0.24,0.05,585,0.43,0.05,285,0.21,0.04,457,0.34,0.04,592,0.44,0.05,285,0.21,0.05,25,0.02,0.04,433,0.32,0.04,625,0.46,0.05,288,0.21,0.05,13,0.01,0.03,574,0.42,0.05,599,0.44,0.05,179,0.13,0.05,7,0.01,0.03,549,0.4,0.04,619,0.46,0.05,184,0.14,0.05,6,0,0.02,525,0.39,0.05,595,0.44,0.05,232,0.17,0.06,6,0,0.02
SAN LUIS POTOSÍ,342,0.43,0.03,293,0.37,0.03,146,0.19,0.03,8,0.01,0.03,447,0.57,0.03,276,0.35,0.03,62,0.08,0.03,4,0.01,0.04,112,0.14,0.03,139,0.18,0.02,378,0.48,0.03,160,0.2,0.03,293,0.37,0.03,331,0.42,0.03,152,0.19,0.03,13,0.02,0.03,289,0.37,0.03,331,0.42,0.03,156,0.2,0.03,13,0.02,0.04,80,0.1,0.03,172,0.22,0.03,303,0.38,0.02,234,0.3,0.03,273,0.35,0.03,363,0.46,0.03,138,0.18,0.03,15,0.02,0.02,284,0.36,0.03,351,0.45,0.03,142,0.18,0.03,12,0.02,0.03,326,0.41,0.03,351,0.45,0.03,103,0.13,0.03,9,0.01,0.04,330,0.42,0.03,347,0.44,0.03,105,0.13,0.03,7,0.01,0.03,315,0.4,0.03,354,0.45,0.03,109,0.14,0.03,11,0.01,0.03
SINALOA,724,0.48,0.05,550,0.37,0.05,218,0.15,0.04,7,0.01,0.03,841,0.56,0.05,572,0.38,0.05,80,0.05,0.04,6,0,0.07,190,0.13,0.04,298,0.2,0.05,701,0.47,0.05,310,0.21,0.06,664,0.44,0.06,608,0.41,0.05,211,0.14,0.04,16,0.01,0.04,586,0.39,0.05,679,0.45,0.05,217,0.15,0.04,17,0.01,0.05,148,0.1,0.05,317,0.21,0.05,625,0.42,0.05,409,0.27,0.05,570,0.38,0.05,659,0.44,0.05,245,0.16,0.05,25,0.02,0.04,520,0.35,0.05,717,0.48,0.05,243,0.16,0.05,19,0.01,0.05,639,0.43,0.05,692,0.46,0.05,161,0.11,0.04,7,0.01,0.03,710,0.47,0.06,633,0.42,0.05,146,0.1,0.04,10,0.01,0.04,625,0.42,0.05,699,0.47,0.05,163,0.11,0.04,12,0.01,0.03
SONORA,531,0.55,0.04,335,0.35,0.03,102,0.11,0.02,1,0,0,633,0.65,0.04,313,0.32,0.03,22,0.02,0.01,1,0,0.01,93,0.1,0.02,136,0.14,0.02,500,0.52,0.04,240,0.25,0.05,471,0.49,0.04,385,0.4,0.03,109,0.11,0.02,4,0,0.01,440,0.45,0.04,417,0.43,0.03,109,0.11,0.02,3,0,0.01,84,0.09,0.03,168,0.17,0.03,434,0.45,0.04,283,0.29,0.04,427,0.44,0.04,434,0.45,0.03,96,0.1,0.02,12,0.01,0.02,411,0.42,0.04,436,0.45,0.03,116,0.12,0.02,6,0.01,0.02,460,0.48,0.04,426,0.44,0.03,81,0.08,0.02,2,0,0.01,487,0.5,0.04,410,0.42,0.03,69,0.07,0.02,3,0,0.01,475,0.49,0.04,404,0.42,0.03,87,0.09,0.02,3,0,0.01
TABASCO,498,0.54,0.04,257,0.28,0.02,168,0.18,0.03,7,0.01,0.03,565,0.61,0.04,302,0.33,0.03,62,0.07,0.03,1,0,0.01,120,0.13,0.03,163,0.18,0.03,433,0.47,0.03,214,0.23,0.04,407,0.44,0.04,357,0.38,0.03,158,0.17,0.03,8,0.01,0.02,398,0.43,0.04,375,0.4,0.03,148,0.16,0.03,9,0.01,0.03,103,0.11,0.03,166,0.18,0.03,373,0.4,0.03,288,0.31,0.04,393,0.42,0.04,362,0.39,0.03,165,0.18,0.03,10,0.01,0.02,367,0.4,0.04,413,0.44,0.03,138,0.15,0.03,12,0.01,0.03,442,0.48,0.04,385,0.41,0.03,95,0.1,0.03,8,0.01,0.03,462,0.5,0.04,345,0.37,0.03,116,0.13,0.03,7,0.01,0.03,427,0.46,0.04,368,0.4,0.03,125,0.13,0.03,10,0.01,0.03
TAMAULIPAS,586,0.5,0.04,403,0.34,0.04,175,0.15,0.04,11,0.01,0.05,693,0.59,0.04,416,0.35,0.04,63,0.05,0.03,3,0,0.03,168,0.14,0.04,200,0.17,0.03,600,0.51,0.04,207,0.18,0.04,526,0.45,0.05,485,0.41,0.04,158,0.13,0.03,6,0.01,0.02,464,0.4,0.04,526,0.45,0.04,176,0.15,0.03,8,0.01,0.02,123,0.11,0.04,194,0.17,0.03,491,0.42,0.04,367,0.31,0.05,475,0.4,0.05,510,0.43,0.04,178,0.15,0.03,12,0.01,0.02,447,0.38,0.04,560,0.48,0.04,160,0.14,0.03,8,0.01,0.02,511,0.44,0.04,560,0.48,0.04,96,0.08,0.03,8,0.01,0.03,575,0.49,0.04,479,0.41,0.04,113,0.1,0.03,8,0.01,0.03,522,0.44,0.04,529,0.45,0.04,114,0.1,0.03,10,0.01,0.03
TLAXCALA,393,0.37,0.03,384,0.36,0.04,285,0.27,0.06,15,0.01,0.06,533,0.5,0.03,430,0.4,0.04,106,0.1,0.05,8,0.01,0.09,160,0.15,0.04,240,0.22,0.04,552,0.51,0.04,125,0.12,0.02,298,0.28,0.03,432,0.4,0.04,329,0.31,0.06,18,0.02,0.05,287,0.27,0.03,488,0.45,0.04,282,0.26,0.06,20,0.02,0.06,105,0.1,0.03,249,0.23,0.04,500,0.46,0.04,223,0.21,0.03,297,0.28,0.03,501,0.47,0.04,252,0.23,0.05,27,0.03,0.04,308,0.29,0.03,489,0.45,0.04,263,0.24,0.05,17,0.02,0.04,367,0.34,0.03,518,0.48,0.04,184,0.17,0.05,8,0.01,0.03,373,0.35,0.03,483,0.45,0.04,207,0.19,0.06,14,0.01,0.06,353,0.33,0.03,475,0.44,0.04,228,0.21,0.05,21,0.02,0.05
VERACRUZ,255,0.4,0.02,212,0.33,0.02,157,0.25,0.03,10,0.02,0.04,319,0.5,0.02,261,0.41,0.02,53,0.08,0.03,1,0,0.01,121,0.19,0.03,148,0.23,0.03,280,0.44,0.02,85,0.13,0.02,248,0.39,0.02,239,0.38,0.02,137,0.22,0.02,10,0.02,0.03,212,0.33,0.02,276,0.44,0.02,134,0.21,0.03,12,0.02,0.04,97,0.15,0.03,131,0.21,0.02,268,0.42,0.02,138,0.22,0.02,206,0.33,0.02,280,0.44,0.02,129,0.2,0.02,19,0.03,0.03,217,0.34,0.02,281,0.44,0.02,126,0.2,0.02,10,0.02,0.03,260,0.41,0.02,286,0.45,0.02,83,0.13,0.02,5,0.01,0.02,251,0.4,0.02,274,0.43,0.02,98,0.16,0.03,11,0.02,0.04,227,0.36,0.02,285,0.45,0.02,112,0.18,0.03,10,0.02,0.03
YUCATÁN,342,0.48,0.03,236,0.33,0.02,125,0.18,0.03,5,0.01,0.02,445,0.63,0.03,226,0.32,0.02,36,0.05,0.02,1,0,0.01,80,0.11,0.02,113,0.16,0.02,368,0.52,0.03,147,0.21,0.03,330,0.47,0.03,256,0.36,0.02,118,0.17,0.02,4,0.01,0.01,301,0.43,0.03,272,0.38,0.02,127,0.18,0.03,8,0.01,0.02,61,0.09,0.02,135,0.19,0.02,312,0.44,0.03,200,0.28,0.03,286,0.4,0.03,304,0.43,0.02,107,0.15,0.02,11,0.02,0.02,270,0.38,0.03,321,0.45,0.02,111,0.16,0.02,6,0.01,0.02,326,0.46,0.03,288,0.41,0.02,90,0.13,0.03,4,0.01,0.02,353,0.5,0.03,277,0.39,0.02,76,0.11,0.02,2,0,0.01,336,0.48,0.03,293,0.41,0.02,75,0.11,0.02,4,0.01,0.01
ZACATECAS,440,0.4,0.03,449,0.4,0.04,211,0.19,0.04,14,0.01,0.06,526,0.47,0.03,473,0.43,0.04,111,0.1,0.06,4,0,0.04,176,0.16,0.04,230,0.21,0.04,556,0.5,0.04,152,0.14,0.03,334,0.3,0.03,484,0.43,0.04,273,0.25,0.05,23,0.02,0.06,326,0.29,0.03,491,0.44,0.04,277,0.25,0.05,20,0.02,0.06,140,0.13,0.04,262,0.24,0.04,492,0.44,0.04,220,0.2,0.03,318,0.29,0.03,512,0.46,0.04,253,0.23,0.05,31,0.03,0.05,296,0.27,0.03,523,0.47,0.04,273,0.25,0.05,22,0.02,0.06,387,0.35,0.03,530,0.48,0.04,186,0.17,0.05,11,0.01,0.05,404,0.36,0.03,506,0.45,0.04,191,0.17,0.05,13,0.01,0.05,351,0.32,0.03,527,0.47,0.04,223,0.2,0.05,13,0.01,0.03
Hombre,6078,0.49,0.45,4417,0.36,0.42,1879,0.15,0.37,83,0.01,0.35,6983,0.56,0.43,4630,0.37,0.42,817,0.07,0.4,27,0,0.29,1863,0.15,0.43,2499,0.2,0.43,5850,0.47,0.41,2245,0.18,0.44,4901,0.39,0.43,5211,0.42,0.43,2197,0.18,0.39,148,0.01,0.39,4831,0.39,0.43,5541,0.45,0.43,1968,0.16,0.38,116,0.01,0.35,1485,0.12,0.46,2646,0.21,0.43,5165,0.42,0.41,3160,0.25,0.41,4606,0.37,0.44,5482,0.44,0.42,2128,0.17,0.4,240,0.02,0.39,4512,0.36,0.45,5726,0.46,0.42,2072,0.17,0.39,146,0.01,0.37,5238,0.42,0.43,5666,0.46,0.43,1442,0.12,0.4,110,0.01,0.47,5501,0.44,0.42,5365,0.43,0.43,1496,0.12,0.4,94,0.01,0.37,5121,0.41,0.44,5573,0.45,0.42,1611,0.13,0.38,151,0.01,0.38
Mujer,7539,0.44,0.55,6203,0.36,0.58,3178,0.19,0.63,156,0.01,0.65,9293,0.54,0.57,6500,0.38,0.58,1216,0.07,0.6,66,0,0.71,2498,0.15,0.57,3323,0.2,0.57,8388,0.49,0.59,2866,0.17,0.56,6596,0.39,0.57,6849,0.4,0.57,3402,0.2,0.61,229,0.01,0.61,6372,0.37,0.57,7306,0.43,0.57,3182,0.19,0.62,215,0.01,0.65,1780,0.1,0.55,3451,0.2,0.57,7297,0.43,0.59,4548,0.27,0.59,5957,0.35,0.56,7522,0.44,0.58,3223,0.19,0.6,373,0.02,0.61,5572,0.33,0.55,7953,0.47,0.58,3305,0.19,0.62,244,0.01,0.63,7092,0.42,0.58,7679,0.45,0.58,2179,0.13,0.6,124,0.01,0.53,7461,0.44,0.58,7205,0.42,0.57,2247,0.13,0.6,160,0.01,0.63,6624,0.39,0.56,7603,0.45,0.58,2602,0.15,0.62,244,0.01,0.62
18 a 20 años,125,0.55,0.01,68,0.3,0.01,35,0.15,0.01,1,0,0,151,0.66,0.01,63,0.28,0.01,14,0.06,0.01,1,0,0.01,46,0.2,0.01,44,0.19,0.01,96,0.42,0.01,43,0.19,0.01,109,0.48,0.01,81,0.35,0.01,33,0.14,0.01,6,0.03,0.02,110,0.48,0.01,85,0.37,0.01,29,0.13,0.01,5,0.02,0.02,43,0.19,0.01,47,0.21,0.01,81,0.35,0.01,58,0.25,0.01,99,0.43,0.01,90,0.39,0.01,35,0.15,0.01,5,0.02,0.01,109,0.48,0.01,84,0.37,0.01,33,0.14,0.01,3,0.01,0.01,127,0.56,0.01,74,0.32,0.01,27,0.12,0.01,1,0,0,119,0.52,0.01,75,0.33,0.01,30,0.13,0.01,5,0.02,0.02,116,0.51,0.01,85,0.37,0.01,25,0.11,0.01,3,0.01,0.01
21 a 30 años,1650,0.46,0.12,1262,0.35,0.12,631,0.18,0.13,47,0.01,0.2,2015,0.56,0.12,1295,0.36,0.12,267,0.07,0.13,13,0,0.14,672,0.19,0.15,724,0.2,0.12,1526,0.43,0.11,668,0.19,0.13,1517,0.42,0.13,1444,0.4,0.12,581,0.16,0.1,48,0.01,0.13,1450,0.4,0.13,1511,0.42,0.12,577,0.16,0.11,52,0.01,0.16,509,0.14,0.16,772,0.22,0.13,1341,0.37,0.11,968,0.27,0.13,1351,0.38,0.13,1565,0.44,0.12,592,0.17,0.11,82,0.02,0.13,1306,0.36,0.13,1547,0.43,0.11,673,0.19,0.13,63,0.02,0.16,1545,0.43,0.13,1548,0.43,0.12,459,0.13,0.13,37,0.01,0.16,1569,0.44,0.12,1552,0.43,0.12,434,0.12,0.12,34,0.01,0.13,1484,0.41,0.13,1537,0.43,0.12,500,0.14,0.12,68,0.02,0.17
31 a 40 años,4045,0.42,0.3,3642,0.38,0.34,1816,0.19,0.36,96,0.01,0.4,4965,0.52,0.31,3905,0.41,0.35,690,0.07,0.34,39,0,0.42,1644,0.17,0.38,2087,0.22,0.36,4441,0.46,0.31,1427,0.15,0.28,3606,0.38,0.31,4072,0.42,0.34,1794,0.19,0.32,127,0.01,0.34,3409,0.36,0.3,4301,0.45,0.34,1773,0.19,0.34,116,0.01,0.35,1151,0.12,0.35,2076,0.22,0.34,4034,0.42,0.32,2338,0.24,0.3,3147,0.33,0.3,4447,0.46,0.34,1792,0.19,0.34,213,0.02,0.35,2914,0.3,0.29,4553,0.47,0.33,1974,0.21,0.37,158,0.02,0.41,3758,0.39,0.31,4437,0.46,0.33,1308,0.14,0.36,96,0.01,0.41,3901,0.41,0.3,4306,0.45,0.34,1301,0.14,0.35,91,0.01,0.36,3490,0.36,0.3,4424,0.46,0.34,1536,0.16,0.37,149,0.02,0.38
41 a 50 años,4225,0.45,0.31,3409,0.36,0.32,1666,0.18,0.33,63,0.01,0.26,5025,0.54,0.31,3648,0.39,0.33,664,0.07,0.33,25,0,0.27,1291,0.14,0.3,1888,0.2,0.32,4683,0.5,0.33,1501,0.16,0.29,3455,0.37,0.3,3821,0.41,0.32,1972,0.21,0.35,115,0.01,0.31,3382,0.36,0.3,4126,0.44,0.32,1751,0.19,0.34,102,0.01,0.31,955,0.1,0.29,2015,0.22,0.33,4059,0.43,0.33,2333,0.25,0.3,3200,0.34,0.3,4139,0.44,0.32,1828,0.2,0.34,195,0.02,0.32,3037,0.32,0.3,4467,0.48,0.33,1738,0.19,0.32,120,0.01,0.31,3754,0.4,0.3,4363,0.47,0.33,1185,0.13,0.33,60,0.01,0.26,4023,0.43,0.31,4031,0.43,0.32,1229,0.13,0.33,78,0.01,0.31,3599,0.38,0.31,4281,0.46,0.33,1367,0.15,0.32,114,0.01,0.29
51 a 60 años,3012,0.52,0.22,1926,0.34,0.18,794,0.14,0.16,25,0,0.11,3487,0.61,0.21,1920,0.33,0.17,337,0.06,0.17,13,0,0.14,616,0.11,0.14,930,0.16,0.16,2981,0.52,0.21,1229,0.21,0.24,2375,0.41,0.21,2271,0.39,0.19,1046,0.18,0.19,65,0.01,0.17,2389,0.42,0.21,2438,0.42,0.19,884,0.15,0.17,46,0.01,0.14,536,0.09,0.16,1023,0.18,0.17,2527,0.44,0.2,1671,0.29,0.22,2321,0.4,0.22,2368,0.41,0.18,968,0.17,0.18,99,0.02,0.16,2262,0.39,0.22,2625,0.46,0.19,832,0.15,0.16,37,0.01,0.1,2634,0.46,0.21,2538,0.44,0.19,553,0.1,0.15,31,0.01,0.13,2820,0.49,0.22,2270,0.39,0.18,627,0.11,0.17,39,0.01,0.15,2562,0.45,0.22,2455,0.43,0.19,692,0.12,0.16,47,0.01,0.12
61 a 70 años,535,0.57,0.04,298,0.32,0.03,105,0.11,0.02,7,0.01,0.03,606,0.64,0.04,283,0.3,0.03,54,0.06,0.03,2,0,0.02,87,0.09,0.02,139,0.15,0.02,486,0.51,0.03,233,0.25,0.05,408,0.43,0.04,356,0.38,0.03,166,0.18,0.03,15,0.02,0.04,442,0.47,0.04,363,0.38,0.03,130,0.14,0.03,10,0.01,0.03,69,0.07,0.02,155,0.16,0.03,399,0.42,0.03,322,0.34,0.04,423,0.45,0.04,372,0.39,0.03,131,0.14,0.02,19,0.02,0.03,433,0.46,0.04,385,0.41,0.03,118,0.13,0.02,9,0.01,0.02,486,0.51,0.04,367,0.39,0.03,83,0.09,0.02,9,0.01,0.04,505,0.53,0.04,323,0.34,0.03,112,0.12,0.03,5,0.01,0.02,472,0.5,0.04,372,0.39,0.03,87,0.09,0.02,14,0.02,0.04
71 a 80 años,25,0.5,0,15,0.3,0,10,0.2,0,0,0,0,27,0.54,0,16,0.32,0,7,0.14,0,0,0,0,5,0.1,0,10,0.2,0,25,0.5,0,10,0.2,0,27,0.54,0,15,0.3,0,7,0.14,0,1,0.02,0,21,0.42,0,23,0.46,0,6,0.12,0,0,0,0,2,0.04,0,9,0.18,0,21,0.42,0,18,0.36,0,22,0.44,0,23,0.46,0,5,0.1,0,0,0,0,23,0.46,0,18,0.36,0,9,0.18,0,0,0,0,26,0.52,0,18,0.36,0,6,0.12,0,0,0,0,25,0.5,0,13,0.26,0,10,0.2,0,2,0.04,0.01,22,0.44,0,22,0.44,0,6,0.12,0,0,0,0
81 a 90 años,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91 a 99 años,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Preparatoria, bachillerato o carrera técnica",391,0.56,0.03,218,0.31,0.02,79,0.11,0.02,6,0.01,0.03,430,0.62,0.03,222,0.32,0.02,40,0.06,0.02,2,0,0.02,84,0.12,0.02,117,0.17,0.02,336,0.48,0.02,157,0.23,0.03,298,0.43,0.03,272,0.39,0.02,116,0.17,0.02,8,0.01,0.02,290,0.42,0.03,313,0.45,0.02,86,0.12,0.02,5,0.01,0.02,72,0.1,0.02,127,0.18,0.02,297,0.43,0.02,198,0.29,0.03,285,0.41,0.03,285,0.41,0.02,109,0.16,0.02,15,0.02,0.02,287,0.41,0.03,317,0.46,0.02,83,0.12,0.02,7,0.01,0.02,317,0.46,0.03,318,0.46,0.02,56,0.08,0.02,3,0,0.01,361,0.52,0.03,260,0.38,0.02,67,0.1,0.02,6,0.01,0.02,329,0.47,0.03,290,0.42,0.02,69,0.1,0.02,6,0.01,0.02
Normal básica sin licenciatura,73,0.48,0.01,56,0.37,0.01,23,0.15,0.01,1,0.01,0,85,0.56,0.01,53,0.35,0.01,15,0.1,0.01,0,0,0,30,0.2,0.01,22,0.14,0,77,0.5,0.01,24,0.16,0.01,62,0.41,0.01,61,0.4,0.01,27,0.18,0.01,3,0.02,0.01,58,0.38,0.01,65,0.43,0.01,29,0.19,0.01,1,0.01,0,22,0.14,0.01,32,0.21,0.01,61,0.4,0.01,38,0.25,0.01,56,0.37,0.01,59,0.39,0.01,34,0.22,0.01,4,0.03,0.01,52,0.34,0.01,69,0.45,0.01,31,0.2,0.01,1,0.01,0,64,0.42,0.01,71,0.46,0.01,16,0.11,0,2,0.01,0.01,67,0.44,0.01,65,0.43,0.01,20,0.13,0.01,1,0.01,0,63,0.41,0.01,68,0.44,0.01,21,0.14,0.01,1,0.01,0
Normal superior,2121,0.49,0.16,1521,0.35,0.14,668,0.15,0.13,29,0.01,0.12,2501,0.58,0.15,1549,0.36,0.14,276,0.06,0.14,13,0,0.14,570,0.13,0.13,817,0.19,0.14,2208,0.51,0.16,744,0.17,0.15,1776,0.41,0.15,1735,0.4,0.14,776,0.18,0.14,52,0.01,0.14,1747,0.4,0.16,1858,0.43,0.15,691,0.16,0.13,42,0.01,0.13,422,0.1,0.13,840,0.19,0.14,1863,0.43,0.15,1214,0.28,0.16,1634,0.38,0.16,1874,0.43,0.14,752,0.17,0.14,79,0.02,0.13,1545,0.36,0.15,2037,0.47,0.15,709,0.16,0.13,48,0.01,0.12,1880,0.43,0.15,1952,0.45,0.15,479,0.11,0.13,28,0.01,0.12,2020,0.47,0.16,1809,0.42,0.14,483,0.11,0.13,27,0.01,0.11,1865,0.43,0.16,1901,0.44,0.14,527,0.12,0.13,46,0.01,0.12
Normal Intercultural Bilingüe,7,0.47,0,6,0.4,0,2,0.13,0,0,0,0,6,0.4,0,7,0.47,0,2,0.13,0,0,0,0,1,0.07,0,4,0.27,0,9,0.6,0,1,0.07,0,7,0.47,0,6,0.4,0,1,0.07,0,1,0.07,0,7,0.47,0,7,0.47,0,1,0.07,0,0,0,0,2,0.13,0,3,0.2,0,7,0.47,0,3,0.2,0,7,0.47,0,4,0.27,0,4,0.27,0,0,0,0,3,0.2,0,11,0.73,0,1,0.07,0,0,0,0,3,0.2,0,9,0.6,0,3,0.2,0,0,0,0,6,0.4,0,7,0.47,0,2,0.13,0,0,0,0,8,0.53,0,5,0.33,0,2,0.13,0,0,0,0
Licenciatura,7463,0.47,0.55,5755,0.36,0.54,2694,0.17,0.53,131,0.01,0.55,8943,0.56,0.55,5999,0.37,0.54,1057,0.07,0.52,43,0,0.46,2326,0.15,0.53,3106,0.19,0.53,7726,0.48,0.54,2885,0.18,0.56,6319,0.39,0.55,6562,0.41,0.54,2985,0.19,0.53,177,0.01,0.47,6084,0.38,0.54,7050,0.44,0.55,2728,0.17,0.53,181,0.01,0.55,1742,0.11,0.53,3249,0.2,0.53,6721,0.42,0.54,4331,0.27,0.56,5842,0.36,0.55,7051,0.44,0.54,2836,0.18,0.53,313,0.02,0.51,5602,0.35,0.56,7375,0.46,0.54,2855,0.18,0.53,209,0.01,0.54,6702,0.42,0.54,7291,0.46,0.55,1934,0.12,0.53,114,0.01,0.49,7133,0.45,0.55,6838,0.43,0.54,1945,0.12,0.52,124,0.01,0.49,6409,0.4,0.55,7200,0.45,0.55,2229,0.14,0.53,202,0.01,0.51
Especialidad,325,0.44,0.02,265,0.36,0.03,144,0.19,0.03,11,0.02,0.05,384,0.52,0.02,289,0.39,0.03,66,0.09,0.03,6,0.01,0.07,118,0.16,0.03,172,0.23,0.03,328,0.44,0.02,127,0.17,0.03,300,0.4,0.03,275,0.37,0.02,153,0.21,0.03,17,0.02,0.05,267,0.36,0.02,335,0.45,0.03,132,0.18,0.03,11,0.02,0.03,102,0.14,0.03,169,0.23,0.03,287,0.39,0.02,187,0.25,0.02,243,0.33,0.02,336,0.45,0.03,145,0.2,0.03,21,0.03,0.03,250,0.34,0.03,328,0.44,0.02,153,0.21,0.03,14,0.02,0.04,315,0.42,0.03,316,0.42,0.02,100,0.13,0.03,14,0.02,0.06,326,0.44,0.03,301,0.4,0.02,110,0.15,0.03,8,0.01,0.03,297,0.4,0.03,316,0.42,0.02,121,0.16,0.03,11,0.02,0.03
