Variable,B2-A-Mucho-Recuento,B2-A-Mucho-% del N de fila,B2-A-Mucho-% de N columnas,B2-A-Regular-Recuento,B2-A-Regular-% del N de fila,B2-A-Regular-% de N columnas,B2-A-Poco-Recuento,B2-A-Poco-% del N de fila,B2-A-Poco-% de N columnas,B2-A-Nada-Recuento,B2-A-Nada-% del N de fila,B2-A-Nada-% de N columnas,B2-B-Mucho-Recuento,B2-B-Mucho-% del N de fila,B2-B-Mucho-% de N columnas,B2-B-Regular-Recuento,B2-B-Regular-% del N de fila,B2-B-Regular-% de N columnas,B2-B-Poco-Recuento,B2-B-Poco-% del N de fila,B2-B-Poco-% de N columnas,B2-B-Nada-Recuento,B2-B-Nada-% del N de fila,B2-B-Nada-% de N columnas,B2-C-Mucho-Recuento,B2-C-Mucho-% del N de fila,B2-C-Mucho-% de N columnas,B2-C-Regular-Recuento,B2-C-Regular-% del N de fila,B2-C-Regular-% de N columnas,B2-C-Poco-Recuento,B2-C-Poco-% del N de fila,B2-C-Poco-% de N columnas,B2-C-Nada-Recuento,B2-C-Nada-% del N de fila,B2-C-Nada-% de N columnas,B2-D-Mucho-Recuento,B2-D-Mucho-% del N de fila,B2-D-Mucho-% de N columnas,B2-D-Regular-Recuento,B2-D-Regular-% del N de fila,B2-D-Regular-% de N columnas,B2-D-Poco-Recuento,B2-D-Poco-% del N de fila,B2-D-Poco-% de N columnas,B2-D-Nada-Recuento,B2-D-Nada-% del N de fila,B2-D-Nada-% de N columnas,B2-E-Mucho-Recuento,B2-E-Mucho-% del N de fila,B2-E-Mucho-% de N columnas,B2-E-Mucho-Recuento,B2-E-Mucho-% del N de fila,B2-E-Mucho-% de N columnas,B2-E-Poco-Recuento,B2-E-Poco-% del N de fila,B2-E-Poco-% de N columnas,B2-E-Nada-Recuento,B2-E-Nada-% del N de fila,B2-E-Nada-% de N columnas,B2-F-Mucho-Recuento,B2-F-Mucho-% del N de fila,B2-F-Mucho-% de N columnas,B2-F-Regular-Recuento,B2-F-Regular-% del N de fila,B2-F-Regular-% de N columnas,B2-F-Poco-Recuento,B2-F-Poco-% del N de fila,B2-F-Poco-% de N columnas,B2-F-Nada-Recuento,B2-F-Nada-% del N de fila,B2-F-Nada-% de N columnas
Menor o igual a 10,2474,0.59,0.4,1622,0.38,0.34,116,0.03,0.31,17,0,0.5,2492,0.59,0.39,1612,0.38,0.35,115,0.03,0.31,10,0,0.26,2260,0.53,0.39,1804,0.43,0.35,158,0.04,0.35,7,0,0.33,2006,0.47,0.38,2022,0.48,0.36,187,0.04,0.34,14,0,0.38,2093,0.5,0.39,1947,0.46,0.36,180,0.04,0.31,8,0,0.38,1823,0.43,0.38,2137,0.51,0.37,255,0.06,0.33,14,0,0.39
11 a 20,2010,0.52,0.32,1699,0.44,0.35,146,0.04,0.39,5,0,0.15,2089,0.54,0.33,1616,0.42,0.35,144,0.04,0.39,11,0,0.29,1919,0.5,0.33,1756,0.46,0.35,178,0.05,0.39,7,0,0.33,1698,0.44,0.32,1931,0.5,0.35,217,0.06,0.39,14,0,0.38,1697,0.44,0.32,1941,0.5,0.36,215,0.06,0.37,7,0,0.33,1501,0.39,0.31,2039,0.53,0.35,309,0.08,0.39,10,0,0.28
21 a 30,1725,0.52,0.28,1497,0.45,0.31,114,0.03,0.3,12,0,0.35,1789,0.53,0.28,1431,0.43,0.31,111,0.03,0.3,17,0.01,0.45,1685,0.5,0.29,1535,0.46,0.3,121,0.04,0.27,7,0,0.33,1584,0.47,0.3,1604,0.48,0.29,151,0.05,0.27,9,0,0.24,1580,0.47,0.29,1581,0.47,0.29,181,0.05,0.31,6,0,0.29,1493,0.45,0.31,1623,0.49,0.28,220,0.07,0.28,12,0,0.33
31 a 40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41 a 50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mayor o igual a 51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Definitivo o base,5781,0.54,0.93,4525,0.42,0.94,348,0.03,0.93,28,0,0.82,5931,0.56,0.93,4374,0.41,0.94,343,0.03,0.93,34,0,0.9,5446,0.51,0.93,4802,0.45,0.94,418,0.04,0.92,16,0,0.76,4892,0.46,0.93,5245,0.49,0.94,512,0.05,0.92,33,0,0.89,4964,0.47,0.92,5155,0.48,0.94,546,0.05,0.95,16,0,0.76,4472,0.42,0.93,5434,0.51,0.94,745,0.07,0.95,30,0,0.83
Interino,219,0.59,0.04,144,0.39,0.03,10,0.03,0.03,1,0,0.03,226,0.6,0.04,138,0.37,0.03,9,0.02,0.02,1,0,0.03,222,0.59,0.04,137,0.37,0.03,13,0.04,0.03,2,0.01,0.1,195,0.52,0.04,162,0.43,0.03,15,0.04,0.03,2,0.01,0.05,211,0.56,0.04,149,0.4,0.03,12,0.03,0.02,2,0.01,0.1,173,0.46,0.04,185,0.5,0.03,13,0.04,0.02,3,0.01,0.08
Tiempo fijo (temporal por un tiempo determinado),145,0.55,0.02,102,0.39,0.02,13,0.05,0.04,2,0.01,0.06,147,0.56,0.02,102,0.39,0.02,12,0.05,0.03,1,0,0.03,139,0.53,0.02,103,0.39,0.02,20,0.08,0.04,0,0,0,137,0.52,0.03,106,0.41,0.02,19,0.07,0.03,0,0,0,134,0.51,0.03,116,0.44,0.02,11,0.04,0.02,1,0,0.05,121,0.46,0.03,124,0.47,0.02,17,0.07,0.02,0,0,0
No tengo nombramiento,7,0.58,0,4,0.33,0,0,0,0,1,0.08,0.03,5,0.42,0,6,0.5,0,0,0,0,1,0.08,0.03,4,0.33,0,6,0.5,0,1,0.08,0,1,0.08,0.05,4,0.33,0,5,0.42,0,2,0.17,0,1,0.08,0.03,2,0.17,0,8,0.67,0,1,0.08,0,1,0.08,0.05,3,0.25,0,6,0.5,0,2,0.17,0,1,0.08,0.03
Otro,57,0.53,0.01,43,0.4,0.01,5,0.05,0.01,2,0.02,0.06,61,0.57,0.01,39,0.36,0.01,6,0.06,0.02,1,0.01,0.03,53,0.5,0.01,47,0.44,0.01,5,0.05,0.01,2,0.02,0.1,60,0.56,0.01,39,0.36,0.01,7,0.07,0.01,1,0.01,0.03,59,0.55,0.01,41,0.38,0.01,6,0.06,0.01,1,0.01,0.05,48,0.45,0.01,50,0.47,0.01,7,0.07,0.01,2,0.02,0.06
Unitaria,246,0.56,0.04,180,0.41,0.04,12,0.03,0.03,2,0.01,0.06,239,0.54,0.04,186,0.42,0.04,11,0.03,0.03,4,0.01,0.11,228,0.52,0.04,192,0.44,0.04,17,0.04,0.04,3,0.01,0.14,208,0.47,0.04,210,0.48,0.04,19,0.04,0.03,3,0.01,0.08,222,0.51,0.04,194,0.44,0.04,23,0.05,0.04,1,0,0.05,194,0.44,0.04,216,0.49,0.04,28,0.06,0.04,2,0.01,0.06
Multigrado,266,0.55,0.04,201,0.41,0.04,18,0.04,0.05,2,0,0.06,275,0.57,0.04,193,0.4,0.04,16,0.03,0.04,3,0.01,0.08,270,0.55,0.05,196,0.4,0.04,20,0.04,0.04,1,0,0.05,236,0.49,0.05,222,0.46,0.04,27,0.06,0.05,2,0,0.05,248,0.51,0.05,210,0.43,0.04,29,0.06,0.05,0,0,0,216,0.44,0.05,238,0.49,0.04,32,0.07,0.04,1,0,0.03
Organización completa,5697,0.54,0.92,4437,0.42,0.92,346,0.03,0.92,30,0,0.88,5856,0.56,0.92,4280,0.41,0.92,343,0.03,0.93,31,0,0.82,5366,0.51,0.92,4707,0.45,0.92,420,0.04,0.92,17,0,0.81,4844,0.46,0.92,5125,0.49,0.92,509,0.05,0.92,32,0,0.87,4900,0.47,0.91,5065,0.48,0.93,524,0.05,0.91,20,0,0.95,4407,0.42,0.92,5345,0.51,0.92,724,0.07,0.92,33,0,0.92
Total,6209,0.54,1,4818,0.42,1,376,0.03,1,34,0,1,6370,0.56,1,4659,0.41,1,370,0.03,1,38,0,1,5864,0.51,1,5095,0.45,1,457,0.04,1,21,0,1,5288,0.46,1,5557,0.49,1,555,0.05,1,37,0,1,5370,0.47,1,5469,0.48,1,576,0.05,1,21,0,1,4817,0.42,1,5799,0.51,1,784,0.07,1,36,0,1
