Variable,B4-A-Muy pertinente-Recuento,B4-A-Muy pertinente-% del N de fila,B4-A-Muy pertinente-% de N columnas,B4-A-Pertinente-Recuento,B4-A-Pertinente-% del N de fila,B4-A-Pertinente-% de N columnas,B4-A-Poco pertinente-Recuento,B4-A-Poco pertinente-% del N de fila,B4-A-Poco pertinente-% de N columnas,B4-A-Nada pertinente-Recuento,B4-A-Nada pertinente-% del N de fila,B4-A-Nada pertinente-% de N columnas,B4-B-Muy pertinente-Recuento,B4-B-Muy pertinente-% del N de fila,B4-B-Muy pertinente-% de N columnas,B4-B-Pertinente-Recuento,B4-B-Pertinente-% del N de fila,B4-B-Pertinente-% de N columnas,B4-B-Poco pertinente-Recuento,B4-B-Poco pertinente-% del N de fila,B4-B-Poco pertinente-% de N columnas,B4-B-Nada pertinente-Recuento,B4-B-Nada pertinente-% del N de fila,B4-B-Nada pertinente-% de N columnas,B4-C-Muy pertinente-Recuento,B4-C-Muy pertinente-% del N de fila,B4-C-Muy pertinente-% de N columnas,B4-C-Pertinente-Recuento,B4-C-Pertinente-% del N de fila,B4-C-Pertinente-% de N columnas,B4-C-Poco pertinente-Recuento,B4-C-Poco pertinente-% del N de fila,B4-C-Poco pertinente-% de N columnas,B4-C-Nada pertinente-Recuento,B4-C-Nada pertinente-% del N de fila,B4-C-Nada pertinente-% de N columnas,B4-D-Muy pertinente-Recuento,B4-D-Muy pertinente-% del N de fila,B4-D-Muy pertinente-% de N columnas,B4-D-Pertinente-Recuento,B4-D-Pertinente-% del N de fila,B4-D-Pertinente-% de N columnas,B4-D-Poco pertinente-Recuento,B4-D-Poco pertinente-% del N de fila,B4-D-Poco pertinente-% de N columnas,B4-D-Nada pertinente-Recuento,B4-D-Nada pertinente-% del N de fila,B4-D-Nada pertinente-% de N columnas,B4-E-Muy pertinente-Recuento,B4-E-Muy pertinente-% del N de fila,B4-E-Muy pertinente-% de N columnas,B4-E-Pertinente-Recuento,B4-E-Pertinente-% del N de fila,B4-E-Pertinente-% de N columnas,B4-E-Poco pertinente-Recuento,B4-E-Poco pertinente-% del N de fila,B4-E-Poco pertinente-% de N columnas,B4-E-Nada pertinente-Recuento,B4-E-Nada pertinente-% del N de fila,B4-E-Nada pertinente-% de N columnas,B4-F-Muy pertinente-Recuento,B4-F-Muy pertinente-% del N de fila,B4-F-Muy pertinente-% de N columnas,B4-F-Pertinente-Recuento,B4-F-Pertinente-% del N de fila,B4-F-Pertinente-% de N columnas,B4-F-Poco pertinente-Recuento,B4-F-Poco pertinente-% del N de fila,B4-F-Poco pertinente-% de N columnas,B4-F-Nada pertinente-Recuento,B4-F-Nada pertinente-% del N de fila,B4-F-Nada pertinente-% de N columnas,B4-G-Muy pertinente-Recuento,B4-G-Muy pertinente-% del N de fila,B4-G-Muy pertinente-% de N columnas,B4-G-Pertinente-Recuento,B4-G-Pertinente-% del N de fila,B4-G-Pertinente-% de N columnas,B4-G-Poco pertinente-Recuento,B4-G-Poco pertinente-% del N de fila,B4-G-Poco pertinente-% de N columnas,B4-G-Nada pertinente-Recuento,B4-G-Nada pertinente-% del N de fila,B4-G-Nada pertinente-% de N columnas
51 a 60 años,2090,0.363,0.203,3355,0.583,0.196,295,0.051,0.156,18,0.003,0.101,1998,0.347,0.208,3394,0.589,0.194,341,0.059,0.158,25,0.004,0.14,1655,0.287,0.201,3586,0.623,0.194,491,0.085,0.186,26,0.005,0.139,1404,0.244,0.208,3754,0.652,0.195,574,0.1,0.176,26,0.005,0.104,1235,0.214,0.202,3607,0.626,0.202,855,0.148,0.171,61,0.011,0.113,1336,0.232,0.209,3630,0.63,0.198,739,0.128,0.171,53,0.009,0.11,1353,0.235,0.211,3523,0.612,0.197,813,0.141,0.174,69,0.012,0.131
61 a 70 años,376,0.4,0.037,519,0.552,0.03,42,0.045,0.022,4,0.004,0.022,361,0.384,0.038,528,0.562,0.03,47,0.05,0.022,4,0.004,0.022,302,0.321,0.037,588,0.625,0.032,48,0.051,0.018,3,0.003,0.016,265,0.282,0.039,597,0.634,0.031,75,0.08,0.023,4,0.004,0.016,258,0.274,0.042,570,0.606,0.032,104,0.111,0.021,9,0.01,0.017,257,0.273,0.04,584,0.621,0.032,87,0.092,0.02,13,0.014,0.027,274,0.291,0.043,561,0.596,0.031,92,0.098,0.02,14,0.015,0.027
71 a 80 años,17,0.34,0.002,28,0.56,0.002,5,0.1,0.003,0,0,0,17,0.34,0.002,28,0.56,0.002,4,0.08,0.002,1,0.02,0.006,15,0.3,0.002,27,0.54,0.001,8,0.16,0.003,0,0,0,11,0.22,0.002,32,0.64,0.002,6,0.12,0.002,1,0.02,0.004,12,0.24,0.002,32,0.64,0.002,5,0.1,0.001,1,0.02,0.002,15,0.3,0.002,28,0.56,0.002,6,0.12,0.001,1,0.02,0.002,17,0.34,0.003,24,0.48,0.001,9,0.18,0.002,0,0,0
81 a 90 años,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91 a 99 años,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Preparatoria, bachillerato o carrera técnica",192,0.277,0.019,459,0.662,0.027,40,0.058,0.021,2,0.003,0.011,188,0.271,0.02,457,0.659,0.026,44,0.063,0.02,4,0.006,0.022,148,0.214,0.018,481,0.694,0.026,62,0.089,0.024,2,0.003,0.011,122,0.176,0.018,500,0.722,0.026,66,0.095,0.02,5,0.007,0.02,124,0.179,0.02,469,0.677,0.026,96,0.139,0.019,4,0.006,0.007,127,0.183,0.02,481,0.694,0.026,81,0.117,0.019,4,0.006,0.008,135,0.195,0.021,470,0.678,0.026,83,0.12,0.018,5,0.007,0.01
Normal básica sin licenciatura,49,0.32,0.005,94,0.614,0.005,10,0.065,0.005,0,0,0,46,0.301,0.005,95,0.621,0.005,11,0.072,0.005,1,0.007,0.006,45,0.294,0.005,95,0.621,0.005,13,0.085,0.005,0,0,0,36,0.235,0.005,101,0.66,0.005,15,0.098,0.005,1,0.007,0.004,38,0.248,0.006,92,0.601,0.005,22,0.144,0.004,1,0.007,0.002,40,0.261,0.006,90,0.588,0.005,20,0.131,0.005,3,0.02,0.006,38,0.248,0.006,91,0.595,0.005,20,0.131,0.004,4,0.026,0.008
Normal superior,1463,0.338,0.142,2600,0.6,0.152,246,0.057,0.13,21,0.005,0.117,1361,0.314,0.141,2664,0.615,0.152,280,0.065,0.13,25,0.006,0.14,1121,0.259,0.136,2854,0.659,0.155,335,0.077,0.127,20,0.005,0.107,925,0.214,0.137,2934,0.678,0.153,439,0.101,0.134,32,0.007,0.128,848,0.196,0.139,2716,0.627,0.152,710,0.164,0.142,56,0.013,0.104,873,0.202,0.137,2806,0.648,0.153,596,0.138,0.138,55,0.013,0.114,883,0.204,0.138,2749,0.635,0.154,637,0.147,0.137,61,0.014,0.116
Normal Intercultural Bilingüe,4,0.267,0,11,0.733,0.001,0,0,0,0,0,0,4,0.267,0,9,0.6,0.001,2,0.133,0.001,0,0,0,4,0.267,0,7,0.467,0,4,0.267,0.002,0,0,0,4,0.267,0.001,9,0.6,0,2,0.133,0.001,0,0,0,2,0.133,0,10,0.667,0.001,3,0.2,0.001,0,0,0,2,0.133,0,9,0.6,0,4,0.267,0.001,0,0,0,2,0.133,0,9,0.6,0.001,3,0.2,0.001,1,0.067,0.002
Licenciatura,5428,0.338,0.528,9486,0.591,0.553,1031,0.064,0.546,93,0.006,0.52,5074,0.316,0.527,9712,0.606,0.554,1167,0.073,0.54,82,0.005,0.458,4296,0.268,0.523,10169,0.634,0.551,1467,0.091,0.557,104,0.006,0.556,3514,0.219,0.52,10616,0.662,0.552,1791,0.112,0.549,116,0.007,0.464,3183,0.198,0.521,9837,0.613,0.551,2741,0.171,0.547,276,0.017,0.512,3367,0.21,0.528,10109,0.63,0.552,2312,0.144,0.535,248,0.015,0.515,3382,0.211,0.527,9823,0.613,0.549,2548,0.159,0.546,282,0.018,0.536
Especialidad,250,0.336,0.024,434,0.584,0.025,52,0.07,0.028,7,0.009,0.039,250,0.336,0.026,437,0.588,0.025,47,0.063,0.022,9,0.012,0.05,222,0.299,0.027,441,0.594,0.024,72,0.097,0.027,8,0.011,0.043,175,0.236,0.026,468,0.63,0.024,91,0.122,0.028,9,0.012,0.036,174,0.234,0.029,419,0.564,0.023,127,0.171,0.025,23,0.031,0.043,173,0.233,0.027,451,0.607,0.025,102,0.137,0.024,17,0.023,0.035,179,0.241,0.028,429,0.577,0.024,120,0.162,0.026,15,0.02,0.029
Maestría,2577,0.381,0.251,3675,0.544,0.214,456,0.068,0.241,47,0.007,0.263,2390,0.354,0.248,3766,0.558,0.215,550,0.081,0.254,49,0.007,0.274,2115,0.313,0.257,3989,0.591,0.216,604,0.089,0.229,47,0.007,0.251,1778,0.263,0.263,4128,0.611,0.215,774,0.115,0.237,75,0.011,0.3,1551,0.23,0.254,3860,0.571,0.216,1183,0.175,0.236,161,0.024,0.299,1608,0.238,0.252,3928,0.581,0.214,1079,0.16,0.25,140,0.021,0.29,1609,0.238,0.251,3868,0.573,0.216,1134,0.168,0.243,143,0.021,0.272
Doctorado,294,0.395,0.029,388,0.522,0.023,53,0.071,0.028,9,0.012,0.05,293,0.394,0.03,383,0.515,0.022,59,0.079,0.027,9,0.012,0.05,248,0.333,0.03,412,0.554,0.022,78,0.105,0.03,6,0.008,0.032,198,0.266,0.029,449,0.603,0.023,86,0.116,0.026,11,0.015,0.044,172,0.231,0.028,430,0.578,0.024,125,0.168,0.025,17,0.023,0.032,179,0.241,0.028,428,0.575,0.023,123,0.165,0.028,14,0.019,0.029,183,0.246,0.029,432,0.581,0.024,115,0.155,0.025,14,0.019,0.027
Posdoctorado,18,0.643,0.002,8,0.286,0,2,0.071,0.001,0,0,0,17,0.607,0.002,9,0.321,0.001,2,0.071,0.001,0,0,0,18,0.643,0.002,9,0.321,0,1,0.036,0,0,0,0,11,0.393,0.002,16,0.571,0.001,0,0,0,1,0.036,0.004,12,0.429,0.002,12,0.429,0.001,3,0.107,0.001,1,0.036,0.002,12,0.429,0.002,13,0.464,0.001,2,0.071,0,1,0.036,0.002,10,0.357,0.002,14,0.5,0.001,3,0.107,0.001,1,0.036,0.002
Menor o igual a 10,3477,0.371,0.338,5248,0.56,0.306,588,0.063,0.311,60,0.006,0.335,3196,0.341,0.332,5415,0.578,0.309,702,0.075,0.325,59,0.006,0.33,2821,0.301,0.343,5643,0.602,0.306,839,0.09,0.318,70,0.007,0.374,2290,0.244,0.339,5899,0.629,0.307,1093,0.117,0.335,91,0.01,0.364,2099,0.224,0.344,5449,0.581,0.305,1631,0.174,0.326,194,0.021,0.36,2180,0.233,0.342,5564,0.594,0.304,1450,0.155,0.336,179,0.019,0.371,2208,0.236,0.344,5490,0.586,0.307,1495,0.16,0.321,180,0.019,0.342
11 a 20,3722,0.329,0.362,6712,0.593,0.391,819,0.072,0.433,70,0.006,0.391,3512,0.31,0.365,6849,0.605,0.391,892,0.079,0.413,70,0.006,0.391,2924,0.258,0.356,7277,0.643,0.394,1050,0.093,0.398,71,0.006,0.38,2406,0.212,0.356,7512,0.663,0.391,1296,0.114,0.397,109,0.01,0.436,2155,0.19,0.353,6874,0.607,0.385,2055,0.181,0.41,239,0.021,0.443,2253,0.199,0.353,7130,0.63,0.389,1740,0.154,0.403,199,0.018,0.413,2245,0.198,0.35,6941,0.613,0.388,1912,0.169,0.41,223,0.02,0.424
21 a 30,3076,0.349,0.299,5195,0.59,0.303,483,0.055,0.256,49,0.006,0.274,2915,0.331,0.303,5268,0.599,0.3,568,0.065,0.263,50,0.006,0.279,2472,0.281,0.301,5537,0.629,0.3,747,0.085,0.283,46,0.005,0.246,2067,0.235,0.306,5810,0.66,0.302,875,0.099,0.268,50,0.006,0.2,1850,0.21,0.303,5522,0.627,0.309,1324,0.15,0.264,106,0.012,0.197,1948,0.221,0.305,5621,0.639,0.307,1129,0.128,0.261,104,0.012,0.216,1968,0.224,0.306,5454,0.62,0.305,1256,0.143,0.269,123,0.014,0.234
31 a 40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41 a 50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mayor o igual a 51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Definitivo o base,9528,0.344,0.927,16182,0.585,0.943,1787,0.065,0.946,172,0.006,0.961,8885,0.321,0.923,16569,0.599,0.945,2043,0.074,0.945,169,0.006,0.944,7582,0.274,0.923,17419,0.63,0.944,2488,0.09,0.944,178,0.006,0.952,6223,0.225,0.92,18132,0.655,0.943,3079,0.111,0.943,234,0.008,0.936,5603,0.203,0.918,16793,0.607,0.941,4761,0.172,0.95,511,0.018,0.948,5839,0.211,0.915,17265,0.624,0.943,4104,0.148,0.95,459,0.017,0.952,5880,0.213,0.916,16835,0.609,0.941,4451,0.161,0.955,499,0.018,0.949
Interino,436,0.427,0.042,533,0.522,0.031,50,0.049,0.026,3,0.003,0.017,444,0.434,0.046,519,0.508,0.03,56,0.055,0.026,3,0.003,0.017,374,0.366,0.046,573,0.561,0.031,72,0.07,0.027,3,0.003,0.016,323,0.316,0.048,602,0.589,0.031,91,0.089,0.028,6,0.006,0.024,296,0.29,0.048,579,0.567,0.032,129,0.126,0.026,18,0.018,0.033,317,0.31,0.05,586,0.573,0.032,107,0.105,0.025,12,0.012,0.025,318,0.311,0.05,588,0.575,0.033,104,0.102,0.022,12,0.012,0.023
Tiempo fijo,191,0.419,0.019,238,0.522,0.014,25,0.055,0.013,2,0.004,0.011,185,0.406,0.019,241,0.529,0.014,25,0.055,0.012,5,0.011,0.028,161,0.353,0.02,255,0.559,0.014,37,0.081,0.014,3,0.007,0.016,131,0.287,0.019,265,0.581,0.014,55,0.121,0.017,5,0.011,0.02,128,0.281,0.021,266,0.583,0.015,58,0.127,0.012,4,0.009,0.007,141,0.309,0.022,253,0.555,0.014,56,0.123,0.013,6,0.013,0.012,136,0.298,0.021,256,0.561,0.014,57,0.125,0.012,7,0.015,0.013
No tengo nombramiento,14,0.28,0.001,34,0.68,0.002,2,0.04,0.001,0,0,0,13,0.26,0.001,29,0.58,0.002,8,0.16,0.004,0,0,0,12,0.24,0.001,35,0.7,0.002,3,0.06,0.001,0,0,0,10,0.2,0.001,34,0.68,0.002,6,0.12,0.002,0,0,0,7,0.14,0.001,32,0.64,0.002,11,0.22,0.002,0,0,0,7,0.14,0.001,36,0.72,0.002,7,0.14,0.002,0,0,0,7,0.14,0.001,33,0.66,0.002,7,0.14,0.002,3,0.06,0.006
Otro,106,0.353,0.01,166,0.553,0.01,26,0.087,0.014,2,0.007,0.011,96,0.32,0.01,172,0.573,0.01,30,0.1,0.014,2,0.007,0.011,88,0.293,0.011,173,0.577,0.009,36,0.12,0.014,3,0.01,0.016,76,0.253,0.011,186,0.62,0.01,33,0.11,0.01,5,0.017,0.02,70,0.233,0.011,173,0.577,0.01,51,0.17,0.01,6,0.02,0.011,77,0.257,0.012,174,0.58,0.01,44,0.147,0.01,5,0.017,0.01,79,0.263,0.012,173,0.577,0.01,43,0.143,0.009,5,0.017,0.01
GENERAL PÚBLICA,4821,0.338,0.469,8373,0.587,0.488,984,0.069,0.521,81,0.006,0.453,4498,0.315,0.467,8542,0.599,0.487,1125,0.079,0.52,92,0.006,0.514,3906,0.274,0.475,8932,0.626,0.484,1322,0.093,0.502,97,0.007,0.519,3184,0.223,0.471,9284,0.651,0.483,1663,0.117,0.509,127,0.009,0.508,2858,0.2,0.468,8604,0.603,0.482,2536,0.178,0.506,260,0.018,0.482,3016,0.212,0.473,8827,0.619,0.482,2182,0.153,0.505,232,0.016,0.481,3013,0.211,0.469,8617,0.604,0.482,2363,0.166,0.507,263,0.018,0.5
TÉCNICA,4270,0.346,0.416,7190,0.583,0.419,793,0.064,0.42,87,0.007,0.486,3973,0.322,0.413,7381,0.598,0.421,909,0.074,0.42,76,0.006,0.425,3357,0.272,0.409,7803,0.632,0.423,1103,0.089,0.418,77,0.006,0.412,2778,0.225,0.411,8111,0.657,0.422,1346,0.109,0.412,105,0.009,0.42,2534,0.205,0.415,7492,0.607,0.42,2086,0.169,0.416,228,0.018,0.423,2604,0.211,0.408,7725,0.626,0.422,1800,0.146,0.417,211,0.017,0.438,2619,0.212,0.408,7541,0.611,0.422,1963,0.159,0.421,216,0.018,0.411
TELESECUNDARIA,1184,0.408,0.115,1592,0.549,0.093,113,0.039,0.06,11,0.004,0.061,1152,0.397,0.12,1609,0.555,0.092,128,0.044,0.059,11,0.004,0.061,954,0.329,0.116,1722,0.594,0.093,211,0.073,0.08,13,0.004,0.07,801,0.276,0.118,1826,0.63,0.095,255,0.088,0.078,18,0.006,0.072,712,0.246,0.117,1749,0.603,0.098,388,0.134,0.077,51,0.018,0.095,761,0.262,0.119,1763,0.608,0.096,337,0.116,0.078,39,0.013,0.081,789,0.272,0.123,1727,0.596,0.097,337,0.116,0.072,47,0.016,0.089
Total,10275,0.348,1,17155,0.582,1,1890,0.064,1,179,0.006,1,9623,0.326,1,17532,0.594,1,2162,0.073,1,179,0.006,1,8217,0.279,1,18457,0.626,1,2636,0.089,1,187,0.006,1,6763,0.229,1,19221,0.652,1,3264,0.111,1,250,0.008,1,6104,0.207,1,17845,0.605,1,5010,0.17,1,539,0.018,1,6381,0.216,1,18315,0.621,1,4319,0.146,1,482,0.016,1,6421,0.218,1,17885,0.606,1,4663,0.158,1,526,0.018,1
