Variable,B5-A-Muy adecuado-Recuento,B5-A-Muy adecuado-% del N de fila,B5-A-Muy adecuado-% de N columnas,B5-A-Adecuado-Recuento,B5-A-Adecuado-% del N de fila,B5-A-Adecuado-% de N columnas,B5-A-Poco adecuado-Recuento,B5-A-Poco adecuado-% del N de fila,B5-A-Poco adecuado-% de N columnas,B5-A-Nada adecuado-Recuento,B5-A-Nada adecuado-% del N de fila,B5-A-Nada adecuado-% de N columnas,B5-B-Muy adecuado-Recuento,B5-B-Muy adecuado-% del N de fila,B5-B-Muy adecuado-% de N columnas,B5-B-Adecuado-Recuento,B5-B-Adecuado-% del N de fila,B5-B-Adecuado-% de N columnas,B5-B-Poco adecuado-Recuento,B5-B-Poco adecuado-% del N de fila,B5-B-Poco adecuado-% de N columnas,B5-B-Nada adecuado-Recuento,B5-B-Nada adecuado-% del N de fila,B5-B-Nada adecuado-% de N columnas,B5-C-Muy adecuado-Recuento,B5-C-Muy adecuado-% del N de fila,B5-C-Muy adecuado-% de N columnas,B5-C-Adecuado-Recuento,B5-C-Adecuado-% del N de fila,B5-C-Adecuado-% de N columnas,B5-C-Poco adecuado-Recuento,B5-C-Poco adecuado-% del N de fila,B5-C-Poco adecuado-% de N columnas,B5-C-Nada adecuado-Recuento,B5-C-Nada adecuado-% del N de fila,B5-C-Nada adecuado-% de N columnas,B5-D-Muy adecuado-Recuento,B5-D-Muy adecuado-% del N de fila,B5-D-Muy adecuado-% de N columnas,B5-D-Adecuado-Recuento,B5-D-Adecuado-% del N de fila,B5-D-Adecuado-% de N columnas,B5-D-Poco adecuado-Recuento,B5-D-Poco adecuado-% del N de fila,B5-D-Poco adecuado-% de N columnas,B5-D-Nada adecuado-Recuento,B5-D-Nada adecuado-% del N de fila,B5-D-Nada adecuado-% de N columnas,B5-E-Muy adecuado-Recuento,B5-E-Muy adecuado-% del N de fila,B5-E-Muy adecuado-% de N columnas,B5-E-Adecuado-Recuento,B5-E-Adecuado-% del N de fila,B5-E-Adecuado-% de N columnas,B5-E-Poco adecuado-Recuento,B5-E-Poco adecuado-% del N de fila,B5-E-Poco adecuado-% de N columnas,B5-E-Nada adecuado-Recuento,B5-E-Nada adecuado-% del N de fila,B5-E-Nada adecuado-% de N columnas,B5-F-Muy adecuado-Recuento,B5-F-Muy adecuado-% del N de fila,B5-F-Muy adecuado-% de N columnas,B5-F-Adecuado-Recuento,B5-F-Adecuado-% del N de fila,B5-F-Adecuado-% de N columnas,B5-F-Poco adecuado-Recuento,B5-F-Poco adecuado-% del N de fila,B5-F-Poco adecuado-% de N columnas,B5-F-Nada adecuado-Recuento,B5-F-Nada adecuado-% del N de fila,B5-F-Nada adecuado-% de N columnas,B5-G-Muy adecuado-Recuento,B5-G-Muy adecuado-% del N de fila,B5-G-Muy adecuado-% de N columnas,B5-G-Adecuado-Recuento,B5-G-Adecuado-% del N de fila,B5-G-Adecuado-% de N columnas,B5-G-Poco adecuado-Recuento,B5-G-Poco adecuado-% del N de fila,B5-G-Poco adecuado-% de N columnas,B5-G-Nada adecuado-Recuento,B5-G-Nada adecuado-% del N de fila,B5-G-Nada adecuado-% de N columnas,B5-H-Muy adecuado-Recuento,B5-H-Muy adecuado-% del N de fila,B5-H-Muy adecuado-% de N columnas,B5-H-Adecuado-Recuento,B5-H-Adecuado-% del N de fila,B5-H-Adecuado-% de N columnas,B5-H-Poco adecuado-Recuento,B5-H-Poco adecuado-% del N de fila,B5-H-Poco adecuado-% de N columnas,B5-H-Nada adecuado-Recuento,B5-H-Nada adecuado-% del N de fila,B5-H-Nada adecuado-% de N columnas
18 a 20 años,14,0.42,0.01,18,0.55,0.01,1,0.03,0,0,0,0,14,0.42,0.01,17,0.52,0.01,2,0.06,0.01,0,0,0,13,0.39,0.01,18,0.55,0.01,2,0.06,0,0,0,0,13,0.39,0.01,20,0.61,0.01,0,0,0,0,0,0,14,0.42,0.01,18,0.55,0.01,1,0.03,0,0,0,0,13,0.39,0.01,19,0.58,0.01,1,0.03,0,0,0,0,13,0.39,0.01,18,0.55,0.01,2,0.06,0.01,0,0,0,10,0.3,0.01,19,0.58,0.01,4,0.12,0.01,0,0,0
21 a 30 años,495,0.43,0.24,599,0.52,0.21,63,0.05,0.18,6,0.01,0.38,488,0.42,0.24,617,0.53,0.21,55,0.05,0.19,3,0,0.18,541,0.47,0.26,497,0.43,0.19,107,0.09,0.19,18,0.02,0.18,541,0.47,0.24,566,0.49,0.2,49,0.04,0.19,7,0.01,0.21,546,0.47,0.25,544,0.47,0.2,58,0.05,0.16,15,0.01,0.27,592,0.51,0.24,497,0.43,0.2,58,0.05,0.25,16,0.01,0.41,510,0.44,0.23,582,0.5,0.21,56,0.05,0.17,15,0.01,0.54,429,0.37,0.25,611,0.53,0.21,109,0.09,0.19,14,0.01,0.18
31 a 40 años,723,0.39,0.35,1033,0.55,0.35,108,0.06,0.32,6,0,0.38,730,0.39,0.36,1038,0.56,0.35,96,0.05,0.33,6,0,0.35,721,0.39,0.35,917,0.49,0.35,200,0.11,0.36,32,0.02,0.31,807,0.43,0.36,971,0.52,0.35,83,0.04,0.32,9,0.01,0.27,794,0.43,0.36,943,0.5,0.35,121,0.07,0.33,12,0.01,0.22,891,0.48,0.35,894,0.48,0.35,77,0.04,0.33,8,0,0.21,777,0.42,0.36,974,0.52,0.35,114,0.06,0.35,5,0,0.18,612,0.33,0.36,1040,0.56,0.35,197,0.11,0.34,21,0.01,0.27
41 a 50 años,571,0.36,0.28,885,0.56,0.3,117,0.07,0.34,2,0,0.13,515,0.33,0.26,953,0.61,0.32,101,0.06,0.35,6,0,0.35,548,0.35,0.26,813,0.52,0.31,175,0.11,0.32,39,0.03,0.38,610,0.39,0.27,859,0.55,0.31,95,0.06,0.36,11,0.01,0.33,584,0.37,0.26,834,0.53,0.31,139,0.09,0.38,18,0.01,0.33,694,0.44,0.28,799,0.51,0.31,72,0.05,0.31,10,0.01,0.26,591,0.38,0.27,869,0.55,0.31,110,0.07,0.33,5,0,0.18,451,0.29,0.26,905,0.58,0.31,191,0.12,0.33,28,0.02,0.36
51 a 60 años,255,0.38,0.12,362,0.54,0.12,50,0.08,0.15,2,0,0.13,262,0.39,0.13,367,0.55,0.12,38,0.06,0.13,2,0,0.12,249,0.37,0.12,342,0.51,0.13,66,0.1,0.12,12,0.02,0.12,281,0.42,0.12,349,0.52,0.13,34,0.05,0.13,5,0.01,0.15,262,0.39,0.12,355,0.53,0.13,43,0.06,0.12,9,0.01,0.16,317,0.47,0.13,323,0.48,0.13,24,0.04,0.1,5,0.01,0.13,278,0.42,0.13,343,0.51,0.12,45,0.07,0.14,3,0,0.11,211,0.32,0.12,368,0.55,0.12,76,0.11,0.13,14,0.02,0.18
61 a 70 años,6,0.23,0,17,0.65,0.01,3,0.12,0.01,0,0,0,10,0.39,0.01,16,0.62,0.01,0,0,0,0,0,0,7,0.27,0,14,0.54,0.01,4,0.15,0.01,1,0.04,0.01,9,0.35,0,15,0.58,0.01,1,0.04,0,1,0.04,0.03,8,0.31,0,14,0.54,0.01,3,0.12,0.01,1,0.04,0.02,9,0.35,0,17,0.65,0.01,0,0,0,0,0,0,8,0.31,0,16,0.62,0.01,2,0.08,0.01,0,0,0,6,0.23,0,17,0.65,0.01,2,0.08,0,1,0.04,0.01
71 a 80 años,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81 a 90 años,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91 a 99 años,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Preparatoria, bachillerato o carrera técnica",13,0.29,0.01,30,0.67,0.01,1,0.02,0,1,0.02,0.06,9,0.2,0,34,0.76,0.01,1,0.02,0,1,0.02,0.06,17,0.38,0.01,28,0.62,0.01,0,0,0,0,0,0,15,0.33,0.01,29,0.64,0.01,1,0.02,0,0,0,0,17,0.38,0.01,26,0.58,0.01,2,0.04,0.01,0,0,0,17,0.38,0.01,25,0.56,0.01,2,0.04,0.01,1,0.02,0.03,18,0.4,0.01,24,0.53,0.01,3,0.07,0.01,0,0,0,14,0.31,0.01,29,0.64,0.01,2,0.04,0,0,0,0
Normal básica sin licenciatura,47,0.34,0.02,76,0.55,0.03,16,0.12,0.05,0,0,0,47,0.34,0.02,85,0.61,0.03,7,0.05,0.02,0,0,0,43,0.31,0.02,80,0.58,0.03,13,0.09,0.02,3,0.02,0.03,50,0.36,0.02,79,0.57,0.03,8,0.06,0.03,2,0.01,0.06,42,0.3,0.02,86,0.62,0.03,8,0.06,0.02,3,0.02,0.06,53,0.38,0.02,82,0.59,0.03,4,0.03,0.02,0,0,0,45,0.32,0.02,84,0.6,0.03,10,0.07,0.03,0,0,0,32,0.23,0.02,93,0.67,0.03,12,0.09,0.02,2,0.01,0.03
Normal superior,29,0.4,0.01,37,0.51,0.01,6,0.08,0.02,0,0,0,28,0.39,0.01,38,0.53,0.01,5,0.07,0.02,1,0.01,0.06,28,0.39,0.01,37,0.51,0.01,5,0.07,0.01,2,0.03,0.02,32,0.44,0.01,37,0.51,0.01,3,0.04,0.01,0,0,0,30,0.42,0.01,36,0.5,0.01,6,0.08,0.02,0,0,0,36,0.5,0.01,33,0.46,0.01,2,0.03,0.01,1,0.01,0.03,26,0.36,0.01,39,0.54,0.01,6,0.08,0.02,1,0.01,0.04,24,0.33,0.01,39,0.54,0.01,9,0.13,0.02,0,0,0
Normal Intercultural Bilingüe,2,0.4,0,3,0.6,0,0,0,0,0,0,0,2,0.4,0,3,0.6,0,0,0,0,0,0,0,2,0.4,0,3,0.6,0,0,0,0,0,0,0,2,0.4,0,3,0.6,0,0,0,0,0,0,0,2,0.4,0,3,0.6,0,0,0,0,0,0,0,2,0.4,0,3,0.6,0,0,0,0,0,0,0,2,0.4,0,3,0.6,0,0,0,0,0,0,0,2,0.4,0,3,0.6,0,0,0,0,0,0,0
Licenciatura,1622,0.39,0.79,2304,0.55,0.79,255,0.06,0.75,13,0,0.81,1584,0.38,0.79,2389,0.57,0.79,208,0.05,0.71,13,0,0.77,1657,0.4,0.8,2026,0.48,0.78,438,0.1,0.79,73,0.02,0.72,1793,0.43,0.79,2176,0.52,0.78,200,0.05,0.76,25,0.01,0.76,1765,0.42,0.8,2113,0.5,0.78,276,0.07,0.76,40,0.01,0.73,1998,0.48,0.79,1996,0.48,0.78,174,0.04,0.75,26,0.01,0.67,1712,0.41,0.79,2218,0.53,0.79,241,0.06,0.73,23,0.01,0.82,1346,0.32,0.78,2339,0.56,0.79,446,0.11,0.77,63,0.02,0.81
Especialidad,5,0.23,0,14,0.64,0.01,3,0.14,0.01,0,0,0,6,0.27,0,15,0.68,0.01,1,0.05,0,0,0,0,7,0.32,0,13,0.59,0.01,2,0.09,0,0,0,0,8,0.36,0,13,0.59,0.01,1,0.05,0,0,0,0,7,0.32,0,12,0.55,0,3,0.14,0.01,0,0,0,7,0.32,0,11,0.5,0,4,0.18,0.02,0,0,0,7,0.32,0,12,0.55,0,3,0.14,0.01,0,0,0,6,0.27,0,13,0.59,0,3,0.14,0.01,0,0,0
Maestría,324,0.4,0.16,415,0.52,0.14,60,0.08,0.18,2,0,0.13,321,0.4,0.16,409,0.51,0.14,69,0.09,0.24,2,0,0.12,300,0.38,0.14,386,0.48,0.15,93,0.12,0.17,22,0.03,0.22,336,0.42,0.15,412,0.51,0.15,47,0.06,0.18,6,0.01,0.18,322,0.4,0.15,400,0.5,0.15,67,0.08,0.18,12,0.02,0.22,375,0.47,0.15,374,0.47,0.15,41,0.05,0.18,11,0.01,0.28,342,0.43,0.16,393,0.49,0.14,62,0.08,0.19,4,0.01,0.14,273,0.34,0.16,417,0.52,0.14,98,0.12,0.17,13,0.02,0.17
Doctorado,22,0.39,0.01,34,0.6,0.01,1,0.02,0,0,0,0,22,0.39,0.01,34,0.6,0.01,1,0.02,0,0,0,0,25,0.44,0.01,27,0.47,0.01,3,0.05,0.01,2,0.04,0.02,25,0.44,0.01,30,0.53,0.01,2,0.04,0.01,0,0,0,23,0.4,0.01,31,0.54,0.01,3,0.05,0.01,0,0,0,28,0.49,0.01,24,0.42,0.01,5,0.09,0.02,0,0,0,25,0.44,0.01,28,0.49,0.01,4,0.07,0.01,0,0,0,22,0.39,0.01,26,0.46,0.01,9,0.16,0.02,0,0,0
Posdoctorado,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Menor o igual a 10,761,0.41,0.37,996,0.54,0.34,97,0.05,0.28,7,0,0.44,767,0.41,0.38,996,0.54,0.33,93,0.05,0.32,5,0,0.29,833,0.45,0.4,829,0.45,0.32,170,0.09,0.31,29,0.02,0.28,852,0.46,0.38,914,0.49,0.33,85,0.05,0.32,10,0.01,0.3,869,0.47,0.39,866,0.47,0.32,105,0.06,0.29,21,0.01,0.38,935,0.5,0.37,816,0.44,0.32,90,0.05,0.39,20,0.01,0.51,820,0.44,0.38,932,0.5,0.33,92,0.05,0.28,17,0.01,0.61,669,0.36,0.39,1000,0.54,0.34,170,0.09,0.29,22,0.01,0.28
11 a 20,734,0.38,0.36,1080,0.55,0.37,130,0.07,0.38,6,0,0.38,722,0.37,0.36,1121,0.58,0.37,100,0.05,0.34,7,0,0.41,717,0.37,0.35,978,0.5,0.38,215,0.11,0.39,40,0.02,0.39,814,0.42,0.36,1040,0.53,0.37,85,0.04,0.32,11,0.01,0.33,767,0.39,0.35,1029,0.53,0.38,140,0.07,0.38,14,0.01,0.26,885,0.45,0.35,975,0.5,0.38,81,0.04,0.35,9,0.01,0.23,775,0.4,0.36,1043,0.54,0.37,125,0.06,0.38,7,0,0.25,602,0.31,0.35,1094,0.56,0.37,224,0.12,0.39,30,0.02,0.39
21 a 30,569,0.37,0.28,838,0.55,0.29,115,0.08,0.34,3,0,0.19,530,0.35,0.26,891,0.58,0.3,99,0.07,0.34,5,0,0.29,529,0.35,0.25,794,0.52,0.31,169,0.11,0.31,33,0.02,0.32,595,0.39,0.26,826,0.54,0.3,92,0.06,0.35,12,0.01,0.36,572,0.38,0.26,813,0.53,0.3,120,0.08,0.33,20,0.01,0.36,696,0.46,0.28,758,0.5,0.3,61,0.04,0.26,10,0.01,0.26,582,0.38,0.27,827,0.54,0.3,112,0.07,0.34,4,0,0.14,448,0.29,0.26,866,0.57,0.29,185,0.12,0.32,26,0.02,0.33
31 a 40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41 a 50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mayor o igual a 51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Definitivo o base,1902,0.38,0.92,2720,0.55,0.93,321,0.07,0.94,16,0,1,1865,0.38,0.92,2794,0.56,0.93,283,0.06,0.97,17,0,1,1901,0.38,0.91,2427,0.49,0.93,531,0.11,0.96,100,0.02,0.98,2075,0.42,0.92,2600,0.52,0.94,252,0.05,0.96,32,0.01,0.97,2018,0.41,0.91,2532,0.51,0.94,356,0.07,0.98,53,0.01,0.96,2313,0.47,0.92,2385,0.48,0.94,222,0.05,0.96,39,0.01,1,2006,0.41,0.92,2615,0.53,0.93,312,0.06,0.95,26,0.01,0.93,1579,0.32,0.92,2757,0.56,0.93,550,0.11,0.95,73,0.02,0.94
Interino,68,0.43,0.03,85,0.54,0.03,6,0.04,0.02,0,0,0,73,0.46,0.04,84,0.53,0.03,2,0.01,0.01,0,0,0,80,0.5,0.04,69,0.43,0.03,10,0.06,0.02,0,0,0,84,0.53,0.04,74,0.47,0.03,1,0.01,0,0,0,0,88,0.55,0.04,69,0.43,0.03,2,0.01,0.01,0,0,0,88,0.55,0.04,69,0.43,0.03,2,0.01,0.01,0,0,0,81,0.51,0.04,74,0.47,0.03,4,0.03,0.01,0,0,0,66,0.42,0.04,84,0.53,0.03,7,0.04,0.01,2,0.01,0.03
Tiempo fijo,49,0.52,0.02,39,0.42,0.01,6,0.06,0.02,0,0,0,40,0.43,0.02,51,0.54,0.02,3,0.03,0.01,0,0,0,43,0.46,0.02,45,0.48,0.02,6,0.06,0.01,0,0,0,47,0.5,0.02,43,0.46,0.02,4,0.04,0.02,0,0,0,48,0.51,0.02,43,0.46,0.02,3,0.03,0.01,0,0,0,53,0.56,0.02,38,0.4,0.02,3,0.03,0.01,0,0,0,39,0.42,0.02,50,0.53,0.02,4,0.04,0.01,1,0.01,0.04,33,0.35,0.02,50,0.53,0.02,9,0.1,0.02,2,0.02,0.03
No tengo nombramiento,13,0.41,0.01,18,0.56,0.01,1,0.03,0,0,0,0,13,0.41,0.01,18,0.56,0.01,1,0.03,0,0,0,0,17,0.53,0.01,14,0.44,0.01,1,0.03,0,0,0,0,18,0.56,0.01,13,0.41,0.01,1,0.03,0,0,0,0,17,0.53,0.01,15,0.47,0.01,0,0,0,0,0,0,15,0.47,0.01,17,0.53,0.01,0,0,0,0,0,0,15,0.47,0.01,17,0.53,0.01,0,0,0,0,0,0,14,0.44,0.01,16,0.5,0.01,2,0.06,0,0,0,0
Otro,32,0.35,0.02,52,0.57,0.02,8,0.09,0.02,0,0,0,28,0.3,0.01,61,0.66,0.02,3,0.03,0.01,0,0,0,38,0.41,0.02,46,0.5,0.02,6,0.07,0.01,2,0.02,0.02,37,0.4,0.02,50,0.54,0.02,4,0.04,0.02,1,0.01,0.03,37,0.4,0.02,49,0.53,0.02,4,0.04,0.01,2,0.02,0.04,47,0.51,0.02,40,0.44,0.02,5,0.05,0.02,0,0,0,36,0.39,0.02,46,0.5,0.02,9,0.1,0.03,1,0.01,0.04,27,0.29,0.02,53,0.58,0.02,11,0.12,0.02,1,0.01,0.01
GENERAL PÚBLICA,1950,0.39,0.95,2729,0.54,0.94,327,0.07,0.96,16,0,1,1903,0.38,0.94,2825,0.56,0.94,277,0.06,0.95,17,0,1,1958,0.39,0.94,2444,0.49,0.94,524,0.1,0.95,96,0.02,0.94,2133,0.43,0.94,2611,0.52,0.94,248,0.05,0.95,30,0.01,0.91,2078,0.41,0.94,2546,0.51,0.94,347,0.07,0.95,51,0.01,0.93,2365,0.47,0.94,2395,0.48,0.94,224,0.05,0.97,38,0.01,0.97,2054,0.41,0.94,2624,0.52,0.94,316,0.06,0.96,28,0.01,1,1609,0.32,0.94,2784,0.55,0.94,553,0.11,0.96,76,0.02,0.97
INDÍGENAS,114,0.36,0.06,185,0.59,0.06,15,0.05,0.04,0,0,0,116,0.37,0.06,183,0.58,0.06,15,0.05,0.05,0,0,0,121,0.39,0.06,157,0.5,0.06,30,0.1,0.05,6,0.02,0.06,128,0.41,0.06,169,0.54,0.06,14,0.05,0.05,3,0.01,0.09,130,0.41,0.06,162,0.52,0.06,18,0.06,0.05,4,0.01,0.07,151,0.48,0.06,154,0.49,0.06,8,0.03,0.03,1,0,0.03,123,0.39,0.06,178,0.57,0.06,13,0.04,0.04,0,0,0,110,0.35,0.06,176,0.56,0.06,26,0.08,0.05,2,0.01,0.03
Total,2064,0.39,1,2914,0.55,1,342,0.06,1,16,0,1,2019,0.38,1,3008,0.56,1,292,0.06,1,17,0,1,2079,0.39,1,2601,0.49,1,554,0.1,1,102,0.02,1,2261,0.42,1,2780,0.52,1,262,0.05,1,33,0.01,1,2208,0.41,1,2708,0.51,1,365,0.07,1,55,0.01,1,2516,0.47,1,2549,0.48,1,232,0.04,1,39,0.01,1,2177,0.41,1,2802,0.53,1,329,0.06,1,28,0.01,1,1719,0.32,1,2960,0.56,1,579,0.11,1,78,0.02,1
