Variable,B4-A-Siempre-Recuento,B4-A-Siempre-% del N de fila,B4-A-Siempre-% de N columnas,B4-A-Muchas veces-Recuento,B4-A-Muchas veces-% del N de fila,B4-A-Muchas veces-% de N columnas,B4-A-Pocas veces-Recuento,B4-A-Pocas veces-% del N de fila,B4-A-Pocas veces-% de N columnas,B4-A-Nunca-Recuento,B4-A-Nunca-% del N de fila,B4-A-Nunca-% de N columnas,B4-B-Siempre-Recuento,B4-B-Siempre-% del N de fila,B4-B-Siempre-% de N columnas,B4-B-Muchas veces-Recuento,B4-B-Muchas veces-% del N de fila,B4-B-Muchas veces-% de N columnas,B4-B-Pocas veces-Recuento,B4-B-Pocas veces-% del N de fila,B4-B-Pocas veces-% de N columnas,B4-B-Nunca-Recuento,B4-B-Nunca-% del N de fila,B4-B-Nunca-% de N columnas,B4-C-Siempre-Recuento,B4-C-Siempre-% del N de fila,B4-C-Siempre-% de N columnas,B4-C-Muchas veces-Recuento,B4-C-Muchas veces-% del N de fila,B4-C-Muchas veces-% de N columnas,B4-C-Pocas veces-Recuento,B4-C-Pocas veces-% del N de fila,B4-C-Pocas veces-% de N columnas,B4-C-Nunca-Recuento,B4-C-Nunca-% del N de fila,B4-C-Nunca-% de N columnas,B4-D-Siempre-Recuento,B4-D-Siempre-% del N de fila,B4-D-Siempre-% de N columnas,B4-D-Muchas veces-Recuento,B4-D-Muchas veces-% del N de fila,B4-D-Muchas veces-% de N columnas,B4-D-Pocas veces-Recuento,B4-D-Pocas veces-% del N de fila,B4-D-Pocas veces-% de N columnas,B4-D-Nunca-Recuento,B4-D-Nunca-% del N de fila,B4-D-Nunca-% de N columnas,B4-E-Siempre-Recuento,B4-E-Siempre-% del N de fila,B4-E-Siempre-% de N columnas,B4-E-Muchas veces-Recuento,B4-E-Muchas veces-% del N de fila,B4-E-Muchas veces-% de N columnas,B4-E-Pocas veces-Recuento,B4-E-Pocas veces-% del N de fila,B4-E-Pocas veces-% de N columnas,B4-E-Nunca-Recuento,B4-E-Nunca-% del N de fila,B4-E-Nunca-% de N columnas,B4-F-Siempre-Recuento,B4-F-Siempre-% del N de fila,B4-F-Siempre-% de N columnas,B4-F-Muchas veces-Recuento,B4-F-Muchas veces-% del N de fila,B4-F-Muchas veces-% de N columnas,B4-F-Pocas veces-Recuento,B4-F-Pocas veces-% del N de fila,B4-F-Pocas veces-% de N columnas,B4-F-Nunca-Recuento,B4-F-Nunca-% del N de fila,B4-F-Nunca-% de N columnas,B4-G-Siempre-Recuento,B4-G-Siempre-% del N de fila,B4-G-Siempre-% de N columnas,B4-G-Muchas veces-Recuento,B4-G-Muchas veces-% del N de fila,B4-G-Muchas veces-% de N columnas,B4-G-Pocas veces-Recuento,B4-G-Pocas veces-% del N de fila,B4-G-Pocas veces-% de N columnas,B4-G-Nunca-Recuento,B4-G-Nunca-% del N de fila,B4-G-Nunca-% de N columnas,B4-H-Siempre-Recuento,B4-H-Siempre-% del N de fila,B4-H-Siempre-% de N columnas,B4-H-Muchas veces-Recuento,B4-H-Muchas veces-% del N de fila,B4-H-Muchas veces-% de N columnas,B4-H-Pocas veces-Recuento,B4-H-Pocas veces-% del N de fila,B4-H-Pocas veces-% de N columnas,B4-H-Nunca-Recuento,B4-H-Nunca-% del N de fila,B4-H-Nunca-% de N columnas,B4-I-Siempre-Recuento,B4-I-Siempre-% del N de fila,B4-I-Siempre-% de N columnas,B4-I-Muchas veces-Recuento,B4-I-Muchas veces-% del N de fila,B4-I-Muchas veces-% de N columnas,B4-I-Pocas veces-Recuento,B4-I-Pocas veces-% del N de fila,B4-I-Pocas veces-% de N columnas,B4-I-Nunca-Recuento,B4-I-Nunca-% del N de fila,B4-I-Nunca-% de N columnas,B4-J-Siempre-Recuento,B4-J-Siempre-% del N de fila,B4-J-Siempre-% de N columnas,B4-J-Muchas veces-Recuento,B4-J-Muchas veces-% del N de fila,B4-J-Muchas veces-% de N columnas,B4-J-Pocas veces-Recuento,B4-J-Pocas veces-% del N de fila,B4-J-Pocas veces-% de N columnas,B4-J-Nunca-Recuento,B4-J-Nunca-% del N de fila,B4-J-Nunca-% de N columnas,B4-K-Siempre-Recuento,B4-K-Siempre-% del N de fila,B4-K-Siempre-% de N columnas,B4-K-Muchas veces-Recuento,B4-K-Muchas veces-% del N de fila,B4-K-Muchas veces-% de N columnas,B4-K-Pocas veces-Recuento,B4-K-Pocas veces-% del N de fila,B4-K-Pocas veces-% de N columnas,B4-K-Nunca-Recuento,B4-K-Nunca-% del N de fila,B4-K-Nunca-% de N columnas
SAN LUIS POTOSÍ,201,0.53,0.03,114,0.3,0.03,64,0.17,0.05,2,0.01,0.03,234,0.61,0.03,107,0.28,0.03,39,0.1,0.05,1,0,0.03,48,0.13,0.03,55,0.14,0.03,146,0.38,0.03,132,0.35,0.04,164,0.43,0.03,145,0.38,0.04,68,0.18,0.04,4,0.01,0.04,184,0.48,0.03,142,0.37,0.03,51,0.13,0.04,4,0.01,0.04,33,0.09,0.03,59,0.16,0.03,123,0.32,0.03,166,0.44,0.04,175,0.46,0.03,129,0.34,0.03,70,0.18,0.04,7,0.02,0.03,172,0.45,0.04,150,0.39,0.03,49,0.13,0.03,10,0.03,0.07,216,0.57,0.04,130,0.34,0.03,33,0.09,0.03,2,0.01,0.03,188,0.49,0.03,142,0.37,0.03,47,0.12,0.04,4,0.01,0.05,180,0.47,0.03,150,0.39,0.03,46,0.12,0.04,5,0.01,0.04
SINALOA,367,0.65,0.06,160,0.29,0.04,34,0.06,0.02,0,0,0,386,0.69,0.06,154,0.28,0.04,21,0.04,0.03,0,0,0,61,0.11,0.04,59,0.11,0.04,222,0.4,0.05,219,0.39,0.06,344,0.61,0.06,178,0.32,0.04,38,0.07,0.02,1,0,0.01,320,0.57,0.06,206,0.37,0.05,34,0.06,0.02,1,0,0.01,65,0.12,0.05,68,0.12,0.04,199,0.36,0.05,229,0.41,0.06,312,0.56,0.06,181,0.32,0.04,59,0.11,0.04,9,0.02,0.04,281,0.5,0.06,223,0.4,0.05,53,0.09,0.03,4,0.01,0.03,311,0.55,0.06,211,0.38,0.05,37,0.07,0.03,2,0,0.03,361,0.64,0.06,169,0.3,0.04,29,0.05,0.03,2,0,0.02,340,0.61,0.06,182,0.32,0.04,37,0.07,0.03,2,0,0.02
SONORA,216,0.66,0.03,96,0.29,0.03,16,0.05,0.01,0,0,0,226,0.69,0.03,91,0.28,0.02,11,0.03,0.01,0,0,0,34,0.1,0.02,36,0.11,0.02,129,0.39,0.03,129,0.39,0.04,192,0.59,0.04,116,0.35,0.03,19,0.06,0.01,1,0,0.01,186,0.57,0.03,117,0.36,0.03,24,0.07,0.02,1,0,0.01,35,0.11,0.03,42,0.13,0.02,130,0.4,0.03,121,0.37,0.03,173,0.53,0.03,125,0.38,0.03,26,0.08,0.02,4,0.01,0.02,161,0.49,0.03,139,0.42,0.03,24,0.07,0.02,4,0.01,0.03,179,0.55,0.03,130,0.4,0.03,18,0.06,0.02,1,0,0.01,202,0.62,0.04,111,0.34,0.03,15,0.05,0.01,0,0,0,191,0.58,0.03,119,0.36,0.03,17,0.05,0.01,1,0,0.01
TABASCO,211,0.54,0.03,127,0.32,0.04,48,0.12,0.03,7,0.02,0.1,239,0.61,0.04,121,0.31,0.03,31,0.08,0.04,2,0.01,0.06,60,0.15,0.04,53,0.14,0.03,152,0.39,0.03,128,0.33,0.04,219,0.56,0.04,128,0.33,0.03,43,0.11,0.03,3,0.01,0.03,211,0.54,0.04,127,0.32,0.03,48,0.12,0.03,7,0.02,0.07,48,0.12,0.04,54,0.14,0.03,156,0.4,0.04,135,0.34,0.03,189,0.48,0.04,137,0.35,0.03,56,0.14,0.03,11,0.03,0.05,194,0.49,0.04,143,0.36,0.03,54,0.14,0.03,2,0.01,0.01,214,0.55,0.04,137,0.35,0.03,39,0.1,0.04,3,0.01,0.04,219,0.56,0.04,125,0.32,0.03,45,0.12,0.04,4,0.01,0.05,201,0.51,0.04,142,0.36,0.03,44,0.11,0.03,6,0.02,0.05
TAMAULIPAS,258,0.6,0.04,125,0.29,0.04,50,0.12,0.04,0,0,0,285,0.66,0.04,126,0.29,0.03,21,0.05,0.03,1,0,0.03,59,0.14,0.04,49,0.11,0.03,185,0.43,0.04,140,0.32,0.04,232,0.54,0.04,153,0.35,0.04,47,0.11,0.03,1,0,0.01,217,0.5,0.04,173,0.4,0.04,39,0.09,0.03,4,0.01,0.04,50,0.12,0.04,53,0.12,0.03,167,0.39,0.04,163,0.38,0.04,214,0.49,0.04,161,0.37,0.04,50,0.12,0.03,8,0.02,0.04,192,0.44,0.04,181,0.42,0.04,57,0.13,0.04,3,0.01,0.02,218,0.5,0.04,184,0.43,0.04,29,0.07,0.03,2,0.01,0.03,245,0.57,0.04,157,0.36,0.04,29,0.07,0.03,2,0.01,0.02,237,0.55,0.04,159,0.37,0.04,31,0.07,0.02,6,0.01,0.05
TLAXCALA,163,0.49,0.03,120,0.36,0.03,46,0.14,0.03,3,0.01,0.05,174,0.52,0.03,133,0.4,0.04,23,0.07,0.03,2,0.01,0.06,45,0.14,0.03,67,0.2,0.04,160,0.48,0.03,60,0.18,0.02,124,0.37,0.02,133,0.4,0.03,68,0.21,0.04,7,0.02,0.06,129,0.39,0.02,157,0.47,0.04,43,0.13,0.03,3,0.01,0.03,25,0.08,0.02,63,0.19,0.04,149,0.45,0.03,95,0.29,0.02,111,0.33,0.02,159,0.48,0.04,49,0.15,0.03,13,0.04,0.06,116,0.35,0.02,162,0.49,0.03,49,0.15,0.03,5,0.02,0.04,144,0.43,0.03,149,0.45,0.03,34,0.1,0.03,5,0.02,0.07,139,0.42,0.02,147,0.44,0.03,43,0.13,0.04,3,0.01,0.04,129,0.39,0.02,150,0.45,0.03,47,0.14,0.04,6,0.02,0.05
VERACRUZ,66,0.52,0.01,39,0.31,0.01,20,0.16,0.01,1,0.01,0.02,82,0.65,0.01,35,0.28,0.01,9,0.07,0.01,0,0,0,16,0.13,0.01,17,0.14,0.01,51,0.41,0.01,42,0.33,0.01,61,0.48,0.01,46,0.37,0.01,18,0.14,0.01,1,0.01,0.01,62,0.49,0.01,45,0.36,0.01,18,0.14,0.01,1,0.01,0.01,18,0.14,0.01,9,0.07,0.01,43,0.34,0.01,56,0.44,0.01,64,0.51,0.01,41,0.33,0.01,18,0.14,0.01,3,0.02,0.01,63,0.5,0.01,44,0.35,0.01,19,0.15,0.01,0,0,0,69,0.55,0.01,44,0.35,0.01,13,0.1,0.01,0,0,0,68,0.54,0.01,45,0.36,0.01,13,0.1,0.01,0,0,0,64,0.51,0.01,48,0.38,0.01,13,0.1,0.01,1,0.01,0.01
YUCATÁN,150,0.57,0.02,72,0.27,0.02,36,0.14,0.03,5,0.02,0.08,159,0.61,0.02,82,0.31,0.02,20,0.08,0.03,2,0.01,0.06,43,0.16,0.03,37,0.14,0.02,106,0.4,0.02,77,0.29,0.02,144,0.55,0.03,82,0.31,0.02,32,0.12,0.02,5,0.02,0.05,142,0.54,0.03,88,0.34,0.02,28,0.11,0.02,5,0.02,0.05,38,0.14,0.03,41,0.16,0.02,91,0.35,0.02,93,0.35,0.02,115,0.44,0.02,114,0.43,0.03,30,0.11,0.02,4,0.02,0.02,123,0.47,0.03,96,0.37,0.02,37,0.14,0.02,7,0.03,0.05,131,0.5,0.02,102,0.39,0.02,29,0.11,0.03,1,0,0.01,149,0.57,0.03,95,0.36,0.02,18,0.07,0.02,1,0,0.01,142,0.54,0.03,97,0.37,0.02,21,0.08,0.02,3,0.01,0.02
ZACATECAS,368,0.5,0.06,263,0.36,0.07,105,0.14,0.08,4,0.01,0.06,410,0.55,0.06,269,0.36,0.07,59,0.08,0.08,2,0,0.06,107,0.15,0.07,121,0.16,0.07,336,0.45,0.07,176,0.24,0.05,321,0.43,0.06,287,0.39,0.07,122,0.17,0.07,10,0.01,0.09,329,0.45,0.06,294,0.4,0.07,112,0.15,0.08,5,0.01,0.05,88,0.12,0.07,137,0.19,0.08,303,0.41,0.07,212,0.29,0.05,294,0.4,0.06,295,0.4,0.07,135,0.18,0.08,16,0.02,0.07,258,0.35,0.05,335,0.45,0.07,133,0.18,0.08,14,0.02,0.1,308,0.42,0.06,344,0.47,0.07,77,0.1,0.07,11,0.02,0.16,316,0.43,0.05,317,0.43,0.07,99,0.13,0.09,8,0.01,0.1,309,0.42,0.06,315,0.43,0.07,103,0.14,0.08,13,0.02,0.11
Hombre,1985,0.58,0.31,1110,0.32,0.31,338,0.1,0.24,16,0.01,0.24,2101,0.61,0.31,1129,0.33,0.3,210,0.06,0.27,9,0,0.25,516,0.15,0.34,497,0.14,0.3,1381,0.4,0.29,1055,0.31,0.31,1579,0.46,0.29,1367,0.4,0.33,472,0.14,0.27,31,0.01,0.28,1646,0.48,0.3,1422,0.41,0.31,360,0.1,0.26,21,0.01,0.2,423,0.12,0.34,550,0.16,0.31,1271,0.37,0.29,1205,0.35,0.3,1595,0.46,0.31,1350,0.39,0.31,450,0.13,0.26,54,0.02,0.25,1558,0.45,0.32,1444,0.42,0.3,412,0.12,0.25,35,0.01,0.24,1649,0.48,0.3,1486,0.43,0.31,294,0.09,0.27,20,0.01,0.28,1805,0.52,0.31,1337,0.39,0.31,287,0.08,0.25,20,0.01,0.24,1718,0.5,0.31,1389,0.4,0.31,319,0.09,0.24,23,0.01,0.19
Mujer,4384,0.55,0.69,2500,0.31,0.69,1065,0.13,0.76,51,0.01,0.76,4775,0.6,0.69,2631,0.33,0.7,567,0.07,0.73,27,0,0.75,1012,0.13,0.66,1174,0.15,0.7,3434,0.43,0.71,2380,0.3,0.69,3843,0.48,0.71,2830,0.35,0.67,1249,0.16,0.73,78,0.01,0.72,3764,0.47,0.7,3105,0.39,0.69,1048,0.13,0.74,83,0.01,0.8,831,0.1,0.66,1248,0.16,0.69,3093,0.39,0.71,2828,0.35,0.7,3539,0.44,0.69,3043,0.38,0.69,1254,0.16,0.74,164,0.02,0.75,3285,0.41,0.68,3366,0.42,0.7,1240,0.16,0.75,109,0.01,0.76,3896,0.49,0.7,3239,0.41,0.69,814,0.1,0.74,51,0.01,0.72,4043,0.51,0.69,3038,0.38,0.69,856,0.11,0.75,63,0.01,0.76,3876,0.48,0.69,3034,0.38,0.69,990,0.12,0.76,100,0.01,0.81
18 a 20 años,43,0.52,0.01,27,0.33,0.01,12,0.15,0.01,1,0.01,0.02,49,0.59,0.01,27,0.33,0.01,6,0.07,0.01,1,0.01,0.03,9,0.11,0.01,15,0.18,0.01,35,0.42,0.01,24,0.29,0.01,42,0.51,0.01,27,0.33,0.01,14,0.17,0.01,0,0,0,43,0.52,0.01,26,0.31,0.01,14,0.17,0.01,0,0,0,11,0.13,0.01,12,0.15,0.01,31,0.37,0.01,29,0.35,0.01,43,0.52,0.01,24,0.29,0.01,16,0.19,0.01,0,0,0,42,0.51,0.01,31,0.37,0.01,9,0.11,0.01,1,0.01,0.01,44,0.53,0.01,32,0.39,0.01,7,0.08,0.01,0,0,0,49,0.59,0.01,28,0.34,0.01,6,0.07,0.01,0,0,0,44,0.53,0.01,26,0.31,0.01,13,0.16,0.01,0,0,0
21 a 30 años,1304,0.55,0.21,767,0.32,0.21,303,0.13,0.22,20,0.01,0.3,1432,0.6,0.21,770,0.32,0.21,183,0.08,0.24,9,0,0.25,424,0.18,0.28,357,0.15,0.21,920,0.38,0.19,693,0.29,0.2,1206,0.5,0.22,851,0.36,0.2,315,0.13,0.18,22,0.01,0.2,1148,0.48,0.21,929,0.39,0.21,291,0.12,0.21,26,0.01,0.25,346,0.15,0.28,393,0.16,0.22,852,0.36,0.2,803,0.34,0.2,1106,0.46,0.22,892,0.37,0.2,356,0.15,0.21,40,0.02,0.18,1022,0.43,0.21,964,0.4,0.2,371,0.16,0.23,37,0.02,0.26,1175,0.49,0.21,966,0.4,0.2,237,0.1,0.21,16,0.01,0.23,1226,0.51,0.21,919,0.38,0.21,232,0.1,0.2,17,0.01,0.21,1210,0.51,0.22,888,0.37,0.2,266,0.11,0.2,30,0.01,0.24
31 a 40 años,2124,0.53,0.33,1359,0.34,0.38,537,0.13,0.38,23,0.01,0.34,2337,0.58,0.34,1413,0.35,0.38,280,0.07,0.36,13,0,0.36,576,0.14,0.38,652,0.16,0.39,1718,0.43,0.36,1097,0.27,0.32,1845,0.46,0.34,1516,0.38,0.36,642,0.16,0.37,40,0.01,0.37,1795,0.44,0.33,1675,0.41,0.37,529,0.13,0.38,44,0.01,0.42,452,0.11,0.36,699,0.17,0.39,1568,0.39,0.36,1324,0.33,0.33,1695,0.42,0.33,1625,0.4,0.37,637,0.16,0.37,86,0.02,0.39,1543,0.38,0.32,1797,0.44,0.37,642,0.16,0.39,61,0.02,0.42,1808,0.45,0.33,1770,0.44,0.38,435,0.11,0.39,30,0.01,0.42,1963,0.49,0.34,1625,0.4,0.37,426,0.11,0.37,29,0.01,0.35,1862,0.46,0.33,1642,0.41,0.37,489,0.12,0.37,50,0.01,0.41
41 a 50 años,1840,0.58,0.29,970,0.3,0.27,373,0.12,0.27,15,0.01,0.22,1934,0.61,0.28,1038,0.33,0.28,218,0.07,0.28,8,0,0.22,347,0.11,0.23,443,0.14,0.27,1380,0.43,0.29,1028,0.32,0.3,1488,0.47,0.27,1176,0.37,0.28,502,0.16,0.29,32,0.01,0.29,1521,0.48,0.28,1250,0.39,0.28,400,0.13,0.28,27,0.01,0.26,295,0.09,0.24,477,0.15,0.27,1231,0.39,0.28,1195,0.37,0.3,1418,0.44,0.28,1242,0.39,0.28,474,0.15,0.28,64,0.02,0.29,1392,0.44,0.29,1351,0.42,0.28,424,0.13,0.26,31,0.01,0.22,1577,0.49,0.28,1303,0.41,0.28,303,0.1,0.27,15,0.01,0.21,1638,0.51,0.28,1216,0.38,0.28,323,0.1,0.28,21,0.01,0.25,1524,0.48,0.27,1266,0.4,0.29,381,0.12,0.29,27,0.01,0.22
51 a 60 años,922,0.6,0.15,441,0.29,0.12,161,0.11,0.12,6,0,0.09,980,0.64,0.14,461,0.3,0.12,85,0.06,0.11,4,0,0.11,154,0.1,0.1,181,0.12,0.11,677,0.44,0.14,518,0.34,0.15,732,0.48,0.14,557,0.36,0.13,229,0.15,0.13,12,0.01,0.11,785,0.51,0.15,575,0.38,0.13,165,0.11,0.12,5,0,0.05,136,0.09,0.11,198,0.13,0.11,607,0.4,0.14,589,0.39,0.15,752,0.49,0.15,552,0.36,0.13,200,0.13,0.12,26,0.02,0.12,734,0.48,0.15,592,0.39,0.12,192,0.13,0.12,12,0.01,0.08,823,0.54,0.15,584,0.38,0.12,115,0.08,0.1,8,0.01,0.11,850,0.56,0.15,520,0.34,0.12,148,0.1,0.13,12,0.01,0.15,827,0.54,0.15,538,0.35,0.12,151,0.1,0.12,14,0.01,0.11
61 a 70 años,127,0.68,0.02,44,0.23,0.01,15,0.08,0.01,2,0.01,0.03,134,0.71,0.02,48,0.26,0.01,5,0.03,0.01,1,0.01,0.03,16,0.09,0.01,22,0.12,0.01,78,0.42,0.02,72,0.38,0.02,102,0.54,0.02,64,0.34,0.02,19,0.1,0.01,3,0.02,0.03,111,0.59,0.02,66,0.35,0.02,9,0.05,0.01,2,0.01,0.02,13,0.07,0.01,17,0.09,0.01,72,0.38,0.02,86,0.46,0.02,112,0.6,0.02,53,0.28,0.01,21,0.11,0.01,2,0.01,0.01,102,0.54,0.02,71,0.38,0.02,13,0.07,0.01,2,0.01,0.01,110,0.59,0.02,65,0.35,0.01,11,0.06,0.01,2,0.01,0.03,115,0.61,0.02,62,0.33,0.01,7,0.04,0.01,4,0.02,0.05,119,0.63,0.02,59,0.31,0.01,8,0.04,0.01,2,0.01,0.02
71 a 80 años,9,0.69,0,2,0.15,0,2,0.15,0,0,0,0,10,0.77,0,3,0.23,0,0,0,0,0,0,0,2,0.15,0,1,0.08,0,7,0.54,0,3,0.23,0,7,0.54,0,6,0.46,0,0,0,0,0,0,0,7,0.54,0,6,0.46,0,0,0,0,0,0,0,1,0.08,0,2,0.15,0,3,0.23,0,7,0.54,0,8,0.62,0,5,0.39,0,0,0,0,0,0,0,8,0.62,0,4,0.31,0,1,0.08,0,0,0,0,8,0.62,0,5,0.39,0,0,0,0,0,0,0,7,0.54,0,5,0.39,0,1,0.08,0,0,0,0,8,0.62,0,4,0.31,0,1,0.08,0,0,0,0
81 a 90 años,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91 a 99 años,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Preparatoria, bachillerato o carrera técnica",18,0.5,0,12,0.33,0,6,0.17,0,0,0,0,16,0.44,0,14,0.39,0,6,0.17,0.01,0,0,0,7,0.19,0.01,4,0.11,0,17,0.47,0,8,0.22,0,14,0.39,0,14,0.39,0,8,0.22,0.01,0,0,0,15,0.42,0,12,0.33,0,9,0.25,0.01,0,0,0,6,0.17,0.01,8,0.22,0,10,0.28,0,12,0.33,0,17,0.47,0,9,0.25,0,9,0.25,0.01,1,0.03,0.01,13,0.36,0,15,0.42,0,6,0.17,0,2,0.06,0.01,19,0.53,0,12,0.33,0,5,0.14,0.01,0,0,0,14,0.39,0,14,0.39,0,7,0.19,0.01,1,0.03,0.01,15,0.42,0,11,0.31,0,9,0.25,0.01,1,0.03,0.01
Normal básica sin licenciatura,308,0.67,0.05,102,0.22,0.03,46,0.1,0.03,2,0,0.03,319,0.7,0.05,118,0.26,0.03,18,0.04,0.02,3,0.01,0.08,46,0.1,0.03,46,0.1,0.03,198,0.43,0.04,168,0.37,0.05,222,0.49,0.04,161,0.35,0.04,72,0.16,0.04,3,0.01,0.03,256,0.56,0.05,161,0.35,0.04,40,0.09,0.03,1,0,0.01,43,0.09,0.03,48,0.11,0.03,181,0.4,0.04,186,0.41,0.05,239,0.52,0.05,162,0.35,0.04,50,0.11,0.03,7,0.02,0.03,232,0.51,0.05,177,0.39,0.04,45,0.1,0.03,4,0.01,0.03,253,0.55,0.05,176,0.38,0.04,27,0.06,0.02,2,0,0.03,274,0.6,0.05,138,0.3,0.03,41,0.09,0.04,5,0.01,0.06,277,0.61,0.05,143,0.31,0.03,36,0.08,0.03,2,0,0.02
Normal superior,148,0.63,0.02,66,0.28,0.02,21,0.09,0.02,1,0,0.02,162,0.69,0.02,59,0.25,0.02,15,0.06,0.02,0,0,0,25,0.11,0.02,19,0.08,0.01,115,0.49,0.02,77,0.33,0.02,113,0.48,0.02,89,0.38,0.02,33,0.14,0.02,1,0,0.01,125,0.53,0.02,82,0.35,0.02,29,0.12,0.02,0,0,0,25,0.11,0.02,24,0.1,0.01,95,0.4,0.02,92,0.39,0.02,120,0.51,0.02,79,0.34,0.02,30,0.13,0.02,7,0.03,0.03,103,0.44,0.02,96,0.41,0.02,36,0.15,0.02,1,0,0.01,121,0.51,0.02,91,0.39,0.02,23,0.1,0.02,1,0,0.01,125,0.53,0.02,90,0.38,0.02,20,0.09,0.02,1,0,0.01,125,0.53,0.02,85,0.36,0.02,25,0.11,0.02,1,0,0.01
Normal Intercultural Bilingüe,52,0.49,0.01,34,0.32,0.01,20,0.19,0.01,0,0,0,61,0.58,0.01,36,0.34,0.01,9,0.09,0.01,0,0,0,15,0.14,0.01,17,0.16,0.01,35,0.33,0.01,39,0.37,0.01,46,0.43,0.01,43,0.41,0.01,15,0.14,0.01,2,0.02,0.02,47,0.44,0.01,44,0.42,0.01,12,0.11,0.01,3,0.03,0.03,12,0.11,0.01,21,0.2,0.01,37,0.35,0.01,36,0.34,0.01,43,0.41,0.01,45,0.43,0.01,17,0.16,0.01,1,0.01,0.01,47,0.44,0.01,40,0.38,0.01,17,0.16,0.01,2,0.02,0.01,52,0.49,0.01,42,0.4,0.01,12,0.11,0.01,0,0,0,49,0.46,0.01,48,0.45,0.01,9,0.09,0.01,0,0,0,46,0.43,0.01,50,0.47,0.01,10,0.09,0.01,0,0,0
Licenciatura,4740,0.55,0.74,2767,0.32,0.77,1037,0.12,0.74,51,0.01,0.76,5152,0.6,0.75,2836,0.33,0.75,580,0.07,0.75,27,0,0.75,1115,0.13,0.73,1251,0.15,0.75,3594,0.42,0.75,2635,0.31,0.77,4108,0.48,0.76,3139,0.37,0.75,1264,0.15,0.73,84,0.01,0.77,4038,0.47,0.75,3444,0.4,0.76,1038,0.12,0.74,75,0.01,0.72,912,0.11,0.73,1353,0.16,0.75,3242,0.38,0.74,3088,0.36,0.77,3859,0.45,0.75,3310,0.39,0.75,1269,0.15,0.75,157,0.02,0.72,3646,0.42,0.75,3619,0.42,0.75,1226,0.14,0.74,104,0.01,0.72,4166,0.49,0.75,3581,0.42,0.76,799,0.09,0.72,49,0.01,0.69,4419,0.51,0.76,3296,0.38,0.75,820,0.1,0.72,60,0.01,0.72,4198,0.49,0.75,3354,0.39,0.76,966,0.11,0.74,77,0.01,0.63
Especialidad,42,0.56,0.01,18,0.24,0.01,14,0.19,0.01,1,0.01,0.02,42,0.56,0.01,24,0.32,0.01,9,0.12,0.01,0,0,0,17,0.23,0.01,9,0.12,0.01,34,0.45,0.01,15,0.2,0,37,0.49,0.01,24,0.32,0.01,14,0.19,0.01,0,0,0,36,0.48,0.01,30,0.4,0.01,8,0.11,0.01,1,0.01,0.01,14,0.19,0.01,11,0.15,0.01,32,0.43,0.01,18,0.24,0,34,0.45,0.01,25,0.33,0.01,14,0.19,0.01,2,0.03,0.01,27,0.36,0.01,32,0.43,0.01,16,0.21,0.01,0,0,0,36,0.48,0.01,28,0.37,0.01,9,0.12,0.01,2,0.03,0.03,37,0.49,0.01,23,0.31,0.01,15,0.2,0.01,0,0,0,34,0.45,0.01,23,0.31,0.01,16,0.21,0.01,2,0.03,0.02
Maestría,970,0.55,0.15,566,0.32,0.16,233,0.13,0.17,12,0.01,0.18,1026,0.58,0.15,623,0.35,0.17,127,0.07,0.16,5,0,0.14,273,0.15,0.18,305,0.17,0.18,756,0.42,0.16,447,0.25,0.13,808,0.45,0.15,670,0.38,0.16,289,0.16,0.17,14,0.01,0.13,819,0.46,0.15,694,0.39,0.15,249,0.14,0.18,19,0.01,0.18,218,0.12,0.17,308,0.17,0.17,700,0.39,0.16,555,0.31,0.14,752,0.42,0.15,710,0.4,0.16,281,0.16,0.17,38,0.02,0.17,706,0.4,0.15,770,0.43,0.16,276,0.16,0.17,29,0.02,0.2,825,0.46,0.15,734,0.41,0.16,207,0.12,0.19,15,0.01,0.21,857,0.48,0.15,704,0.4,0.16,206,0.12,0.18,14,0.01,0.17,821,0.46,0.15,703,0.4,0.16,222,0.13,0.17,35,0.02,0.29
