Variable,B4-A-Muy pertinente-Recuento,B4-A-Muy pertinente-% del N de fila,B4-A-Muy pertinente-% de N columnas,B4-A-Pertinente-Recuento,B4-A-Pertinente-% del N de fila,B4-A-Pertinente-% de N columnas,B4-A-Poco pertinente-Recuento,B4-A-Poco pertinente-% del N de fila,B4-A-Poco pertinente-% de N columnas,B4-A-Nada pertinente-Recuento,B4-A-Nada pertinente-% del N de fila,B4-A-Nada pertinente-% de N columnas,B4-B-Muy pertinente-Recuento,B4-B-Muy pertinente-% del N de fila,B4-B-Muy pertinente-% de N columnas,B4-B-Pertinente-Recuento,B4-B-Pertinente-% del N de fila,B4-B-Pertinente-% de N columnas,B4-B-Poco pertinente-Recuento,B4-B-Poco pertinente-% del N de fila,B4-B-Poco pertinente-% de N columnas,B4-B-Nada pertinente-Recuento,B4-B-Nada pertinente-% del N de fila,B4-B-Nada pertinente-% de N columnas,B4-C-Muy pertinente-Recuento,B4-C-Muy pertinente-% del N de fila,B4-C-Muy pertinente-% de N columnas,B4-C-Pertinente-Recuento,B4-C-Pertinente-% del N de fila,B4-C-Pertinente-% de N columnas,B4-C-Poco pertinente-Recuento,B4-C-Poco pertinente-% del N de fila,B4-C-Poco pertinente-% de N columnas,B4-C-Nada pertinente-Recuento,B4-C-Nada pertinente-% del N de fila,B4-C-Nada pertinente-% de N columnas,B4-D-Muy pertinente-Recuento,B4-D-Muy pertinente-% del N de fila,B4-D-Muy pertinente-% de N columnas,B4-D-Pertinente-Recuento,B4-D-Pertinente-% del N de fila,B4-D-Pertinente-% de N columnas,B4-D-Poco pertinente-Recuento,B4-D-Poco pertinente-% del N de fila,B4-D-Poco pertinente-% de N columnas,B4-D-Nada pertinente-Recuento,B4-D-Nada pertinente-% del N de fila,B4-D-Nada pertinente-% de N columnas,B4-E-Muy pertinente-Recuento,B4-E-Muy pertinente-% del N de fila,B4-E-Muy pertinente-% de N columnas,B4-E-Pertinente-Recuento,B4-E-Pertinente-% del N de fila,B4-E-Pertinente-% de N columnas,B4-E-Poco pertinente-Recuento,B4-E-Poco pertinente-% del N de fila,B4-E-Poco pertinente-% de N columnas,B4-E-Nada pertinente-Recuento,B4-E-Nada pertinente-% del N de fila,B4-E-Nada pertinente-% de N columnas,B4-F-Muy pertinente-Recuento,B4-F-Muy pertinente-% del N de fila,B4-F-Muy pertinente-% de N columnas,B4-F-Pertinente-Recuento,B4-F-Pertinente-% del N de fila,B4-F-Pertinente-% de N columnas,B4-F-Poco pertinente-Recuento,B4-F-Poco pertinente-% del N de fila,B4-F-Poco pertinente-% de N columnas,B4-F-Nada pertinente-Recuento,B4-F-Nada pertinente-% del N de fila,B4-F-Nada pertinente-% de N columnas,B4-G-Muy pertinente-Recuento,B4-G-Muy pertinente-% del N de fila,B4-G-Muy pertinente-% de N columnas,B4-G-Pertinente-Recuento,B4-G-Pertinente-% del N de fila,B4-G-Pertinente-% de N columnas,B4-G-Poco pertinente-Recuento,B4-G-Poco pertinente-% del N de fila,B4-G-Poco pertinente-% de N columnas,B4-G-Nada pertinente-Recuento,B4-G-Nada pertinente-% del N de fila,B4-G-Nada pertinente-% de N columnas
81 a 90 años,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91 a 99 años,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Preparatoria, bachillerato o carrera técnica",7,0.39,0,11,0.61,0.01,0,0,0,0,0,0,8,0.44,0,10,0.56,0.01,0,0,0,0,0,0,7,0.39,0,10,0.56,0.01,0,0,0,1,0.06,0.06,5,0.28,0,12,0.67,0.01,1,0.06,0.01,0,0,0,5,0.28,0,13,0.72,0.01,0,0,0,0,0,0,6,0.33,0,11,0.61,0.01,1,0.06,0,0,0,0,8,0.44,0.01,9,0.5,0,1,0.06,0,0,0,0
Normal básica sin licenciatura,41,0.48,0.02,45,0.52,0.03,0,0,0,0,0,0,45,0.52,0.02,41,0.48,0.02,0,0,0,0,0,0,38,0.44,0.02,46,0.54,0.02,2,0.02,0.01,0,0,0,29,0.34,0.02,54,0.63,0.02,1,0.01,0.01,2,0.02,0.15,29,0.34,0.02,52,0.61,0.02,4,0.05,0.01,1,0.01,0.04,32,0.37,0.02,51,0.59,0.02,2,0.02,0.01,1,0.01,0.04,37,0.43,0.02,43,0.5,0.02,5,0.06,0.02,1,0.01,0.03
Normal superior,134,0.55,0.05,103,0.43,0.06,5,0.02,0.08,0,0,0,120,0.5,0.05,119,0.49,0.07,3,0.01,0.03,0,0,0,101,0.42,0.05,127,0.53,0.07,11,0.05,0.07,3,0.01,0.19,101,0.42,0.06,128,0.53,0.06,13,0.05,0.07,0,0,0,93,0.38,0.06,134,0.55,0.06,14,0.06,0.04,1,0,0.04,96,0.4,0.06,135,0.56,0.06,10,0.04,0.04,1,0,0.04,97,0.4,0.06,132,0.55,0.06,11,0.05,0.03,2,0.01,0.06
Normal Intercultural Bilingüe,3,0.6,0,2,0.4,0,0,0,0,0,0,0,3,0.6,0,2,0.4,0,0,0,0,0,0,0,2,0.4,0,3,0.6,0,0,0,0,0,0,0,2,0.4,0,3,0.6,0,0,0,0,0,0,0,3,0.6,0,2,0.4,0,0,0,0,0,0,0,4,0.8,0,1,0.2,0,0,0,0,0,0,0,4,0.8,0,1,0.2,0,0,0,0,0,0,0
Licenciatura,1065,0.58,0.42,748,0.41,0.46,20,0.01,0.32,1,0,0.2,972,0.53,0.41,825,0.45,0.47,36,0.02,0.4,1,0,0.13,886,0.48,0.42,879,0.48,0.45,64,0.04,0.4,5,0,0.31,735,0.4,0.41,1027,0.56,0.46,67,0.04,0.38,5,0,0.39,639,0.35,0.41,1046,0.57,0.45,137,0.08,0.4,12,0.01,0.46,696,0.38,0.41,1022,0.56,0.45,107,0.06,0.4,9,0.01,0.32,670,0.37,0.4,1021,0.56,0.46,132,0.07,0.4,11,0.01,0.34
Especialidad,31,0.63,0.01,16,0.33,0.01,2,0.04,0.03,0,0,0,31,0.63,0.01,15,0.31,0.01,3,0.06,0.03,0,0,0,26,0.53,0.01,22,0.45,0.01,1,0.02,0.01,0,0,0,18,0.37,0.01,27,0.55,0.01,4,0.08,0.02,0,0,0,18,0.37,0.01,26,0.53,0.01,5,0.1,0.01,0,0,0,17,0.35,0.01,26,0.53,0.01,6,0.12,0.02,0,0,0,18,0.37,0.01,26,0.53,0.01,5,0.1,0.02,0,0,0
Maestría,979,0.62,0.39,561,0.36,0.34,25,0.02,0.4,4,0,0.8,938,0.6,0.39,587,0.37,0.33,40,0.03,0.44,4,0,0.5,843,0.54,0.4,660,0.42,0.34,60,0.04,0.37,6,0,0.38,706,0.45,0.39,787,0.5,0.35,70,0.05,0.4,6,0,0.46,600,0.38,0.38,810,0.52,0.35,150,0.1,0.44,9,0.01,0.35,662,0.42,0.39,777,0.5,0.35,117,0.08,0.43,13,0.01,0.46,652,0.42,0.39,766,0.49,0.35,140,0.09,0.43,11,0.01,0.34
Doctorado,277,0.64,0.11,149,0.34,0.09,10,0.02,0.16,0,0,0,263,0.6,0.11,161,0.37,0.09,9,0.02,0.1,3,0.01,0.38,223,0.51,0.11,189,0.43,0.1,23,0.05,0.14,1,0,0.06,208,0.48,0.12,209,0.48,0.09,19,0.04,0.11,0,0,0,183,0.42,0.12,215,0.49,0.09,35,0.08,0.1,3,0.01,0.12,184,0.42,0.11,221,0.51,0.1,27,0.06,0.1,4,0.01,0.14,182,0.42,0.11,215,0.49,0.1,32,0.07,0.1,7,0.02,0.22
Posdoctorado,8,0.57,0,6,0.43,0,0,0,0,0,0,0,7,0.5,0,7,0.5,0,0,0,0,0,0,0,7,0.5,0,7,0.5,0,0,0,0,0,0,0,6,0.43,0,7,0.5,0,1,0.07,0.01,0,0,0,7,0.5,0,7,0.5,0,0,0,0,0,0,0,7,0.5,0,7,0.5,0,0,0,0,0,0,0,5,0.36,0,8,0.57,0,1,0.07,0,0,0,0
Menor o igual a 10,1732,0.6,0.68,1112,0.39,0.68,40,0.01,0.65,4,0,0.8,1620,0.56,0.68,1191,0.41,0.67,70,0.02,0.77,7,0,0.88,1464,0.51,0.69,1308,0.45,0.67,107,0.04,0.67,9,0,0.56,1233,0.43,0.68,1521,0.53,0.68,125,0.04,0.71,9,0,0.69,1062,0.37,0.67,1559,0.54,0.68,247,0.09,0.72,20,0.01,0.77,1150,0.4,0.68,1526,0.53,0.68,191,0.07,0.71,21,0.01,0.75,1110,0.38,0.66,1516,0.53,0.68,238,0.08,0.73,24,0.01,0.75
11 a 20,550,0.62,0.22,329,0.37,0.2,13,0.02,0.21,1,0,0.2,513,0.57,0.22,367,0.41,0.21,12,0.01,0.13,1,0,0.13,443,0.5,0.21,411,0.46,0.21,34,0.04,0.21,5,0.01,0.31,386,0.43,0.21,470,0.53,0.21,34,0.04,0.19,3,0,0.23,348,0.39,0.22,481,0.54,0.21,61,0.07,0.18,3,0,0.12,365,0.41,0.21,475,0.53,0.21,48,0.05,0.18,5,0.01,0.18,371,0.42,0.22,462,0.52,0.21,53,0.06,0.16,7,0.01,0.22
21 a 30,263,0.56,0.1,200,0.42,0.12,9,0.02,0.15,0,0,0,254,0.54,0.11,209,0.44,0.12,9,0.02,0.1,0,0,0,226,0.48,0.11,224,0.48,0.12,20,0.04,0.12,2,0,0.13,191,0.41,0.11,263,0.56,0.12,17,0.04,0.1,1,0,0.08,167,0.35,0.11,265,0.56,0.12,37,0.08,0.11,3,0.01,0.12,189,0.4,0.11,250,0.53,0.11,31,0.07,0.12,2,0,0.07,192,0.41,0.12,243,0.52,0.11,36,0.08,0.11,1,0,0.03
31 a 40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41 a 50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mayor o igual a 51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Definitivo o base,2048,0.61,0.81,1246,0.37,0.76,47,0.01,0.76,5,0,1,1917,0.57,0.8,1351,0.4,0.77,71,0.02,0.78,7,0,0.88,1722,0.52,0.81,1487,0.44,0.77,122,0.04,0.76,15,0,0.94,1480,0.44,0.82,1711,0.51,0.76,142,0.04,0.81,13,0,1,1264,0.38,0.8,1781,0.53,0.77,277,0.08,0.8,24,0.01,0.92,1364,0.41,0.8,1737,0.52,0.77,219,0.07,0.81,26,0.01,0.93,1332,0.4,0.8,1730,0.52,0.78,258,0.08,0.79,26,0.01,0.81
Interino,76,0.57,0.03,53,0.4,0.03,5,0.04,0.08,0,0,0,73,0.55,0.03,54,0.4,0.03,7,0.05,0.08,0,0,0,71,0.53,0.03,56,0.42,0.03,7,0.05,0.04,0,0,0,58,0.43,0.03,72,0.54,0.03,4,0.03,0.02,0,0,0,54,0.4,0.03,67,0.5,0.03,13,0.1,0.04,0,0,0,57,0.43,0.03,66,0.49,0.03,10,0.08,0.04,1,0.01,0.04,53,0.4,0.03,70,0.52,0.03,10,0.08,0.03,1,0.01,0.03
No tengo nombramiento,243,0.53,0.1,212,0.46,0.13,7,0.02,0.11,0,0,0,228,0.49,0.1,227,0.49,0.13,7,0.02,0.08,0,0,0,197,0.43,0.09,245,0.53,0.13,19,0.04,0.12,1,0,0.06,156,0.34,0.09,289,0.63,0.13,17,0.04,0.1,0,0,0,145,0.31,0.09,278,0.6,0.12,38,0.08,0.11,1,0,0.04,158,0.34,0.09,279,0.6,0.12,24,0.05,0.09,1,0,0.04,162,0.35,0.1,260,0.56,0.12,37,0.08,0.11,3,0.01,0.09
Otro,178,0.57,0.07,130,0.42,0.08,3,0.01,0.05,0,0,0,169,0.54,0.07,135,0.43,0.08,6,0.02,0.07,1,0,0.13,143,0.46,0.07,155,0.5,0.08,13,0.04,0.08,0,0,0,116,0.37,0.06,182,0.59,0.08,13,0.04,0.07,0,0,0,114,0.37,0.07,179,0.58,0.08,17,0.06,0.05,1,0,0.04,125,0.4,0.07,169,0.54,0.08,17,0.06,0.06,0,0,0,126,0.41,0.08,161,0.52,0.07,22,0.07,0.07,2,0.01,0.06
GENERAL PÚBLICA,1685,0.61,0.66,1055,0.38,0.64,37,0.01,0.6,3,0,0.6,1577,0.57,0.66,1140,0.41,0.65,57,0.02,0.63,6,0,0.75,1419,0.51,0.67,1253,0.45,0.65,96,0.04,0.6,12,0,0.75,1202,0.43,0.66,1466,0.53,0.65,101,0.04,0.57,11,0,0.85,1040,0.37,0.66,1491,0.54,0.65,228,0.08,0.66,21,0.01,0.81,1123,0.4,0.66,1457,0.52,0.65,180,0.07,0.67,20,0.01,0.71,1075,0.39,0.64,1471,0.53,0.66,212,0.08,0.65,22,0.01,0.69
INDÍGENAS,190,0.52,0.08,173,0.47,0.11,5,0.01,0.08,1,0,0.2,175,0.47,0.07,183,0.5,0.1,10,0.03,0.11,1,0,0.13,159,0.43,0.08,185,0.5,0.1,22,0.06,0.14,3,0.01,0.19,128,0.35,0.07,224,0.61,0.1,16,0.04,0.09,1,0,0.08,121,0.33,0.08,224,0.61,0.1,22,0.06,0.06,2,0.01,0.08,127,0.34,0.08,221,0.6,0.1,19,0.05,0.07,2,0.01,0.07,123,0.33,0.07,210,0.57,0.1,34,0.09,0.1,2,0.01,0.06
TÉCNICA,373,0.67,0.15,172,0.31,0.11,15,0.03,0.24,1,0,0.2,354,0.63,0.15,190,0.34,0.11,16,0.03,0.18,1,0,0.13,304,0.54,0.14,240,0.43,0.12,16,0.03,0.1,1,0,0.06,276,0.49,0.15,261,0.47,0.12,24,0.04,0.14,0,0,0,240,0.43,0.15,283,0.5,0.12,37,0.07,0.11,1,0,0.04,254,0.45,0.15,274,0.49,0.12,28,0.05,0.1,5,0.01,0.18,253,0.45,0.15,265,0.47,0.12,39,0.07,0.12,4,0.01,0.13
TELESECUNDARIA,297,0.55,0.12,241,0.44,0.15,5,0.01,0.08,0,0,0,281,0.52,0.12,254,0.47,0.14,8,0.02,0.09,0,0,0,251,0.46,0.12,265,0.49,0.14,27,0.05,0.17,0,0,0,204,0.38,0.11,303,0.56,0.13,35,0.06,0.2,1,0,0.08,176,0.32,0.11,307,0.57,0.13,58,0.11,0.17,2,0,0.08,200,0.37,0.12,299,0.55,0.13,43,0.08,0.16,1,0,0.04,222,0.41,0.13,275,0.51,0.12,42,0.08,0.13,4,0.01,0.13
Total,2545,0.6,1,1641,0.39,1,62,0.02,1,5,0,1,2387,0.56,1,1767,0.42,1,91,0.02,1,8,0,1,2133,0.5,1,1943,0.46,1,161,0.04,1,16,0,1,1810,0.43,1,2254,0.53,1,176,0.04,1,13,0,1,1577,0.37,1,2305,0.54,1,345,0.08,1,26,0.01,1,1704,0.4,1,2251,0.53,1,270,0.06,1,28,0.01,1,1673,0.39,1,2221,0.52,1,327,0.08,1,32,0.01,1
