Variable,B1-A-Mucho-Recuento,B1-A-Mucho-% del N de fila,B1-A-Mucho-% de N columnas,B1-A-Regular-Recuento,B1-A-Regular-% del N de fila,B1-A-Regular-% de N columnas,B1-A-Poco-Recuento,B1-A-Poco-% del N de fila,B1-A-Poco-% de N columnas,B1-A-Nada-Recuento,B1-A-Nada-% del N de fila,B1-A-Nada-% de N columnas,B1-B-Mucho-Recuento,B1-B-Mucho-% del N de fila,B1-B-Mucho-% de N columnas,B1-B-Regular-Recuento,B1-B-Regular-% del N de fila,B1-B-Regular-% de N columnas,B1-B-Poco-Recuento,B1-B-Poco-% del N de fila,B1-B-Poco-% de N columnas,B1-B-Nada-Recuento,B1-B-Nada-% del N de fila,B1-B-Nada-% de N columnas,B1-C-Mucho-Recuento,B1-C-Mucho-% del N de fila,B1-C-Mucho-% de N columnas,B1-C-Regular-Recuento,B1-C-Regular-% del N de fila,B1-C-Regular-% de N columnas,B1-C-Poco-Recuento,B1-C-Poco-% del N de fila,B1-C-Poco-% de N columnas,B1-C-Nada-Recuento,B1-C-Nada-% del N de fila,B1-C-Nada-% de N columnas,B1-D-Mucho-Recuento,B1-D-Mucho-% del N de fila,B1-D-Mucho-% de N columnas,B1-D-Regular-Recuento,B1-D-Regular-% del N de fila,B1-D-Regular-% de N columnas,B1-D-Poco-Recuento,B1-D-Poco-% del N de fila,B1-D-Poco-% de N columnas,B1-D-Nada-Recuento,B1-D-Nada-% del N de fila,B1-D-Nada-% de N columnas,B1-E-Mucho-Recuento,B1-E-Mucho-% del N de fila,B1-E-Mucho-% de N columnas,B1-E-Regular-Recuento,B1-E-Regular del N de fila,B1-E-Regular-% de N columnas,B1-E-Poco-Recuento,B1-E-Poco-% del N de fila,B1-E-Poco-% de N columnas,B1-E-Nada-Recuento,B1-E-Nada-% del N de fila,B1-E-Nada-% de N columnas,B1-F-Mucho-Recuento,B1-F-Mucho-% del N de fila,B1-F-Mucho-% de N columnas,B1-F-Regular-Recuento,B1-F-Regular-% del N de fila,B1-F-Regular-% de N columnas,B1-F-Poco-Recuento,B1-F-Poco-% del N de fila,B1-F-Poco-% de N columnas,B1-F-Nada-Recuento,B1-F-Nada-% del N de fila,B1-F-Nada-% de N columnas,B1-G-Mucho-Recuento,B1-G-Mucho-% del N de fila,B1-G-Mucho-% de N columnas,B1-G-Regular-Recuento,B1-G-Regular-% del N de fila,B1-G-Regular-% de N columnas,B1-G-Poco-Recuento,B1-G-Poco-% del N de fila,B1-G-Poco-% de N columnas,B1-G-Nada-Recuento,B1-G-Nada-% del N de fila,B1-G-Nada-% de N columnas,B1-H-Mucho-Recuento,B1-H-Mucho-% del N de fila,B1-H-Mucho-% de N columnas,B1-H-Regular-Recuento,B1-H-Regular-% del N de fila,B1-H-Regular-% de N columnas,B1-H-Poco-Recuento,B1-H-Poco-% del N de fila,B1-H-Poco-% de N columnas,B1-H-Nada-Recuento,B1-H-Nada-% del N de fila,B1-H-Nada-% de N columnas,B1-I-Mucho-Recuento,B1-I-Mucho--% del N de fila,B1-I-Mucho-% de N columnas,B1-I-Regular-Recuento,B1-I-Regular-% del N de fila,B1-I-Regular-% de N columnas,B1-I-Poco-Recuento,B1-I-Poco-% del N de fila,B1-I-Poco-% de N columnas,B1-I-Nada-Recuento,B1-I-Nada-% del N de fila,B1-I-Nada-% de N columnas
Hombre,656,0.35,0.44,1007,0.54,0.44,179,0.1,0.41,11,0.01,0.31,1293,0.7,0.43,524,0.28,0.45,34,0.02,0.54,2,0,0.67,938,0.51,0.44,788,0.43,0.44,126,0.07,0.4,1,0,0.14,1257,0.68,0.43,551,0.3,0.45,44,0.02,0.47,1,0,0.33,1247,0.67,0.43,551,0.3,0.46,50,0.03,0.4,5,0,0.42,1257,0.68,0.44,551,0.3,0.44,43,0.02,0.39,2,0,0.29,1454,0.79,0.43,379,0.21,0.46,19,0.01,0.35,1,0,0.33,1300,0.7,0.45,512,0.28,0.42,40,0.02,0.39,1,0,0.14,1306,0.71,0.42,499,0.27,0.48,45,0.02,0.52,3,0,0.6
Mujer,828,0.35,0.56,1294,0.54,0.56,254,0.11,0.59,24,0.01,0.69,1721,0.72,0.57,649,0.27,0.55,29,0.01,0.46,1,0,0.33,1199,0.5,0.56,1007,0.42,0.56,188,0.08,0.6,6,0,0.86,1670,0.7,0.57,679,0.28,0.55,49,0.02,0.53,2,0,0.67,1666,0.69,0.57,653,0.27,0.54,74,0.03,0.6,7,0,0.58,1625,0.68,0.56,703,0.29,0.56,67,0.03,0.61,5,0,0.71,1909,0.8,0.57,453,0.19,0.54,36,0.02,0.66,2,0,0.67,1611,0.67,0.55,721,0.3,0.59,62,0.03,0.61,6,0,0.86,1807,0.75,0.58,549,0.23,0.52,42,0.02,0.48,2,0,0.4
18 a 20 años,2,0.2,0,5,0.5,0,3,0.3,0.01,0,0,0,5,0.5,0,5,0.5,0,0,0,0,0,0,0,3,0.3,0,7,0.7,0,0,0,0,0,0,0,7,0.7,0,3,0.3,0,0,0,0,0,0,0,5,0.5,0,4,0.4,0,1,0.1,0.01,0,0,0,6,0.6,0,4,0.4,0,0,0,0,0,0,0,7,0.7,0,3,0.3,0,0,0,0,0,0,0,6,0.6,0,4,0.4,0,0,0,0,0,0,0,9,0.9,0,1,0.1,0,0,0,0,0,0,0
21 a 30 años,84,0.41,0.06,94,0.46,0.04,24,0.12,0.06,3,0.02,0.09,147,0.72,0.05,56,0.27,0.05,2,0.01,0.03,0,0,0,98,0.48,0.05,88,0.43,0.05,18,0.09,0.06,1,0.01,0.14,130,0.63,0.04,70,0.34,0.06,5,0.02,0.05,0,0,0,143,0.7,0.05,52,0.25,0.04,10,0.05,0.08,0,0,0,128,0.62,0.04,69,0.34,0.06,8,0.04,0.07,0,0,0,158,0.77,0.05,42,0.21,0.05,4,0.02,0.07,1,0.01,0.33,131,0.64,0.05,68,0.33,0.06,5,0.02,0.05,1,0.01,0.14,148,0.72,0.05,55,0.27,0.05,2,0.01,0.02,0,0,0
31 a 40 años,298,0.3,0.2,576,0.58,0.25,106,0.11,0.25,13,0.01,0.37,687,0.69,0.23,291,0.29,0.25,13,0.01,0.21,2,0,0.67,446,0.45,0.21,469,0.47,0.26,77,0.08,0.25,1,0,0.14,661,0.67,0.23,302,0.3,0.25,28,0.03,0.3,2,0,0.67,649,0.65,0.22,316,0.32,0.26,25,0.03,0.2,3,0,0.25,634,0.64,0.22,325,0.33,0.26,31,0.03,0.28,3,0,0.43,743,0.75,0.22,234,0.24,0.28,14,0.01,0.26,2,0,0.67,627,0.63,0.22,334,0.34,0.27,30,0.03,0.29,2,0,0.29,684,0.69,0.22,287,0.29,0.27,18,0.02,0.21,4,0,0.8
41 a 50 años,442,0.35,0.3,670,0.53,0.29,138,0.11,0.32,8,0.01,0.23,871,0.69,0.29,366,0.29,0.31,21,0.02,0.33,0,0,0,606,0.48,0.28,544,0.43,0.3,106,0.08,0.34,2,0,0.29,841,0.67,0.29,391,0.31,0.32,25,0.02,0.27,1,0,0.33,862,0.69,0.3,343,0.27,0.29,51,0.04,0.41,2,0,0.17,849,0.68,0.3,371,0.3,0.3,36,0.03,0.33,2,0,0.29,969,0.77,0.29,269,0.21,0.32,20,0.02,0.36,0,0,0,846,0.67,0.29,374,0.3,0.3,35,0.03,0.34,3,0,0.43,918,0.73,0.3,311,0.25,0.3,29,0.02,0.33,0,0,0
51 a 60 años,443,0.35,0.3,685,0.54,0.3,126,0.1,0.29,7,0.01,0.2,893,0.71,0.3,350,0.28,0.3,17,0.01,0.27,1,0,0.33,673,0.53,0.32,500,0.4,0.28,87,0.07,0.28,1,0,0.14,902,0.72,0.31,336,0.27,0.27,23,0.02,0.25,0,0,0,863,0.68,0.3,366,0.29,0.3,26,0.02,0.21,6,0.01,0.5,877,0.7,0.3,357,0.28,0.29,27,0.02,0.25,0,0,0,1029,0.82,0.31,219,0.17,0.26,13,0.01,0.24,0,0,0,884,0.7,0.3,350,0.28,0.28,26,0.02,0.26,1,0,0.14,937,0.74,0.3,299,0.24,0.29,25,0.02,0.29,0,0,0
61 a 70 años,193,0.42,0.13,235,0.51,0.1,32,0.07,0.07,4,0.01,0.11,362,0.78,0.12,94,0.2,0.08,8,0.02,0.13,0,0,0,280,0.6,0.13,160,0.35,0.09,23,0.05,0.07,1,0,0.14,345,0.74,0.12,108,0.23,0.09,11,0.02,0.12,0,0,0,348,0.75,0.12,106,0.23,0.09,9,0.02,0.07,1,0,0.08,339,0.73,0.12,117,0.25,0.09,7,0.02,0.06,1,0,0.14,403,0.87,0.12,58,0.13,0.07,3,0.01,0.06,0,0,0,370,0.8,0.13,89,0.19,0.07,5,0.01,0.05,0,0,0,369,0.8,0.12,82,0.18,0.08,12,0.03,0.14,1,0,0.2
71 a 80 años,22,0.36,0.02,36,0.58,0.02,4,0.07,0.01,0,0,0,49,0.79,0.02,11,0.18,0.01,2,0.03,0.03,0,0,0,31,0.5,0.02,27,0.44,0.02,3,0.05,0.01,1,0.02,0.14,41,0.66,0.01,20,0.32,0.02,1,0.02,0.01,0,0,0,43,0.69,0.02,17,0.27,0.01,2,0.03,0.02,0,0,0,49,0.79,0.02,11,0.18,0.01,1,0.02,0.01,1,0.02,0.14,54,0.87,0.02,7,0.11,0.01,1,0.02,0.02,0,0,0,47,0.76,0.02,14,0.23,0.01,1,0.02,0.01,0,0,0,48,0.77,0.02,13,0.21,0.01,1,0.02,0.01,0,0,0
81 a 90 años,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91 a 99 años,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Preparatoria, bachillerato o carrera técnica",3,0.17,0,12,0.67,0.01,2,0.11,0.01,1,0.06,0.03,11,0.61,0,7,0.39,0.01,0,0,0,0,0,0,7,0.39,0,8,0.44,0,3,0.17,0.01,0,0,0,7,0.39,0,10,0.56,0.01,0,0,0,1,0.06,0.33,9,0.5,0,7,0.39,0.01,2,0.11,0.02,0,0,0,8,0.44,0,10,0.56,0.01,0,0,0,0,0,0,13,0.72,0,5,0.28,0.01,0,0,0,0,0,0,13,0.72,0,5,0.28,0,0,0,0,0,0,0,11,0.61,0,7,0.39,0.01,0,0,0,0,0,0
Normal básica sin licenciatura,33,0.38,0.02,44,0.51,0.02,9,0.11,0.02,0,0,0,55,0.64,0.02,29,0.34,0.03,2,0.02,0.03,0,0,0,42,0.49,0.02,33,0.38,0.02,10,0.12,0.03,1,0.01,0.14,60,0.7,0.02,23,0.27,0.02,3,0.04,0.03,0,0,0,55,0.64,0.02,27,0.31,0.02,2,0.02,0.02,2,0.02,0.17,56,0.65,0.02,30,0.35,0.02,0,0,0,0,0,0,70,0.81,0.02,16,0.19,0.02,0,0,0,0,0,0,57,0.66,0.02,28,0.33,0.02,1,0.01,0.01,0,0,0,68,0.79,0.02,16,0.19,0.02,2,0.02,0.02,0,0,0
Normal superior,80,0.33,0.05,138,0.57,0.06,23,0.1,0.05,1,0,0.03,158,0.65,0.05,80,0.33,0.07,4,0.02,0.06,0,0,0,110,0.46,0.05,114,0.47,0.06,17,0.07,0.05,1,0,0.14,156,0.65,0.05,79,0.33,0.06,7,0.03,0.08,0,0,0,154,0.64,0.05,79,0.33,0.07,9,0.04,0.07,0,0,0,167,0.69,0.06,71,0.29,0.06,4,0.02,0.04,0,0,0,198,0.82,0.06,43,0.18,0.05,1,0,0.02,0,0,0,179,0.74,0.06,57,0.24,0.05,6,0.03,0.06,0,0,0,180,0.74,0.06,60,0.25,0.06,2,0.01,0.02,0,0,0
Normal Intercultural Bilingüe,3,0.6,0,2,0.4,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,2,0.4,0,3,0.6,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,4,0.8,0,1,0.2,0,0,0,0,0,0,0,3,0.6,0,2,0.4,0,0,0,0,0,0,0,3,0.6,0,2,0.4,0,0,0,0,0,0,0,4,0.8,0,1,0.2,0,0,0,0,0,0,0
Licenciatura,620,0.34,0.42,996,0.54,0.43,204,0.11,0.47,14,0.01,0.4,1252,0.68,0.42,552,0.3,0.47,29,0.02,0.46,1,0,0.33,848,0.46,0.4,836,0.46,0.47,146,0.08,0.47,4,0,0.57,1200,0.65,0.41,592,0.32,0.48,41,0.02,0.44,1,0,0.33,1218,0.66,0.42,552,0.3,0.46,62,0.03,0.5,2,0,0.17,1178,0.64,0.41,596,0.33,0.48,57,0.03,0.52,3,0,0.43,1375,0.75,0.41,428,0.23,0.51,29,0.02,0.53,2,0,0.67,1189,0.65,0.41,592,0.32,0.48,50,0.03,0.49,3,0,0.43,1285,0.7,0.41,508,0.28,0.49,40,0.02,0.46,1,0,0.2
Especialidad,13,0.27,0.01,31,0.63,0.01,5,0.1,0.01,0,0,0,33,0.67,0.01,16,0.33,0.01,0,0,0,0,0,0,20,0.41,0.01,26,0.53,0.01,3,0.06,0.01,0,0,0,30,0.61,0.01,19,0.39,0.02,0,0,0,0,0,0,31,0.63,0.01,15,0.31,0.01,3,0.06,0.02,0,0,0,31,0.63,0.01,17,0.35,0.01,1,0.02,0.01,0,0,0,37,0.76,0.01,10,0.2,0.01,2,0.04,0.04,0,0,0,31,0.63,0.01,15,0.31,0.01,3,0.06,0.03,0,0,0,33,0.67,0.01,16,0.33,0.02,0,0,0,0,0,0
Maestría,553,0.35,0.37,843,0.54,0.37,157,0.1,0.36,16,0.01,0.46,1148,0.73,0.38,402,0.26,0.34,17,0.01,0.27,2,0,0.67,838,0.53,0.39,620,0.4,0.35,110,0.07,0.35,1,0,0.14,1130,0.72,0.39,405,0.26,0.33,33,0.02,0.36,1,0,0.33,1103,0.7,0.38,427,0.27,0.36,34,0.02,0.27,5,0,0.42,1100,0.7,0.38,426,0.27,0.34,41,0.03,0.37,2,0,0.29,1292,0.82,0.38,260,0.17,0.31,16,0.01,0.29,1,0,0.33,1102,0.7,0.38,436,0.28,0.35,29,0.02,0.28,2,0,0.29,1183,0.75,0.38,350,0.22,0.33,34,0.02,0.39,2,0,0.4
Doctorado,172,0.39,0.12,230,0.53,0.1,31,0.07,0.07,3,0.01,0.09,342,0.78,0.11,84,0.19,0.07,10,0.02,0.16,0,0,0,265,0.61,0.12,150,0.34,0.08,21,0.05,0.07,0,0,0,330,0.76,0.11,98,0.23,0.08,8,0.02,0.09,0,0,0,329,0.76,0.11,92,0.21,0.08,12,0.03,0.1,3,0.01,0.25,330,0.76,0.12,97,0.22,0.08,7,0.02,0.06,2,0.01,0.29,366,0.84,0.11,63,0.14,0.08,7,0.02,0.13,0,0,0,330,0.76,0.11,91,0.21,0.07,13,0.03,0.13,2,0.01,0.29,342,0.78,0.11,83,0.19,0.08,9,0.02,0.1,2,0.01,0.4
Posdoctorado,7,0.5,0.01,5,0.36,0,2,0.14,0.01,0,0,0,10,0.71,0,3,0.21,0,1,0.07,0.02,0,0,0,5,0.36,0,5,0.36,0,4,0.29,0.01,0,0,0,9,0.64,0,4,0.29,0,1,0.07,0.01,0,0,0,9,0.64,0,5,0.36,0,0,0,0,0,0,0,8,0.57,0,6,0.43,0.01,0,0,0,0,0,0,9,0.64,0,5,0.36,0.01,0,0,0,0,0,0,7,0.5,0,7,0.5,0.01,0,0,0,0,0,0,7,0.5,0,7,0.5,0.01,0,0,0,0,0,0
Menor o igual a 10,968,0.34,0.65,1579,0.55,0.69,313,0.11,0.72,28,0.01,0.8,2030,0.7,0.67,814,0.28,0.69,42,0.02,0.67,2,0,0.67,1417,0.49,0.66,1245,0.43,0.69,221,0.08,0.7,5,0,0.71,1961,0.68,0.67,852,0.3,0.69,73,0.03,0.79,2,0,0.67,1957,0.68,0.67,831,0.29,0.69,93,0.03,0.75,7,0,0.58,1936,0.67,0.67,864,0.3,0.69,84,0.03,0.76,4,0,0.57,2243,0.78,0.67,598,0.21,0.72,44,0.02,0.8,3,0,1,1939,0.67,0.67,869,0.3,0.71,74,0.03,0.73,6,0,0.86,2099,0.73,0.67,729,0.25,0.7,56,0.02,0.64,4,0,0.8
11 a 20,331,0.37,0.22,482,0.54,0.21,76,0.09,0.18,4,0,0.11,643,0.72,0.21,241,0.27,0.21,9,0.01,0.14,0,0,0,489,0.55,0.23,346,0.39,0.19,57,0.06,0.18,1,0,0.14,645,0.72,0.22,236,0.26,0.19,11,0.01,0.12,1,0,0.33,631,0.71,0.22,236,0.26,0.2,22,0.03,0.18,4,0,0.33,623,0.7,0.22,250,0.28,0.2,18,0.02,0.16,2,0,0.29,727,0.81,0.22,156,0.18,0.19,10,0.01,0.18,0,0,0,641,0.72,0.22,233,0.26,0.19,18,0.02,0.18,1,0,0.14,661,0.74,0.21,213,0.24,0.2,18,0.02,0.21,1,0,0.2
21 a 30,185,0.39,0.13,240,0.51,0.1,44,0.09,0.1,3,0.01,0.09,341,0.72,0.11,118,0.25,0.1,12,0.03,0.19,1,0,0.33,231,0.49,0.11,204,0.43,0.11,36,0.08,0.12,1,0,0.14,321,0.68,0.11,142,0.3,0.12,9,0.02,0.1,0,0,0,325,0.69,0.11,137,0.29,0.11,9,0.02,0.07,1,0,0.08,323,0.68,0.11,140,0.3,0.11,8,0.02,0.07,1,0,0.14,393,0.83,0.12,78,0.17,0.09,1,0,0.02,0,0,0,331,0.7,0.11,131,0.28,0.11,10,0.02,0.1,0,0,0,353,0.75,0.11,106,0.23,0.1,13,0.03,0.15,0,0,0
31 a 40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41 a 50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mayor o igual a 51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Definitivo o base,1188,0.36,0.8,1802,0.54,0.78,331,0.1,0.76,25,0.01,0.71,2425,0.73,0.81,877,0.26,0.75,41,0.01,0.65,3,0,1,1720,0.51,0.81,1401,0.42,0.78,220,0.07,0.7,5,0,0.71,2375,0.71,0.81,902,0.27,0.73,67,0.02,0.72,2,0,0.67,2338,0.7,0.8,913,0.27,0.76,85,0.03,0.69,10,0,0.83,2325,0.7,0.81,945,0.28,0.75,69,0.02,0.63,7,0,1,2700,0.81,0.8,610,0.18,0.73,34,0.01,0.62,2,0,0.67,2338,0.7,0.8,937,0.28,0.76,66,0.02,0.65,5,0,0.71,2495,0.75,0.8,779,0.23,0.74,67,0.02,0.77,5,0,1
Interino,48,0.36,0.03,71,0.53,0.03,14,0.1,0.03,1,0.01,0.03,97,0.72,0.03,33,0.25,0.03,4,0.03,0.06,0,0,0,71,0.53,0.03,53,0.4,0.03,10,0.08,0.03,0,0,0,91,0.68,0.03,39,0.29,0.03,4,0.03,0.04,0,0,0,94,0.7,0.03,35,0.26,0.03,5,0.04,0.04,0,0,0,93,0.69,0.03,36,0.27,0.03,5,0.04,0.05,0,0,0,101,0.75,0.03,28,0.21,0.03,5,0.04,0.09,0,0,0,90,0.67,0.03,38,0.28,0.03,6,0.05,0.06,0,0,0,95,0.71,0.03,37,0.28,0.04,2,0.02,0.02,0,0,0
No tengo nombramiento,136,0.29,0.09,268,0.58,0.12,52,0.11,0.12,6,0.01,0.17,286,0.62,0.1,165,0.36,0.14,11,0.02,0.18,0,0,0,196,0.42,0.09,207,0.45,0.12,59,0.13,0.19,0,0,0,255,0.55,0.09,191,0.41,0.16,15,0.03,0.16,1,0,0.33,284,0.62,0.1,158,0.34,0.13,20,0.04,0.16,0,0,0,268,0.58,0.09,173,0.37,0.14,21,0.05,0.19,0,0,0,330,0.71,0.1,119,0.26,0.14,13,0.03,0.24,0,0,0,277,0.6,0.1,162,0.35,0.13,22,0.05,0.22,1,0,0.14,305,0.66,0.1,145,0.31,0.14,12,0.03,0.14,0,0,0
Otro,112,0.36,0.08,160,0.51,0.07,36,0.12,0.08,3,0.01,0.09,206,0.66,0.07,98,0.32,0.08,7,0.02,0.11,0,0,0,150,0.48,0.07,134,0.43,0.08,25,0.08,0.08,2,0.01,0.29,206,0.66,0.07,98,0.32,0.08,7,0.02,0.08,0,0,0,197,0.63,0.07,98,0.32,0.08,14,0.05,0.11,2,0.01,0.17,196,0.63,0.07,100,0.32,0.08,15,0.05,0.14,0,0,0,232,0.75,0.07,75,0.24,0.09,3,0.01,0.06,1,0,0.33,206,0.66,0.07,96,0.31,0.08,8,0.03,0.08,1,0,0.14,218,0.7,0.07,87,0.28,0.08,6,0.02,0.07,0,0,0
GENERAL PÚBLICA,921,0.33,0.62,1526,0.55,0.66,306,0.11,0.71,27,0.01,0.77,1980,0.71,0.66,759,0.27,0.65,40,0.01,0.64,1,0,0.33,1364,0.49,0.64,1180,0.42,0.66,231,0.08,0.74,5,0,0.71,1921,0.69,0.66,794,0.29,0.65,63,0.02,0.68,2,0,0.67,1883,0.68,0.65,804,0.29,0.67,82,0.03,0.66,11,0,0.92,1874,0.67,0.65,822,0.3,0.66,79,0.03,0.72,5,0,0.71,2213,0.8,0.66,533,0.19,0.64,32,0.01,0.58,2,0,0.67,1898,0.68,0.65,811,0.29,0.66,66,0.02,0.65,5,0,0.71,2052,0.74,0.66,673,0.24,0.64,52,0.02,0.6,3,0,0.6
INDÍGENAS,162,0.44,0.11,176,0.48,0.08,29,0.08,0.07,2,0.01,0.06,239,0.65,0.08,122,0.33,0.1,6,0.02,0.1,2,0.01,0.67,171,0.46,0.08,174,0.47,0.1,23,0.06,0.07,1,0,0.14,231,0.63,0.08,131,0.36,0.11,6,0.02,0.07,1,0,0.33,244,0.66,0.08,113,0.31,0.09,11,0.03,0.09,1,0,0.08,218,0.59,0.08,139,0.38,0.11,11,0.03,0.1,1,0,0.14,262,0.71,0.08,96,0.26,0.12,10,0.03,0.18,1,0,0.33,230,0.62,0.08,122,0.33,0.1,16,0.04,0.16,1,0,0.14,251,0.68,0.08,105,0.29,0.1,12,0.03,0.14,1,0,0.2
TÉCNICA,216,0.39,0.15,296,0.53,0.13,45,0.08,0.1,4,0.01,0.11,430,0.77,0.14,122,0.22,0.1,9,0.02,0.14,0,0,0,343,0.61,0.16,201,0.36,0.11,17,0.03,0.05,0,0,0,418,0.75,0.14,134,0.24,0.11,9,0.02,0.1,0,0,0,419,0.75,0.14,133,0.24,0.11,9,0.02,0.07,0,0,0,429,0.77,0.15,125,0.22,0.1,6,0.01,0.06,1,0,0.14,465,0.83,0.14,88,0.16,0.11,8,0.01,0.15,0,0,0,414,0.74,0.14,138,0.25,0.11,8,0.01,0.08,1,0,0.14,418,0.75,0.13,131,0.23,0.13,11,0.02,0.13,1,0,0.2
TELESECUNDARIA,185,0.34,0.13,303,0.56,0.13,53,0.1,0.12,2,0,0.06,365,0.67,0.12,170,0.31,0.15,8,0.02,0.13,0,0,0,259,0.48,0.12,240,0.44,0.13,43,0.08,0.14,1,0,0.14,357,0.66,0.12,171,0.32,0.14,15,0.03,0.16,0,0,0,367,0.68,0.13,154,0.28,0.13,22,0.04,0.18,0,0,0,361,0.67,0.13,168,0.31,0.13,14,0.03,0.13,0,0,0,423,0.78,0.13,115,0.21,0.14,5,0.01,0.09,0,0,0,369,0.68,0.13,162,0.3,0.13,12,0.02,0.12,0,0,0,392,0.72,0.13,139,0.26,0.13,12,0.02,0.14,0,0,0
Total,1484,0.35,1,2301,0.54,1,433,0.1,1,35,0.01,1,3014,0.71,1,1173,0.28,1,63,0.02,1,3,0,1,2137,0.5,1,1795,0.42,1,314,0.07,1,7,0,1,2927,0.69,1,1230,0.29,1,93,0.02,1,3,0,1,2913,0.69,1,1204,0.28,1,124,0.03,1,12,0,1,2882,0.68,1,1254,0.3,1,110,0.03,1,7,0,1,3363,0.79,1,832,0.2,1,55,0.01,1,3,0,1,2911,0.68,1,1233,0.29,1,102,0.02,1,7,0,1,3113,0.73,1,1048,0.25,1,87,0.02,1,5,0,1
