Variable,B2-A-Totalmente de acuerdo-Recuento,B2-A-Totalmente de acuerdo-% del N de fila,B2-A-Totalmente de acuerdo-% de N columnas,B2-A-De acuerdo-Recuento,B2-A-De acuerdo-% del N de fila,B2-A-De acuerdo-% de N columnas,B2-A-En desacuerdo-Recuento,B2-A-En desacuerdo-% del N de fila,B2-A-En desacuerdo-% de N columnas,B2-A-Totalmente en desacuerdo-Recuento,B2-A-Totalmente en desacuerdo-% del N de fila,B2-A-Totalmente en desacuerdo-% de N columnas,B2-B-Totalmente de acuerdo-Recuento,B2-B-Totalmente de acuerdo-% del N de fila,B2-B-Totalmente de acuerdo-% de N columnas,B2-B-De acuerdo-Recuento,B2-B-De acuerdo-% del N de fila,B2-B-De acuerdo-% de N columnas,B2-B-En desacuerdo-Recuento,B2-B-En desacuerdo-% del N de fila,B2-B-En desacuerdo-% de N columnas,B2-B-Totalmente en desacuerdo-Recuento,B2-B-Totalmente en desacuerdo-% del N de fila,B2-B-Totalmente en desacuerdo-% de N columnas,B2-C-Totalmente de acuerdo-Recuento,B2-C-Totalmente de acuerdo-% del N de fila,B2-C-Totalmente de acuerdo-% de N columnas,B2-C-De acuerdo-Recuento,B2-C-De acuerdo-% del N de fila,B2-C-De acuerdo-% de N columnas,B2-C-En desacuerdo-Recuento,B2-C-En desacuerdo-% del N de fila,B2-C-En desacuerdo-% de N columnas,B2-C-Totalmente en desacuerdo-Recuento,B2-C-Totalmente en desacuerdo-% del N de fila,B2-C-Totalmente en desacuerdo-% de N columnas,B2-D-Totalmente de acuerdo-Recuento,B2-D-Totalmente de acuerdo-% del N de fila,B2-D-Totalmente de acuerdo-% de N columnas,B2-D-De acuerdo-Recuento,B2-D-De acuerdo-% del N de fila,B2-D-De acuerdo-% de N columnas,B2-D-En desacuerdo-Recuento,B2-D-En desacuerdo-% del N de fila,B2-D-En desacuerdo-% de N columnas,B2-D-Totalmente en desacuerdo-Recuento,B2-D-Totalmente en desacuerdo-% del N de fila,B2-D-Totalmente en desacuerdo-% de N columnas,B2-E-Totalmente de acuerdo-Recuento,B2-E-Totalmente de acuerdo-% del N de fila,B2-E-Totalmente de acuerdo-% de N columnas,B2-E-Totalmente de acuerdo-Recuento,B2-E-Totalmente de acuerdo-% del N de fila,B2-E-Totalmente de acuerdo-% de N columnas,B2-E-En desacuerdo-Recuento,B2-E-En desacuerdo-% del N de fila,B2-E-En desacuerdo-% de N columnas,B2-E-Totalmente en desacuerdo-Recuento,B2-E-Totalmente en desacuerdo-% del N de fila,B2-E-Totalmente en desacuerdo-% de N columnas,B2-F-Totalmente de acuerdo-Recuento,B2-F-Totalmente de acuerdo-% del N de fila,B2-F-Totalmente de acuerdo-% de N columnas,B2-F-De acuerdo-Recuento,B2-F-De acuerdo-% del N de fila,B2-F-De acuerdo-% de N columnas,B2-F-En desacuerdo-Recuento,B2-F-En desacuerdo-% del N de fila,B2-F-En desacuerdo-% de N columnas,B2-F-Totalmente en desacuerdo-Recuento,B2-F-Totalmente en desacuerdo-% del N de fila,B2-F-Totalmente en desacuerdo-% de N columnas,B2-G-Totalmente de acuerdo-Recuento,B2-G-Totalmente de acuerdo-% del N de fila,B2-G-Totalmente de acuerdo-% de N columnas,B2-G-De acuerdo-Recuento,B2-G-De acuerdo-% del N de fila,B2-G-De acuerdo-% de N columnas,B2-G-En desacuerdo-Recuento,B2-G-En desacuerdo-% del N de fila,B2-G-En desacuerdo-% de N columnas,B2-G-Totalmente en desacuerdo-Recuento,B2-G-Totalmente en desacuerdo-% del N de fila,B2-G-Totalmente en desacuerdo-% de N columnas,B2-H-Totalmente de acuerdo-Recuento,B2-H-Totalmente de acuerdo-% del N de fila,B2-H-Totalmente de acuerdo-% de N columnas,B2-H-De acuerdo-Recuento,B2-H-De acuerdo-% del N de fila,B2-H-De acuerdo-% de N columnas,B2-H-En desacuerdo-Recuento,B2-H-En desacuerdo-% del N de fila,B2-H-En desacuerdo-% de N columnas,B2-H-Totalmente en desacuerdo-Recuento,B2-H-Totalmente en desacuerdo-% del N de fila,B2-H-Totalmente en desacuerdo-% de N columnas,B2-I-Totalmente de acuerdo-Recuento,B2-I-Totalmente de acuerdo-% del N de fila,B2-I-Totalmente de acuerdo-% de N columnas,B2-I-De acuerdo-Recuento,B2-I-De acuerdo-% del N de fila,B2-I-De acuerdo-% de N columnas,B2-I-En desacuerdo-Recuento,B2-I-En desacuerdo-% del N de fila,B2-I-En desacuerdo-% de N columnas,B2-I-Totalmente en desacuerdo-Recuento,B2-I-Totalmente en desacuerdo-% del N de fila,B2-I-Totalmente en desacuerdo-% de N columnas
TLAXCALA,163,0.491,0.026,160,0.482,0.033,7,0.021,0.045,2,0.006,0.1,154,0.464,0.025,175,0.527,0.034,3,0.009,0.017,0,0,0,160,0.482,0.027,168,0.506,0.031,4,0.012,0.04,0,0,0,140,0.422,0.026,181,0.545,0.031,11,0.033,0.04,0,0,0,160,0.482,0.026,164,0.494,0.032,8,0.024,0.044,0,0,0,123,0.37,0.026,202,0.608,0.032,6,0.018,0.022,1,0.003,0.063,132,0.398,0.026,190,0.572,0.032,10,0.03,0.032,0,0,0,139,0.419,0.027,188,0.566,0.031,5,0.015,0.021,0,0,0,147,0.443,0.027,182,0.548,0.032,3,0.009,0.014,0,0,0
VERACRUZ,61,0.484,0.01,63,0.5,0.013,2,0.016,0.013,0,0,0,59,0.468,0.01,65,0.516,0.013,2,0.016,0.011,0,0,0,56,0.444,0.01,69,0.548,0.013,1,0.008,0.01,0,0,0,51,0.405,0.01,74,0.587,0.013,1,0.008,0.004,0,0,0,58,0.46,0.01,65,0.516,0.013,3,0.024,0.016,0,0,0,49,0.389,0.01,73,0.579,0.011,4,0.032,0.014,0,0,0,54,0.429,0.011,68,0.54,0.011,4,0.032,0.013,0,0,0,46,0.365,0.009,79,0.627,0.013,1,0.008,0.004,0,0,0,55,0.437,0.01,68,0.54,0.012,3,0.024,0.014,0,0,0
YUCATÁN,145,0.558,0.023,114,0.438,0.023,1,0.004,0.006,0,0,0,143,0.55,0.024,112,0.431,0.022,5,0.019,0.028,0,0,0,133,0.512,0.023,125,0.481,0.023,2,0.008,0.02,0,0,0,129,0.496,0.024,123,0.473,0.021,8,0.031,0.029,0,0,0,141,0.542,0.023,114,0.438,0.022,5,0.019,0.027,0,0,0,103,0.396,0.022,152,0.585,0.024,5,0.019,0.018,0,0,0,119,0.458,0.023,134,0.515,0.022,7,0.027,0.022,0,0,0,116,0.446,0.023,137,0.527,0.023,7,0.027,0.03,0,0,0,135,0.519,0.024,120,0.462,0.021,5,0.019,0.023,0,0,0
ZACATECAS,405,0.548,0.064,322,0.436,0.066,8,0.011,0.052,4,0.005,0.2,369,0.499,0.061,353,0.478,0.068,16,0.022,0.089,1,0.001,0.063,367,0.497,0.062,363,0.491,0.067,7,0.009,0.069,2,0.003,0.25,314,0.425,0.059,397,0.537,0.068,25,0.034,0.091,3,0.004,0.176,389,0.526,0.064,335,0.453,0.065,11,0.015,0.06,4,0.005,0.2,284,0.384,0.06,430,0.582,0.067,23,0.031,0.082,2,0.003,0.125,306,0.414,0.06,410,0.555,0.068,20,0.027,0.063,3,0.004,0.091,306,0.414,0.06,412,0.558,0.068,18,0.024,0.077,3,0.004,0.167,326,0.441,0.059,400,0.541,0.071,11,0.015,0.051,2,0.003,0.133
Hombre,1834,0.533,0.289,1542,0.449,0.314,57,0.017,0.368,5,0.001,0.25,1754,0.51,0.29,1615,0.47,0.312,62,0.018,0.346,7,0.002,0.438,1710,0.497,0.29,1684,0.49,0.31,41,0.012,0.406,3,0.001,0.375,1530,0.445,0.287,1808,0.526,0.312,97,0.028,0.351,3,0.001,0.176,1732,0.504,0.284,1642,0.478,0.32,58,0.017,0.319,6,0.002,0.3,1346,0.392,0.283,1989,0.579,0.312,98,0.029,0.351,5,0.001,0.313,1466,0.426,0.289,1868,0.543,0.311,92,0.027,0.29,12,0.003,0.364,1476,0.429,0.288,1877,0.546,0.31,78,0.023,0.333,7,0.002,0.389,1614,0.469,0.291,1746,0.508,0.308,73,0.021,0.34,5,0.001,0.333
Mujer,4510,0.564,0.711,3368,0.421,0.686,98,0.012,0.632,15,0.002,0.75,4301,0.538,0.71,3564,0.446,0.688,117,0.015,0.654,9,0.001,0.563,4180,0.523,0.71,3746,0.469,0.69,60,0.008,0.594,5,0.001,0.625,3806,0.476,0.713,3992,0.5,0.688,179,0.022,0.649,14,0.002,0.824,4357,0.545,0.716,3496,0.437,0.68,124,0.016,0.681,14,0.002,0.7,3408,0.426,0.717,4391,0.549,0.688,181,0.023,0.649,11,0.001,0.688,3607,0.451,0.711,4138,0.518,0.689,225,0.028,0.71,21,0.003,0.636,3642,0.456,0.712,4182,0.523,0.69,156,0.02,0.667,11,0.001,0.611,3924,0.491,0.709,3915,0.49,0.692,142,0.018,0.66,10,0.001,0.667
18 a 20 años,34,0.415,0.005,46,0.561,0.009,2,0.024,0.013,0,0,0,37,0.451,0.006,42,0.512,0.008,3,0.037,0.017,0,0,0,36,0.439,0.006,44,0.537,0.008,2,0.024,0.02,0,0,0,33,0.402,0.006,45,0.549,0.008,3,0.037,0.011,1,0.012,0.059,38,0.463,0.006,40,0.488,0.008,3,0.037,0.016,1,0.012,0.05,28,0.341,0.006,51,0.622,0.008,3,0.037,0.011,0,0,0,27,0.329,0.005,53,0.646,0.009,2,0.024,0.006,0,0,0,30,0.366,0.006,49,0.598,0.008,3,0.037,0.013,0,0,0,33,0.402,0.006,46,0.561,0.008,2,0.024,0.009,1,0.012,0.067
21 a 30 años,1434,0.601,0.226,921,0.386,0.188,25,0.01,0.161,5,0.002,0.25,1362,0.571,0.225,987,0.414,0.191,33,0.014,0.184,3,0.001,0.188,1308,0.548,0.222,1051,0.441,0.194,23,0.01,0.228,3,0.001,0.375,1212,0.508,0.227,1121,0.47,0.193,48,0.02,0.174,4,0.002,0.235,1422,0.596,0.234,926,0.388,0.18,34,0.014,0.187,3,0.001,0.15,1095,0.459,0.23,1235,0.518,0.194,51,0.021,0.183,4,0.002,0.25,1112,0.466,0.219,1177,0.494,0.196,86,0.036,0.271,10,0.004,0.303,1108,0.465,0.216,1204,0.505,0.199,68,0.029,0.291,5,0.002,0.278,1255,0.526,0.227,1082,0.454,0.191,44,0.018,0.205,4,0.002,0.267
31 a 40 años,2236,0.554,0.352,1746,0.432,0.356,52,0.013,0.335,5,0.001,0.25,2126,0.526,0.351,1845,0.457,0.356,64,0.016,0.358,4,0.001,0.25,2089,0.517,0.355,1916,0.474,0.353,33,0.008,0.327,1,0,0.125,1897,0.47,0.356,2041,0.505,0.352,97,0.024,0.351,4,0.001,0.235,2181,0.54,0.358,1805,0.447,0.351,48,0.012,0.264,5,0.001,0.25,1707,0.423,0.359,2253,0.558,0.353,78,0.019,0.28,1,0,0.063,1824,0.452,0.36,2109,0.522,0.351,98,0.024,0.309,8,0.002,0.242,1807,0.447,0.353,2145,0.531,0.354,81,0.02,0.346,6,0.001,0.333,1938,0.48,0.35,2029,0.502,0.358,70,0.017,0.326,2,0,0.133
41 a 50 años,1729,0.542,0.273,1407,0.441,0.287,48,0.015,0.31,8,0.003,0.4,1669,0.523,0.276,1463,0.458,0.282,53,0.017,0.296,7,0.002,0.438,1612,0.505,0.274,1546,0.484,0.285,31,0.01,0.307,3,0.001,0.375,1442,0.452,0.27,1656,0.519,0.286,91,0.029,0.33,3,0.001,0.176,1615,0.506,0.265,1504,0.471,0.293,68,0.021,0.374,5,0.002,0.25,1263,0.396,0.266,1821,0.57,0.285,100,0.031,0.358,8,0.003,0.5,1366,0.428,0.269,1730,0.542,0.288,86,0.027,0.271,10,0.003,0.303,1400,0.439,0.274,1739,0.545,0.287,49,0.015,0.209,4,0.001,0.222,1487,0.466,0.269,1633,0.512,0.288,66,0.021,0.307,6,0.002,0.4
51 a 60 años,790,0.516,0.125,713,0.466,0.145,25,0.016,0.161,2,0.001,0.1,750,0.49,0.124,754,0.493,0.146,25,0.016,0.14,1,0.001,0.063,738,0.482,0.125,779,0.509,0.143,12,0.008,0.119,1,0.001,0.125,652,0.426,0.122,840,0.549,0.145,34,0.022,0.123,4,0.003,0.235,727,0.475,0.119,773,0.505,0.15,25,0.016,0.137,5,0.003,0.25,581,0.38,0.122,906,0.592,0.142,40,0.026,0.143,3,0.002,0.188,651,0.425,0.128,834,0.545,0.139,41,0.027,0.129,4,0.003,0.121,670,0.438,0.131,826,0.54,0.136,31,0.02,0.132,3,0.002,0.167,715,0.467,0.129,784,0.512,0.138,29,0.019,0.135,2,0.001,0.133
61 a 70 años,111,0.59,0.017,74,0.394,0.015,3,0.016,0.019,0,0,0,102,0.543,0.017,84,0.447,0.016,1,0.005,0.006,1,0.005,0.063,99,0.527,0.017,89,0.473,0.016,0,0,0,0,0,0,92,0.489,0.017,92,0.489,0.016,3,0.016,0.011,1,0.005,0.059,100,0.532,0.016,83,0.441,0.016,4,0.021,0.022,1,0.005,0.05,73,0.388,0.015,109,0.58,0.017,6,0.032,0.022,0,0,0,85,0.452,0.017,98,0.521,0.016,4,0.021,0.013,1,0.005,0.03,93,0.495,0.018,93,0.495,0.015,2,0.011,0.009,0,0,0,100,0.532,0.018,84,0.447,0.015,4,0.021,0.019,0,0,0
71 a 80 años,10,0.769,0.002,3,0.231,0.001,0,0,0,0,0,0,9,0.692,0.001,4,0.308,0.001,0,0,0,0,0,0,8,0.615,0.001,5,0.385,0.001,0,0,0,0,0,0,8,0.615,0.001,5,0.385,0.001,0,0,0,0,0,0,6,0.462,0.001,7,0.538,0.001,0,0,0,0,0,0,7,0.538,0.001,5,0.385,0.001,1,0.077,0.004,0,0,0,8,0.615,0.002,5,0.385,0.001,0,0,0,0,0,0,10,0.769,0.002,3,0.231,0,0,0,0,0,0,0,10,0.769,0.002,3,0.231,0.001,0,0,0,0,0,0
81 a 90 años,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91 a 99 años,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Preparatoria, bachillerato o carrera técnica",18,0.5,0.003,17,0.472,0.003,1,0.028,0.006,0,0,0,19,0.528,0.003,16,0.444,0.003,1,0.028,0.006,0,0,0,16,0.444,0.003,19,0.528,0.003,0,0,0,1,0.028,0.125,13,0.361,0.002,21,0.583,0.004,1,0.028,0.004,1,0.028,0.059,17,0.472,0.003,18,0.5,0.004,1,0.028,0.005,0,0,0,12,0.333,0.003,22,0.611,0.003,2,0.056,0.007,0,0,0,16,0.444,0.003,19,0.528,0.003,1,0.028,0.003,0,0,0,15,0.417,0.003,20,0.556,0.003,1,0.028,0.004,0,0,0,16,0.444,0.003,19,0.528,0.003,1,0.028,0.005,0,0,0
Normal básica sin licenciatura,237,0.516,0.037,215,0.468,0.044,7,0.015,0.045,0,0,0,216,0.471,0.036,239,0.521,0.046,4,0.009,0.022,0,0,0,201,0.438,0.034,253,0.551,0.047,5,0.011,0.05,0,0,0,185,0.403,0.035,258,0.562,0.044,15,0.033,0.054,1,0.002,0.059,212,0.462,0.035,239,0.521,0.047,7,0.015,0.038,1,0.002,0.05,158,0.344,0.033,290,0.632,0.045,11,0.024,0.039,0,0,0,174,0.379,0.034,266,0.58,0.044,18,0.039,0.057,1,0.002,0.03,191,0.416,0.037,258,0.562,0.043,9,0.02,0.038,1,0.002,0.056,201,0.438,0.036,251,0.547,0.044,7,0.015,0.033,0,0,0
Normal superior,133,0.564,0.021,97,0.411,0.02,5,0.021,0.032,1,0.004,0.05,124,0.525,0.02,108,0.458,0.021,3,0.013,0.017,1,0.004,0.063,118,0.5,0.02,116,0.492,0.021,2,0.008,0.02,0,0,0,101,0.428,0.019,131,0.555,0.023,3,0.013,0.011,1,0.004,0.059,117,0.496,0.019,116,0.492,0.023,3,0.013,0.016,0,0,0,99,0.419,0.021,131,0.555,0.021,5,0.021,0.018,1,0.004,0.063,94,0.398,0.019,135,0.572,0.022,6,0.025,0.019,1,0.004,0.03,105,0.445,0.021,124,0.525,0.02,7,0.03,0.03,0,0,0,103,0.436,0.019,128,0.542,0.023,5,0.021,0.023,0,0,0
Normal Intercultural Bilingüe,56,0.528,0.009,50,0.472,0.01,0,0,0,0,0,0,64,0.604,0.011,42,0.396,0.008,0,0,0,0,0,0,60,0.566,0.01,46,0.434,0.008,0,0,0,0,0,0,56,0.528,0.01,50,0.472,0.009,0,0,0,0,0,0,62,0.585,0.01,42,0.396,0.008,2,0.019,0.011,0,0,0,49,0.462,0.01,56,0.528,0.009,1,0.009,0.004,0,0,0,51,0.481,0.01,53,0.5,0.009,2,0.019,0.006,0,0,0,53,0.5,0.01,52,0.491,0.009,1,0.009,0.004,0,0,0,59,0.557,0.011,46,0.434,0.008,1,0.009,0.005,0,0,0
Licenciatura,4679,0.546,0.738,3770,0.44,0.768,113,0.013,0.729,13,0.002,0.65,4483,0.523,0.74,3938,0.459,0.76,143,0.017,0.799,11,0.001,0.688,4335,0.506,0.736,4164,0.486,0.767,71,0.008,0.703,5,0.001,0.625,3956,0.461,0.741,4420,0.515,0.762,191,0.022,0.692,8,0.001,0.471,4497,0.524,0.739,3924,0.458,0.764,142,0.017,0.78,12,0.001,0.6,3460,0.403,0.728,4896,0.571,0.767,209,0.024,0.749,10,0.001,0.625,3720,0.434,0.733,4597,0.536,0.765,235,0.027,0.741,23,0.003,0.697,3741,0.436,0.731,4649,0.542,0.767,172,0.02,0.735,13,0.002,0.722,4080,0.476,0.737,4321,0.504,0.763,165,0.019,0.767,9,0.001,0.6
Especialidad,40,0.533,0.006,33,0.44,0.007,2,0.027,0.013,0,0,0,41,0.547,0.007,30,0.4,0.006,4,0.053,0.022,0,0,0,39,0.52,0.007,33,0.44,0.006,3,0.04,0.03,0,0,0,36,0.48,0.007,34,0.453,0.006,4,0.053,0.014,1,0.013,0.059,43,0.573,0.007,29,0.387,0.006,2,0.027,0.011,1,0.013,0.05,37,0.493,0.008,34,0.453,0.005,4,0.053,0.014,0,0,0,39,0.52,0.008,31,0.413,0.005,5,0.067,0.016,0,0,0,39,0.52,0.008,33,0.44,0.005,3,0.04,0.013,0,0,0,40,0.533,0.007,31,0.413,0.005,4,0.053,0.019,0,0,0
Maestría,1074,0.603,0.169,678,0.381,0.138,23,0.013,0.148,5,0.003,0.25,1010,0.567,0.167,744,0.418,0.144,23,0.013,0.128,3,0.002,0.188,1024,0.575,0.174,735,0.413,0.135,19,0.011,0.188,2,0.001,0.25,910,0.511,0.171,806,0.453,0.139,60,0.034,0.217,4,0.002,0.235,1044,0.587,0.171,706,0.397,0.137,25,0.014,0.137,5,0.003,0.25,855,0.48,0.18,874,0.491,0.137,46,0.026,0.165,5,0.003,0.313,899,0.505,0.177,826,0.464,0.138,47,0.026,0.148,8,0.004,0.242,886,0.498,0.173,853,0.479,0.141,38,0.021,0.162,3,0.002,0.167,949,0.533,0.171,796,0.447,0.141,30,0.017,0.14,5,0.003,0.333
Doctorado,103,0.665,0.016,48,0.31,0.01,4,0.026,0.026,0,0,0,95,0.613,0.016,59,0.381,0.011,1,0.006,0.006,0,0,0,94,0.606,0.016,61,0.394,0.011,0,0,0,0,0,0,76,0.49,0.014,77,0.497,0.013,2,0.013,0.007,0,0,0,94,0.606,0.015,61,0.394,0.012,0,0,0,0,0,0,81,0.523,0.017,73,0.471,0.011,1,0.006,0.004,0,0,0,77,0.497,0.015,76,0.49,0.013,2,0.013,0.006,0,0,0,85,0.548,0.017,67,0.432,0.011,3,0.019,0.013,0,0,0,87,0.561,0.016,66,0.426,0.012,2,0.013,0.009,0,0,0
Posdoctorado,4,0.571,0.001,2,0.286,0,0,0,0,1,0.143,0.05,3,0.429,0,3,0.429,0.001,0,0,0,1,0.143,0.063,3,0.429,0.001,3,0.429,0.001,1,0.143,0.01,0,0,0,3,0.429,0.001,3,0.429,0.001,0,0,0,1,0.143,0.059,3,0.429,0,3,0.429,0.001,0,0,0,1,0.143,0.05,3,0.429,0.001,4,0.571,0.001,0,0,0,0,0,0,3,0.429,0.001,3,0.429,0,1,0.143,0.003,0,0,0,3,0.429,0.001,3,0.429,0,0,0,0,1,0.143,0.056,3,0.429,0.001,3,0.429,0.001,0,0,0,1,0.143,0.067
Menor o igual a 10,2497,0.591,0.394,1667,0.395,0.34,53,0.013,0.342,7,0.002,0.35,2373,0.562,0.392,1779,0.421,0.344,68,0.016,0.38,4,0.001,0.25,2284,0.541,0.388,1896,0.449,0.349,41,0.01,0.406,3,0.001,0.375,2128,0.504,0.399,2006,0.475,0.346,83,0.02,0.301,7,0.002,0.412,2461,0.583,0.404,1699,0.402,0.331,59,0.014,0.324,5,0.001,0.25,1935,0.458,0.407,2196,0.52,0.344,89,0.021,0.319,4,0.001,0.25,1979,0.469,0.39,2085,0.494,0.347,144,0.034,0.454,16,0.004,0.485,1979,0.469,0.387,2132,0.505,0.352,108,0.026,0.462,5,0.001,0.278,2190,0.518,0.395,1951,0.462,0.345,79,0.019,0.367,4,0.001,0.267
11 a 20,2056,0.533,0.324,1741,0.452,0.355,52,0.013,0.335,7,0.002,0.35,1979,0.513,0.327,1804,0.468,0.348,67,0.017,0.374,6,0.002,0.375,1941,0.503,0.33,1878,0.487,0.346,36,0.009,0.356,1,0,0.125,1746,0.453,0.327,2001,0.519,0.345,106,0.027,0.384,3,0.001,0.176,1989,0.516,0.327,1797,0.466,0.35,63,0.016,0.346,7,0.002,0.35,1538,0.399,0.324,2221,0.576,0.348,93,0.024,0.333,4,0.001,0.25,1671,0.433,0.329,2089,0.542,0.348,90,0.023,0.284,6,0.002,0.182,1667,0.432,0.326,2112,0.548,0.349,70,0.018,0.299,7,0.002,0.389,1774,0.46,0.32,2000,0.519,0.353,78,0.02,0.363,4,0.001,0.267
21 a 30,1791,0.535,0.282,1502,0.448,0.306,50,0.015,0.323,6,0.002,0.3,1703,0.509,0.281,1596,0.477,0.308,44,0.013,0.246,6,0.002,0.375,1665,0.497,0.283,1656,0.494,0.305,24,0.007,0.238,4,0.001,0.5,1462,0.437,0.274,1793,0.535,0.309,87,0.026,0.315,7,0.002,0.412,1639,0.489,0.269,1642,0.49,0.32,60,0.018,0.33,8,0.002,0.4,1281,0.383,0.269,1963,0.586,0.308,97,0.029,0.348,8,0.002,0.5,1423,0.425,0.281,1832,0.547,0.305,83,0.025,0.262,11,0.003,0.333,1472,0.44,0.288,1815,0.542,0.3,56,0.017,0.239,6,0.002,0.333,1574,0.47,0.284,1710,0.511,0.302,58,0.017,0.27,7,0.002,0.467
31 a 40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41 a 50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mayor o igual a 51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Definitivo o base,5897,0.552,0.93,4609,0.432,0.939,151,0.014,0.974,18,0.002,0.9,5631,0.527,0.93,4855,0.455,0.937,175,0.016,0.978,14,0.001,0.875,5474,0.513,0.929,5096,0.477,0.938,97,0.009,0.96,8,0.001,1,4941,0.463,0.926,5452,0.511,0.94,266,0.025,0.964,16,0.001,0.941,5653,0.53,0.928,4830,0.452,0.94,173,0.016,0.951,19,0.002,0.95,4391,0.411,0.924,6002,0.562,0.941,266,0.025,0.953,16,0.001,1,4693,0.44,0.925,5655,0.53,0.942,294,0.028,0.927,33,0.003,1,4745,0.444,0.927,5699,0.534,0.941,214,0.02,0.915,17,0.002,0.944,5130,0.481,0.926,5329,0.499,0.941,202,0.019,0.94,14,0.001,0.933
Interino,234,0.626,0.037,140,0.374,0.029,0,0,0,0,0,0,209,0.559,0.035,162,0.433,0.031,3,0.008,0.017,0,0,0,208,0.556,0.035,164,0.439,0.03,2,0.005,0.02,0,0,0,195,0.521,0.037,173,0.463,0.03,6,0.016,0.022,0,0,0,210,0.561,0.034,161,0.43,0.031,3,0.008,0.016,0,0,0,182,0.487,0.038,188,0.503,0.029,4,0.011,0.014,0,0,0,193,0.516,0.038,169,0.452,0.028,12,0.032,0.038,0,0,0,188,0.503,0.037,176,0.471,0.029,10,0.027,0.043,0,0,0,202,0.54,0.036,162,0.433,0.029,9,0.024,0.042,1,0.003,0.067
Tiempo fijo,149,0.573,0.023,108,0.415,0.022,2,0.008,0.013,1,0.004,0.05,150,0.577,0.025,108,0.415,0.021,1,0.004,0.006,1,0.004,0.063,145,0.558,0.025,113,0.435,0.021,2,0.008,0.02,0,0,0,138,0.531,0.026,118,0.454,0.02,3,0.012,0.011,1,0.004,0.059,155,0.596,0.025,103,0.396,0.02,1,0.004,0.005,1,0.004,0.05,132,0.508,0.028,123,0.473,0.019,5,0.019,0.018,0,0,0,134,0.515,0.026,121,0.465,0.02,5,0.019,0.016,0,0,0,136,0.523,0.027,116,0.446,0.019,7,0.027,0.03,1,0.004,0.056,148,0.569,0.027,110,0.423,0.019,2,0.008,0.009,0,0,0
No tengo nombramiento,5,0.417,0.001,7,0.583,0.001,0,0,0,0,0,0,4,0.333,0.001,8,0.667,0.002,0,0,0,0,0,0,3,0.25,0.001,9,0.75,0.002,0,0,0,0,0,0,5,0.417,0.001,7,0.583,0.001,0,0,0,0,0,0,5,0.417,0.001,5,0.417,0.001,2,0.167,0.011,0,0,0,4,0.333,0.001,7,0.583,0.001,1,0.083,0.004,0,0,0,5,0.417,0.001,6,0.5,0.001,1,0.083,0.003,0,0,0,3,0.25,0.001,9,0.75,0.001,0,0,0,0,0,0,5,0.417,0.001,7,0.583,0.001,0,0,0,0,0,0
