Variable,B2-A-Mucho-Recuento,B2-A-Mucho-% del N de fila,B2-A-Mucho-% de N columnas,B2-A-Regular-Recuento,B2-A-Regular-% del N de fila,B2-A-Regular-% de N columnas,B2-A-Poco-Recuento,B2-A-Poco-% del N de fila,B2-A-Poco-% de N columnas,B2-A-Nada-Recuento,B2-A-Nada-% del N de fila,B2-A-Nada-% de N columnas,B2-B-Mucho-Recuento,B2-B-Mucho-% del N de fila,B2-B-Mucho-% de N columnas,B2-B-Regular-Recuento,B2-B-Regular-% del N de fila,B2-B-Regular-% de N columnas,B2-B-Poco-Recuento,B2-B-Poco-% del N de fila,B2-B-Poco-% de N columnas,B2-B-Nada-Recuento,B2-B-Nada-% del N de fila,B2-B-Nada-% de N columnas,B2-C-Mucho-Recuento,B2-C-Mucho-% del N de fila,B2-C-Mucho-% de N columnas,B2-C-Regular-Recuento,B2-C-Regular-% del N de fila,B2-C-Regular-% de N columnas,B2-C-Poco-Recuento,B2-C-Poco-% del N de fila,B2-C-Poco-% de N columnas,B2-C-Nada-Recuento,B2-C-Nada-% del N de fila,B2-C-Nada-% de N columnas,B2-D-Mucho-Recuento,B2-D-Mucho-% del N de fila,B2-D-Mucho-% de N columnas,B2-D-Regular-Recuento,B2-D-Regular-% del N de fila,B2-D-Regular-% de N columnas,B2-D-Poco-Recuento,B2-D-Poco-% del N de fila,B2-D-Poco-% de N columnas,B2-D-Nada-Recuento,B2-D-Nada-% del N de fila,B2-D-Nada-% de N columnas,B2-E-Mucho-Recuento,B2-E-Mucho-% del N de fila,B2-E-Mucho-% de N columnas,B2-E-Mucho-Recuento,B2-E-Mucho-% del N de fila,B2-E-Mucho-% de N columnas,B2-E-Poco-Recuento,B2-E-Poco-% del N de fila,B2-E-Poco-% de N columnas,B2-E-Nada-Recuento,B2-E-Nada-% del N de fila,B2-E-Nada-% de N columnas,B2-F-Mucho-Recuento,B2-F-Mucho-% del N de fila,B2-F-Mucho-% de N columnas,B2-F-Regular-Recuento,B2-F-Regular-% del N de fila,B2-F-Regular-% de N columnas,B2-F-Poco-Recuento,B2-F-Poco-% del N de fila,B2-F-Poco-% de N columnas,B2-F-Nada-Recuento,B2-F-Nada-% del N de fila,B2-F-Nada-% de N columnas
11 a 20,1131,0.58,0.36,739,0.38,0.38,70,0.04,0.36,12,0.01,0.43,1063,0.55,0.36,777,0.4,0.38,104,0.05,0.38,8,0,0.4,1017,0.52,0.36,819,0.42,0.37,113,0.06,0.39,3,0,0.38,892,0.46,0.35,894,0.46,0.38,155,0.08,0.39,11,0.01,0.65,927,0.48,0.35,864,0.44,0.38,156,0.08,0.42,5,0,0.42,831,0.43,0.35,908,0.47,0.38,201,0.1,0.39,12,0.01,0.48
21 a 30,849,0.56,0.27,604,0.4,0.31,62,0.04,0.32,10,0.01,0.36,832,0.55,0.28,611,0.4,0.3,74,0.05,0.27,8,0.01,0.4,812,0.53,0.29,617,0.41,0.28,91,0.06,0.31,5,0,0.63,765,0.5,0.3,636,0.42,0.27,120,0.08,0.3,4,0,0.24,755,0.5,0.28,646,0.42,0.28,123,0.08,0.33,1,0,0.08,747,0.49,0.31,637,0.42,0.27,134,0.09,0.26,7,0.01,0.28
31 a 40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41 a 50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mayor o igual a 51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Definitivo o base,2937,0.59,0.93,1818,0.37,0.93,178,0.04,0.92,27,0.01,0.96,2759,0.56,0.93,1934,0.39,0.93,248,0.05,0.9,19,0,0.95,2628,0.53,0.92,2054,0.41,0.94,270,0.05,0.92,8,0,1,2378,0.48,0.93,2196,0.44,0.93,370,0.08,0.94,16,0,0.94,2470,0.5,0.93,2128,0.43,0.93,352,0.07,0.94,10,0,0.83,2206,0.45,0.92,2243,0.45,0.93,488,0.1,0.94,23,0.01,0.92
Interino,93,0.59,0.03,59,0.37,0.03,6,0.04,0.03,0,0,0,88,0.56,0.03,61,0.39,0.03,9,0.06,0.03,0,0,0,85,0.54,0.03,66,0.42,0.03,7,0.04,0.02,0,0,0,71,0.45,0.03,78,0.49,0.03,9,0.06,0.02,0,0,0,78,0.49,0.03,74,0.47,0.03,6,0.04,0.02,0,0,0,72,0.46,0.03,77,0.49,0.03,9,0.06,0.02,0,0,0
Tiempo fijo (temporal por un tiempo determinado),60,0.64,0.02,30,0.32,0.02,4,0.04,0.02,0,0,0,50,0.53,0.02,34,0.36,0.02,10,0.11,0.04,0,0,0,55,0.59,0.02,33,0.35,0.02,6,0.06,0.02,0,0,0,50,0.53,0.02,37,0.39,0.02,7,0.07,0.02,0,0,0,53,0.56,0.02,32,0.34,0.01,8,0.09,0.02,1,0.01,0.08,47,0.5,0.02,34,0.36,0.01,12,0.13,0.02,1,0.01,0.04
No tengo nombramiento,21,0.66,0.01,9,0.28,0.01,2,0.06,0.01,0,0,0,19,0.59,0.01,10,0.31,0.01,3,0.09,0.01,0,0,0,23,0.72,0.01,7,0.22,0,2,0.06,0.01,0,0,0,19,0.59,0.01,12,0.38,0.01,1,0.03,0,0,0,0,20,0.63,0.01,10,0.31,0,2,0.06,0.01,0,0,0,18,0.56,0.01,11,0.34,0.01,3,0.09,0.01,0,0,0
Otro,59,0.63,0.02,30,0.32,0.02,3,0.03,0.02,1,0.01,0.04,52,0.56,0.02,34,0.37,0.02,6,0.07,0.02,1,0.01,0.05,55,0.59,0.02,30,0.32,0.01,8,0.09,0.03,0,0,0,43,0.46,0.02,41,0.44,0.02,8,0.09,0.02,1,0.01,0.06,45,0.48,0.02,39,0.42,0.02,8,0.09,0.02,1,0.01,0.08,44,0.47,0.02,38,0.41,0.02,10,0.11,0.02,1,0.01,0.04
Unitaria,126,0.6,0.04,76,0.36,0.04,6,0.03,0.03,1,0.01,0.04,113,0.54,0.04,87,0.42,0.04,9,0.04,0.03,0,0,0,111,0.53,0.04,88,0.42,0.04,10,0.05,0.03,0,0,0,97,0.46,0.04,94,0.45,0.04,17,0.08,0.04,1,0.01,0.06,97,0.46,0.04,99,0.47,0.04,12,0.06,0.03,1,0.01,0.08,84,0.4,0.04,103,0.49,0.04,20,0.1,0.04,2,0.01,0.08
Multigrado,248,0.63,0.08,135,0.34,0.07,8,0.02,0.04,1,0,0.04,242,0.62,0.08,139,0.36,0.07,9,0.02,0.03,2,0.01,0.1,233,0.59,0.08,146,0.37,0.07,12,0.03,0.04,1,0,0.13,209,0.53,0.08,165,0.42,0.07,16,0.04,0.04,2,0.01,0.12,204,0.52,0.08,167,0.43,0.07,18,0.05,0.05,3,0.01,0.25,184,0.47,0.08,177,0.45,0.07,29,0.07,0.06,2,0.01,0.08
Organización completa,2796,0.59,0.88,1735,0.37,0.89,179,0.04,0.93,26,0.01,0.93,2613,0.55,0.88,1847,0.39,0.89,258,0.05,0.94,18,0,0.9,2502,0.53,0.88,1956,0.41,0.89,271,0.06,0.93,7,0,0.88,2255,0.48,0.88,2105,0.44,0.89,362,0.08,0.92,14,0,0.82,2365,0.5,0.89,2017,0.43,0.88,346,0.07,0.92,8,0,0.67,2119,0.45,0.89,2123,0.45,0.88,473,0.1,0.91,21,0,0.84
Total,3170,0.59,1,1946,0.37,1,193,0.04,1,28,0.01,1,2968,0.56,1,2073,0.39,1,276,0.05,1,20,0,1,2846,0.53,1,2190,0.41,1,293,0.06,1,8,0,1,2561,0.48,1,2364,0.44,1,395,0.07,1,17,0,1,2666,0.5,1,2283,0.43,1,376,0.07,1,12,0,1,2387,0.45,1,2403,0.45,1,522,0.1,1,25,0.01,1
