Variable,B2-A-Totalmente de acuerdo-Recuento,B2-A-Totalmente de acuerdo-% del N de fila,B2-A-Totalmente de acuerdo-% de N columnas,B2-A-De acuerdo-Recuento,B2-A-De acuerdo-% del N de fila,B2-A-De acuerdo-% de N columnas,B2-A-En desacuerdo-Recuento,B2-A-En desacuerdo-% del N de fila,B2-A-En desacuerdo-% de N columnas,B2-A-Totalmente en desacuerdo-Recuento,B2-A-Totalmente en desacuerdo-% del N de fila,B2-A-Totalmente en desacuerdo-% de N columnas,B2-B-Totalmente de acuerdo-Recuento,B2-B-Totalmente de acuerdo-% del N de fila,B2-B-Totalmente de acuerdo-% de N columnas,B2-B-De acuerdo-Recuento,B2-B-De acuerdo-% del N de fila,B2-B-De acuerdo-% de N columnas,B2-B-En desacuerdo-Recuento,B2-B-En desacuerdo-% del N de fila,B2-B-En desacuerdo-% de N columnas,B2-B-Totalmente en desacuerdo-Recuento,B2-B-Totalmente en desacuerdo-% del N de fila,B2-B-Totalmente en desacuerdo-% de N columnas,B2-C-Totalmente de acuerdo-Recuento,B2-C-Totalmente de acuerdo-% del N de fila,B2-C-Totalmente de acuerdo-% de N columnas,B2-C-De acuerdo-Recuento,B2-C-De acuerdo-% del N de fila,B2-C-De acuerdo-% de N columnas,B2-C-En desacuerdo-Recuento,B2-C-En desacuerdo-% del N de fila,B2-C-En desacuerdo-% de N columnas,B2-C-Totalmente en desacuerdo-Recuento,B2-C-Totalmente en desacuerdo-% del N de fila,B2-C-Totalmente en desacuerdo-% de N columnas,B2-D-Totalmente de acuerdo-Recuento,B2-D-Totalmente de acuerdo-% del N de fila,B2-D-Totalmente de acuerdo-% de N columnas,B2-D-De acuerdo-Recuento,B2-D-De acuerdo-% del N de fila,B2-D-De acuerdo-% de N columnas,B2-D-En desacuerdo-Recuento,B2-D-En desacuerdo-% del N de fila,B2-D-En desacuerdo-% de N columnas,B2-D-Totalmente en desacuerdo-Recuento,B2-D-Totalmente en desacuerdo-% del N de fila,B2-D-Totalmente en desacuerdo-% de N columnas,B2-E-Totalmente de acuerdo-Recuento,B2-E-Totalmente de acuerdo-% del N de fila,B2-E-Totalmente de acuerdo-% de N columnas,B2-E-Totalmente de acuerdo-Recuento,B2-E-Totalmente de acuerdo-% del N de fila,B2-E-Totalmente de acuerdo-% de N columnas,B2-E-En desacuerdo-Recuento,B2-E-En desacuerdo-% del N de fila,B2-E-En desacuerdo-% de N columnas,B2-E-Totalmente en desacuerdo-Recuento,B2-E-Totalmente en desacuerdo-% del N de fila,B2-E-Totalmente en desacuerdo-% de N columnas,B2-F-Totalmente de acuerdo-Recuento,B2-F-Totalmente de acuerdo-% del N de fila,B2-F-Totalmente de acuerdo-% de N columnas,B2-F-De acuerdo-Recuento,B2-F-De acuerdo-% del N de fila,B2-F-De acuerdo-% de N columnas,B2-F-En desacuerdo-Recuento,B2-F-En desacuerdo-% del N de fila,B2-F-En desacuerdo-% de N columnas,B2-F-Totalmente en desacuerdo-Recuento,B2-F-Totalmente en desacuerdo-% del N de fila,B2-F-Totalmente en desacuerdo-% de N columnas,B2-G-Totalmente de acuerdo-Recuento,B2-G-Totalmente de acuerdo-% del N de fila,B2-G-Totalmente de acuerdo-% de N columnas,B2-G-De acuerdo-Recuento,B2-G-De acuerdo-% del N de fila,B2-G-De acuerdo-% de N columnas,B2-G-En desacuerdo-Recuento,B2-G-En desacuerdo-% del N de fila,B2-G-En desacuerdo-% de N columnas,B2-G-Totalmente en desacuerdo-Recuento,B2-G-Totalmente en desacuerdo-% del N de fila,B2-G-Totalmente en desacuerdo-% de N columnas,B2-H-Totalmente de acuerdo-Recuento,B2-H-Totalmente de acuerdo-% del N de fila,B2-H-Totalmente de acuerdo-% de N columnas,B2-H-De acuerdo-Recuento,B2-H-De acuerdo-% del N de fila,B2-H-De acuerdo-% de N columnas,B2-H-En desacuerdo-Recuento,B2-H-En desacuerdo-% del N de fila,B2-H-En desacuerdo-% de N columnas,B2-H-Totalmente en desacuerdo-Recuento,B2-H-Totalmente en desacuerdo-% del N de fila,B2-H-Totalmente en desacuerdo-% de N columnas,B2-I-Totalmente de acuerdo-Recuento,B2-I-Totalmente de acuerdo-% del N de fila,B2-I-Totalmente de acuerdo-% de N columnas,B2-I-De acuerdo-Recuento,B2-I-De acuerdo-% del N de fila,B2-I-De acuerdo-% de N columnas,B2-I-En desacuerdo-Recuento,B2-I-En desacuerdo-% del N de fila,B2-I-En desacuerdo-% de N columnas,B2-I-Totalmente en desacuerdo-Recuento,B2-I-Totalmente en desacuerdo-% del N de fila,B2-I-Totalmente en desacuerdo-% de N columnas
TLAXCALA,91,0.58,0.04,63,0.4,0.04,3,0.02,0.03,0,0,0,90,0.57,0.04,62,0.4,0.04,4,0.03,0.02,1,0.01,0.04,90,0.57,0.03,63,0.4,0.04,4,0.03,0.06,0,0,0,87,0.55,0.04,68,0.43,0.04,2,0.01,0.02,0,0,0,83,0.53,0.04,63,0.4,0.04,8,0.05,0.03,3,0.02,0.09,80,0.51,0.04,75,0.48,0.04,2,0.01,0.02,0,0,0,93,0.59,0.04,62,0.4,0.04,2,0.01,0.02,0,0,0,83,0.53,0.03,69,0.44,0.04,5,0.03,0.04,0,0,0,87,0.55,0.03,64,0.41,0.04,5,0.03,0.05,1,0.01,0.06
VERACRUZ,67,0.6,0.03,42,0.38,0.03,3,0.03,0.03,0,0,0,60,0.54,0.02,45,0.4,0.03,6,0.05,0.03,1,0.01,0.04,56,0.5,0.02,54,0.48,0.04,1,0.01,0.01,1,0.01,0.08,56,0.5,0.02,52,0.46,0.03,4,0.04,0.03,0,0,0,61,0.55,0.03,44,0.39,0.03,5,0.05,0.02,2,0.02,0.06,50,0.45,0.02,58,0.52,0.03,4,0.04,0.04,0,0,0,61,0.55,0.03,46,0.41,0.03,4,0.04,0.04,1,0.01,0.09,60,0.54,0.03,46,0.41,0.03,4,0.04,0.03,2,0.02,0.11,58,0.52,0.02,49,0.44,0.03,5,0.05,0.05,0,0,0
YUCATÁN,56,0.55,0.02,43,0.43,0.03,2,0.02,0.02,0,0,0,53,0.53,0.02,41,0.41,0.03,7,0.07,0.04,0,0,0,56,0.55,0.02,43,0.43,0.03,2,0.02,0.03,0,0,0,48,0.48,0.02,49,0.49,0.03,4,0.04,0.03,0,0,0,52,0.52,0.02,43,0.43,0.03,6,0.06,0.02,0,0,0,45,0.45,0.02,51,0.51,0.03,5,0.05,0.05,0,0,0,54,0.54,0.02,44,0.44,0.03,3,0.03,0.03,0,0,0,54,0.54,0.02,44,0.44,0.03,2,0.02,0.02,1,0.01,0.06,52,0.52,0.02,47,0.47,0.03,2,0.02,0.02,0,0,0
ZACATECAS,112,0.6,0.04,73,0.39,0.05,1,0.01,0.01,1,0.01,0.06,101,0.54,0.04,82,0.44,0.05,3,0.02,0.02,1,0.01,0.04,120,0.64,0.05,65,0.35,0.04,1,0.01,0.01,1,0.01,0.08,112,0.6,0.05,72,0.39,0.04,3,0.02,0.02,0,0,0,95,0.51,0.04,81,0.43,0.05,11,0.06,0.05,0,0,0,98,0.52,0.04,85,0.46,0.05,4,0.02,0.04,0,0,0,112,0.6,0.05,69,0.37,0.04,6,0.03,0.06,0,0,0,101,0.54,0.04,81,0.43,0.05,5,0.03,0.04,0,0,0,111,0.59,0.04,72,0.39,0.05,4,0.02,0.04,0,0,0
Hombre,1119,0.6,0.43,685,0.37,0.44,42,0.02,0.37,7,0,0.44,1107,0.6,0.44,681,0.37,0.44,59,0.03,0.33,6,0,0.25,1152,0.62,0.44,670,0.36,0.44,28,0.02,0.38,3,0,0.23,1044,0.56,0.44,767,0.41,0.44,39,0.02,0.3,3,0,0.43,1040,0.56,0.44,716,0.39,0.45,92,0.05,0.37,5,0,0.16,966,0.52,0.43,840,0.45,0.44,44,0.02,0.41,3,0,0.33,1087,0.59,0.44,719,0.39,0.43,43,0.02,0.42,4,0,0.36,1061,0.57,0.44,736,0.4,0.44,51,0.03,0.38,5,0,0.28,1124,0.61,0.44,681,0.37,0.43,44,0.02,0.4,4,0,0.25
Mujer,1458,0.61,0.57,862,0.36,0.56,71,0.03,0.63,9,0,0.56,1388,0.58,0.56,875,0.37,0.56,119,0.05,0.67,18,0.01,0.75,1478,0.62,0.56,867,0.36,0.56,45,0.02,0.62,10,0,0.77,1322,0.55,0.56,981,0.41,0.56,93,0.04,0.71,4,0,0.57,1325,0.55,0.56,893,0.37,0.56,155,0.07,0.63,27,0.01,0.84,1274,0.53,0.57,1057,0.44,0.56,63,0.03,0.59,6,0,0.67,1394,0.58,0.56,940,0.39,0.57,59,0.03,0.58,7,0,0.64,1359,0.57,0.56,944,0.39,0.56,84,0.04,0.62,13,0.01,0.72,1425,0.59,0.56,896,0.37,0.57,67,0.03,0.6,12,0.01,0.75
18 a 20 años,6,0.6,0,4,0.4,0,0,0,0,0,0,0,3,0.3,0,7,0.7,0,0,0,0,0,0,0,4,0.4,0,6,0.6,0,0,0,0,0,0,0,4,0.4,0,6,0.6,0,0,0,0,0,0,0,2,0.2,0,8,0.8,0.01,0,0,0,0,0,0,3,0.3,0,7,0.7,0,0,0,0,0,0,0,4,0.4,0,6,0.6,0,0,0,0,0,0,0,2,0.2,0,8,0.8,0.01,0,0,0,0,0,0,3,0.3,0,7,0.7,0,0,0,0,0,0,0
21 a 30 años,141,0.69,0.06,56,0.27,0.04,7,0.03,0.06,1,0.01,0.06,139,0.68,0.06,54,0.26,0.04,11,0.05,0.06,1,0.01,0.04,132,0.64,0.05,66,0.32,0.04,6,0.03,0.08,1,0.01,0.08,124,0.61,0.05,74,0.36,0.04,7,0.03,0.05,0,0,0,132,0.64,0.06,56,0.27,0.04,15,0.07,0.06,2,0.01,0.06,110,0.54,0.05,89,0.43,0.05,6,0.03,0.06,0,0,0,127,0.62,0.05,74,0.36,0.05,4,0.02,0.04,0,0,0,123,0.6,0.05,75,0.37,0.05,7,0.03,0.05,0,0,0,127,0.62,0.05,72,0.35,0.05,6,0.03,0.05,0,0,0
31 a 40 años,581,0.59,0.23,387,0.39,0.25,21,0.02,0.19,4,0,0.25,552,0.56,0.22,393,0.4,0.25,41,0.04,0.23,7,0.01,0.29,595,0.6,0.23,377,0.38,0.25,17,0.02,0.23,4,0,0.31,534,0.54,0.23,420,0.42,0.24,36,0.04,0.27,3,0,0.43,534,0.54,0.23,384,0.39,0.24,65,0.07,0.26,10,0.01,0.31,522,0.53,0.23,442,0.45,0.23,27,0.03,0.25,2,0,0.22,560,0.56,0.23,407,0.41,0.25,24,0.02,0.24,2,0,0.18,541,0.55,0.22,417,0.42,0.25,31,0.03,0.23,4,0,0.22,578,0.58,0.23,379,0.38,0.24,31,0.03,0.28,5,0.01,0.31
41 a 50 años,780,0.62,0.3,441,0.35,0.29,32,0.03,0.28,5,0,0.31,740,0.59,0.3,458,0.36,0.29,53,0.04,0.3,7,0.01,0.29,784,0.62,0.3,450,0.36,0.29,21,0.02,0.29,3,0,0.23,702,0.56,0.3,512,0.41,0.29,43,0.03,0.33,1,0,0.14,703,0.56,0.3,475,0.38,0.3,71,0.06,0.29,9,0.01,0.28,641,0.51,0.29,572,0.46,0.3,42,0.03,0.39,3,0,0.33,740,0.59,0.3,480,0.38,0.29,34,0.03,0.33,4,0,0.36,701,0.56,0.29,506,0.4,0.3,43,0.03,0.32,8,0.01,0.44,745,0.59,0.29,478,0.38,0.3,30,0.02,0.27,5,0,0.31
51 a 60 años,746,0.59,0.29,468,0.37,0.3,42,0.03,0.37,5,0,0.31,742,0.59,0.3,460,0.37,0.3,52,0.04,0.29,7,0.01,0.29,784,0.62,0.3,454,0.36,0.3,19,0.02,0.26,4,0,0.31,709,0.56,0.3,516,0.41,0.3,33,0.03,0.25,3,0,0.43,675,0.54,0.29,502,0.4,0.31,76,0.06,0.31,8,0.01,0.25,670,0.53,0.3,568,0.45,0.3,21,0.02,0.2,2,0,0.22,723,0.57,0.29,506,0.4,0.31,30,0.02,0.29,2,0,0.18,730,0.58,0.3,489,0.39,0.29,41,0.03,0.3,1,0,0.06,751,0.6,0.3,473,0.38,0.3,35,0.03,0.32,2,0,0.13
61 a 70 años,283,0.61,0.11,169,0.36,0.11,11,0.02,0.1,1,0,0.06,278,0.6,0.11,163,0.35,0.11,21,0.05,0.12,2,0,0.08,287,0.62,0.11,166,0.36,0.11,10,0.02,0.14,1,0,0.08,254,0.55,0.11,198,0.43,0.11,12,0.03,0.09,0,0,0,277,0.6,0.12,164,0.35,0.1,20,0.04,0.08,3,0.01,0.09,256,0.55,0.11,195,0.42,0.1,11,0.02,0.1,2,0,0.22,285,0.61,0.12,166,0.36,0.1,10,0.02,0.1,3,0.01,0.27,281,0.61,0.12,165,0.36,0.1,13,0.03,0.1,5,0.01,0.28,303,0.65,0.12,148,0.32,0.09,9,0.02,0.08,4,0.01,0.25
71 a 80 años,40,0.65,0.02,22,0.36,0.01,0,0,0,0,0,0,41,0.66,0.02,21,0.34,0.01,0,0,0,0,0,0,44,0.71,0.02,18,0.29,0.01,0,0,0,0,0,0,39,0.63,0.02,22,0.36,0.01,1,0.02,0.01,0,0,0,42,0.68,0.02,20,0.32,0.01,0,0,0,0,0,0,38,0.61,0.02,24,0.39,0.01,0,0,0,0,0,0,42,0.68,0.02,20,0.32,0.01,0,0,0,0,0,0,42,0.68,0.02,20,0.32,0.01,0,0,0,0,0,0,42,0.68,0.02,20,0.32,0.01,0,0,0,0,0,0
81 a 90 años,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91 a 99 años,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Preparatoria, bachillerato o carrera técnica",11,0.61,0,7,0.39,0.01,0,0,0,0,0,0,13,0.72,0.01,5,0.28,0,0,0,0,0,0,0,12,0.67,0.01,6,0.33,0,0,0,0,0,0,0,12,0.67,0.01,6,0.33,0,0,0,0,0,0,0,12,0.67,0.01,6,0.33,0,0,0,0,0,0,0,12,0.67,0.01,6,0.33,0,0,0,0,0,0,0,11,0.61,0,7,0.39,0,0,0,0,0,0,0,10,0.56,0,8,0.44,0.01,0,0,0,0,0,0,9,0.5,0,9,0.5,0.01,0,0,0,0,0,0
Normal básica sin licenciatura,35,0.41,0.01,48,0.56,0.03,2,0.02,0.02,1,0.01,0.06,44,0.51,0.02,39,0.45,0.03,3,0.04,0.02,0,0,0,38,0.44,0.01,47,0.55,0.03,1,0.01,0.01,0,0,0,36,0.42,0.02,48,0.56,0.03,2,0.02,0.02,0,0,0,33,0.38,0.01,47,0.55,0.03,5,0.06,0.02,1,0.01,0.03,33,0.38,0.02,52,0.61,0.03,1,0.01,0.01,0,0,0,36,0.42,0.02,49,0.57,0.03,1,0.01,0.01,0,0,0,40,0.47,0.02,43,0.5,0.03,3,0.04,0.02,0,0,0,40,0.47,0.02,44,0.51,0.03,2,0.02,0.02,0,0,0
Normal superior,143,0.59,0.06,91,0.38,0.06,6,0.03,0.05,2,0.01,0.13,144,0.6,0.06,87,0.36,0.06,7,0.03,0.04,4,0.02,0.17,143,0.59,0.05,94,0.39,0.06,4,0.02,0.06,1,0,0.08,131,0.54,0.06,104,0.43,0.06,6,0.03,0.05,1,0,0.14,138,0.57,0.06,91,0.38,0.06,10,0.04,0.04,3,0.01,0.09,118,0.49,0.05,117,0.48,0.06,7,0.03,0.07,0,0,0,134,0.55,0.05,101,0.42,0.06,7,0.03,0.07,0,0,0,139,0.57,0.06,95,0.39,0.06,8,0.03,0.06,0,0,0,143,0.59,0.06,93,0.38,0.06,5,0.02,0.05,1,0,0.06
Normal Intercultural Bilingüe,3,0.6,0,2,0.4,0,0,0,0,0,0,0,3,0.6,0,2,0.4,0,0,0,0,0,0,0,3,0.6,0,2,0.4,0,0,0,0,0,0,0,3,0.6,0,2,0.4,0,0,0,0,0,0,0,3,0.6,0,2,0.4,0,0,0,0,0,0,0,3,0.6,0,2,0.4,0,0,0,0,0,0,0,3,0.6,0,2,0.4,0,0,0,0,0,0,0,3,0.6,0,2,0.4,0,0,0,0,0,0,0,3,0.6,0,2,0.4,0,0,0,0,0,0,0
Licenciatura,1064,0.58,0.41,713,0.39,0.46,51,0.03,0.45,6,0,0.38,1044,0.57,0.42,691,0.38,0.44,92,0.05,0.52,7,0,0.29,1085,0.59,0.41,714,0.39,0.47,30,0.02,0.41,5,0,0.39,974,0.53,0.41,797,0.44,0.46,61,0.03,0.46,2,0,0.29,988,0.54,0.42,721,0.39,0.45,108,0.06,0.44,17,0.01,0.53,890,0.49,0.4,896,0.49,0.47,44,0.02,0.41,4,0,0.44,1020,0.56,0.41,761,0.42,0.46,46,0.03,0.45,7,0,0.64,994,0.54,0.41,774,0.42,0.46,58,0.03,0.43,8,0,0.44,1069,0.58,0.42,701,0.38,0.45,58,0.03,0.52,6,0,0.38
Especialidad,28,0.57,0.01,18,0.37,0.01,3,0.06,0.03,0,0,0,27,0.55,0.01,19,0.39,0.01,3,0.06,0.02,0,0,0,36,0.74,0.01,12,0.25,0.01,1,0.02,0.01,0,0,0,30,0.61,0.01,17,0.35,0.01,2,0.04,0.02,0,0,0,27,0.55,0.01,16,0.33,0.01,6,0.12,0.02,0,0,0,30,0.61,0.01,18,0.37,0.01,1,0.02,0.01,0,0,0,34,0.69,0.01,13,0.27,0.01,2,0.04,0.02,0,0,0,27,0.55,0.01,19,0.39,0.01,3,0.06,0.02,0,0,0,33,0.67,0.01,14,0.29,0.01,2,0.04,0.02,0,0,0
Maestría,1003,0.64,0.39,523,0.33,0.34,38,0.02,0.34,5,0,0.31,929,0.59,0.37,578,0.37,0.37,52,0.03,0.29,10,0.01,0.42,1005,0.64,0.38,531,0.34,0.35,29,0.02,0.4,4,0,0.31,901,0.57,0.38,620,0.4,0.36,44,0.03,0.33,4,0,0.57,888,0.57,0.38,587,0.37,0.37,85,0.05,0.34,9,0.01,0.28,887,0.57,0.4,637,0.41,0.34,42,0.03,0.39,3,0,0.33,955,0.61,0.39,580,0.37,0.35,32,0.02,0.31,2,0,0.18,924,0.59,0.38,594,0.38,0.35,45,0.03,0.33,6,0,0.33,954,0.61,0.37,581,0.37,0.37,28,0.02,0.25,6,0,0.38
Doctorado,283,0.65,0.11,140,0.32,0.09,11,0.03,0.1,2,0.01,0.13,284,0.65,0.11,129,0.3,0.08,20,0.05,0.11,3,0.01,0.13,299,0.69,0.11,127,0.29,0.08,7,0.02,0.1,3,0.01,0.23,271,0.62,0.12,149,0.34,0.09,16,0.04,0.12,0,0,0,266,0.61,0.11,136,0.31,0.09,32,0.07,0.13,2,0.01,0.06,259,0.59,0.12,164,0.38,0.09,11,0.03,0.1,2,0.01,0.22,278,0.64,0.11,143,0.33,0.09,13,0.03,0.13,2,0.01,0.18,274,0.63,0.11,141,0.32,0.08,17,0.04,0.13,4,0.01,0.22,288,0.66,0.11,130,0.3,0.08,15,0.03,0.14,3,0.01,0.19
Posdoctorado,7,0.5,0,5,0.36,0,2,0.14,0.02,0,0,0,7,0.5,0,6,0.43,0,1,0.07,0.01,0,0,0,9,0.64,0,4,0.29,0,1,0.07,0.01,0,0,0,8,0.57,0,5,0.36,0,1,0.07,0.01,0,0,0,10,0.71,0,3,0.21,0,1,0.07,0,0,0,0,8,0.57,0,5,0.36,0,1,0.07,0.01,0,0,0,10,0.71,0,3,0.21,0,1,0.07,0.01,0,0,0,9,0.64,0,4,0.29,0,1,0.07,0.01,0,0,0,10,0.71,0,3,0.21,0,1,0.07,0.01,0,0,0
Menor o igual a 10,1776,0.62,0.69,1024,0.36,0.66,77,0.03,0.68,11,0,0.69,1699,0.59,0.68,1054,0.37,0.68,117,0.04,0.66,18,0.01,0.75,1813,0.63,0.69,1016,0.35,0.66,50,0.02,0.69,9,0,0.69,1628,0.56,0.69,1165,0.4,0.67,91,0.03,0.69,4,0,0.57,1617,0.56,0.68,1073,0.37,0.67,176,0.06,0.71,22,0.01,0.69,1542,0.53,0.69,1261,0.44,0.67,79,0.03,0.74,6,0,0.67,1705,0.59,0.69,1108,0.38,0.67,69,0.02,0.68,6,0,0.55,1649,0.57,0.68,1128,0.39,0.67,99,0.03,0.73,12,0,0.67,1734,0.6,0.68,1066,0.37,0.68,76,0.03,0.69,12,0,0.75
11 a 20,532,0.6,0.21,338,0.38,0.22,21,0.02,0.19,2,0,0.13,530,0.59,0.21,324,0.36,0.21,36,0.04,0.2,3,0,0.13,545,0.61,0.21,335,0.38,0.22,12,0.01,0.16,1,0,0.08,489,0.55,0.21,375,0.42,0.22,27,0.03,0.21,2,0,0.29,503,0.56,0.21,337,0.38,0.21,48,0.05,0.19,5,0.01,0.16,465,0.52,0.21,414,0.46,0.22,14,0.02,0.13,0,0,0,506,0.57,0.2,364,0.41,0.22,20,0.02,0.2,3,0,0.27,511,0.57,0.21,359,0.4,0.21,20,0.02,0.15,3,0,0.17,546,0.61,0.21,323,0.36,0.21,21,0.02,0.19,3,0,0.19
21 a 30,269,0.57,0.1,185,0.39,0.12,15,0.03,0.13,3,0.01,0.19,266,0.56,0.11,178,0.38,0.11,25,0.05,0.14,3,0.01,0.13,272,0.58,0.1,186,0.39,0.12,11,0.02,0.15,3,0.01,0.23,249,0.53,0.11,208,0.44,0.12,14,0.03,0.11,1,0,0.14,245,0.52,0.1,199,0.42,0.12,23,0.05,0.09,5,0.01,0.16,233,0.49,0.1,222,0.47,0.12,14,0.03,0.13,3,0.01,0.33,270,0.57,0.11,187,0.4,0.11,13,0.03,0.13,2,0,0.18,260,0.55,0.11,193,0.41,0.12,16,0.03,0.12,3,0.01,0.17,269,0.57,0.11,188,0.4,0.12,14,0.03,0.13,1,0,0.06
31 a 40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41 a 50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mayor o igual a 51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Definitivo o base,2047,0.61,0.79,1195,0.36,0.77,91,0.03,0.81,13,0,0.81,1973,0.59,0.79,1211,0.36,0.78,142,0.04,0.8,20,0.01,0.83,2111,0.63,0.8,1172,0.35,0.76,53,0.02,0.73,10,0,0.77,1883,0.56,0.8,1356,0.41,0.78,103,0.03,0.78,4,0,0.57,1860,0.56,0.79,1261,0.38,0.78,202,0.06,0.82,23,0.01,0.72,1809,0.54,0.81,1450,0.43,0.76,79,0.02,0.74,8,0,0.89,1978,0.59,0.8,1276,0.38,0.77,81,0.02,0.79,11,0,1,1927,0.58,0.8,1296,0.39,0.77,107,0.03,0.79,16,0.01,0.89,2033,0.61,0.8,1203,0.36,0.76,95,0.03,0.86,15,0,0.94
Interino,88,0.66,0.03,44,0.33,0.03,2,0.02,0.02,0,0,0,87,0.65,0.04,41,0.31,0.03,5,0.04,0.03,1,0.01,0.04,92,0.69,0.04,40,0.3,0.03,2,0.02,0.03,0,0,0,82,0.61,0.04,48,0.36,0.03,3,0.02,0.02,1,0.01,0.14,85,0.63,0.04,38,0.28,0.02,10,0.08,0.04,1,0.01,0.03,75,0.56,0.03,56,0.42,0.03,3,0.02,0.03,0,0,0,84,0.63,0.03,48,0.36,0.03,2,0.02,0.02,0,0,0,80,0.6,0.03,48,0.36,0.03,6,0.05,0.04,0,0,0,84,0.63,0.03,47,0.35,0.03,3,0.02,0.03,0,0,0
No tengo nombramiento,257,0.56,0.1,193,0.42,0.13,11,0.02,0.1,1,0,0.06,250,0.54,0.1,196,0.42,0.13,15,0.03,0.08,1,0,0.04,243,0.53,0.09,210,0.46,0.14,9,0.02,0.12,0,0,0,242,0.52,0.1,210,0.46,0.12,10,0.02,0.08,0,0,0,261,0.57,0.11,181,0.39,0.11,18,0.04,0.07,2,0,0.06,207,0.45,0.09,242,0.52,0.13,13,0.03,0.12,0,0,0,248,0.54,0.1,205,0.44,0.12,9,0.02,0.09,0,0,0,245,0.53,0.1,206,0.45,0.12,10,0.02,0.07,1,0,0.06,252,0.55,0.1,202,0.44,0.13,7,0.02,0.06,1,0,0.06
Otro,185,0.6,0.07,115,0.37,0.07,9,0.03,0.08,2,0.01,0.13,185,0.6,0.07,108,0.35,0.07,16,0.05,0.09,2,0.01,0.08,184,0.59,0.07,115,0.37,0.08,9,0.03,0.12,3,0.01,0.23,159,0.51,0.07,134,0.43,0.08,16,0.05,0.12,2,0.01,0.29,159,0.51,0.07,129,0.42,0.08,17,0.06,0.07,6,0.02,0.19,149,0.48,0.07,149,0.48,0.08,12,0.04,0.11,1,0,0.11,171,0.55,0.07,130,0.42,0.08,10,0.03,0.1,0,0,0,168,0.54,0.07,130,0.42,0.08,12,0.04,0.09,1,0,0.06,180,0.58,0.07,125,0.4,0.08,6,0.02,0.05,0,0,0
GENERAL PÚBLICA,1671,0.6,0.65,1020,0.37,0.66,81,0.03,0.72,8,0,0.5,1592,0.57,0.64,1046,0.38,0.67,128,0.05,0.72,14,0.01,0.58,1711,0.62,0.65,1009,0.36,0.66,52,0.02,0.71,8,0,0.62,1528,0.55,0.65,1158,0.42,0.66,92,0.03,0.7,2,0,0.29,1501,0.54,0.64,1086,0.39,0.68,171,0.06,0.69,22,0.01,0.69,1434,0.52,0.64,1273,0.46,0.67,67,0.02,0.63,6,0,0.67,1591,0.57,0.64,1117,0.4,0.67,67,0.02,0.66,5,0,0.46,1550,0.56,0.64,1128,0.41,0.67,90,0.03,0.67,12,0,0.67,1651,0.59,0.65,1043,0.38,0.66,75,0.03,0.68,11,0,0.69
