Variable,B4-A-Muy pertinente-Recuento,B4-A-Muy pertinente-% del N de fila,B4-A-Muy pertinente-% de N columnas,B4-A-Pertinente-Recuento,B4-A-Pertinente-% del N de fila,B4-A-Pertinente-% de N columnas,B4-A-Poco pertinente-Recuento,B4-A-Poco pertinente-% del N de fila,B4-A-Poco pertinente-% de N columnas,B4-A-Nada pertinente-Recuento,B4-A-Nada pertinente-% del N de fila,B4-A-Nada pertinente-% de N columnas,B4-B-Muy pertinente-Recuento,B4-B-Muy pertinente-% del N de fila,B4-B-Muy pertinente-% de N columnas,B4-B-Pertinente-Recuento,B4-B-Pertinente-% del N de fila,B4-B-Pertinente-% de N columnas,B4-B-Poco pertinente-Recuento,B4-B-Poco pertinente-% del N de fila,B4-B-Poco pertinente-% de N columnas,B4-B-Nada pertinente-Recuento,B4-B-Nada pertinente-% del N de fila,B4-B-Nada pertinente-% de N columnas,B4-C-Muy pertinente-Recuento,B4-C-Muy pertinente-% del N de fila,B4-C-Muy pertinente-% de N columnas,B4-C-Pertinente-Recuento,B4-C-Pertinente-% del N de fila,B4-C-Pertinente-% de N columnas,B4-C-Poco pertinente-Recuento,B4-C-Poco pertinente-% del N de fila,B4-C-Poco pertinente-% de N columnas,B4-C-Nada pertinente-Recuento,B4-C-Nada pertinente-% del N de fila,B4-C-Nada pertinente-% de N columnas,B4-D-Muy pertinente-Recuento,B4-D-Muy pertinente-% del N de fila,B4-D-Muy pertinente-% de N columnas,B4-D-Pertinente-Recuento,B4-D-Pertinente-% del N de fila,B4-D-Pertinente-% de N columnas,B4-D-Poco pertinente-Recuento,B4-D-Poco pertinente-% del N de fila,B4-D-Poco pertinente-% de N columnas,B4-D-Nada pertinente-Recuento,B4-D-Nada pertinente-% del N de fila,B4-D-Nada pertinente-% de N columnas,B4-E-Muy pertinente-Recuento,B4-E-Muy pertinente-% del N de fila,B4-E-Muy pertinente-% de N columnas,B4-E-Pertinente-Recuento,B4-E-Pertinente-% del N de fila,B4-E-Pertinente-% de N columnas,B4-E-Poco pertinente-Recuento,B4-E-Poco pertinente-% del N de fila,B4-E-Poco pertinente-% de N columnas,B4-E-Nada pertinente-Recuento,B4-E-Nada pertinente-% del N de fila,B4-E-Nada pertinente-% de N columnas,B4-F-Muy pertinente-Recuento,B4-F-Muy pertinente-% del N de fila,B4-F-Muy pertinente-% de N columnas,B4-F-Pertinente-Recuento,B4-F-Pertinente-% del N de fila,B4-F-Pertinente-% de N columnas,B4-F-Poco pertinente-Recuento,B4-F-Poco pertinente-% del N de fila,B4-F-Poco pertinente-% de N columnas,B4-F-Nada pertinente-Recuento,B4-F-Nada pertinente-% del N de fila,B4-F-Nada pertinente-% de N columnas,B4-G-Muy pertinente-Recuento,B4-G-Muy pertinente-% del N de fila,B4-G-Muy pertinente-% de N columnas,B4-G-Pertinente-Recuento,B4-G-Pertinente-% del N de fila,B4-G-Pertinente-% de N columnas,B4-G-Poco pertinente-Recuento,B4-G-Poco pertinente-% del N de fila,B4-G-Poco pertinente-% de N columnas,B4-G-Nada pertinente-Recuento,B4-G-Nada pertinente-% del N de fila,B4-G-Nada pertinente-% de N columnas
71 a 80 años,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81 a 90 años,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91 a 99 años,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Preparatoria, bachillerato o carrera técnica",14,0.31,0.01,29,0.64,0.01,2,0.04,0.01,0,0,0,13,0.29,0.01,29,0.64,0.01,3,0.07,0.01,0,0,0,14,0.31,0.01,30,0.67,0.01,1,0.02,0,0,0,0,9,0.2,0.01,30,0.67,0.01,5,0.11,0.01,1,0.02,0.03,11,0.24,0.01,31,0.69,0.01,2,0.04,0,1,0.02,0.02,10,0.22,0.01,30,0.67,0.01,4,0.09,0.01,1,0.02,0.03,9,0.2,0.01,29,0.64,0.01,6,0.13,0.01,1,0.02,0.02
Normal básica sin licenciatura,48,0.35,0.02,83,0.6,0.03,6,0.04,0.02,2,0.01,0.08,45,0.32,0.02,84,0.6,0.03,10,0.07,0.03,0,0,0,40,0.29,0.02,84,0.6,0.03,12,0.09,0.03,3,0.02,0.11,31,0.22,0.02,95,0.68,0.03,12,0.09,0.03,1,0.01,0.03,27,0.19,0.02,96,0.69,0.03,15,0.11,0.02,1,0.01,0.02,24,0.17,0.02,99,0.71,0.03,15,0.11,0.02,1,0.01,0.03,29,0.21,0.03,87,0.63,0.03,20,0.14,0.03,3,0.02,0.05
Normal superior,28,0.38,0.01,45,0.61,0.02,1,0.01,0,0,0,0,25,0.34,0.01,47,0.64,0.02,2,0.03,0.01,0,0,0,26,0.35,0.01,45,0.61,0.02,3,0.04,0.01,0,0,0,21,0.28,0.02,47,0.64,0.01,5,0.07,0.01,1,0.01,0.03,19,0.26,0.02,49,0.66,0.01,6,0.08,0.01,0,0,0,19,0.26,0.02,49,0.66,0.01,6,0.08,0.01,0,0,0,21,0.28,0.02,43,0.58,0.01,8,0.11,0.01,2,0.03,0.03
Normal Intercultural Bilingüe,2,0.4,0,3,0.6,0,0,0,0,0,0,0,2,0.4,0,3,0.6,0,0,0,0,0,0,0,2,0.4,0,3,0.6,0,0,0,0,0,0,0,2,0.4,0,3,0.6,0,0,0,0,0,0,0,2,0.4,0,3,0.6,0,0,0,0,0,0,0,2,0.4,0,3,0.6,0,0,0,0,0,0,0,1,0.2,0,4,0.8,0,0,0,0,0,0,0
Licenciatura,1674,0.4,0.79,2265,0.54,0.78,237,0.06,0.78,15,0,0.63,1511,0.36,0.79,2402,0.57,0.79,267,0.06,0.77,11,0,0.69,1427,0.34,0.79,2400,0.57,0.78,344,0.08,0.81,20,0.01,0.71,1021,0.24,0.79,2777,0.66,0.79,368,0.09,0.79,25,0.01,0.69,903,0.22,0.79,2702,0.65,0.79,552,0.13,0.78,34,0.01,0.76,947,0.23,0.79,2728,0.65,0.79,489,0.12,0.77,27,0.01,0.69,902,0.22,0.79,2692,0.64,0.79,553,0.13,0.77,44,0.01,0.73
Especialidad,6,0.27,0,14,0.64,0.01,2,0.09,0.01,0,0,0,6,0.27,0,15,0.68,0.01,1,0.05,0,0,0,0,5,0.23,0,16,0.73,0.01,1,0.05,0,0,0,0,3,0.14,0,14,0.64,0,5,0.23,0.01,0,0,0,2,0.09,0,16,0.73,0.01,4,0.18,0.01,0,0,0,2,0.09,0,16,0.73,0.01,4,0.18,0.01,0,0,0,4,0.18,0,11,0.5,0,6,0.27,0.01,1,0.05,0.02
Maestría,325,0.41,0.15,417,0.52,0.14,55,0.07,0.18,6,0.01,0.25,299,0.37,0.16,441,0.55,0.14,59,0.07,0.17,4,0.01,0.25,270,0.34,0.15,468,0.58,0.15,60,0.08,0.14,5,0.01,0.18,199,0.25,0.15,525,0.65,0.15,71,0.09,0.15,8,0.01,0.22,167,0.21,0.15,501,0.62,0.15,126,0.16,0.18,9,0.01,0.2,181,0.23,0.15,499,0.62,0.14,113,0.14,0.18,10,0.01,0.26,160,0.2,0.14,513,0.64,0.15,122,0.15,0.17,8,0.01,0.13
Doctorado,17,0.3,0.01,37,0.65,0.01,2,0.04,0.01,1,0.02,0.04,16,0.28,0.01,36,0.63,0.01,4,0.07,0.01,1,0.02,0.06,15,0.26,0.01,38,0.67,0.01,4,0.07,0.01,0,0,0,15,0.26,0.01,40,0.7,0.01,2,0.04,0,0,0,0,12,0.21,0.01,39,0.68,0.01,6,0.11,0.01,0,0,0,15,0.26,0.01,39,0.68,0.01,3,0.05,0.01,0,0,0,11,0.19,0.01,43,0.75,0.01,2,0.04,0,1,0.02,0.02
Posdoctorado,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Menor o igual a 10,776,0.42,0.37,967,0.52,0.33,108,0.06,0.35,9,0.01,0.38,694,0.37,0.36,1032,0.56,0.34,126,0.07,0.36,8,0,0.5,668,0.36,0.37,1024,0.55,0.33,155,0.08,0.37,13,0.01,0.46,491,0.26,0.38,1185,0.64,0.34,167,0.09,0.36,17,0.01,0.47,440,0.24,0.39,1142,0.61,0.33,256,0.14,0.36,22,0.01,0.49,456,0.25,0.38,1160,0.62,0.34,224,0.12,0.35,20,0.01,0.51,424,0.23,0.37,1161,0.62,0.34,255,0.14,0.36,20,0.01,0.33
11 a 20,757,0.39,0.36,1065,0.55,0.37,119,0.06,0.39,11,0.01,0.46,691,0.35,0.36,1121,0.57,0.37,133,0.07,0.38,7,0,0.44,620,0.32,0.35,1169,0.6,0.38,155,0.08,0.37,8,0,0.29,455,0.23,0.35,1307,0.67,0.37,178,0.09,0.38,12,0.01,0.33,390,0.2,0.34,1267,0.65,0.37,281,0.14,0.4,14,0.01,0.31,412,0.21,0.34,1288,0.66,0.37,240,0.12,0.38,12,0.01,0.31,396,0.2,0.35,1274,0.65,0.37,265,0.14,0.37,17,0.01,0.28
21 a 30,581,0.38,0.28,862,0.57,0.3,78,0.05,0.26,4,0,0.17,532,0.35,0.28,904,0.59,0.3,88,0.06,0.25,1,0,0.06,511,0.34,0.28,892,0.59,0.29,115,0.08,0.27,7,0.01,0.25,355,0.23,0.27,1040,0.68,0.29,123,0.08,0.26,7,0.01,0.19,313,0.21,0.27,1028,0.67,0.3,175,0.12,0.25,9,0.01,0.2,332,0.22,0.28,1015,0.67,0.29,171,0.11,0.27,7,0.01,0.18,317,0.21,0.28,987,0.65,0.29,198,0.13,0.28,23,0.02,0.38
31 a 40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41 a 50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mayor o igual a 51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Definitivo o base,1961,0.4,0.93,2687,0.54,0.93,288,0.06,0.94,24,0.01,1,1769,0.36,0.92,2850,0.58,0.93,325,0.07,0.94,16,0,1,1661,0.34,0.92,2869,0.58,0.93,403,0.08,0.95,27,0.01,0.96,1190,0.24,0.92,3297,0.67,0.93,439,0.09,0.94,34,0.01,0.94,1037,0.21,0.91,3199,0.65,0.93,682,0.14,0.96,42,0.01,0.93,1094,0.22,0.91,3229,0.65,0.93,601,0.12,0.95,36,0.01,0.92,1030,0.21,0.91,3194,0.64,0.93,678,0.14,0.94,58,0.01,0.97
Interino,63,0.4,0.03,86,0.54,0.03,9,0.06,0.03,0,0,0,66,0.42,0.03,80,0.51,0.03,12,0.08,0.04,0,0,0,61,0.39,0.03,87,0.55,0.03,10,0.06,0.02,0,0,0,49,0.31,0.04,99,0.63,0.03,9,0.06,0.02,1,0.01,0.03,54,0.34,0.05,91,0.58,0.03,13,0.08,0.02,0,0,0,51,0.32,0.04,92,0.58,0.03,15,0.1,0.02,0,0,0,48,0.3,0.04,100,0.63,0.03,10,0.06,0.01,0,0,0
Tiempo fijo,42,0.45,0.02,50,0.53,0.02,2,0.02,0.01,0,0,0,37,0.39,0.02,51,0.54,0.02,6,0.06,0.02,0,0,0,32,0.34,0.02,54,0.57,0.02,8,0.09,0.02,0,0,0,27,0.29,0.02,59,0.63,0.02,8,0.09,0.02,0,0,0,25,0.27,0.02,60,0.64,0.02,7,0.07,0.01,2,0.02,0.04,26,0.28,0.02,59,0.63,0.02,7,0.07,0.01,2,0.02,0.05,27,0.29,0.02,57,0.61,0.02,9,0.1,0.01,1,0.01,0.02
No tengo nombramiento,12,0.38,0.01,20,0.63,0.01,0,0,0,0,0,0,13,0.41,0.01,18,0.56,0.01,1,0.03,0,0,0,0,11,0.34,0.01,20,0.63,0.01,0,0,0,1,0.03,0.04,7,0.22,0.01,23,0.72,0.01,1,0.03,0,1,0.03,0.03,5,0.16,0,25,0.78,0.01,1,0.03,0,1,0.03,0.02,7,0.22,0.01,23,0.72,0.01,1,0.03,0,1,0.03,0.03,8,0.25,0.01,21,0.66,0.01,2,0.06,0,1,0.03,0.02
Otro,36,0.39,0.02,51,0.55,0.02,6,0.07,0.02,0,0,0,32,0.34,0.02,58,0.62,0.02,3,0.03,0.01,0,0,0,34,0.37,0.02,55,0.59,0.02,4,0.04,0.01,0,0,0,28,0.3,0.02,54,0.58,0.02,11,0.12,0.02,0,0,0,22,0.24,0.02,62,0.67,0.02,9,0.1,0.01,0,0,0,22,0.24,0.02,60,0.65,0.02,11,0.12,0.02,0,0,0,24,0.26,0.02,50,0.54,0.02,19,0.2,0.03,0,0,0
GENERAL PÚBLICA,1993,0.4,0.94,2715,0.54,0.94,289,0.06,0.95,23,0.01,0.96,1799,0.36,0.94,2877,0.57,0.94,328,0.07,0.95,16,0,1,1689,0.34,0.94,2895,0.58,0.94,408,0.08,0.96,28,0.01,1,1215,0.24,0.93,3322,0.66,0.94,447,0.09,0.96,36,0.01,1,1069,0.21,0.94,3222,0.64,0.94,685,0.14,0.96,44,0.01,0.98,1107,0.22,0.92,3265,0.65,0.94,610,0.12,0.96,38,0.01,0.97,1053,0.21,0.93,3219,0.64,0.94,689,0.14,0.96,59,0.01,0.98
INDÍGENAS,121,0.38,0.06,179,0.57,0.06,16,0.05,0.05,1,0,0.04,118,0.37,0.06,180,0.57,0.06,19,0.06,0.06,0,0,0,110,0.35,0.06,190,0.6,0.06,17,0.05,0.04,0,0,0,86,0.27,0.07,210,0.66,0.06,21,0.07,0.05,0,0,0,74,0.23,0.07,215,0.68,0.06,27,0.09,0.04,1,0,0.02,93,0.29,0.08,198,0.63,0.06,25,0.08,0.04,1,0,0.03,84,0.27,0.07,203,0.64,0.06,29,0.09,0.04,1,0,0.02
Total,2114,0.4,1,2894,0.54,1,305,0.06,1,24,0,1,1917,0.36,1,3057,0.57,1,347,0.07,1,16,0,1,1799,0.34,1,3085,0.58,1,425,0.08,1,28,0.01,1,1301,0.24,1,3532,0.66,1,468,0.09,1,36,0.01,1,1143,0.21,1,3437,0.64,1,712,0.13,1,45,0.01,1,1200,0.23,1,3463,0.65,1,635,0.12,1,39,0.01,1,1137,0.21,1,3422,0.64,1,718,0.14,1,60,0.01,1
