Variable,B2-A-Mucho-Recuento,B2-A-Mucho-% del N de fila,B2-A-Mucho-% de N columnas,B2-A-Regular-Recuento,B2-A-Regular-% del N de fila,B2-A-Regular-% de N columnas,B2-A-Poco-Recuento,B2-A-Poco-% del N de fila,B2-A-Poco-% de N columnas,B2-A-Nada-Recuento,B2-A-Nada-% del N de fila,B2-A-Nada-% de N columnas,B2-B-Mucho-Recuento,B2-B-Mucho-% del N de fila,B2-B-Mucho-% de N columnas,B2-B-Regular-Recuento,B2-B-Regular-% del N de fila,B2-B-Regular-% de N columnas,B2-B-Poco-Recuento,B2-B-Poco-% del N de fila,B2-B-Poco-% de N columnas,B2-B-Nada-Recuento,B2-B-Nada-% del N de fila,B2-B-Nada-% de N columnas,B2-C-Mucho-Recuento,B2-C-Mucho-% del N de fila,B2-C-Mucho-% de N columnas,B2-C-Regular-Recuento,B2-C-Regular-% del N de fila,B2-C-Regular-% de N columnas,B2-C-Poco-Recuento,B2-C-Poco-% del N de fila,B2-C-Poco-% de N columnas,B2-C-Nada-Recuento,B2-C-Nada-% del N de fila,B2-C-Nada-% de N columnas,B2-D-Mucho-Recuento,B2-D-Mucho-% del N de fila,B2-D-Mucho-% de N columnas,B2-D-Regular-Recuento,B2-D-Regular-% del N de fila,B2-D-Regular-% de N columnas,B2-D-Poco-Recuento,B2-D-Poco-% del N de fila,B2-D-Poco-% de N columnas,B2-D-Nada-Recuento,B2-D-Nada-% del N de fila,B2-D-Nada-% de N columnas,B2-E-Mucho-Recuento,B2-E-Mucho-% del N de fila,B2-E-Mucho-% de N columnas,B2-E-Mucho-Recuento,B2-E-Mucho-% del N de fila,B2-E-Mucho-% de N columnas,B2-E-Poco-Recuento,B2-E-Poco-% del N de fila,B2-E-Poco-% de N columnas,B2-E-Nada-Recuento,B2-E-Nada-% del N de fila,B2-E-Nada-% de N columnas,B2-F-Mucho-Recuento,B2-F-Mucho-% del N de fila,B2-F-Mucho-% de N columnas,B2-F-Regular-Recuento,B2-F-Regular-% del N de fila,B2-F-Regular-% de N columnas,B2-F-Poco-Recuento,B2-F-Poco-% del N de fila,B2-F-Poco-% de N columnas,B2-F-Nada-Recuento,B2-F-Nada-% del N de fila,B2-F-Nada-% de N columnas
21 a 30,378,0.8,0.11,94,0.2,0.11,0,0,0,0,0,0,374,0.79,0.11,96,0.2,0.11,2,0,0.05,0,0,0,352,0.75,0.11,119,0.25,0.11,1,0,0.02,0,0,0,315,0.67,0.11,154,0.33,0.11,3,0.01,0.04,0,0,0,307,0.65,0.11,156,0.33,0.11,9,0.02,0.1,0,0,0,304,0.64,0.11,160,0.34,0.11,7,0.02,0.05,1,0,0.14
31 a 40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41 a 50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mayor o igual a 51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Definitivo o base,2734,0.82,0.81,594,0.18,0.7,13,0,0.43,5,0,0.83,2717,0.81,0.81,603,0.18,0.7,20,0.01,0.49,6,0,0.67,2561,0.77,0.81,756,0.23,0.72,27,0.01,0.53,2,0,0.5,2278,0.68,0.82,1017,0.3,0.74,46,0.01,0.54,5,0,1,2199,0.66,0.8,1084,0.32,0.76,59,0.02,0.63,4,0,1,2184,0.65,0.81,1069,0.32,0.75,87,0.03,0.65,6,0,0.86
Interino,99,0.74,0.03,33,0.25,0.04,1,0.01,0.03,1,0.01,0.17,97,0.72,0.03,34,0.25,0.04,3,0.02,0.07,0,0,0,97,0.72,0.03,33,0.25,0.03,3,0.02,0.06,1,0.01,0.25,84,0.63,0.03,48,0.36,0.04,2,0.02,0.02,0,0,0,86,0.64,0.03,44,0.33,0.03,4,0.03,0.04,0,0,0,87,0.65,0.03,41,0.31,0.03,6,0.05,0.05,0,0,0
No tengo nombramiento,309,0.67,0.09,142,0.31,0.17,11,0.02,0.37,0,0,0,306,0.66,0.09,142,0.31,0.17,13,0.03,0.32,1,0,0.11,285,0.62,0.09,163,0.35,0.16,14,0.03,0.28,0,0,0,233,0.5,0.08,204,0.44,0.15,25,0.05,0.29,0,0,0,256,0.55,0.09,187,0.41,0.13,19,0.04,0.2,0,0,0,226,0.49,0.08,204,0.44,0.14,31,0.07,0.23,1,0,0.14
Otro,224,0.72,0.07,82,0.26,0.1,5,0.02,0.17,0,0,0,220,0.71,0.07,84,0.27,0.1,5,0.02,0.12,2,0.01,0.22,211,0.68,0.07,92,0.3,0.09,7,0.02,0.14,1,0,0.25,185,0.6,0.07,113,0.36,0.08,13,0.04,0.15,0,0,0,194,0.62,0.07,105,0.34,0.07,12,0.04,0.13,0,0,0,187,0.6,0.07,115,0.37,0.08,9,0.03,0.07,0,0,0
GENERAL PÚBLICA,2199,0.79,0.65,559,0.2,0.66,18,0.01,0.6,4,0,0.67,2192,0.79,0.66,553,0.2,0.64,29,0.01,0.71,6,0,0.67,2058,0.74,0.65,684,0.25,0.66,36,0.01,0.71,2,0,0.5,1826,0.66,0.66,885,0.32,0.64,65,0.02,0.76,4,0,0.8,1768,0.64,0.65,937,0.34,0.66,72,0.03,0.77,3,0,0.75,1719,0.62,0.64,955,0.34,0.67,100,0.04,0.75,6,0,0.86
INDÍGENAS,243,0.66,0.07,116,0.31,0.14,8,0.02,0.27,2,0.01,0.33,233,0.63,0.07,125,0.34,0.15,9,0.02,0.22,2,0.01,0.22,220,0.6,0.07,139,0.38,0.13,8,0.02,0.16,2,0.01,0.5,199,0.54,0.07,158,0.43,0.11,11,0.03,0.13,1,0,0.2,205,0.56,0.08,151,0.41,0.11,12,0.03,0.13,1,0,0.25,200,0.54,0.08,148,0.4,0.1,20,0.05,0.15,1,0,0.14
TÉCNICA,505,0.9,0.15,55,0.1,0.07,1,0,0.03,0,0,0,498,0.89,0.15,61,0.11,0.07,1,0,0.02,1,0,0.11,491,0.88,0.16,69,0.12,0.07,1,0,0.02,0,0,0,426,0.76,0.15,134,0.24,0.1,1,0,0.01,0,0,0,422,0.75,0.15,136,0.24,0.1,3,0.01,0.03,0,0,0,432,0.77,0.16,126,0.23,0.09,3,0.01,0.02,0,0,0
TELESECUNDARIA,419,0.77,0.12,121,0.22,0.14,3,0.01,0.1,0,0,0,417,0.77,0.13,124,0.23,0.14,2,0,0.05,0,0,0,385,0.71,0.12,152,0.28,0.15,6,0.01,0.12,0,0,0,329,0.61,0.12,205,0.38,0.15,9,0.02,0.11,0,0,0,340,0.63,0.12,196,0.36,0.14,7,0.01,0.07,0,0,0,333,0.61,0.12,200,0.37,0.14,10,0.02,0.08,0,0,0
Total,3366,0.79,1,851,0.2,1,30,0.01,1,6,0,1,3340,0.79,1,863,0.2,1,41,0.01,1,9,0,1,3154,0.74,1,1044,0.25,1,51,0.01,1,4,0,1,2780,0.65,1,1382,0.33,1,86,0.02,1,5,0,1,2735,0.64,1,1420,0.33,1,94,0.02,1,4,0,1,2684,0.63,1,1429,0.34,1,133,0.03,1,7,0,1
