Variable,B4-A-Siempre-Recuento,B4-A-Siempre-% del N de fila,B4-A-Siempre-% de N columnas,B4-A-Muchas veces-Recuento,B4-A-Muchas veces-% del N de fila,B4-A-Muchas veces-% de N columnas,B4-A-Pocas veces-Recuento,B4-A-Pocas veces-% del N de fila,B4-A-Pocas veces-% de N columnas,B4-A-Nunca-Recuento,B4-A-Nunca-% del N de fila,B4-A-Nunca-% de N columnas,B4-B-Siempre-Recuento,B4-B-Siempre-% del N de fila,B4-B-Siempre-% de N columnas,B4-B-Muchas veces-Recuento,B4-B-Muchas veces-% del N de fila,B4-B-Muchas veces-% de N columnas,B4-B-Pocas veces-Recuento,B4-B-Pocas veces-% del N de fila,B4-B-Pocas veces-% de N columnas,B4-B-Nunca-Recuento,B4-B-Nunca-% del N de fila,B4-B-Nunca-% de N columnas,B4-C-Siempre-Recuento,B4-C-Siempre-% del N de fila,B4-C-Siempre-% de N columnas,B4-C-Muchas veces-Recuento,B4-C-Muchas veces-% del N de fila,B4-C-Muchas veces-% de N columnas,B4-C-Pocas veces-Recuento,B4-C-Pocas veces-% del N de fila,B4-C-Pocas veces-% de N columnas,B4-C-Nunca-Recuento,B4-C-Nunca-% del N de fila,B4-C-Nunca-% de N columnas,B4-D-Siempre-Recuento,B4-D-Siempre-% del N de fila,B4-D-Siempre-% de N columnas,B4-D-Muchas veces-Recuento,B4-D-Muchas veces-% del N de fila,B4-D-Muchas veces-% de N columnas,B4-D-Pocas veces-Recuento,B4-D-Pocas veces-% del N de fila,B4-D-Pocas veces-% de N columnas,B4-D-Nunca-Recuento,B4-D-Nunca-% del N de fila,B4-D-Nunca-% de N columnas,B4-E-Siempre-Recuento,B4-E-Siempre-% del N de fila,B4-E-Siempre-% de N columnas,B4-E-Muchas veces-Recuento,B4-E-Muchas veces-% del N de fila,B4-E-Muchas veces-% de N columnas,B4-E-Pocas veces-Recuento,B4-E-Pocas veces-% del N de fila,B4-E-Pocas veces-% de N columnas,B4-E-Nunca-Recuento,B4-E-Nunca-% del N de fila,B4-E-Nunca-% de N columnas,B4-F-Siempre-Recuento,B4-F-Siempre-% del N de fila,B4-F-Siempre-% de N columnas,B4-F-Muchas veces-Recuento,B4-F-Muchas veces-% del N de fila,B4-F-Muchas veces-% de N columnas,B4-F-Pocas veces-Recuento,B4-F-Pocas veces-% del N de fila,B4-F-Pocas veces-% de N columnas,B4-F-Nunca-Recuento,B4-F-Nunca-% del N de fila,B4-F-Nunca-% de N columnas,B4-G-Siempre-Recuento,B4-G-Siempre-% del N de fila,B4-G-Siempre-% de N columnas,B4-G-Muchas veces-Recuento,B4-G-Muchas veces-% del N de fila,B4-G-Muchas veces-% de N columnas,B4-G-Pocas veces-Recuento,B4-G-Pocas veces-% del N de fila,B4-G-Pocas veces-% de N columnas,B4-G-Nunca-Recuento,B4-G-Nunca-% del N de fila,B4-G-Nunca-% de N columnas,B4-H-Siempre-Recuento,B4-H-Siempre-% del N de fila,B4-H-Siempre-% de N columnas,B4-H-Muchas veces-Recuento,B4-H-Muchas veces-% del N de fila,B4-H-Muchas veces-% de N columnas,B4-H-Pocas veces-Recuento,B4-H-Pocas veces-% del N de fila,B4-H-Pocas veces-% de N columnas,B4-H-Nunca-Recuento,B4-H-Nunca-% del N de fila,B4-H-Nunca-% de N columnas,B4-I-Siempre-Recuento,B4-I-Siempre-% del N de fila,B4-I-Siempre-% de N columnas,B4-I-Muchas veces-Recuento,B4-I-Muchas veces-% del N de fila,B4-I-Muchas veces-% de N columnas,B4-I-Pocas veces-Recuento,B4-I-Pocas veces-% del N de fila,B4-I-Pocas veces-% de N columnas,B4-I-Nunca-Recuento,B4-I-Nunca-% del N de fila,B4-I-Nunca-% de N columnas,B4-J-Siempre-Recuento,B4-J-Siempre-% del N de fila,B4-J-Siempre-% de N columnas,B4-J-Muchas veces-Recuento,B4-J-Muchas veces-% del N de fila,B4-J-Muchas veces-% de N columnas,B4-J-Pocas veces-Recuento,B4-J-Pocas veces-% del N de fila,B4-J-Pocas veces-% de N columnas,B4-J-Nunca-Recuento,B4-J-Nunca-% del N de fila,B4-J-Nunca-% de N columnas,B4-K-Siempre-Recuento,B4-K-Siempre-% del N de fila,B4-K-Siempre-% de N columnas,B4-K-Muchas veces-Recuento,B4-K-Muchas veces-% del N de fila,B4-K-Muchas veces-% de N columnas,B4-K-Pocas veces-Recuento,B4-K-Pocas veces-% del N de fila,B4-K-Pocas veces-% de N columnas,B4-K-Nunca-Recuento,B4-K-Nunca-% del N de fila,B4-K-Nunca-% de N columnas
QUINTANA ROO,126,0.63,0.04,63,0.31,0.05,11,0.06,0.03,1,0.01,0.05,134,0.67,0.04,57,0.28,0.04,10,0.05,0.04,0,0,0,12,0.06,0.03,17,0.09,0.04,73,0.36,0.04,99,0.49,0.04,124,0.62,0.04,57,0.28,0.04,20,0.1,0.04,0,0,0,112,0.56,0.04,75,0.37,0.04,14,0.07,0.03,0,0,0,15,0.08,0.03,20,0.1,0.03,69,0.34,0.04,97,0.48,0.04,113,0.56,0.04,60,0.3,0.03,25,0.12,0.04,3,0.02,0.04,99,0.49,0.04,75,0.37,0.04,25,0.12,0.05,2,0.01,0.05,114,0.57,0.04,70,0.35,0.04,15,0.08,0.04,2,0.01,0.05,116,0.58,0.04,68,0.34,0.04,16,0.08,0.05,1,0.01,0.03,114,0.57,0.04,71,0.35,0.04,15,0.08,0.03,1,0.01,0.03
SAN LUIS POTOSÍ,167,0.69,0.05,56,0.23,0.04,20,0.08,0.05,0,0,0,169,0.7,0.05,68,0.28,0.05,6,0.03,0.03,0,0,0,24,0.1,0.06,17,0.07,0.04,96,0.4,0.05,106,0.44,0.04,149,0.61,0.05,63,0.26,0.04,29,0.12,0.05,2,0.01,0.06,142,0.58,0.05,83,0.34,0.05,17,0.07,0.04,1,0,0.03,21,0.09,0.04,29,0.12,0.05,92,0.38,0.05,101,0.42,0.04,131,0.54,0.05,79,0.33,0.05,30,0.12,0.05,3,0.01,0.04,134,0.55,0.05,83,0.34,0.04,25,0.1,0.05,1,0,0.02,139,0.57,0.05,87,0.36,0.05,16,0.07,0.04,1,0,0.03,148,0.61,0.05,75,0.31,0.05,20,0.08,0.06,0,0,0,145,0.6,0.05,83,0.34,0.05,15,0.06,0.03,0,0,0
SINALOA,266,0.7,0.08,97,0.26,0.07,18,0.05,0.05,0,0,0,255,0.67,0.07,108,0.28,0.07,17,0.05,0.07,1,0,0.09,16,0.04,0.04,28,0.07,0.06,182,0.48,0.09,155,0.41,0.06,236,0.62,0.08,115,0.3,0.07,29,0.08,0.05,1,0,0.03,231,0.61,0.08,120,0.32,0.07,29,0.08,0.07,1,0,0.03,33,0.09,0.07,45,0.12,0.07,149,0.39,0.08,154,0.4,0.07,201,0.53,0.07,140,0.37,0.08,38,0.1,0.06,2,0.01,0.03,193,0.51,0.07,154,0.4,0.08,32,0.08,0.06,2,0.01,0.05,225,0.59,0.08,122,0.32,0.06,31,0.08,0.08,3,0.01,0.08,259,0.68,0.08,104,0.27,0.06,18,0.05,0.05,0,0,0,246,0.65,0.08,115,0.3,0.07,19,0.05,0.04,1,0,0.03
SONORA,128,0.76,0.04,34,0.2,0.02,6,0.04,0.02,0,0,0,139,0.83,0.04,25,0.15,0.02,4,0.02,0.02,0,0,0,11,0.07,0.03,5,0.03,0.01,53,0.32,0.03,99,0.59,0.04,129,0.77,0.04,34,0.2,0.02,5,0.03,0.01,0,0,0,134,0.8,0.04,28,0.17,0.02,6,0.04,0.01,0,0,0,14,0.08,0.03,8,0.05,0.01,67,0.4,0.04,79,0.47,0.03,113,0.67,0.04,44,0.26,0.03,10,0.06,0.02,1,0.01,0.01,105,0.63,0.04,53,0.32,0.03,9,0.05,0.02,1,0.01,0.02,107,0.64,0.04,51,0.3,0.03,8,0.05,0.02,2,0.01,0.05,124,0.74,0.04,38,0.23,0.02,5,0.03,0.01,1,0.01,0.03,128,0.76,0.04,35,0.21,0.02,5,0.03,0.01,0,0,0
TABASCO,41,0.66,0.01,15,0.24,0.01,6,0.1,0.02,0,0,0,44,0.71,0.01,17,0.27,0.01,1,0.02,0,0,0,0,3,0.05,0.01,2,0.03,0,27,0.44,0.01,30,0.48,0.01,33,0.53,0.01,15,0.24,0.01,14,0.23,0.03,0,0,0,29,0.47,0.01,23,0.37,0.01,9,0.15,0.02,1,0.02,0.03,6,0.1,0.01,4,0.07,0.01,25,0.4,0.01,27,0.44,0.01,34,0.55,0.01,21,0.34,0.01,6,0.1,0.01,1,0.02,0.01,35,0.57,0.01,19,0.31,0.01,7,0.11,0.01,1,0.02,0.02,40,0.65,0.01,18,0.29,0.01,4,0.07,0.01,0,0,0,36,0.58,0.01,21,0.34,0.01,5,0.08,0.01,0,0,0,40,0.65,0.01,16,0.26,0.01,5,0.08,0.01,1,0.02,0.03
TAMAULIPAS,155,0.75,0.04,48,0.23,0.03,4,0.02,0.01,0,0,0,169,0.82,0.05,36,0.17,0.03,2,0.01,0.01,0,0,0,10,0.05,0.02,4,0.02,0.01,68,0.33,0.04,125,0.6,0.05,139,0.67,0.04,58,0.28,0.04,10,0.05,0.02,0,0,0,132,0.64,0.04,67,0.32,0.04,6,0.03,0.01,2,0.01,0.06,18,0.09,0.04,13,0.06,0.02,68,0.33,0.04,108,0.52,0.05,136,0.66,0.05,66,0.32,0.04,4,0.02,0.01,1,0.01,0.01,128,0.62,0.05,73,0.35,0.04,5,0.02,0.01,1,0.01,0.02,127,0.61,0.04,73,0.35,0.04,7,0.03,0.02,0,0,0,148,0.72,0.05,57,0.28,0.03,2,0.01,0.01,0,0,0,145,0.7,0.05,60,0.29,0.04,2,0.01,0.01,0,0,0
TLAXCALA,53,0.58,0.02,21,0.23,0.02,17,0.19,0.05,0,0,0,55,0.6,0.02,23,0.25,0.02,13,0.14,0.06,0,0,0,9,0.1,0.02,10,0.11,0.02,40,0.44,0.02,32,0.35,0.01,46,0.51,0.02,29,0.32,0.02,15,0.17,0.03,1,0.01,0.03,46,0.51,0.02,32,0.35,0.02,12,0.13,0.03,1,0.01,0.03,16,0.18,0.03,12,0.13,0.02,30,0.33,0.02,33,0.36,0.01,40,0.44,0.01,31,0.34,0.02,18,0.2,0.03,2,0.02,0.03,40,0.44,0.02,35,0.39,0.02,16,0.18,0.03,0,0,0,47,0.52,0.02,32,0.35,0.02,12,0.13,0.03,0,0,0,46,0.51,0.01,36,0.4,0.02,8,0.09,0.02,1,0.01,0.03,45,0.5,0.01,30,0.33,0.02,15,0.17,0.03,1,0.01,0.03
VERACRUZ,69,0.58,0.02,38,0.32,0.03,11,0.09,0.03,1,0.01,0.05,79,0.66,0.02,30,0.25,0.02,9,0.08,0.04,1,0.01,0.09,11,0.09,0.03,16,0.13,0.04,45,0.38,0.02,47,0.4,0.02,57,0.48,0.02,45,0.38,0.03,15,0.13,0.03,2,0.02,0.06,63,0.53,0.02,40,0.34,0.02,15,0.13,0.03,1,0.01,0.03,13,0.11,0.03,26,0.22,0.04,38,0.32,0.02,42,0.35,0.02,58,0.49,0.02,39,0.33,0.02,17,0.14,0.03,5,0.04,0.07,50,0.42,0.02,52,0.44,0.03,14,0.12,0.03,3,0.03,0.07,58,0.49,0.02,49,0.41,0.03,10,0.08,0.03,2,0.02,0.05,70,0.59,0.02,42,0.35,0.03,5,0.04,0.01,2,0.02,0.07,56,0.47,0.02,44,0.37,0.03,18,0.15,0.04,1,0.01,0.03
YUCATÁN,73,0.58,0.02,42,0.34,0.03,10,0.08,0.03,0,0,0,72,0.58,0.02,47,0.38,0.03,6,0.05,0.03,0,0,0,13,0.1,0.03,14,0.11,0.03,48,0.38,0.03,50,0.4,0.02,78,0.62,0.03,33,0.26,0.02,14,0.11,0.03,0,0,0,68,0.54,0.02,49,0.39,0.03,8,0.06,0.02,0,0,0,13,0.1,0.03,17,0.14,0.03,45,0.36,0.02,50,0.4,0.02,52,0.42,0.02,49,0.39,0.03,22,0.18,0.04,2,0.02,0.03,53,0.42,0.02,51,0.41,0.03,21,0.17,0.04,0,0,0,53,0.42,0.02,54,0.43,0.03,17,0.14,0.04,1,0.01,0.03,63,0.5,0.02,51,0.41,0.03,11,0.09,0.03,0,0,0,56,0.45,0.02,53,0.42,0.03,16,0.13,0.04,0,0,0
ZACATECAS,129,0.59,0.04,62,0.28,0.04,24,0.11,0.07,3,0.01,0.16,138,0.63,0.04,61,0.28,0.04,17,0.08,0.07,2,0.01,0.18,20,0.09,0.05,26,0.12,0.06,81,0.37,0.04,91,0.42,0.04,106,0.49,0.03,79,0.36,0.05,26,0.12,0.05,7,0.03,0.2,98,0.45,0.03,89,0.41,0.05,27,0.12,0.06,4,0.02,0.12,30,0.14,0.06,37,0.17,0.06,73,0.34,0.04,78,0.36,0.03,97,0.45,0.03,78,0.36,0.04,37,0.17,0.06,6,0.03,0.08,96,0.44,0.04,89,0.41,0.04,29,0.13,0.05,4,0.02,0.1,104,0.48,0.04,91,0.42,0.05,19,0.09,0.05,4,0.02,0.11,119,0.55,0.04,76,0.35,0.05,18,0.08,0.05,5,0.02,0.16,109,0.5,0.04,78,0.36,0.05,27,0.12,0.06,4,0.02,0.11
Hombre,149,0.65,0.04,65,0.28,0.05,15,0.07,0.04,1,0,0.05,169,0.74,0.05,55,0.24,0.04,5,0.02,0.02,1,0,0.09,24,0.1,0.06,24,0.1,0.05,85,0.37,0.04,97,0.42,0.04,124,0.54,0.04,84,0.37,0.05,21,0.09,0.04,1,0,0.03,122,0.53,0.04,84,0.37,0.05,22,0.1,0.05,2,0.01,0.06,26,0.11,0.06,35,0.15,0.06,83,0.36,0.04,86,0.37,0.04,121,0.53,0.04,81,0.35,0.05,24,0.1,0.04,4,0.02,0.05,109,0.47,0.04,94,0.41,0.05,24,0.1,0.04,3,0.01,0.07,114,0.5,0.04,98,0.43,0.05,14,0.06,0.04,4,0.02,0.11,133,0.58,0.04,83,0.36,0.05,12,0.05,0.04,2,0.01,0.07,118,0.51,0.04,97,0.42,0.06,13,0.06,0.03,2,0.01,0.05
Mujer,3398,0.66,0.96,1342,0.26,0.95,356,0.07,0.96,18,0,0.95,3474,0.68,0.95,1397,0.27,0.96,233,0.05,0.98,10,0,0.91,388,0.08,0.94,429,0.08,0.95,1846,0.36,0.96,2451,0.48,0.96,3014,0.59,0.96,1544,0.3,0.95,522,0.1,0.96,34,0.01,0.97,2947,0.58,0.96,1717,0.34,0.95,418,0.08,0.95,32,0.01,0.94,449,0.09,0.95,600,0.12,0.95,1797,0.35,0.96,2268,0.44,0.96,2757,0.54,0.96,1691,0.33,0.95,595,0.12,0.96,71,0.01,0.95,2608,0.51,0.96,1951,0.38,0.95,517,0.1,0.96,38,0.01,0.93,2876,0.56,0.96,1820,0.36,0.95,385,0.08,0.97,33,0.01,0.89,3162,0.62,0.96,1590,0.31,0.95,333,0.07,0.97,29,0.01,0.94,3028,0.59,0.96,1628,0.32,0.94,422,0.08,0.97,36,0.01,0.95
18 a 20 años,20,0.61,0.01,13,0.39,0.01,0,0,0,0,0,0,20,0.61,0.01,12,0.36,0.01,1,0.03,0,0,0,0,2,0.06,0.01,4,0.12,0.01,15,0.46,0.01,12,0.36,0.01,16,0.49,0.01,10,0.3,0.01,6,0.18,0.01,1,0.03,0.03,15,0.46,0.01,12,0.36,0.01,6,0.18,0.01,0,0,0,4,0.12,0.01,5,0.15,0.01,11,0.33,0.01,13,0.39,0.01,13,0.39,0.01,16,0.49,0.01,3,0.09,0.01,1,0.03,0.01,17,0.52,0.01,12,0.36,0.01,4,0.12,0.01,0,0,0,18,0.55,0.01,10,0.3,0.01,5,0.15,0.01,0,0,0,21,0.64,0.01,9,0.27,0.01,2,0.06,0.01,1,0.03,0.03,19,0.58,0.01,10,0.3,0.01,4,0.12,0.01,0,0,0
21 a 30 años,786,0.67,0.22,311,0.27,0.22,65,0.06,0.18,4,0,0.21,843,0.72,0.23,274,0.24,0.19,46,0.04,0.19,3,0,0.27,93,0.08,0.23,106,0.09,0.23,372,0.32,0.19,595,0.51,0.23,715,0.61,0.23,354,0.3,0.22,89,0.08,0.16,8,0.01,0.23,666,0.57,0.22,409,0.35,0.23,85,0.07,0.19,6,0.01,0.18,125,0.11,0.26,155,0.13,0.24,358,0.31,0.19,528,0.45,0.22,644,0.55,0.22,393,0.34,0.22,118,0.1,0.19,11,0.01,0.15,622,0.53,0.23,434,0.37,0.21,103,0.09,0.19,7,0.01,0.17,683,0.59,0.23,399,0.34,0.21,79,0.07,0.2,5,0,0.14,753,0.65,0.23,355,0.3,0.21,52,0.05,0.15,6,0.01,0.19,737,0.63,0.23,344,0.3,0.2,78,0.07,0.18,7,0.01,0.18
31 a 40 años,1224,0.66,0.35,498,0.27,0.35,142,0.08,0.38,5,0,0.26,1264,0.68,0.35,509,0.27,0.35,94,0.05,0.4,2,0,0.18,159,0.09,0.39,167,0.09,0.37,688,0.37,0.36,855,0.46,0.34,1116,0.6,0.36,554,0.3,0.34,189,0.1,0.35,10,0.01,0.29,1062,0.57,0.35,645,0.35,0.36,151,0.08,0.34,11,0.01,0.32,183,0.1,0.39,201,0.11,0.32,664,0.36,0.35,821,0.44,0.35,1003,0.54,0.35,612,0.33,0.35,223,0.12,0.36,31,0.02,0.41,936,0.5,0.34,702,0.38,0.34,213,0.11,0.39,18,0.01,0.44,1033,0.55,0.35,670,0.36,0.35,153,0.08,0.38,13,0.01,0.35,1158,0.62,0.35,565,0.3,0.34,141,0.08,0.41,5,0,0.16,1103,0.59,0.35,598,0.32,0.35,157,0.08,0.36,11,0.01,0.29
41 a 50 años,1027,0.65,0.29,431,0.27,0.31,117,0.07,0.32,4,0,0.21,1039,0.66,0.29,468,0.3,0.32,69,0.04,0.29,3,0,0.27,108,0.07,0.26,125,0.08,0.28,601,0.38,0.31,745,0.47,0.29,879,0.56,0.28,498,0.32,0.31,192,0.12,0.35,10,0.01,0.29,898,0.57,0.29,526,0.33,0.29,141,0.09,0.32,14,0.01,0.41,107,0.07,0.23,204,0.13,0.32,588,0.37,0.31,680,0.43,0.29,814,0.52,0.28,539,0.34,0.3,199,0.13,0.32,27,0.02,0.36,755,0.48,0.28,647,0.41,0.32,164,0.1,0.3,13,0.01,0.32,850,0.54,0.28,594,0.38,0.31,124,0.08,0.31,11,0.01,0.3,926,0.59,0.28,534,0.34,0.32,108,0.07,0.31,11,0.01,0.36,857,0.54,0.27,560,0.36,0.33,150,0.1,0.35,12,0.01,0.32
51 a 60 años,472,0.7,0.13,147,0.22,0.1,46,0.07,0.12,6,0.01,0.32,461,0.69,0.13,180,0.27,0.12,27,0.04,0.11,3,0,0.27,48,0.07,0.12,48,0.07,0.11,247,0.37,0.13,328,0.49,0.13,398,0.59,0.13,203,0.3,0.13,64,0.1,0.12,6,0.01,0.17,412,0.61,0.13,200,0.3,0.11,56,0.08,0.13,3,0,0.09,55,0.08,0.12,65,0.1,0.1,250,0.37,0.13,301,0.45,0.13,387,0.58,0.13,203,0.3,0.12,76,0.11,0.12,5,0.01,0.07,369,0.55,0.14,244,0.36,0.12,55,0.08,0.1,3,0,0.07,390,0.58,0.13,236,0.35,0.12,37,0.06,0.09,8,0.01,0.22,422,0.63,0.13,201,0.3,0.12,40,0.06,0.12,8,0.01,0.26,414,0.62,0.13,204,0.3,0.12,45,0.07,0.1,8,0.01,0.21
61 a 70 años,18,0.69,0.01,7,0.27,0.01,1,0.04,0,0,0,0,16,0.62,0,9,0.35,0.01,1,0.04,0,0,0,0,2,0.08,0.01,3,0.12,0.01,8,0.31,0,13,0.5,0.01,14,0.54,0,9,0.35,0.01,3,0.12,0.01,0,0,0,16,0.62,0.01,9,0.35,0.01,1,0.04,0,0,0,0,1,0.04,0,5,0.19,0.01,9,0.35,0.01,11,0.42,0.01,17,0.65,0.01,9,0.35,0.01,0,0,0,0,0,0,18,0.69,0.01,6,0.23,0,2,0.08,0,0,0,0,16,0.62,0.01,9,0.35,0.01,1,0.04,0,0,0,0,15,0.58,0.01,9,0.35,0.01,2,0.08,0.01,0,0,0,16,0.62,0.01,9,0.35,0.01,1,0.04,0,0,0,0
71 a 80 años,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81 a 90 años,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91 a 99 años,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Preparatoria, bachillerato o carrera técnica",33,0.73,0.01,7,0.16,0.01,4,0.09,0.01,1,0.02,0.05,37,0.82,0.01,5,0.11,0,2,0.04,0.01,1,0.02,0.09,6,0.13,0.02,2,0.04,0,15,0.33,0.01,22,0.49,0.01,28,0.62,0.01,7,0.16,0,8,0.18,0.02,2,0.04,0.06,22,0.49,0.01,11,0.24,0.01,10,0.22,0.02,2,0.04,0.06,7,0.16,0.02,4,0.09,0.01,14,0.31,0.01,20,0.44,0.01,30,0.67,0.01,7,0.16,0,7,0.16,0.01,1,0.02,0.01,25,0.56,0.01,14,0.31,0.01,5,0.11,0.01,1,0.02,0.02,25,0.56,0.01,13,0.29,0.01,6,0.13,0.02,1,0.02,0.03,33,0.73,0.01,6,0.13,0,4,0.09,0.01,2,0.04,0.07,29,0.64,0.01,10,0.22,0.01,4,0.09,0.01,2,0.04,0.05
Normal básica sin licenciatura,96,0.69,0.03,34,0.25,0.02,8,0.06,0.02,1,0.01,0.05,86,0.62,0.02,47,0.34,0.03,5,0.04,0.02,1,0.01,0.09,9,0.07,0.02,10,0.07,0.02,57,0.41,0.03,63,0.45,0.03,80,0.58,0.03,41,0.3,0.03,15,0.11,0.03,3,0.02,0.09,81,0.58,0.03,44,0.32,0.02,13,0.09,0.03,1,0.01,0.03,15,0.11,0.03,12,0.09,0.02,60,0.43,0.03,52,0.37,0.02,79,0.57,0.03,46,0.33,0.03,13,0.09,0.02,1,0.01,0.01,75,0.54,0.03,57,0.41,0.03,6,0.04,0.01,1,0.01,0.02,77,0.55,0.03,55,0.4,0.03,5,0.04,0.01,2,0.01,0.05,84,0.6,0.03,48,0.35,0.03,6,0.04,0.02,1,0.01,0.03,81,0.58,0.03,47,0.34,0.03,11,0.08,0.03,0,0,0
Normal superior,46,0.62,0.01,20,0.27,0.01,8,0.11,0.02,0,0,0,48,0.65,0.01,21,0.28,0.01,5,0.07,0.02,0,0,0,6,0.08,0.02,12,0.16,0.03,24,0.32,0.01,32,0.43,0.01,45,0.61,0.01,20,0.27,0.01,9,0.12,0.02,0,0,0,46,0.62,0.02,20,0.27,0.01,7,0.1,0.02,1,0.01,0.03,5,0.07,0.01,17,0.23,0.03,24,0.32,0.01,28,0.38,0.01,34,0.46,0.01,31,0.42,0.02,7,0.1,0.01,2,0.03,0.03,43,0.58,0.02,23,0.31,0.01,6,0.08,0.01,2,0.03,0.05,44,0.6,0.02,21,0.28,0.01,7,0.1,0.02,2,0.03,0.05,46,0.62,0.01,23,0.31,0.01,4,0.05,0.01,1,0.01,0.03,41,0.55,0.01,24,0.32,0.01,7,0.1,0.02,2,0.03,0.05
Normal Intercultural Bilingüe,2,0.4,0,3,0.6,0,0,0,0,0,0,0,2,0.4,0,3,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.6,0,2,0.4,0,2,0.4,0,3,0.6,0,0,0,0,0,0,0,2,0.4,0,3,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.6,0,2,0.4,0,2,0.4,0,3,0.6,0,0,0,0,0,0,0,2,0.4,0,3,0.6,0,0,0,0,0,0,0,2,0.4,0,3,0.6,0,0,0,0,0,0,0,2,0.4,0,3,0.6,0,0,0,0,0,0,0,2,0.4,0,3,0.6,0,0,0,0,0,0,0
Licenciatura,2823,0.67,0.8,1087,0.26,0.77,272,0.07,0.73,15,0,0.79,2900,0.69,0.8,1113,0.27,0.77,178,0.04,0.75,6,0,0.55,308,0.07,0.75,331,0.08,0.73,1515,0.36,0.79,2043,0.49,0.8,2502,0.6,0.8,1260,0.3,0.77,414,0.1,0.76,21,0.01,0.6,2447,0.58,0.8,1396,0.33,0.78,330,0.08,0.75,24,0.01,0.71,359,0.09,0.76,467,0.11,0.74,1475,0.35,0.79,1896,0.45,0.81,2294,0.55,0.8,1372,0.33,0.77,480,0.11,0.78,51,0.01,0.68,2176,0.52,0.8,1572,0.38,0.77,423,0.1,0.78,26,0.01,0.63,2378,0.57,0.8,1501,0.36,0.78,297,0.07,0.74,21,0.01,0.57,2623,0.63,0.8,1297,0.31,0.78,258,0.06,0.75,19,0.01,0.61,2517,0.6,0.8,1322,0.32,0.77,333,0.08,0.77,25,0.01,0.66
Especialidad,15,0.68,0,4,0.18,0,3,0.14,0.01,0,0,0,14,0.64,0,5,0.23,0,3,0.14,0.01,0,0,0,1,0.05,0,3,0.14,0.01,11,0.5,0.01,7,0.32,0,10,0.46,0,10,0.46,0.01,2,0.09,0,0,0,0,12,0.55,0,8,0.36,0,2,0.09,0.01,0,0,0,2,0.09,0,4,0.18,0.01,12,0.55,0.01,4,0.18,0,8,0.36,0,10,0.46,0.01,4,0.18,0.01,0,0,0,9,0.41,0,9,0.41,0,4,0.18,0.01,0,0,0,10,0.46,0,10,0.46,0.01,1,0.05,0,1,0.05,0.03,13,0.59,0,7,0.32,0,1,0.05,0,1,0.05,0.03,8,0.36,0,10,0.46,0.01,3,0.14,0.01,1,0.05,0.03
Maestría,496,0.62,0.14,236,0.29,0.17,70,0.09,0.19,2,0,0.11,517,0.64,0.14,240,0.3,0.17,44,0.06,0.19,3,0,0.27,77,0.1,0.19,90,0.11,0.2,285,0.35,0.15,352,0.44,0.14,436,0.54,0.14,275,0.34,0.17,85,0.11,0.16,8,0.01,0.23,423,0.53,0.14,300,0.37,0.17,75,0.09,0.17,6,0.01,0.18,82,0.1,0.17,125,0.16,0.2,272,0.34,0.15,325,0.4,0.14,396,0.49,0.14,285,0.35,0.16,103,0.13,0.17,20,0.03,0.27,358,0.45,0.13,343,0.43,0.17,92,0.11,0.17,11,0.01,0.27,417,0.52,0.14,301,0.37,0.16,76,0.1,0.19,10,0.01,0.27,461,0.57,0.14,267,0.33,0.16,69,0.09,0.2,7,0.01,0.23,438,0.55,0.14,284,0.35,0.17,75,0.09,0.17,7,0.01,0.18
