Variable,B2-A-Mucho-Recuento,B2-A-Mucho-% del N de fila,B2-A-Mucho-% de N columnas,B2-A-Regular-Recuento,B2-A-Regular-% del N de fila,B2-A-Regular-% de N columnas,B2-A-Poco-Recuento,B2-A-Poco-% del N de fila,B2-A-Poco-% de N columnas,B2-A-Nada-Recuento,B2-A-Nada-% del N de fila,B2-A-Nada-% de N columnas,B2-B-Mucho-Recuento,B2-B-Mucho-% del N de fila,B2-B-Mucho-% de N columnas,B2-B-Regular-Recuento,B2-B-Regular-% del N de fila,B2-B-Regular-% de N columnas,B2-B-Poco-Recuento,B2-B-Poco-% del N de fila,B2-B-Poco-% de N columnas,B2-B-Nada-Recuento,B2-B-Nada-% del N de fila,B2-B-Nada-% de N columnas,B2-C-Mucho-Recuento,B2-C-Mucho-% del N de fila,B2-C-Mucho-% de N columnas,B2-C-Regular-Recuento,B2-C-Regular-% del N de fila,B2-C-Regular-% de N columnas,B2-C-Poco-Recuento,B2-C-Poco-% del N de fila,B2-C-Poco-% de N columnas,B2-C-Nada-Recuento,B2-C-Nada-% del N de fila,B2-C-Nada-% de N columnas,B2-D-Mucho-Recuento,B2-D-Mucho-% del N de fila,B2-D-Mucho-% de N columnas,B2-D-Regular-Recuento,B2-D-Regular-% del N de fila,B2-D-Regular-% de N columnas,B2-D-Poco-Recuento,B2-D-Poco-% del N de fila,B2-D-Poco-% de N columnas,B2-D-Nada-Recuento,B2-D-Nada-% del N de fila,B2-D-Nada-% de N columnas,B2-E-Mucho-Recuento,B2-E-Mucho-% del N de fila,B2-E-Mucho-% de N columnas,B2-E-Mucho-Recuento,B2-E-Mucho-% del N de fila,B2-E-Mucho-% de N columnas,B2-E-Poco-Recuento,B2-E-Poco-% del N de fila,B2-E-Poco-% de N columnas,B2-E-Nada-Recuento,B2-E-Nada-% del N de fila,B2-E-Nada-% de N columnas,B2-F-Mucho-Recuento,B2-F-Mucho-% del N de fila,B2-F-Mucho-% de N columnas,B2-F-Regular-Recuento,B2-F-Regular-% del N de fila,B2-F-Regular-% de N columnas,B2-F-Poco-Recuento,B2-F-Poco-% del N de fila,B2-F-Poco-% de N columnas,B2-F-Nada-Recuento,B2-F-Nada-% del N de fila,B2-F-Nada-% de N columnas
Posdoctorado,23,0.82,0,4,0.14,0,1,0.04,0,0,0,0,21,0.75,0,6,0.21,0,1,0.04,0,0,0,0,22,0.79,0,5,0.18,0,1,0.04,0,0,0,0,18,0.64,0,9,0.32,0,1,0.04,0,0,0,0,19,0.68,0,8,0.29,0,1,0.04,0,0,0,0,18,0.64,0,9,0.32,0,1,0.04,0,0,0,0
Menor o igual a 10,6012,0.64,0.33,3100,0.33,0.3,241,0.03,0.3,25,0,0.27,5515,0.59,0.32,3492,0.37,0.31,345,0.04,0.33,26,0,0.26,5636,0.6,0.32,3406,0.36,0.31,318,0.03,0.33,18,0,0.25,4680,0.5,0.32,4224,0.45,0.32,446,0.05,0.34,28,0,0.29,4896,0.52,0.32,4019,0.43,0.32,430,0.05,0.3,33,0,0.35,4493,0.48,0.31,4281,0.46,0.32,568,0.06,0.34,36,0,0.28
11 a 20,6912,0.61,0.38,4030,0.36,0.39,336,0.03,0.41,46,0,0.5,6413,0.57,0.37,4479,0.4,0.4,393,0.04,0.38,41,0,0.4,6568,0.58,0.37,4341,0.38,0.4,383,0.03,0.4,34,0,0.47,5515,0.49,0.37,5263,0.47,0.4,512,0.05,0.39,36,0,0.38,5633,0.5,0.37,5082,0.45,0.4,579,0.05,0.41,32,0,0.34,5244,0.46,0.37,5359,0.47,0.4,672,0.06,0.4,49,0,0.38
21 a 30,5454,0.62,0.3,3097,0.35,0.3,234,0.03,0.29,21,0,0.23,5201,0.59,0.3,3277,0.37,0.29,294,0.03,0.29,35,0,0.34,5351,0.61,0.31,3178,0.36,0.29,257,0.03,0.27,20,0,0.28,4665,0.53,0.31,3741,0.43,0.28,367,0.04,0.28,32,0,0.33,4750,0.54,0.31,3615,0.41,0.28,411,0.05,0.29,29,0,0.31,4593,0.52,0.32,3737,0.42,0.28,431,0.05,0.26,44,0.01,0.34
31 a 40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41 a 50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mayor o igual a 51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Definitivo o base,17251,0.62,0.94,9594,0.35,0.94,748,0.03,0.92,84,0,0.91,16094,0.58,0.94,10545,0.38,0.94,948,0.03,0.92,93,0,0.91,16462,0.6,0.94,10277,0.37,0.94,875,0.03,0.91,65,0,0.9,13909,0.5,0.94,12458,0.45,0.94,1223,0.04,0.92,88,0,0.92,14303,0.52,0.94,11963,0.43,0.94,1324,0.05,0.93,88,0,0.94,13413,0.49,0.94,12586,0.46,0.94,1559,0.06,0.93,118,0,0.92
Interino,633,0.62,0.03,345,0.34,0.03,41,0.04,0.05,4,0,0.04,582,0.57,0.03,390,0.38,0.04,48,0.05,0.05,3,0,0.03,623,0.61,0.04,352,0.34,0.03,46,0.05,0.05,2,0,0.03,540,0.53,0.04,422,0.41,0.03,57,0.06,0.04,4,0,0.04,564,0.55,0.04,406,0.4,0.03,52,0.05,0.04,1,0,0.01,521,0.51,0.04,432,0.42,0.03,66,0.07,0.04,4,0,0.03
Tiempo fijo (temporal por un tiempo determinado),275,0.6,0.02,169,0.37,0.02,12,0.03,0.02,0,0,0,252,0.55,0.02,178,0.39,0.02,23,0.05,0.02,3,0.01,0.03,271,0.59,0.02,166,0.36,0.02,18,0.04,0.02,1,0,0.01,227,0.5,0.02,203,0.45,0.02,25,0.06,0.02,1,0,0.01,236,0.52,0.02,196,0.43,0.02,22,0.05,0.02,2,0,0.02,224,0.49,0.02,208,0.46,0.02,22,0.05,0.01,2,0,0.02
No tengo nombramiento,22,0.44,0,26,0.52,0,1,0.02,0,1,0.02,0.01,20,0.4,0,27,0.54,0,3,0.06,0,0,0,0,19,0.38,0,28,0.56,0,3,0.06,0,0,0,0,20,0.4,0,26,0.52,0,4,0.08,0,0,0,0,18,0.36,0,29,0.58,0,3,0.06,0,0,0,0,18,0.36,0,28,0.56,0,4,0.08,0,0,0,0
Otro,196,0.65,0.01,92,0.31,0.01,9,0.03,0.01,3,0.01,0.03,179,0.6,0.01,108,0.36,0.01,10,0.03,0.01,3,0.01,0.03,178,0.59,0.01,102,0.34,0.01,16,0.05,0.02,4,0.01,0.06,162,0.54,0.01,119,0.4,0.01,16,0.05,0.01,3,0.01,0.03,156,0.52,0.01,122,0.41,0.01,19,0.06,0.01,3,0.01,0.03,152,0.51,0.01,123,0.41,0.01,20,0.07,0.01,5,0.02,0.04
GENERAL PÚBLICA,8819,0.62,0.48,4969,0.35,0.49,423,0.03,0.52,53,0,0.58,8196,0.58,0.48,5489,0.39,0.49,530,0.04,0.51,50,0,0.49,8400,0.59,0.48,5350,0.38,0.49,476,0.03,0.5,38,0,0.53,7099,0.5,0.48,6410,0.45,0.49,707,0.05,0.53,47,0,0.49,7295,0.51,0.48,6182,0.43,0.49,736,0.05,0.52,50,0,0.53,6816,0.48,0.48,6519,0.46,0.49,853,0.06,0.51,74,0.01,0.57
TÉCNICA,7803,0.63,0.43,4176,0.34,0.41,328,0.03,0.4,37,0,0.4,7211,0.58,0.42,4660,0.38,0.41,425,0.03,0.41,50,0,0.49,7422,0.6,0.42,4475,0.36,0.41,418,0.03,0.44,31,0,0.43,6251,0.51,0.42,5520,0.45,0.42,529,0.04,0.4,46,0,0.48,6448,0.52,0.42,5282,0.43,0.42,577,0.05,0.41,39,0,0.42,6038,0.49,0.42,5566,0.45,0.42,694,0.06,0.42,47,0,0.36
TELESECUNDARIA,1756,0.61,0.1,1082,0.37,0.11,60,0.02,0.07,2,0,0.02,1722,0.59,0.1,1099,0.38,0.1,77,0.03,0.08,2,0,0.02,1733,0.6,0.1,1100,0.38,0.1,64,0.02,0.07,3,0,0.04,1510,0.52,0.1,1298,0.45,0.1,89,0.03,0.07,3,0,0.03,1536,0.53,0.1,1252,0.43,0.1,107,0.04,0.08,5,0,0.05,1476,0.51,0.1,1292,0.45,0.1,124,0.04,0.07,8,0,0.06
Total,18378,0.62,1,10227,0.35,1,811,0.03,1,92,0,1,17129,0.58,1,11248,0.38,1,1032,0.04,1,102,0,1,17555,0.6,1,10925,0.37,1,958,0.03,1,72,0,1,14860,0.5,1,13228,0.45,1,1325,0.05,1,96,0,1,15279,0.52,1,12716,0.43,1,1420,0.05,1,94,0,1,14330,0.49,1,13377,0.45,1,1671,0.06,1,129,0,1
