Variable,B1-A-Mucho-Recuento,B1-A-Mucho-% del N de fila,B1-A-Mucho-% de N columnas,B1-A-Regular-Recuento,B1-A-Regular-% del N de fila,B1-A-Regular-% de N columnas,B1-A-Poco-Recuento,B1-A-Poco-% del N de fila,B1-A-Poco-% de N columnas,B1-A-Nada-Recuento,B1-A-Nada-% del N de fila,B1-A-Nada-% de N columnas,B1-B-Mucho-Recuento,B1-B-Mucho-% del N de fila,B1-B-Mucho-% de N columnas,B1-B-Regular-Recuento,B1-B-Regular-% del N de fila,B1-B-Regular-% de N columnas,B1-B-Poco-Recuento,B1-B-Poco-% del N de fila,B1-B-Poco-% de N columnas,B1-B-Nada-Recuento,B1-B-Nada-% del N de fila,B1-B-Nada-% de N columnas,B1-C-Mucho-Recuento,B1-C-Mucho-% del N de fila,B1-C-Mucho-% de N columnas,B1-C-Regular-Recuento,B1-C-Regular-% del N de fila,B1-C-Regular-% de N columnas,B1-C-Poco-Recuento,B1-C-Poco-% del N de fila,B1-C-Poco-% de N columnas,B1-C-Nada-Recuento,B1-C-Nada-% del N de fila,B1-C-Nada-% de N columnas,B1-D-Mucho-Recuento,B1-D-Mucho-% del N de fila,B1-D-Mucho-% de N columnas,B1-D-Regular-Recuento,B1-D-Regular-% del N de fila,B1-D-Regular-% de N columnas,B1-D-Poco-Recuento,B1-D-Poco-% del N de fila,B1-D-Poco-% de N columnas,B1-D-Nada-Recuento,B1-D-Nada-% del N de fila,B1-D-Nada-% de N columnas,B1-E-Mucho-Recuento,B1-E-Mucho-% del N de fila,B1-E-Mucho-% de N columnas,B1-E-Mucho-Recuento,B1-E-Mucho-% del N de fila,B1-E-Mucho-% de N columnas,B1-E-Poco-Recuento,B1-E-Poco-% del N de fila,B1-E-Poco-% de N columnas,B1-E-Nada-Recuento,B1-E-Nada-% del N de fila,B1-E-Nada-% de N columnas,B1-F-Mucho-Recuento,B1-F-Mucho-% del N de fila,B1-F-Mucho-% de N columnas,B1-F-Regular-Recuento,B1-F-Regular-% del N de fila,B1-F-Regular-% de N columnas,B1-F-Poco-Recuento,B1-F-Poco-% del N de fila,B1-F-Poco-% de N columnas,B1-F-Nada-Recuento,B1-F-Nada-% del N de fila,B1-F-Nada-% de N columnas,B1-G-Mucho-Recuento,B1-G-Mucho-% del N de fila,B1-G-Mucho-% de N columnas,B1-G-Regular-Recuento,B1-G-Regular-% del N de fila,B1-G-Regular-% de N columnas,B1-G-Poco-Recuento,B1-G-Poco-% del N de fila,B1-G-Poco-% de N columnas,B1-G-Nada-Recuento,B1-G-Nada-% del N de fila,B1-G-Nada-% de N columnas,B1-H-Mucho-Recuento,B1-H-Mucho-% del N de fila,B1-H-Mucho-% de N columnas,B1-H-Regular-Recuento,B1-H-Regular-% del N de fila,B1-H-Regular-% de N columnas,B1-H-Poco-Recuento,B1-H-Poco-% del N de fila,B1-H-Poco-% de N columnas,B1-H-Nada-Recuento,B1-H-Nada-% del N de fila,B1-H-Nada-% de N columnas,B1-I-Mucho-Recuento,B1-I-Mucho--% del N de fila,B1-I-Mucho-% de N columnas,B1-I-Regular-Recuento,B1-I-Regular-% del N de fila,B1-I-Regular-% de N columnas,B1-I-Poco-Recuento,B1-I-Poco-% del N de fila,B1-I-Poco-% de N columnas,B1-I-Nada-Recuento,B1-I-Nada-% del N de fila,B1-I-Nada-% de N columnas
ZACATECAS,143,0.19,0.05,464,0.63,0.07,121,0.16,0.08,11,0.02,0.08,357,0.48,0.05,340,0.46,0.08,36,0.05,0.1,6,0.01,0.22,233,0.32,0.06,397,0.54,0.07,98,0.13,0.08,11,0.02,0.13,376,0.51,0.06,317,0.43,0.07,40,0.05,0.1,6,0.01,0.22,365,0.49,0.06,314,0.43,0.07,56,0.08,0.09,4,0.01,0.12,315,0.43,0.06,359,0.49,0.07,60,0.08,0.1,5,0.01,0.1,429,0.58,0.06,279,0.38,0.08,29,0.04,0.09,2,0,0.12,331,0.45,0.05,344,0.47,0.07,59,0.08,0.12,5,0.01,0.12,395,0.54,0.06,296,0.4,0.07,44,0.06,0.1,4,0.01,0.13
Hombre,942,0.27,0.32,2039,0.59,0.3,425,0.12,0.28,36,0.01,0.27,1945,0.57,0.3,1370,0.4,0.31,118,0.03,0.33,8,0,0.3,1192,0.35,0.29,1853,0.54,0.31,373,0.11,0.31,24,0.01,0.28,1881,0.55,0.29,1423,0.41,0.32,129,0.04,0.31,9,0,0.33,1815,0.53,0.29,1404,0.41,0.32,210,0.06,0.34,13,0,0.38,1645,0.48,0.29,1592,0.46,0.31,189,0.06,0.32,16,0.01,0.31,2206,0.64,0.29,1126,0.33,0.32,103,0.03,0.33,7,0,0.41,1864,0.54,0.3,1403,0.41,0.3,154,0.05,0.3,21,0.01,0.49,1944,0.57,0.29,1342,0.39,0.32,145,0.04,0.33,11,0,0.37
Mujer,2042,0.26,0.68,4741,0.59,0.7,1115,0.14,0.72,97,0.01,0.73,4614,0.58,0.7,3120,0.39,0.7,243,0.03,0.67,19,0,0.7,2930,0.37,0.71,4183,0.52,0.69,820,0.1,0.69,63,0.01,0.72,4631,0.58,0.71,3056,0.38,0.68,291,0.04,0.69,18,0,0.67,4538,0.57,0.71,3026,0.38,0.68,412,0.05,0.66,21,0,0.62,4052,0.51,0.71,3497,0.44,0.69,411,0.05,0.69,36,0.01,0.69,5382,0.67,0.71,2396,0.3,0.68,208,0.03,0.67,10,0,0.59,4364,0.55,0.7,3251,0.41,0.7,358,0.05,0.7,22,0,0.51,4873,0.61,0.72,2812,0.35,0.68,291,0.04,0.67,19,0,0.63
18 a 20 años,23,0.28,0.01,49,0.59,0.01,10,0.12,0.01,1,0.01,0.01,39,0.47,0.01,39,0.47,0.01,5,0.06,0.01,0,0,0,34,0.41,0.01,39,0.47,0.01,8,0.1,0.01,2,0.02,0.02,41,0.49,0.01,35,0.42,0.01,7,0.08,0.02,0,0,0,42,0.51,0.01,34,0.41,0.01,6,0.07,0.01,1,0.01,0.03,40,0.48,0.01,34,0.41,0.01,9,0.11,0.02,0,0,0,48,0.58,0.01,31,0.37,0.01,4,0.05,0.01,0,0,0,39,0.47,0.01,37,0.45,0.01,6,0.07,0.01,1,0.01,0.02,40,0.48,0.01,38,0.46,0.01,5,0.06,0.01,0,0,0
21 a 30 años,642,0.27,0.22,1405,0.59,0.21,307,0.13,0.2,36,0.02,0.27,1467,0.61,0.22,853,0.36,0.19,62,0.03,0.17,8,0,0.3,890,0.37,0.22,1232,0.52,0.2,248,0.1,0.21,20,0.01,0.23,1361,0.57,0.21,943,0.4,0.21,80,0.03,0.19,6,0,0.22,1357,0.57,0.21,908,0.38,0.21,118,0.05,0.19,7,0,0.21,1248,0.52,0.22,1018,0.43,0.2,113,0.05,0.19,11,0.01,0.21,1583,0.66,0.21,735,0.31,0.21,66,0.03,0.21,6,0,0.35,1302,0.55,0.21,980,0.41,0.21,96,0.04,0.19,12,0.01,0.28,1486,0.62,0.22,831,0.35,0.2,67,0.03,0.15,6,0,0.2
31 a 40 años,980,0.24,0.33,2425,0.6,0.36,601,0.15,0.39,36,0.01,0.27,2245,0.56,0.34,1666,0.41,0.37,126,0.03,0.35,4,0,0.15,1334,0.33,0.32,2248,0.56,0.37,435,0.11,0.37,25,0.01,0.29,2194,0.54,0.34,1684,0.42,0.38,156,0.04,0.37,8,0,0.3,2216,0.55,0.35,1605,0.4,0.36,214,0.05,0.34,8,0,0.24,1908,0.47,0.34,1903,0.47,0.37,218,0.05,0.36,13,0,0.25,2596,0.64,0.34,1335,0.33,0.38,110,0.03,0.35,1,0,0.06,2070,0.51,0.33,1779,0.44,0.38,184,0.05,0.36,9,0,0.21,2353,0.58,0.35,1522,0.38,0.37,163,0.04,0.37,4,0,0.13
41 a 50 años,835,0.26,0.28,1874,0.59,0.28,448,0.14,0.29,38,0.01,0.29,1804,0.56,0.28,1268,0.4,0.28,113,0.04,0.31,11,0,0.41,1180,0.37,0.29,1638,0.51,0.27,346,0.11,0.29,32,0.01,0.37,1847,0.58,0.28,1220,0.38,0.27,119,0.04,0.28,10,0,0.37,1740,0.54,0.27,1261,0.4,0.29,184,0.06,0.3,11,0,0.32,1563,0.49,0.27,1429,0.45,0.28,188,0.06,0.31,16,0.01,0.31,2121,0.66,0.28,974,0.31,0.28,93,0.03,0.3,8,0,0.47,1744,0.55,0.28,1286,0.4,0.28,152,0.05,0.3,13,0,0.3,1861,0.58,0.27,1187,0.37,0.29,134,0.04,0.31,13,0,0.43
51 a 60 años,444,0.29,0.15,909,0.6,0.13,155,0.1,0.1,19,0.01,0.14,888,0.58,0.14,586,0.38,0.13,51,0.03,0.14,2,0,0.07,605,0.4,0.15,778,0.51,0.13,138,0.09,0.12,6,0,0.07,943,0.62,0.15,532,0.35,0.12,51,0.03,0.12,1,0,0.04,877,0.57,0.14,558,0.37,0.13,88,0.06,0.14,4,0,0.12,823,0.54,0.14,628,0.41,0.12,67,0.04,0.11,9,0.01,0.17,1087,0.71,0.14,405,0.27,0.12,34,0.02,0.11,1,0,0.06,939,0.62,0.15,515,0.34,0.11,67,0.04,0.13,6,0,0.14,944,0.62,0.14,519,0.34,0.13,60,0.04,0.14,4,0,0.13
61 a 70 años,58,0.31,0.02,108,0.58,0.02,18,0.1,0.01,3,0.02,0.02,110,0.59,0.02,71,0.38,0.02,4,0.02,0.01,2,0.01,0.07,72,0.39,0.02,96,0.51,0.02,17,0.09,0.01,2,0.01,0.02,117,0.63,0.02,61,0.33,0.01,7,0.04,0.02,2,0.01,0.07,113,0.6,0.02,59,0.32,0.01,12,0.06,0.02,3,0.02,0.09,106,0.57,0.02,73,0.39,0.01,5,0.03,0.01,3,0.02,0.06,146,0.78,0.02,36,0.19,0.01,4,0.02,0.01,1,0.01,0.06,126,0.67,0.02,52,0.28,0.01,7,0.04,0.01,2,0.01,0.05,125,0.67,0.02,52,0.28,0.01,7,0.04,0.02,3,0.02,0.1
71 a 80 años,2,0.15,0,10,0.77,0,1,0.08,0,0,0,0,6,0.46,0,7,0.54,0,0,0,0,0,0,0,7,0.54,0,5,0.39,0,1,0.08,0,0,0,0,9,0.69,0,4,0.31,0,0,0,0,0,0,0,8,0.62,0,5,0.39,0,0,0,0,0,0,0,9,0.69,0,4,0.31,0,0,0,0,0,0,0,7,0.54,0,6,0.46,0,0,0,0,0,0,0,8,0.62,0,5,0.39,0,0,0,0,0,0,0,8,0.62,0,5,0.39,0,0,0,0,0,0,0
81 a 90 años,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91 a 99 años,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Preparatoria, bachillerato o carrera técnica",10,0.28,0,24,0.67,0,2,0.06,0,0,0,0,17,0.47,0,14,0.39,0,5,0.14,0.01,0,0,0,15,0.42,0,17,0.47,0,3,0.08,0,1,0.03,0.01,20,0.56,0,14,0.39,0,2,0.06,0.01,0,0,0,16,0.44,0,17,0.47,0,3,0.08,0.01,0,0,0,17,0.47,0,16,0.44,0,3,0.08,0.01,0,0,0,21,0.58,0,13,0.36,0,2,0.06,0.01,0,0,0,16,0.44,0,18,0.5,0,2,0.06,0,0,0,0,18,0.5,0,17,0.47,0,1,0.03,0,0,0,0
Normal básica sin licenciatura,122,0.27,0.04,265,0.58,0.04,63,0.14,0.04,7,0.02,0.05,263,0.58,0.04,175,0.38,0.04,16,0.04,0.04,3,0.01,0.11,165,0.36,0.04,244,0.53,0.04,44,0.1,0.04,4,0.01,0.05,275,0.6,0.04,160,0.35,0.04,21,0.05,0.05,1,0,0.04,259,0.57,0.04,166,0.36,0.04,31,0.07,0.05,1,0,0.03,234,0.51,0.04,195,0.43,0.04,23,0.05,0.04,5,0.01,0.1,330,0.72,0.04,116,0.25,0.03,10,0.02,0.03,1,0,0.06,285,0.62,0.05,147,0.32,0.03,24,0.05,0.05,1,0,0.02,287,0.63,0.04,151,0.33,0.04,17,0.04,0.04,2,0,0.07
Normal superior,62,0.26,0.02,135,0.57,0.02,38,0.16,0.03,2,0.01,0.02,136,0.57,0.02,95,0.4,0.02,6,0.03,0.02,0,0,0,77,0.33,0.02,135,0.57,0.02,24,0.1,0.02,1,0,0.01,146,0.62,0.02,83,0.35,0.02,7,0.03,0.02,1,0,0.04,129,0.54,0.02,91,0.38,0.02,14,0.06,0.02,3,0.01,0.09,124,0.52,0.02,102,0.43,0.02,11,0.05,0.02,0,0,0,164,0.69,0.02,69,0.29,0.02,4,0.02,0.01,0,0,0,132,0.56,0.02,95,0.4,0.02,10,0.04,0.02,0,0,0,146,0.62,0.02,85,0.36,0.02,6,0.03,0.01,0,0,0
Normal Intercultural Bilingüe,34,0.32,0.01,66,0.62,0.01,6,0.06,0,1,0.01,0.01,66,0.62,0.01,39,0.36,0.01,1,0.01,0,1,0.01,0.04,36,0.34,0.01,54,0.51,0.01,17,0.16,0.01,0,0,0,66,0.62,0.01,35,0.33,0.01,6,0.06,0.01,0,0,0,59,0.55,0.01,42,0.39,0.01,6,0.06,0.01,0,0,0,54,0.51,0.01,49,0.46,0.01,4,0.04,0.01,0,0,0,75,0.7,0.01,30,0.28,0.01,2,0.02,0.01,0,0,0,59,0.55,0.01,45,0.42,0.01,3,0.03,0.01,0,0,0,77,0.72,0.01,28,0.26,0.01,2,0.02,0.01,0,0,0
Licenciatura,2168,0.25,0.73,5140,0.6,0.76,1171,0.14,0.76,102,0.01,0.77,4864,0.57,0.74,3435,0.4,0.77,264,0.03,0.73,18,0,0.67,3033,0.35,0.74,4576,0.53,0.76,912,0.11,0.76,61,0.01,0.7,4813,0.56,0.74,3434,0.4,0.77,316,0.04,0.75,19,0,0.7,4739,0.55,0.75,3349,0.39,0.76,470,0.06,0.76,25,0,0.74,4234,0.49,0.74,3865,0.45,0.76,452,0.05,0.75,31,0,0.6,5665,0.66,0.75,2682,0.31,0.76,223,0.03,0.72,12,0,0.71,4644,0.54,0.75,3536,0.41,0.76,369,0.04,0.72,32,0,0.74,5065,0.59,0.74,3168,0.37,0.76,331,0.04,0.76,17,0,0.57
Especialidad,19,0.25,0.01,46,0.61,0.01,10,0.13,0.01,0,0,0,43,0.57,0.01,27,0.36,0.01,4,0.05,0.01,1,0.01,0.04,28,0.37,0.01,37,0.49,0.01,8,0.11,0.01,2,0.03,0.02,42,0.56,0.01,33,0.44,0.01,0,0,0,0,0,0,39,0.52,0.01,32,0.43,0.01,4,0.05,0.01,0,0,0,36,0.48,0.01,36,0.48,0.01,2,0.03,0,1,0.01,0.02,45,0.6,0.01,26,0.35,0.01,3,0.04,0.01,1,0.01,0.06,39,0.52,0.01,29,0.39,0.01,5,0.07,0.01,2,0.03,0.05,38,0.51,0.01,32,0.43,0.01,4,0.05,0.01,1,0.01,0.03
Maestría,520,0.29,0.17,1014,0.57,0.15,229,0.13,0.15,19,0.01,0.14,1073,0.6,0.16,647,0.36,0.14,58,0.03,0.16,4,0,0.15,703,0.4,0.17,892,0.5,0.15,171,0.1,0.14,16,0.01,0.18,1050,0.59,0.16,662,0.37,0.15,65,0.04,0.16,5,0,0.19,1024,0.58,0.16,667,0.37,0.15,86,0.05,0.14,5,0,0.15,921,0.52,0.16,753,0.42,0.15,96,0.05,0.16,12,0.01,0.23,1181,0.66,0.16,537,0.3,0.15,61,0.03,0.2,3,0,0.18,967,0.54,0.16,724,0.41,0.16,83,0.05,0.16,8,0,0.19,1080,0.61,0.16,624,0.35,0.15,70,0.04,0.16,8,0,0.27
Doctorado,46,0.3,0.02,88,0.57,0.01,19,0.12,0.01,2,0.01,0.02,92,0.59,0.01,56,0.36,0.01,7,0.05,0.02,0,0,0,62,0.4,0.02,78,0.5,0.01,13,0.08,0.01,2,0.01,0.02,94,0.61,0.01,58,0.37,0.01,2,0.01,0.01,1,0.01,0.04,82,0.53,0.01,65,0.42,0.02,8,0.05,0.01,0,0,0,72,0.47,0.01,71,0.46,0.01,9,0.06,0.02,3,0.02,0.06,102,0.66,0.01,47,0.3,0.01,6,0.04,0.02,0,0,0,82,0.53,0.01,58,0.37,0.01,15,0.1,0.03,0,0,0,100,0.65,0.02,48,0.31,0.01,5,0.03,0.01,2,0.01,0.07
Posdoctorado,3,0.43,0,2,0.29,0,2,0.29,0,0,0,0,5,0.71,0,2,0.29,0,0,0,0,0,0,0,3,0.43,0,3,0.43,0,1,0.14,0,0,0,0,6,0.86,0,0,0,0,1,0.14,0,0,0,0,6,0.86,0,1,0.14,0,0,0,0,0,0,0,5,0.71,0,2,0.29,0,0,0,0,0,0,0,5,0.71,0,2,0.29,0,0,0,0,0,0,0,4,0.57,0,2,0.29,0,1,0.14,0,0,0,0,6,0.86,0,1,0.14,0,0,0,0,0,0,0
Menor o igual a 10,1131,0.27,0.38,2499,0.59,0.37,543,0.13,0.35,57,0.01,0.43,2532,0.6,0.39,1579,0.37,0.35,109,0.03,0.3,10,0,0.37,1560,0.37,0.38,2202,0.52,0.37,434,0.1,0.36,34,0.01,0.39,2393,0.57,0.37,1688,0.4,0.38,142,0.03,0.34,7,0,0.26,2399,0.57,0.38,1602,0.38,0.36,220,0.05,0.35,9,0,0.27,2146,0.51,0.38,1859,0.44,0.37,208,0.05,0.35,17,0,0.33,2789,0.66,0.37,1325,0.31,0.38,110,0.03,0.35,6,0,0.35,2252,0.53,0.36,1791,0.42,0.39,172,0.04,0.34,15,0,0.35,2590,0.61,0.38,1500,0.36,0.36,132,0.03,0.3,8,0,0.27
11 a 20,912,0.24,0.31,2324,0.6,0.34,589,0.15,0.38,34,0.01,0.26,2114,0.55,0.32,1608,0.42,0.36,131,0.03,0.36,6,0,0.22,1278,0.33,0.31,2125,0.55,0.35,429,0.11,0.36,28,0.01,0.32,2118,0.55,0.33,1579,0.41,0.35,154,0.04,0.37,9,0,0.33,2084,0.54,0.33,1538,0.4,0.35,228,0.06,0.37,11,0,0.32,1834,0.48,0.32,1785,0.46,0.35,226,0.06,0.38,15,0,0.29,2508,0.65,0.33,1232,0.32,0.35,116,0.03,0.37,4,0,0.24,2033,0.53,0.33,1617,0.42,0.35,196,0.05,0.38,13,0,0.3,2209,0.57,0.32,1471,0.38,0.35,169,0.04,0.39,10,0,0.33
21 a 30,941,0.28,0.32,1957,0.59,0.29,408,0.12,0.27,42,0.01,0.32,1913,0.57,0.29,1303,0.39,0.29,121,0.04,0.34,11,0,0.41,1284,0.38,0.31,1709,0.51,0.28,330,0.1,0.28,25,0.01,0.29,2001,0.6,0.31,1212,0.36,0.27,124,0.04,0.3,11,0,0.41,1870,0.56,0.29,1290,0.39,0.29,174,0.05,0.28,14,0,0.41,1717,0.51,0.3,1445,0.43,0.28,166,0.05,0.28,20,0.01,0.39,2291,0.68,0.3,965,0.29,0.27,85,0.03,0.27,7,0,0.41,1943,0.58,0.31,1246,0.37,0.27,144,0.04,0.28,15,0,0.35,2018,0.6,0.3,1183,0.35,0.29,135,0.04,0.31,12,0,0.4
31 a 40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41 a 50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mayor o igual a 51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Definitivo o base,2767,0.26,0.93,6351,0.6,0.94,1440,0.14,0.94,124,0.01,0.93,6111,0.57,0.93,4212,0.39,0.94,335,0.03,0.93,24,0,0.89,3830,0.36,0.93,5655,0.53,0.94,1118,0.11,0.94,80,0.01,0.92,6071,0.57,0.93,4195,0.39,0.94,392,0.04,0.93,25,0,0.93,5940,0.56,0.94,4127,0.39,0.93,585,0.06,0.94,31,0,0.91,5312,0.5,0.93,4758,0.45,0.94,565,0.05,0.94,48,0,0.92,7096,0.66,0.94,3280,0.31,0.93,294,0.03,0.95,13,0,0.77,5809,0.54,0.93,4349,0.41,0.93,484,0.05,0.95,40,0,0.93,6356,0.6,0.93,3883,0.36,0.94,417,0.04,0.96,26,0,0.87
Interino,128,0.34,0.04,202,0.54,0.03,44,0.12,0.03,0,0,0,230,0.62,0.04,134,0.36,0.03,9,0.02,0.03,1,0,0.04,158,0.42,0.04,183,0.49,0.03,32,0.09,0.03,1,0,0.01,228,0.61,0.04,135,0.36,0.03,11,0.03,0.03,0,0,0,207,0.55,0.03,153,0.41,0.04,14,0.04,0.02,0,0,0,197,0.53,0.04,160,0.43,0.03,16,0.04,0.03,1,0,0.02,253,0.68,0.03,116,0.31,0.03,5,0.01,0.02,0,0,0,224,0.6,0.04,141,0.38,0.03,9,0.02,0.02,0,0,0,232,0.62,0.03,135,0.36,0.03,7,0.02,0.02,0,0,0
Tiempo fijo (temporal por un tiempo determinado),62,0.24,0.02,159,0.61,0.02,36,0.14,0.02,5,0.02,0.04,150,0.57,0.02,103,0.39,0.02,9,0.03,0.03,0,0,0,98,0.37,0.02,134,0.51,0.02,26,0.1,0.02,4,0.02,0.05,149,0.57,0.02,102,0.39,0.02,11,0.04,0.03,0,0,0,147,0.56,0.02,101,0.38,0.02,14,0.05,0.02,1,0,0.03,133,0.51,0.02,116,0.44,0.02,12,0.05,0.02,1,0,0.02,171,0.65,0.02,84,0.32,0.02,6,0.02,0.02,1,0,0.06,139,0.53,0.02,111,0.42,0.02,12,0.05,0.02,0,0,0,161,0.62,0.02,92,0.35,0.02,8,0.03,0.02,1,0,0.03
No tengo nombramiento,1,0.08,0,9,0.75,0,1,0.08,0,1,0.08,0.01,4,0.33,0,5,0.42,0,2,0.17,0.01,1,0.08,0.04,2,0.17,0,6,0.5,0,3,0.25,0,1,0.08,0.01,1,0.08,0,10,0.83,0,0,0,0,1,0.08,0.04,3,0.25,0,7,0.58,0,1,0.08,0,1,0.08,0.03,3,0.25,0,8,0.67,0,0,0,0,1,0.08,0.02,4,0.33,0,6,0.5,0,1,0.08,0,1,0.08,0.06,3,0.25,0,7,0.58,0,1,0.08,0,1,0.08,0.02,4,0.33,0,6,0.5,0,1,0.08,0,1,0.08,0.03
Otro,26,0.24,0.01,59,0.55,0.01,19,0.18,0.01,3,0.03,0.02,64,0.6,0.01,36,0.34,0.01,6,0.06,0.02,1,0.01,0.04,34,0.32,0.01,58,0.54,0.01,14,0.13,0.01,1,0.01,0.01,63,0.59,0.01,37,0.35,0.01,6,0.06,0.01,1,0.01,0.04,56,0.52,0.01,42,0.39,0.01,8,0.08,0.01,1,0.01,0.03,52,0.49,0.01,47,0.44,0.01,7,0.07,0.01,1,0.01,0.02,64,0.6,0.01,36,0.34,0.01,5,0.05,0.02,2,0.02,0.12,53,0.5,0.01,46,0.43,0.01,6,0.06,0.01,2,0.02,0.05,64,0.6,0.01,38,0.36,0.01,3,0.03,0.01,2,0.02,0.07
Unitaria,122,0.28,0.04,262,0.59,0.04,51,0.12,0.03,6,0.01,0.05,247,0.56,0.04,182,0.41,0.04,10,0.02,0.03,2,0.01,0.07,164,0.37,0.04,235,0.53,0.04,40,0.09,0.03,2,0.01,0.02,235,0.53,0.04,192,0.44,0.04,13,0.03,0.03,1,0,0.04,238,0.54,0.04,178,0.4,0.04,23,0.05,0.04,2,0.01,0.06,207,0.47,0.04,203,0.46,0.04,29,0.07,0.05,2,0.01,0.04,287,0.65,0.04,140,0.32,0.04,13,0.03,0.04,1,0,0.06,235,0.53,0.04,183,0.42,0.04,20,0.05,0.04,3,0.01,0.07,260,0.59,0.04,164,0.37,0.04,16,0.04,0.04,1,0,0.03
Multigrado,157,0.32,0.05,274,0.56,0.04,51,0.11,0.03,5,0.01,0.04,260,0.53,0.04,216,0.44,0.05,10,0.02,0.03,1,0,0.04,207,0.43,0.05,238,0.49,0.04,38,0.08,0.03,4,0.01,0.05,274,0.56,0.04,197,0.41,0.04,15,0.03,0.04,1,0,0.04,286,0.59,0.05,172,0.35,0.04,26,0.05,0.04,3,0.01,0.09,259,0.53,0.05,211,0.43,0.04,15,0.03,0.03,2,0,0.04,328,0.67,0.04,151,0.31,0.04,7,0.01,0.02,1,0,0.06,277,0.57,0.04,191,0.39,0.04,17,0.04,0.03,2,0,0.05,307,0.63,0.05,164,0.34,0.04,15,0.03,0.03,1,0,0.03
Organización completa,2705,0.26,0.91,6244,0.59,0.92,1438,0.14,0.93,122,0.01,0.92,6052,0.58,0.92,4092,0.39,0.91,341,0.03,0.95,24,0,0.89,3751,0.36,0.91,5563,0.53,0.92,1115,0.11,0.94,81,0.01,0.93,6003,0.57,0.92,4090,0.39,0.91,392,0.04,0.93,25,0,0.93,5829,0.56,0.92,4080,0.39,0.92,573,0.06,0.92,29,0,0.85,5231,0.5,0.92,4675,0.45,0.92,556,0.05,0.93,48,0.01,0.92,6973,0.66,0.92,3231,0.31,0.92,291,0.03,0.94,15,0,0.88,5716,0.54,0.92,4280,0.41,0.92,475,0.05,0.93,38,0,0.88,6250,0.6,0.92,3826,0.36,0.92,405,0.04,0.93,28,0,0.93
Total,2984,0.26,1,6780,0.59,1,1540,0.14,1,133,0.01,1,6559,0.57,1,4490,0.39,1,361,0.03,1,27,0,1,4122,0.36,1,6036,0.53,1,1193,0.1,1,87,0.01,1,6512,0.57,1,4479,0.39,1,420,0.04,1,27,0,1,6353,0.56,1,4430,0.39,1,622,0.05,1,34,0,1,5697,0.5,1,5089,0.45,1,600,0.05,1,52,0.01,1,7588,0.66,1,3522,0.31,1,311,0.03,1,17,0,1,6228,0.55,1,4654,0.41,1,512,0.05,1,43,0,1,6817,0.6,1,4154,0.36,1,436,0.04,1,30,0,1
