Variable,B1-A-Mucho-Recuento,B1-A-Mucho-% del N de fila,B1-A-Mucho-% de N columnas,B1-A-Regular-Recuento,B1-A-Regular-% del N de fila,B1-A-Regular-% de N columnas,B1-A-Poco-Recuento,B1-A-Poco-% del N de fila,B1-A-Poco-% de N columnas,B1-A-Nada-Recuento,B1-A-Nada-% del N de fila,B1-A-Nada-% de N columnas,B1-B-Mucho-Recuento,B1-B-Mucho-% del N de fila,B1-B-Mucho-% de N columnas,B1-B-Regular-Recuento,B1-B-Regular-% del N de fila,B1-B-Regular-% de N columnas,B1-B-Poco-Recuento,B1-B-Poco-% del N de fila,B1-B-Poco-% de N columnas,B1-B-Nada-Recuento,B1-B-Nada-% del N de fila,B1-B-Nada-% de N columnas,B1-C-Mucho-Recuento,B1-C-Mucho-% del N de fila,B1-C-Mucho-% de N columnas,B1-C-Regular-Recuento,B1-C-Regular-% del N de fila,B1-C-Regular-% de N columnas,B1-C-Poco-Recuento,B1-C-Poco-% del N de fila,B1-C-Poco-% de N columnas,B1-C-Nada-Recuento,B1-C-Nada-% del N de fila,B1-C-Nada-% de N columnas,B1-D-Mucho-Recuento,B1-D-Mucho-% del N de fila,B1-D-Mucho-% de N columnas,B1-D-Regular-Recuento,B1-D-Regular-% del N de fila,B1-D-Regular-% de N columnas,B1-D-Poco-Recuento,B1-D-Poco-% del N de fila,B1-D-Poco-% de N columnas,B1-D-Nada-Recuento,B1-D-Nada-% del N de fila,B1-D-Nada-% de N columnas,B1-E-Mucho-Recuento,B1-E-Mucho-% del N de fila,B1-E-Mucho-% de N columnas,B1-E-Mucho-Recuento,B1-E-Mucho-% del N de fila,B1-E-Mucho-% de N columnas,B1-E-Poco-Recuento,B1-E-Poco-% del N de fila,B1-E-Poco-% de N columnas,B1-E-Nada-Recuento,B1-E-Nada-% del N de fila,B1-E-Nada-% de N columnas,B1-F-Mucho-Recuento,B1-F-Mucho-% del N de fila,B1-F-Mucho-% de N columnas,B1-F-Regular-Recuento,B1-F-Regular-% del N de fila,B1-F-Regular-% de N columnas,B1-F-Poco-Recuento,B1-F-Poco-% del N de fila,B1-F-Poco-% de N columnas,B1-F-Nada-Recuento,B1-F-Nada-% del N de fila,B1-F-Nada-% de N columnas,B1-G-Mucho-Recuento,B1-G-Mucho-% del N de fila,B1-G-Mucho-% de N columnas,B1-G-Regular-Recuento,B1-G-Regular-% del N de fila,B1-G-Regular-% de N columnas,B1-G-Poco-Recuento,B1-G-Poco-% del N de fila,B1-G-Poco-% de N columnas,B1-G-Nada-Recuento,B1-G-Nada-% del N de fila,B1-G-Nada-% de N columnas,B1-H-Mucho-Recuento,B1-H-Mucho-% del N de fila,B1-H-Mucho-% de N columnas,B1-H-Regular-Recuento,B1-H-Regular-% del N de fila,B1-H-Regular-% de N columnas,B1-H-Poco-Recuento,B1-H-Poco-% del N de fila,B1-H-Poco-% de N columnas,B1-H-Nada-Recuento,B1-H-Nada-% del N de fila,B1-H-Nada-% de N columnas,B1-I-Mucho-Recuento,B1-I-Mucho--% del N de fila,B1-I-Mucho-% de N columnas,B1-I-Regular-Recuento,B1-I-Regular-% del N de fila,B1-I-Regular-% de N columnas,B1-I-Poco-Recuento,B1-I-Poco-% del N de fila,B1-I-Poco-% de N columnas,B1-I-Nada-Recuento,B1-I-Nada-% del N de fila,B1-I-Nada-% de N columnas
ZACATECAS,267,0.24,0.04,614,0.55,0.04,210,0.19,0.05,21,0.02,0.04,610,0.55,0.03,440,0.4,0.04,56,0.05,0.05,6,0.01,0.08,418,0.38,0.03,567,0.51,0.04,109,0.1,0.04,18,0.02,0.08,598,0.54,0.03,454,0.41,0.04,52,0.05,0.05,8,0.01,0.11,554,0.5,0.04,458,0.41,0.04,90,0.08,0.05,10,0.01,0.06,535,0.48,0.03,471,0.42,0.04,96,0.09,0.06,10,0.01,0.07,704,0.63,0.04,352,0.32,0.04,49,0.04,0.06,7,0.01,0.1,542,0.49,0.03,466,0.42,0.04,87,0.08,0.06,17,0.02,0.1,591,0.53,0.03,432,0.39,0.04,79,0.07,0.05,10,0.01,0.06
Hombre,3211,0.26,0.42,7068,0.57,0.42,1936,0.16,0.43,235,0.02,0.41,7215,0.58,0.4,4702,0.38,0.45,500,0.04,0.47,34,0,0.47,4897,0.39,0.39,6147,0.49,0.44,1299,0.1,0.47,106,0.01,0.45,7008,0.56,0.4,4841,0.39,0.45,566,0.05,0.5,35,0,0.48,6283,0.51,0.4,5142,0.41,0.45,949,0.08,0.5,76,0.01,0.47,6267,0.5,0.4,5310,0.43,0.44,800,0.06,0.47,73,0.01,0.49,8190,0.66,0.41,3855,0.31,0.46,376,0.03,0.49,29,0,0.43,6810,0.55,0.41,4819,0.39,0.43,736,0.06,0.47,85,0.01,0.5,6908,0.56,0.4,4691,0.38,0.45,772,0.06,0.49,79,0.01,0.5
Mujer,4438,0.26,0.58,9677,0.57,0.58,2615,0.15,0.58,333,0.02,0.59,10736,0.63,0.6,5732,0.34,0.55,558,0.03,0.53,38,0,0.53,7619,0.45,0.61,7876,0.46,0.56,1439,0.08,0.53,130,0.01,0.55,10537,0.62,0.6,5918,0.35,0.55,570,0.03,0.5,38,0,0.52,9623,0.56,0.61,6404,0.38,0.56,950,0.06,0.5,87,0.01,0.53,9378,0.55,0.6,6721,0.39,0.56,886,0.05,0.53,77,0.01,0.51,12023,0.71,0.6,4602,0.27,0.54,399,0.02,0.52,38,0,0.57,9851,0.58,0.59,6308,0.37,0.57,817,0.05,0.53,86,0.01,0.5,10388,0.61,0.6,5777,0.34,0.55,819,0.05,0.52,78,0.01,0.5
18 a 20 años,79,0.35,0.01,115,0.5,0.01,29,0.13,0.01,5,0.02,0.01,134,0.59,0.01,88,0.39,0.01,5,0.02,0.01,1,0,0.01,104,0.46,0.01,113,0.5,0.01,10,0.04,0,1,0,0,139,0.61,0.01,84,0.37,0.01,4,0.02,0,1,0,0.01,132,0.58,0.01,87,0.38,0.01,8,0.04,0,1,0,0.01,115,0.5,0.01,102,0.45,0.01,10,0.04,0.01,1,0,0.01,146,0.64,0.01,81,0.36,0.01,0,0,0,1,0,0.02,133,0.58,0.01,87,0.38,0.01,7,0.03,0.01,1,0,0.01,133,0.58,0.01,83,0.36,0.01,10,0.04,0.01,2,0.01,0.01
21 a 30 años,935,0.26,0.12,2076,0.58,0.12,516,0.14,0.11,67,0.02,0.12,2237,0.62,0.13,1249,0.35,0.12,99,0.03,0.09,8,0,0.11,1518,0.42,0.12,1744,0.49,0.12,308,0.09,0.11,22,0.01,0.09,2122,0.59,0.12,1355,0.38,0.13,106,0.03,0.09,10,0,0.14,1951,0.54,0.12,1434,0.4,0.12,196,0.06,0.1,12,0,0.07,1913,0.53,0.12,1487,0.41,0.12,181,0.05,0.11,12,0,0.08,2370,0.66,0.12,1125,0.31,0.13,92,0.03,0.12,6,0,0.09,1973,0.55,0.12,1426,0.4,0.13,173,0.05,0.11,21,0.01,0.12,2150,0.6,0.12,1282,0.36,0.12,144,0.04,0.09,17,0.01,0.11
31 a 40 años,2301,0.24,0.3,5633,0.59,0.34,1482,0.15,0.33,178,0.02,0.31,5840,0.61,0.33,3400,0.35,0.33,330,0.03,0.31,24,0,0.33,3878,0.4,0.31,4751,0.5,0.34,891,0.09,0.33,74,0.01,0.31,5601,0.58,0.32,3614,0.38,0.34,358,0.04,0.32,20,0,0.27,5045,0.53,0.32,3929,0.41,0.34,578,0.06,0.3,41,0,0.25,4924,0.51,0.32,4107,0.43,0.34,517,0.05,0.31,45,0.01,0.3,6318,0.66,0.31,2965,0.31,0.35,279,0.03,0.36,31,0,0.46,5114,0.53,0.31,3891,0.41,0.35,542,0.06,0.35,46,0.01,0.27,5447,0.57,0.32,3608,0.38,0.35,492,0.05,0.31,46,0.01,0.29
41 a 50 años,2300,0.25,0.3,5295,0.57,0.32,1553,0.17,0.34,197,0.02,0.35,5551,0.59,0.31,3419,0.37,0.33,352,0.04,0.33,25,0,0.35,3866,0.41,0.31,4451,0.48,0.32,946,0.1,0.35,84,0.01,0.36,5431,0.58,0.31,3492,0.37,0.33,397,0.04,0.35,27,0,0.37,4963,0.53,0.31,3677,0.39,0.32,650,0.07,0.34,58,0.01,0.36,4860,0.52,0.31,3857,0.41,0.32,586,0.06,0.35,44,0.01,0.29,6374,0.68,0.32,2694,0.29,0.32,260,0.03,0.34,19,0,0.28,5249,0.56,0.32,3539,0.38,0.32,505,0.05,0.33,54,0.01,0.32,5389,0.58,0.31,3373,0.36,0.32,529,0.06,0.33,56,0.01,0.36
51 a 60 años,1696,0.29,0.22,3101,0.54,0.19,860,0.15,0.19,104,0.02,0.18,3550,0.62,0.2,1967,0.34,0.19,235,0.04,0.22,10,0,0.14,2671,0.46,0.21,2528,0.44,0.18,511,0.09,0.19,51,0.01,0.22,3593,0.62,0.21,1926,0.33,0.18,230,0.04,0.2,12,0,0.16,3232,0.56,0.2,2087,0.36,0.18,400,0.07,0.21,42,0.01,0.26,3243,0.56,0.21,2138,0.37,0.18,339,0.06,0.2,40,0.01,0.27,4235,0.74,0.21,1391,0.24,0.16,126,0.02,0.16,8,0,0.12,3515,0.61,0.21,1918,0.33,0.17,288,0.05,0.19,39,0.01,0.23,3538,0.61,0.21,1835,0.32,0.18,355,0.06,0.22,32,0.01,0.2
61 a 70 años,320,0.34,0.04,499,0.53,0.03,105,0.11,0.02,17,0.02,0.03,612,0.65,0.03,296,0.32,0.03,29,0.03,0.03,4,0,0.06,454,0.48,0.04,416,0.44,0.03,67,0.07,0.02,4,0,0.02,629,0.67,0.04,277,0.29,0.03,33,0.04,0.03,2,0,0.03,550,0.58,0.04,318,0.34,0.03,64,0.07,0.03,9,0.01,0.06,560,0.6,0.04,326,0.35,0.03,47,0.05,0.03,8,0.01,0.05,734,0.78,0.04,189,0.2,0.02,16,0.02,0.02,2,0,0.03,648,0.69,0.04,252,0.27,0.02,31,0.03,0.02,10,0.01,0.06,614,0.65,0.04,270,0.29,0.03,53,0.06,0.03,4,0,0.03
71 a 80 años,18,0.36,0,26,0.52,0,6,0.12,0,0,0,0,27,0.54,0,15,0.3,0,8,0.16,0.01,0,0,0,25,0.5,0,20,0.4,0,5,0.1,0,0,0,0,30,0.6,0,11,0.22,0,8,0.16,0.01,1,0.02,0.01,33,0.66,0,14,0.28,0,3,0.06,0,0,0,0,30,0.6,0,14,0.28,0,6,0.12,0,0,0,0,36,0.72,0,12,0.24,0,2,0.04,0,0,0,0,29,0.58,0,14,0.28,0,7,0.14,0.01,0,0,0,25,0.5,0,17,0.34,0,8,0.16,0.01,0,0,0
81 a 90 años,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91 a 99 años,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Preparatoria, bachillerato o carrera técnica",157,0.23,0.02,404,0.58,0.02,108,0.16,0.02,24,0.04,0.04,374,0.54,0.02,276,0.4,0.03,39,0.06,0.04,4,0.01,0.06,292,0.42,0.02,331,0.48,0.02,62,0.09,0.02,8,0.01,0.03,378,0.55,0.02,276,0.4,0.03,38,0.06,0.03,1,0,0.01,333,0.48,0.02,289,0.42,0.03,65,0.09,0.03,6,0.01,0.04,345,0.5,0.02,298,0.43,0.03,46,0.07,0.03,4,0.01,0.03,482,0.7,0.02,190,0.27,0.02,20,0.03,0.03,1,0,0.02,369,0.53,0.02,268,0.39,0.02,49,0.07,0.03,7,0.01,0.04,394,0.57,0.02,251,0.36,0.02,46,0.07,0.03,2,0,0.01
Normal básica sin licenciatura,30,0.2,0,98,0.64,0.01,21,0.14,0.01,4,0.03,0.01,73,0.48,0,69,0.45,0.01,10,0.07,0.01,1,0.01,0.01,59,0.39,0.01,75,0.49,0.01,17,0.11,0.01,2,0.01,0.01,73,0.48,0,64,0.42,0.01,14,0.09,0.01,2,0.01,0.03,66,0.43,0,69,0.45,0.01,16,0.11,0.01,2,0.01,0.01,69,0.45,0,72,0.47,0.01,10,0.07,0.01,2,0.01,0.01,88,0.58,0,57,0.37,0.01,8,0.05,0.01,0,0,0,78,0.51,0.01,62,0.41,0.01,11,0.07,0.01,2,0.01,0.01,77,0.5,0,61,0.4,0.01,12,0.08,0.01,3,0.02,0.02
Normal superior,1058,0.24,0.14,2505,0.58,0.15,690,0.16,0.15,79,0.02,0.14,2596,0.6,0.15,1578,0.36,0.15,149,0.03,0.14,10,0,0.14,1777,0.41,0.14,2091,0.48,0.15,433,0.1,0.16,31,0.01,0.13,2546,0.59,0.15,1597,0.37,0.15,178,0.04,0.16,11,0,0.15,2361,0.55,0.15,1677,0.39,0.15,270,0.06,0.14,25,0.01,0.15,2282,0.53,0.15,1793,0.41,0.15,237,0.06,0.14,20,0.01,0.13,3018,0.7,0.15,1200,0.28,0.14,108,0.03,0.14,6,0,0.09,2504,0.58,0.15,1589,0.37,0.14,217,0.05,0.14,22,0.01,0.13,2532,0.58,0.15,1552,0.36,0.15,222,0.05,0.14,26,0.01,0.17
Normal Intercultural Bilingüe,8,0.53,0,5,0.33,0,2,0.13,0,0,0,0,9,0.6,0,5,0.33,0,1,0.07,0,0,0,0,9,0.6,0,4,0.27,0,2,0.13,0,0,0,0,10,0.67,0,4,0.27,0,1,0.07,0,0,0,0,8,0.53,0,7,0.47,0,0,0,0,0,0,0,10,0.67,0,4,0.27,0,1,0.07,0,0,0,0,11,0.73,0,3,0.2,0,1,0.07,0,0,0,0,10,0.67,0,4,0.27,0,1,0.07,0,0,0,0,10,0.67,0,5,0.33,0,0,0,0,0,0,0
Licenciatura,3984,0.25,0.52,9232,0.58,0.55,2542,0.16,0.56,291,0.02,0.51,9643,0.6,0.54,5806,0.36,0.56,569,0.04,0.54,30,0,0.42,6557,0.41,0.52,7831,0.49,0.56,1533,0.1,0.56,126,0.01,0.53,9339,0.58,0.53,6067,0.38,0.56,608,0.04,0.54,33,0,0.45,8488,0.53,0.53,6446,0.4,0.56,1042,0.07,0.55,71,0,0.44,8326,0.52,0.53,6733,0.42,0.56,917,0.06,0.54,71,0,0.47,10867,0.68,0.54,4738,0.3,0.56,409,0.03,0.53,33,0,0.49,8847,0.55,0.53,6269,0.39,0.56,844,0.05,0.54,87,0.01,0.51,9313,0.58,0.54,5783,0.36,0.55,875,0.06,0.55,76,0.01,0.48
Especialidad,189,0.26,0.03,427,0.58,0.03,105,0.14,0.02,21,0.03,0.04,457,0.62,0.03,254,0.34,0.02,27,0.04,0.03,5,0.01,0.07,323,0.44,0.03,350,0.47,0.03,60,0.08,0.02,10,0.01,0.04,455,0.61,0.03,256,0.35,0.02,30,0.04,0.03,2,0,0.03,413,0.56,0.03,277,0.37,0.02,49,0.07,0.03,4,0.01,0.03,409,0.55,0.03,281,0.38,0.02,48,0.07,0.03,5,0.01,0.03,510,0.69,0.03,204,0.28,0.02,24,0.03,0.03,5,0.01,0.08,426,0.57,0.03,259,0.35,0.02,51,0.07,0.03,7,0.01,0.04,429,0.58,0.03,267,0.36,0.03,36,0.05,0.02,11,0.02,0.07
Maestría,1969,0.29,0.26,3691,0.55,0.22,968,0.14,0.21,129,0.02,0.23,4322,0.64,0.24,2190,0.32,0.21,226,0.03,0.21,20,0,0.28,3120,0.46,0.25,3018,0.45,0.22,567,0.08,0.21,53,0.01,0.23,4248,0.63,0.24,2254,0.33,0.21,234,0.04,0.21,22,0,0.3,3783,0.56,0.24,2519,0.37,0.22,404,0.06,0.21,52,0.01,0.32,3759,0.56,0.24,2580,0.38,0.21,376,0.06,0.22,42,0.01,0.28,4700,0.7,0.23,1858,0.28,0.22,182,0.03,0.24,17,0,0.25,3966,0.59,0.24,2420,0.36,0.22,334,0.05,0.22,37,0.01,0.22,4074,0.6,0.24,2300,0.34,0.22,348,0.05,0.22,35,0.01,0.22
Doctorado,237,0.32,0.03,375,0.5,0.02,113,0.15,0.03,19,0.03,0.03,455,0.61,0.03,250,0.34,0.02,37,0.05,0.04,2,0,0.03,360,0.48,0.03,317,0.43,0.02,62,0.08,0.02,5,0.01,0.02,476,0.64,0.03,233,0.31,0.02,33,0.04,0.03,2,0,0.03,436,0.59,0.03,253,0.34,0.02,52,0.07,0.03,3,0,0.02,425,0.57,0.03,262,0.35,0.02,51,0.07,0.03,6,0.01,0.04,515,0.69,0.03,201,0.27,0.02,23,0.03,0.03,5,0.01,0.08,442,0.59,0.03,249,0.34,0.02,44,0.06,0.03,9,0.01,0.05,448,0.6,0.03,241,0.32,0.02,51,0.07,0.03,4,0.01,0.03
Posdoctorado,17,0.61,0,8,0.29,0,2,0.07,0,1,0.04,0,22,0.79,0,6,0.21,0,0,0,0,0,0,0,19,0.68,0,6,0.21,0,2,0.07,0,1,0.04,0,20,0.71,0,8,0.29,0,0,0,0,0,0,0,18,0.64,0,9,0.32,0,1,0.04,0,0,0,0,20,0.71,0,8,0.29,0,0,0,0,0,0,0,22,0.79,0,6,0.21,0,0,0,0,0,0,0,19,0.68,0,7,0.25,0,2,0.07,0,0,0,0,19,0.68,0,8,0.29,0,1,0.04,0,0,0,0
Menor o igual a 10,2405,0.26,0.31,5373,0.57,0.32,1397,0.15,0.31,204,0.02,0.36,5889,0.63,0.33,3166,0.34,0.3,299,0.03,0.28,24,0,0.33,3962,0.42,0.32,4497,0.48,0.32,836,0.09,0.31,82,0.01,0.35,5540,0.59,0.32,3492,0.37,0.33,324,0.04,0.29,22,0,0.3,5041,0.54,0.32,3754,0.4,0.33,544,0.06,0.29,39,0,0.24,5023,0.54,0.32,3837,0.41,0.32,483,0.05,0.29,35,0,0.23,6278,0.67,0.31,2814,0.3,0.33,260,0.03,0.34,26,0,0.39,5156,0.55,0.31,3684,0.39,0.33,487,0.05,0.31,51,0.01,0.3,5539,0.59,0.32,3363,0.36,0.32,428,0.05,0.27,48,0.01,0.31
11 a 20,2737,0.24,0.36,6514,0.58,0.39,1868,0.17,0.41,208,0.02,0.37,6718,0.59,0.37,4181,0.37,0.4,404,0.04,0.38,26,0,0.36,4624,0.41,0.37,5507,0.49,0.39,1113,0.1,0.41,85,0.01,0.36,6593,0.58,0.38,4272,0.38,0.4,439,0.04,0.39,24,0,0.33,5946,0.53,0.37,4569,0.4,0.4,749,0.07,0.39,64,0.01,0.39,5808,0.51,0.37,4788,0.42,0.4,672,0.06,0.4,59,0.01,0.39,7631,0.67,0.38,3379,0.3,0.4,293,0.03,0.38,24,0,0.36,6208,0.55,0.37,4439,0.39,0.4,615,0.05,0.4,65,0.01,0.38,6474,0.57,0.37,4166,0.37,0.4,631,0.06,0.4,56,0.01,0.36
21 a 30,2507,0.29,0.33,4858,0.55,0.29,1286,0.15,0.28,156,0.02,0.28,5344,0.61,0.3,3087,0.35,0.3,355,0.04,0.34,22,0,0.31,3930,0.45,0.31,4019,0.46,0.29,789,0.09,0.29,69,0.01,0.29,5412,0.62,0.31,2995,0.34,0.28,373,0.04,0.33,27,0,0.37,4919,0.56,0.31,3223,0.37,0.28,606,0.07,0.32,60,0.01,0.37,4814,0.55,0.31,3406,0.39,0.28,531,0.06,0.32,56,0.01,0.37,6304,0.72,0.31,2264,0.26,0.27,222,0.03,0.29,17,0,0.25,5297,0.6,0.32,3004,0.34,0.27,451,0.05,0.29,55,0.01,0.32,5283,0.6,0.31,2939,0.33,0.28,532,0.06,0.33,53,0.01,0.34
31 a 40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41 a 50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total,7649,0.26,1,16745,0.57,1,4551,0.15,1,568,0.02,1,17951,0.61,1,10434,0.35,1,1058,0.04,1,72,0,1,12516,0.42,1,14023,0.48,1,2738,0.09,1,236,0.01,1,17545,0.59,1,10759,0.37,1,1136,0.04,1,73,0,1,15906,0.54,1,11546,0.39,1,1899,0.06,1,163,0.01,1,15645,0.53,1,12031,0.41,1,1686,0.06,1,150,0.01,1,20213,0.69,1,8457,0.29,1,775,0.03,1,67,0,1,16661,0.57,1,11127,0.38,1,1553,0.05,1,171,0.01,1,17296,0.59,1,10468,0.36,1,1591,0.05,1,157,0.01,1
Mayor o igual a 51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Definitivo o base,7179,0.26,0.94,15700,0.57,0.94,4273,0.15,0.94,529,0.02,0.93,16815,0.61,0.94,9813,0.35,0.94,990,0.04,0.94,66,0,0.92,11717,0.42,0.94,13186,0.48,0.94,2555,0.09,0.93,224,0.01,0.95,16467,0.6,0.94,10096,0.37,0.94,1052,0.04,0.93,67,0,0.92,14911,0.54,0.94,10831,0.39,0.94,1788,0.07,0.94,153,0.01,0.94,14680,0.53,0.94,11277,0.41,0.94,1587,0.06,0.94,137,0.01,0.91,18961,0.69,0.94,7939,0.29,0.94,721,0.03,0.93,60,0,0.9,15617,0.56,0.94,10455,0.38,0.94,1453,0.05,0.94,156,0.01,0.91,16165,0.58,0.94,9858,0.36,0.94,1515,0.06,0.95,143,0.01,0.91
Interino,247,0.24,0.03,596,0.58,0.04,158,0.15,0.04,23,0.02,0.04,641,0.63,0.04,340,0.33,0.03,41,0.04,0.04,1,0,0.01,462,0.45,0.04,459,0.45,0.03,98,0.1,0.04,4,0,0.02,618,0.6,0.04,362,0.35,0.03,41,0.04,0.04,2,0,0.03,570,0.56,0.04,396,0.39,0.03,54,0.05,0.03,3,0,0.02,536,0.52,0.03,429,0.42,0.04,50,0.05,0.03,8,0.01,0.05,691,0.68,0.03,296,0.29,0.04,32,0.03,0.04,4,0,0.06,587,0.57,0.04,364,0.36,0.03,62,0.06,0.04,10,0.01,0.06,629,0.62,0.04,340,0.33,0.03,47,0.05,0.03,7,0.01,0.05
Tiempo fijo (temporal por un tiempo determinado),125,0.27,0.02,251,0.55,0.02,69,0.15,0.02,11,0.02,0.02,285,0.63,0.02,158,0.35,0.02,11,0.02,0.01,2,0,0.03,195,0.43,0.02,217,0.48,0.02,42,0.09,0.02,2,0,0.01,261,0.57,0.02,170,0.37,0.02,24,0.05,0.02,1,0,0.01,241,0.53,0.02,184,0.4,0.02,28,0.06,0.02,3,0.01,0.02,255,0.56,0.02,176,0.39,0.02,22,0.05,0.01,3,0.01,0.02,321,0.7,0.02,123,0.27,0.02,10,0.02,0.01,2,0,0.03,259,0.57,0.02,180,0.4,0.02,16,0.04,0.01,1,0,0.01,293,0.64,0.02,145,0.32,0.01,16,0.04,0.01,2,0,0.01
No tengo nombramiento,8,0.16,0,30,0.6,0,12,0.24,0,0,0,0,21,0.42,0,23,0.46,0,6,0.12,0.01,0,0,0,13,0.26,0,28,0.56,0,9,0.18,0,0,0,0,22,0.44,0,22,0.44,0,6,0.12,0.01,0,0,0,19,0.38,0,25,0.5,0,6,0.12,0,0,0,0,17,0.34,0,27,0.54,0,6,0.12,0,0,0,0,24,0.48,0,22,0.44,0,4,0.08,0.01,0,0,0,20,0.4,0,23,0.46,0,7,0.14,0.01,0,0,0,22,0.44,0,23,0.46,0,5,0.1,0,0,0,0
Otro,89,0.3,0.01,167,0.56,0.01,39,0.13,0.01,5,0.02,0.01,187,0.62,0.01,100,0.33,0.01,10,0.03,0.01,3,0.01,0.04,127,0.42,0.01,133,0.44,0.01,34,0.11,0.01,6,0.02,0.03,175,0.58,0.01,109,0.36,0.01,13,0.04,0.01,3,0.01,0.04,164,0.55,0.01,109,0.36,0.01,23,0.08,0.01,4,0.01,0.03,157,0.52,0.01,120,0.4,0.01,21,0.07,0.01,2,0.01,0.01,214,0.71,0.01,77,0.26,0.01,8,0.03,0.01,1,0,0.02,177,0.59,0.01,104,0.35,0.01,15,0.05,0.01,4,0.01,0.02,186,0.62,0.01,101,0.34,0.01,8,0.03,0.01,5,0.02,0.03
GENERAL PÚBLICA,3617,25.40%,47.30%,8070,56.60%,48.20%,2286,16.00%,50.20%,294,2.10%,51.80%,8560,60.00%,47.70%,5135,36.00%,49.20%,537,3.80%,50.80%,35,0.20%,48.60%,6004,42.10%,48.00%,6784,47.60%,48.40%,1352,9.50%,49.40%,127,0.90%,53.80%,8372,58.70%,47.70%,5265,36.90%,48.90%,593,4.20%,52.20%,36,0.30%,49.30%,7555,53.00%,47.50%,5682,39.80%,49.20%,943,6.60%,49.70%,87,0.60%,53.40%,7480,52.40%,47.80%,5842,41.00%,48.60%,868,6.10%,51.50%,75,0.50%,50.00%,9671,67.80%,47.80%,4176,29.30%,49.40%,384,2.70%,49.50%,34,0.20%,50.70%,7892,55.30%,47.40%,5503,38.60%,49.50%,779,5.50%,50.20%,91,0.60%,53.20%,8230,57.70%,47.60%,5174,36.30%,49.40%,771,5.40%,48.50%,90,0.60%,57.30%
TÉCNICA,3176,25.70%,41.50%,6999,56.70%,41.80%,1917,15.50%,42.10%,254,2.10%,44.70%,7551,61.20%,42.10%,4317,35.00%,41.40%,448,3.60%,42.30%,32,0.30%,44.40%,5262,42.60%,42.00%,5853,47.40%,41.70%,1141,9.20%,41.70%,90,0.70%,38.10%,7375,59.70%,42.00%,4487,36.30%,41.70%,454,3.70%,40.00%,31,0.30%,42.50%,6629,53.70%,41.70%,4826,39.10%,41.80%,824,6.70%,43.40%,68,0.60%,41.70%,6563,53.20%,41.90%,5033,40.80%,41.80%,683,5.50%,40.50%,68,0.60%,45.30%,8435,68.30%,41.70%,3544,28.70%,41.90%,338,2.70%,43.60%,30,0.20%,44.80%,6893,55.80%,41.40%,4701,38.10%,42.20%,681,5.50%,43.90%,72,0.60%,42.10%,7176,58.10%,41.50%,4378,35.50%,41.80%,729,5.90%,45.80%,64,0.50%,40.80%
