Variable,B5-A-Muy adecuado-Recuento,B5-A-Muy adecuado-% del N de fila,B5-A-Muy adecuado-% de N columnas,B5-A-Adecuado-Recuento,B5-A-Adecuado-% del N de fila,B5-A-Adecuado-% de N columnas,B5-A-Poco adecuado-Recuento,B5-A-Poco adecuado-% del N de fila,B5-A-Poco adecuado-% de N columnas,B5-A-Nada adecuado-Recuento,B5-A-Nada adecuado-% del N de fila,B5-A-Nada adecuado-% de N columnas,B5-B-Muy adecuado-Recuento,B5-B-Muy adecuado-% del N de fila,B5-B-Muy adecuado-% de N columnas,B5-B-Adecuado-Recuento,B5-B-Adecuado-% del N de fila,B5-B-Adecuado-% de N columnas,B5-B-Poco adecuado-Recuento,B5-B-Poco adecuado-% del N de fila,B5-B-Poco adecuado-% de N columnas,B5-B-Nada adecuado-Recuento,B5-B-Nada adecuado-% del N de fila,B5-B-Nada adecuado-% de N columnas,B5-C-Muy adecuado-Recuento,B5-C-Muy adecuado-% del N de fila,B5-C-Muy adecuado-% de N columnas,B5-C-Adecuado-Recuento,B5-C-Adecuado-% del N de fila,B5-C-Adecuado-% de N columnas,B5-C-Poco adecuado-Recuento,B5-C-Poco adecuado-% del N de fila,B5-C-Poco adecuado-% de N columnas,B5-C-Nada adecuado-Recuento,B5-C-Nada adecuado-% del N de fila,B5-C-Nada adecuado-% de N columnas,B5-D-Muy adecuado-Recuento,B5-D-Muy adecuado-% del N de fila,B5-D-Muy adecuado-% de N columnas,B5-D-Adecuado-Recuento,B5-D-Adecuado-% del N de fila,B5-D-Adecuado-% de N columnas,B5-D-Poco adecuado-Recuento,B5-D-Poco adecuado-% del N de fila,B5-D-Poco adecuado-% de N columnas,B5-D-Nada adecuado-Recuento,B5-D-Nada adecuado-% del N de fila,B5-D-Nada adecuado-% de N columnas,B5-E-Muy adecuado-Recuento,B5-E-Muy adecuado-% del N de fila,B5-E-Muy adecuado-% de N columnas,B5-E-Adecuado-Recuento,B5-E-Adecuado-% del N de fila,B5-E-Adecuado-% de N columnas,B5-E-Poco adecuado-Recuento,B5-E-Poco adecuado-% del N de fila,B5-E-Poco adecuado-% de N columnas,B5-E-Nada adecuado-Recuento,B5-E-Nada adecuado-% del N de fila,B5-E-Nada adecuado-% de N columnas,B5-F-Muy adecuado-Recuento,B5-F-Muy adecuado-% del N de fila,B5-F-Muy adecuado-% de N columnas,B5-F-Adecuado-Recuento,B5-F-Adecuado-% del N de fila,B5-F-Adecuado-% de N columnas,B5-F-Poco adecuado-Recuento,B5-F-Poco adecuado-% del N de fila,B5-F-Poco adecuado-% de N columnas,B5-F-Nada adecuado-Recuento,B5-F-Nada adecuado-% del N de fila,B5-F-Nada adecuado-% de N columnas,B5-G-Muy adecuado-Recuento,B5-G-Muy adecuado-% del N de fila,B5-G-Muy adecuado-% de N columnas,B5-G-Adecuado-Recuento,B5-G-Adecuado-% del N de fila,B5-G-Adecuado-% de N columnas,B5-G-Poco adecuado-Recuento,B5-G-Poco adecuado-% del N de fila,B5-G-Poco adecuado-% de N columnas,B5-G-Nada adecuado-Recuento,B5-G-Nada adecuado-% del N de fila,B5-G-Nada adecuado-% de N columnas,B5-H-Muy adecuado-Recuento,B5-H-Muy adecuado-% del N de fila,B5-H-Muy adecuado-% de N columnas,B5-H-Adecuado-Recuento,B5-H-Adecuado-% del N de fila,B5-H-Adecuado-% de N columnas,B5-H-Poco adecuado-Recuento,B5-H-Poco adecuado-% del N de fila,B5-H-Poco adecuado-% de N columnas,B5-H-Nada adecuado-Recuento,B5-H-Nada adecuado-% del N de fila,B5-H-Nada adecuado-% de N columnas
Mujer,5924,0.35,0.59,9796,0.57,0.57,1268,0.07,0.57,71,0,0.47,5729,0.34,0.58,10049,0.59,0.58,1194,0.07,0.59,86,0.01,0.55,6320,0.37,0.59,8460,0.5,0.57,1899,0.11,0.59,380,0.02,0.59,7086,0.42,0.59,8799,0.52,0.57,1078,0.06,0.58,95,0.01,0.5,6863,0.4,0.59,8516,0.5,0.57,1434,0.08,0.6,245,0.01,0.62,6824,0.4,0.58,8834,0.52,0.58,1216,0.07,0.58,184,0.01,0.52,6486,0.38,0.58,9226,0.54,0.57,1219,0.07,0.59,128,0.01,0.57,5566,0.33,0.57,9482,0.56,0.57,1770,0.1,0.61,240,0.01,0.63
18 a 20 años,80,0.35,0.01,140,0.61,0.01,10,0.04,0,0,0,0,73,0.32,0.01,144,0.63,0.01,13,0.06,0.01,0,0,0,80,0.35,0.01,126,0.55,0.01,20,0.09,0.01,4,0.02,0.01,81,0.35,0.01,135,0.59,0.01,14,0.06,0.01,0,0,0,80,0.35,0.01,136,0.59,0.01,11,0.05,0.01,3,0.01,0.01,83,0.36,0.01,135,0.59,0.01,12,0.05,0.01,0,0,0,83,0.36,0.01,136,0.59,0.01,11,0.05,0.01,0,0,0,71,0.31,0.01,143,0.62,0.01,14,0.06,0.01,2,0.01,0.01
21 a 30 años,1356,0.38,0.14,1969,0.55,0.12,240,0.07,0.11,19,0.01,0.13,1367,0.38,0.14,1994,0.56,0.11,202,0.06,0.1,20,0.01,0.13,1505,0.42,0.14,1724,0.48,0.12,292,0.08,0.09,63,0.02,0.1,1615,0.45,0.13,1755,0.49,0.11,193,0.05,0.1,21,0.01,0.11,1615,0.45,0.14,1720,0.48,0.11,199,0.06,0.08,50,0.01,0.13,1549,0.43,0.13,1755,0.49,0.12,240,0.07,0.11,40,0.01,0.11,1480,0.41,0.13,1888,0.53,0.12,196,0.06,0.1,20,0.01,0.09,1344,0.38,0.14,1925,0.54,0.12,275,0.08,0.1,40,0.01,0.11
31 a 40 años,3199,0.33,0.32,5539,0.58,0.32,791,0.08,0.35,53,0.01,0.35,3177,0.33,0.32,5597,0.58,0.32,740,0.08,0.36,68,0.01,0.44,3479,0.36,0.32,4752,0.5,0.32,1120,0.12,0.35,231,0.02,0.36,3824,0.4,0.32,4984,0.52,0.32,702,0.07,0.38,71,0.01,0.37,3725,0.39,0.32,4854,0.51,0.32,864,0.09,0.36,138,0.01,0.35,3646,0.38,0.31,5013,0.52,0.33,767,0.08,0.37,156,0.02,0.44,3503,0.37,0.32,5250,0.55,0.33,744,0.08,0.36,84,0.01,0.38,3078,0.32,0.32,5396,0.56,0.33,980,0.1,0.34,126,0.01,0.33
41 a 50 años,2985,0.32,0.3,5601,0.6,0.33,717,0.08,0.32,52,0.01,0.35,2922,0.31,0.3,5727,0.61,0.33,661,0.07,0.32,45,0.01,0.29,3208,0.34,0.3,4865,0.52,0.33,1068,0.11,0.33,214,0.02,0.33,3708,0.4,0.31,5021,0.54,0.33,563,0.06,0.3,63,0.01,0.33,3526,0.38,0.3,4928,0.53,0.33,771,0.08,0.32,130,0.01,0.33,3547,0.38,0.3,4997,0.53,0.33,696,0.07,0.33,114,0.01,0.32,3328,0.36,0.3,5285,0.57,0.33,670,0.07,0.33,72,0.01,0.32,2873,0.31,0.3,5358,0.57,0.32,1010,0.11,0.35,114,0.01,0.3
51 a 60 años,1999,0.35,0.2,3314,0.58,0.19,423,0.07,0.19,21,0,0.14,1903,0.33,0.19,3471,0.6,0.2,366,0.06,0.18,17,0,0.11,2094,0.36,0.19,2925,0.51,0.2,619,0.11,0.19,119,0.02,0.18,2368,0.41,0.2,3019,0.52,0.2,341,0.06,0.18,29,0.01,0.15,2276,0.4,0.2,2941,0.51,0.2,475,0.08,0.2,65,0.01,0.16,2452,0.43,0.21,2928,0.51,0.19,340,0.06,0.16,37,0.01,0.1,2268,0.39,0.2,3077,0.53,0.19,376,0.07,0.18,36,0.01,0.16,1929,0.34,0.2,3201,0.56,0.19,545,0.1,0.19,82,0.01,0.22
61 a 70 años,377,0.4,0.04,512,0.54,0.03,50,0.05,0.02,5,0.01,0.03,370,0.39,0.04,519,0.55,0.03,50,0.05,0.03,5,0.01,0.03,391,0.41,0.04,462,0.49,0.03,74,0.08,0.02,17,0.02,0.03,428,0.45,0.04,464,0.49,0.03,46,0.05,0.03,6,0.01,0.03,429,0.45,0.04,447,0.47,0.03,56,0.06,0.02,12,0.01,0.03,463,0.49,0.04,432,0.46,0.03,40,0.04,0.02,9,0.01,0.03,426,0.45,0.04,457,0.48,0.03,51,0.05,0.03,10,0.01,0.05,381,0.4,0.04,481,0.51,0.03,66,0.07,0.02,16,0.02,0.04
71 a 80 años,15,0.3,0,30,0.6,0,5,0.1,0,0,0,0,15,0.3,0,29,0.58,0,5,0.1,0,1,0.02,0.01,18,0.36,0,29,0.58,0,2,0.04,0,1,0.02,0,25,0.5,0,22,0.44,0,2,0.04,0,1,0.02,0.01,19,0.38,0,27,0.54,0,4,0.08,0,0,0,0,24,0.48,0,22,0.44,0,3,0.06,0,1,0.02,0,20,0.4,0,25,0.5,0,4,0.08,0,1,0.02,0,18,0.36,0,29,0.58,0,2,0.04,0,1,0.02,0
81 a 90 años,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91 a 99 años,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Preparatoria, bachillerato o carrera técnica",190,0.27,0.02,452,0.65,0.03,49,0.07,0.02,3,0,0.02,190,0.27,0.02,465,0.67,0.03,36,0.05,0.02,3,0,0.02,225,0.32,0.02,410,0.59,0.03,54,0.08,0.02,5,0.01,0.01,266,0.38,0.02,393,0.57,0.03,32,0.05,0.02,3,0,0.02,256,0.37,0.02,394,0.57,0.03,39,0.06,0.02,5,0.01,0.01,250,0.36,0.02,399,0.58,0.03,36,0.05,0.02,9,0.01,0.03,230,0.33,0.02,413,0.6,0.03,44,0.06,0.02,7,0.01,0.03,192,0.28,0.02,423,0.61,0.03,70,0.1,0.02,9,0.01,0.02
Normal básica sin licenciatura,48,0.31,0.01,91,0.59,0.01,16,0.1,0.01,0,0,0,40,0.26,0,106,0.68,0.01,9,0.06,0,0,0,0,48,0.31,0,90,0.58,0.01,15,0.1,0.01,2,0.01,0,57,0.37,0.01,85,0.55,0.01,11,0.07,0.01,2,0.01,0.01,63,0.41,0.01,78,0.5,0.01,13,0.08,0.01,1,0.01,0,46,0.3,0,100,0.65,0.01,5,0.03,0,4,0.03,0.01,51,0.33,0.01,95,0.61,0.01,8,0.05,0,1,0.01,0,44,0.28,0.01,100,0.65,0.01,9,0.06,0,2,0.01,0.01
Normal superior,1410,0.33,0.14,2586,0.6,0.15,317,0.07,0.14,18,0,0.12,1375,0.32,0.14,2665,0.62,0.15,275,0.06,0.14,16,0,0.1,1519,0.35,0.14,2303,0.53,0.16,419,0.1,0.13,90,0.02,0.14,1700,0.39,0.14,2352,0.54,0.15,253,0.06,0.14,25,0.01,0.13,1642,0.38,0.14,2318,0.54,0.15,328,0.08,0.14,42,0.01,0.11,1708,0.39,0.15,2318,0.54,0.15,264,0.06,0.13,40,0.01,0.11,1615,0.37,0.15,2427,0.56,0.15,261,0.06,0.13,28,0.01,0.13,1374,0.32,0.14,2521,0.58,0.15,374,0.09,0.13,61,0.01,0.16
Normal Intercultural Bilingüe,11,0.79,0,3,0.21,0,0,0,0,0,0,0,10,0.71,0,3,0.21,0,1,0.07,0,0,0,0,7,0.5,0,6,0.43,0,0,0,0,1,0.07,0,9,0.64,0,2,0.14,0,3,0.21,0,0,0,0,9,0.64,0,3,0.21,0,2,0.14,0,0,0,0,8,0.57,0,5,0.36,0,1,0.07,0,0,0,0,9,0.64,0,5,0.36,0,0,0,0,0,0,0,7,0.5,0,6,0.43,0,1,0.07,0,0,0,0
Licenciatura,5238,0.33,0.52,9521,0.59,0.56,1189,0.07,0.53,78,0.01,0.52,5176,0.32,0.53,9697,0.61,0.56,1075,0.07,0.53,77,0.01,0.49,5789,0.36,0.54,8204,0.51,0.55,1721,0.11,0.54,312,0.02,0.48,6461,0.4,0.54,8508,0.53,0.55,960,0.06,0.52,97,0.01,0.51,6264,0.39,0.54,8356,0.52,0.56,1210,0.08,0.51,196,0.01,0.49,6240,0.39,0.53,8443,0.53,0.55,1159,0.07,0.55,184,0.01,0.52,5867,0.37,0.53,8943,0.56,0.56,1111,0.07,0.54,105,0.01,0.47,5084,0.32,0.52,9129,0.57,0.55,1620,0.1,0.56,193,0.01,0.51
Especialidad,261,0.35,0.03,419,0.56,0.02,59,0.08,0.03,6,0.01,0.04,252,0.34,0.03,435,0.58,0.03,53,0.07,0.03,5,0.01,0.03,270,0.36,0.03,386,0.52,0.03,67,0.09,0.02,22,0.03,0.03,304,0.41,0.03,391,0.53,0.03,45,0.06,0.02,5,0.01,0.03,293,0.39,0.03,379,0.51,0.03,62,0.08,0.03,11,0.02,0.03,290,0.39,0.03,395,0.53,0.03,50,0.07,0.02,10,0.01,0.03,272,0.37,0.02,411,0.55,0.03,58,0.08,0.03,4,0.01,0.02,243,0.33,0.03,434,0.58,0.03,62,0.08,0.02,6,0.01,0.02
Maestría,2547,0.38,0.25,3638,0.54,0.21,546,0.08,0.24,32,0.01,0.21,2488,0.37,0.25,3700,0.55,0.21,529,0.08,0.26,46,0.01,0.3,2613,0.39,0.24,3133,0.46,0.21,824,0.12,0.26,193,0.03,0.3,2920,0.43,0.24,3294,0.49,0.21,497,0.07,0.27,52,0.01,0.27,2829,0.42,0.24,3162,0.47,0.21,647,0.1,0.27,125,0.02,0.31,2885,0.43,0.25,3264,0.48,0.21,521,0.08,0.25,93,0.01,0.26,2754,0.41,0.25,3432,0.51,0.21,510,0.08,0.25,66,0.01,0.3,2456,0.36,0.25,3521,0.52,0.21,688,0.1,0.24,97,0.01,0.26
Doctorado,292,0.39,0.03,383,0.51,0.02,58,0.08,0.03,13,0.02,0.09,281,0.38,0.03,400,0.54,0.02,56,0.08,0.03,9,0.01,0.06,288,0.39,0.03,345,0.46,0.02,89,0.12,0.03,24,0.03,0.04,316,0.42,0.03,366,0.49,0.02,57,0.08,0.03,7,0.01,0.04,301,0.4,0.03,352,0.47,0.02,76,0.1,0.03,17,0.02,0.04,319,0.43,0.03,351,0.47,0.02,60,0.08,0.03,16,0.02,0.05,293,0.39,0.03,384,0.52,0.02,58,0.08,0.03,11,0.02,0.05,277,0.37,0.03,393,0.53,0.02,63,0.08,0.02,13,0.02,0.03
Posdoctorado,14,0.5,0,12,0.43,0,2,0.07,0,0,0,0,15,0.54,0,10,0.36,0,3,0.11,0,0,0,0,16,0.57,0,6,0.21,0,6,0.21,0,0,0,0,16,0.57,0,9,0.32,0,3,0.11,0,0,0,0,13,0.46,0,11,0.39,0,3,0.11,0,1,0.04,0,18,0.64,0,7,0.25,0,2,0.07,0,1,0.04,0,17,0.61,0,8,0.29,0,2,0.07,0,1,0.04,0,17,0.61,0,6,0.21,0,5,0.18,0,0,0,0
Menor o igual a 10,3384,0.36,0.34,5252,0.56,0.31,687,0.07,0.31,47,0.01,0.31,3362,0.36,0.34,5330,0.57,0.31,628,0.07,0.31,50,0.01,0.32,3753,0.4,0.35,4500,0.48,0.3,929,0.1,0.29,188,0.02,0.29,4061,0.43,0.34,4666,0.5,0.3,588,0.06,0.32,55,0.01,0.29,4005,0.43,0.34,4573,0.49,0.3,679,0.07,0.29,113,0.01,0.28,3862,0.41,0.33,4695,0.5,0.31,687,0.07,0.33,126,0.01,0.35,3703,0.4,0.33,4989,0.53,0.31,614,0.07,0.3,64,0.01,0.29,3290,0.35,0.34,5150,0.55,0.31,826,0.09,0.29,104,0.01,0.27
11 a 20,3614,0.32,0.36,6726,0.59,0.39,922,0.08,0.41,65,0.01,0.43,3569,0.32,0.36,6843,0.6,0.39,848,0.08,0.42,67,0.01,0.43,3877,0.34,0.36,5868,0.52,0.39,1316,0.12,0.41,266,0.02,0.41,4398,0.39,0.37,6080,0.54,0.4,777,0.07,0.42,72,0.01,0.38,4260,0.38,0.37,5910,0.52,0.39,994,0.09,0.42,163,0.01,0.41,4241,0.37,0.36,6058,0.54,0.4,879,0.08,0.42,148,0.01,0.42,4024,0.36,0.36,6333,0.56,0.39,876,0.08,0.43,93,0.01,0.42,3494,0.31,0.36,6452,0.57,0.39,1229,0.11,0.43,150,0.01,0.39
21 a 30,3013,0.34,0.3,5127,0.58,0.3,627,0.07,0.28,38,0,0.25,2896,0.33,0.3,5308,0.6,0.3,561,0.06,0.28,39,0,0.25,3145,0.36,0.29,4515,0.51,0.3,950,0.11,0.3,195,0.02,0.3,3590,0.41,0.3,4654,0.53,0.3,496,0.06,0.27,64,0.01,0.34,3405,0.39,0.29,4570,0.52,0.3,707,0.08,0.3,122,0.01,0.31,3661,0.42,0.31,4529,0.51,0.3,532,0.06,0.25,83,0.01,0.23,3381,0.38,0.3,4796,0.55,0.3,562,0.06,0.27,66,0.01,0.3,2910,0.33,0.3,4931,0.56,0.3,837,0.1,0.29,127,0.01,0.33
31 a 40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41 a 50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mayor o igual a 51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Definitivo o base,9285,0.34,0.93,16120,0.58,0.94,2133,0.08,0.95,141,0.01,0.94,9121,0.33,0.93,16475,0.6,0.94,1934,0.07,0.95,148,0.01,0.95,9980,0.36,0.93,14010,0.51,0.94,3062,0.11,0.96,627,0.02,0.97,11171,0.4,0.93,14547,0.53,0.95,1776,0.06,0.96,184,0.01,0.96,10803,0.39,0.93,14204,0.51,0.94,2288,0.08,0.96,383,0.01,0.96,10927,0.4,0.93,14423,0.52,0.94,1991,0.07,0.95,337,0.01,0.94,10302,0.37,0.93,15195,0.55,0.94,1969,0.07,0.96,212,0.01,0.95,8976,0.32,0.93,15573,0.56,0.94,2759,0.1,0.96,369,0.01,0.97
Interino,412,0.4,0.04,547,0.54,0.03,55,0.05,0.03,6,0.01,0.04,390,0.38,0.04,571,0.56,0.03,55,0.05,0.03,4,0,0.03,450,0.44,0.04,488,0.48,0.03,70,0.07,0.02,12,0.01,0.02,497,0.49,0.04,477,0.47,0.03,41,0.04,0.02,5,0.01,0.03,494,0.48,0.04,470,0.46,0.03,46,0.05,0.02,10,0.01,0.03,473,0.46,0.04,483,0.47,0.03,52,0.05,0.03,12,0.01,0.03,453,0.44,0.04,520,0.51,0.03,41,0.04,0.02,6,0.01,0.03,402,0.39,0.04,544,0.53,0.03,67,0.07,0.02,7,0.01,0.02
Tiempo fijo,188,0.42,0.02,235,0.52,0.01,25,0.06,0.01,2,0,0.01,192,0.43,0.02,234,0.52,0.01,23,0.05,0.01,1,0,0.01,212,0.47,0.02,208,0.46,0.01,25,0.06,0.01,5,0.01,0.01,224,0.5,0.02,204,0.45,0.01,21,0.05,0.01,1,0,0.01,226,0.5,0.02,207,0.46,0.01,15,0.03,0.01,2,0,0.01,221,0.49,0.02,203,0.45,0.01,21,0.05,0.01,5,0.01,0.01,218,0.48,0.02,211,0.47,0.01,20,0.04,0.01,1,0,0,192,0.43,0.02,230,0.51,0.01,27,0.06,0.01,1,0,0
No tengo nombramiento,10,0.2,0,39,0.77,0,2,0.04,0,0,0,0,11,0.22,0,34,0.67,0,6,0.12,0,0,0,0,17,0.33,0,28,0.55,0,3,0.06,0,3,0.06,0.01,20,0.39,0,26,0.51,0,4,0.08,0,1,0.02,0.01,19,0.37,0,28,0.55,0,3,0.06,0,1,0.02,0,15,0.29,0,31,0.61,0,4,0.08,0,1,0.02,0,19,0.37,0,30,0.59,0,2,0.04,0,0,0,0,15,0.29,0,30,0.59,0,6,0.12,0,0,0,0
Otro,115,0.38,0.01,163,0.54,0.01,21,0.07,0.01,1,0,0.01,113,0.38,0.01,165,0.55,0.01,19,0.06,0.01,3,0.01,0.02,116,0.39,0.01,147,0.49,0.01,35,0.12,0.01,2,0.01,0,137,0.46,0.01,145,0.48,0.01,18,0.06,0.01,0,0,0,128,0.43,0.01,142,0.47,0.01,28,0.09,0.01,2,0.01,0.01,127,0.42,0.01,141,0.47,0.01,30,0.1,0.01,2,0.01,0.01,116,0.39,0.01,160,0.53,0.01,20,0.07,0.01,4,0.01,0.02,109,0.36,0.01,156,0.52,0.01,31,0.1,0.01,4,0.01,0.01
GENERAL PÚBLICA,4716,0.33,0.47,8358,0.59,0.49,1104,0.08,0.49,82,0.01,0.55,4635,0.33,0.47,8545,0.6,0.49,998,0.07,0.49,82,0.01,0.53,5139,0.36,0.48,7287,0.51,0.49,1535,0.11,0.48,299,0.02,0.46,5653,0.4,0.47,7557,0.53,0.49,952,0.07,0.51,98,0.01,0.51,5515,0.39,0.47,7378,0.52,0.49,1174,0.08,0.49,193,0.01,0.49,5485,0.39,0.47,7504,0.53,0.49,1100,0.08,0.52,170,0.01,0.48,5207,0.37,0.47,7924,0.56,0.49,1017,0.07,0.5,112,0.01,0.5,4569,0.32,0.47,8071,0.57,0.49,1432,0.1,0.5,187,0.01,0.49
TÉCNICA,4156,0.34,0.42,7168,0.58,0.42,958,0.08,0.43,60,0.01,0.4,4075,0.33,0.42,7318,0.59,0.42,882,0.07,0.43,67,0.01,0.43,4458,0.36,0.41,6235,0.51,0.42,1370,0.11,0.43,279,0.02,0.43,5028,0.41,0.42,6450,0.52,0.42,784,0.06,0.42,79,0.01,0.41,4847,0.39,0.42,6303,0.51,0.42,1019,0.08,0.43,172,0.01,0.43,4873,0.4,0.41,6458,0.52,0.42,849,0.07,0.41,162,0.01,0.45,4622,0.38,0.42,6733,0.55,0.42,890,0.07,0.43,96,0.01,0.43,4006,0.33,0.41,6924,0.56,0.42,1251,0.1,0.43,160,0.01,0.42
TELESECUNDARIA,1139,0.39,0.11,1579,0.54,0.09,174,0.06,0.08,8,0,0.05,1117,0.39,0.11,1618,0.56,0.09,157,0.05,0.08,7,0,0.05,1178,0.41,0.11,1361,0.47,0.09,290,0.1,0.09,71,0.02,0.11,1368,0.47,0.11,1393,0.48,0.09,125,0.04,0.07,14,0.01,0.07,1308,0.45,0.11,1372,0.47,0.09,187,0.06,0.08,33,0.01,0.08,1406,0.49,0.12,1320,0.46,0.09,149,0.05,0.07,25,0.01,0.07,1279,0.44,0.12,1461,0.5,0.09,145,0.05,0.07,15,0.01,0.07,1119,0.39,0.12,1538,0.53,0.09,209,0.07,0.07,34,0.01,0.09
Total,10011,0.34,1,17105,0.58,1,2236,0.08,1,150,0.01,1,9827,0.33,1,17481,0.59,1,2037,0.07,1,156,0.01,1,10775,0.37,1,14883,0.5,1,3195,0.11,1,649,0.02,1,12049,0.41,1,15400,0.52,1,1861,0.06,1,191,0.01,1,11670,0.4,1,15053,0.51,1,2380,0.08,1,398,0.01,1,11764,0.4,1,15282,0.52,1,2098,0.07,1,357,0.01,1,11108,0.38,1,16118,0.55,1,2052,0.07,1,223,0.01,1,9694,0.33,1,16533,0.56,1,2892,0.1,1,381,0.01,1
